year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_act_fte_total_hes
2004,NUTS,2010,NL,0,0.3281
2005,NUTS,2010,NL,0,0.3455
2006,NUTS,2010,NL,0,0.3452
2007,NUTS,2010,NL,0,0.3444
2008,NUTS,2010,NL,0,0.3545
2009,NUTS,2010,NL,0,0.352
2011,NUTS,2010,NL,0,0.3327
2012,NUTS,2010,NL,0,0.329
2000,NUTS,2010,PL,0,0.4446
2015,NUTS,2010,PL,0,0.2662
2016,NUTS,2010,PL,0,0.3122
2017,NUTS,2010,PL,0,0.4099
2018,NUTS,2010,PL,0,0.4384
2019,NUTS,2010,PL,0,0.4746
2001,NUTS,2010,PT,0,0.2038
2002,NUTS,2010,PT,0,0.2171
2003,NUTS,2010,PT,0,0.2302
2004,NUTS,2010,PT,0,0.2346
2005,NUTS,2010,PT,0,0.237
2006,NUTS,2010,PT,0,0.2617
2007,NUTS,2010,PT,0,0.2858
2008,NUTS,2010,PT,0,0.4773
2009,NUTS,2010,PT,0,0.5345
2010,NUTS,2010,PT,0,0.5185
2011,NUTS,2010,PT,0,0.5057
2012,NUTS,2010,PT,0,0.519
2013,NUTS,2010,PT,0,0.5902
2014,NUTS,2010,PT,0,0.5652
2015,NUTS,2010,PT,0,0.5695
2016,NUTS,2010,PT,0,0.6006
2017,NUTS,2010,PT,0,0.6344
2018,NUTS,2010,PT,0,0.6621
2019,NUTS,2010,PT,0,0.6658
2020,NUTS,2010,PT,0,0.6734
2001,NUTS,2010,PT1,1,0.1944
2001,NUTS,2010,PT11,2,0.1323
2001,NUTS,2010,PT15,2,0.1942
2001,NUTS,2010,PT2,1,0.2789
2001,NUTS,2010,PT20,2,0.2789
2001,NUTS,2010,PT3,1,0.0684
2001,NUTS,2010,PT30,2,0.0684
1998,NUTS,2010,RO,0,0.043
1999,NUTS,2010,RO,0,0.0286
2000,NUTS,2010,RO,0,0.0332
2001,NUTS,2010,RO,0,0.0432
2002,NUTS,2010,RO,0,0.0573
2003,NUTS,2010,RO,0,0.0732
2004,NUTS,2010,RO,0,0.0741
2005,NUTS,2010,RO,0,0.0696
2006,NUTS,2010,RO,0,0.0794
2007,NUTS,2010,RO,0,0.0776
2008,NUTS,2010,RO,0,0.0966
2009,NUTS,2010,RO,0,0.13
2010,NUTS,2010,RO,0,0.1291
2011,NUTS,2010,RO,0,0.1405
2012,NUTS,2010,RO,0,0.1322
2013,NUTS,2010,RO,0,0.143
2014,NUTS,2010,RO,0,0.1289
2015,NUTS,2010,RO,0,0.1322
2016,NUTS,2010,RO,0,0.1328
2017,NUTS,2010,RO,0,0.1271
2018,NUTS,2010,RO,0,0.1252
2019,NUTS,2010,RO,0,0.1225
2010,NUTS,2010,RS,0,0.4396
2011,NUTS,2010,RS,0,0.4624
2012,NUTS,2010,RS,0,0.4581
2013,NUTS,2010,RS,0,0.4619
2014,NUTS,2010,RS,0,0.4519
2015,NUTS,2010,RS,0,0.5191
2016,NUTS,2010,RS,0,0.4954
2017,NUTS,2010,RS,0,0.4793
2018,NUTS,2010,RS,0,0.4862
2019,NUTS,2010,RS,0,0.4871
2020,NUTS,2010,RS,0,0.5311
1997,NUTS,2010,SE,0,0.3114
1999,NUTS,2010,SE,0,0.3461
2001,NUTS,2010,SE,0,0.3573
2005,NUTS,2010,SE,0,0.3285
2007,NUTS,2010,SE,0,0.315
2009,NUTS,2010,SE,0,0.3364
2011,NUTS,2010,SE,0,0.3603
2013,NUTS,2010,SE,0,0.3665
2015,NUTS,2010,SE,0,0.3774
2017,NUTS,2010,SE,0,0.3717
2019,NUTS,2010,SE,0,0.4015
2001,NUTS,2010,SE1,1,0.4781
2001,NUTS,2010,SE11,2,0.439
2001,NUTS,2010,SE12,2,0.533
2001,NUTS,2010,SE2,1,0.2765
2001,NUTS,2010,SE21,2,0.0757
2001,NUTS,2010,SE22,2,0.4063
2001,NUTS,2010,SE23,2,0.2766
2001,NUTS,2010,SE3,1,0.2588
2001,NUTS,2010,SE31,2,0.0831
2001,NUTS,2010,SE32,2,0.0792
2001,NUTS,2010,SE33,2,0.6638
1997,NUTS,2010,SI,0,0.1285
1998,NUTS,2010,SI,0,0.1306
1999,NUTS,2010,SI,0,0.1402
2000,NUTS,2010,SI,0,0.1615
2001,NUTS,2010,SI,0,0.1619
2002,NUTS,2010,SI,0,0.1446
2003,NUTS,2010,SI,0,0.1234
2004,NUTS,2010,SI,0,0.1256
2005,NUTS,2010,SI,0,0.1825
2006,NUTS,2010,SI,0,0.1892
2007,NUTS,2010,SI,0,0.1837
2008,NUTS,2010,SI,0,0.197
2009,NUTS,2010,SI,0,0.2319
2010,NUTS,2010,SI,0,0.2745
2011,NUTS,2010,SI,0,0.3167
2012,NUTS,2010,SI,0,0.2972
2013,NUTS,2010,SI,0,0.2978
2014,NUTS,2010,SI,0,0.2762
2015,NUTS,2010,SI,0,0.2594
2016,NUTS,2010,SI,0,0.2396
2017,NUTS,2010,SI,0,0.2396
2018,NUTS,2010,SI,0,0.273
2019,NUTS,2010,SI,0,0.2989
1999,NUTS,2010,SI0,1,0.1359
2000,NUTS,2010,SI0,1,0.1579
2001,NUTS,2010,SI0,1,0.1592
2002,NUTS,2010,SI0,1,0.1394
2003,NUTS,2010,SI0,1,0.1211
2004,NUTS,2010,SI0,1,0.1218
2005,NUTS,2010,SI0,1,0.1783
2006,NUTS,2010,SI0,1,0.1849
2007,NUTS,2010,SI0,1,0.1786
1998,NUTS,2010,SK,0,0.2095
1999,NUTS,2010,SK,0,0.1926
2000,NUTS,2010,SK,0,0.2206
2001,NUTS,2010,SK,0,0.2226
2002,NUTS,2010,SK,0,0.2052
2003,NUTS,2010,SK,0,0.222
2004,NUTS,2010,SK,0,0.2734
2005,NUTS,2010,SK,0,0.2706
2006,NUTS,2010,SK,0,0.3182
2007,NUTS,2010,SK,0,0.3248
2008,NUTS,2010,SK,0,0.3324
2009,NUTS,2010,SK,0,0.3385
2010,NUTS,2010,SK,0,0.3761
2011,NUTS,2010,SK,0,0.3924
2012,NUTS,2010,SK,0,0.3671
2013,NUTS,2010,SK,0,0.3606
2014,NUTS,2010,SK,0,0.3342
2015,NUTS,2010,SK,0,0.3211
2016,NUTS,2010,SK,0,0.3045
2017,NUTS,2010,SK,0,0.321
2018,NUTS,2010,SK,0,0.3396
2019,NUTS,2010,SK,0,0.3558
2020,NUTS,2010,SK,0,0.3719
2006,NUTS,2010,TR,0,0.1855
2007,NUTS,2010,TR,0,0.2064
2008,NUTS,2010,TR,0,0.1997
2009,NUTS,2010,TR,0,0.1933
2010,NUTS,2010,TR,0,0.1891
2011,NUTS,2010,TR,0,0.1931
2012,NUTS,2010,TR,0,0.2146
2013,NUTS,2010,TR,0,0.2126
2014,NUTS,2010,TR,0,0.203
2015,NUTS,2010,TR,0,0.2036
2016,NUTS,2010,TR,0,0.236
2017,NUTS,2010,TR,0,0.2405
2018,NUTS,2010,TR,0,0.2389
2019,NUTS,2010,TR,0,0.2508
2020,NUTS,2010,TR,0,0.2816
