year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_fte
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,93663.0
2012,NUTS,2010,DE,0,95882.0
2013,NUTS,2010,DE,0,98161.0
2014,NUTS,2010,DE,0,101005.0
2015,NUTS,2010,DE,0,101717.0
2016,NUTS,2010,DE,0,103206.0
2017,NUTS,2010,DE,0,106025.0
2018,NUTS,2010,DE,0,109487.0
2019,NUTS,2010,DE,0,112592.0
2020,NUTS,2010,DE,0,114695.0
2011,NUTS,2010,DE1,1,14388.0
2012,NUTS,2010,DE1,1,14466.0
2013,NUTS,2010,DE1,1,15048.0
2014,NUTS,2010,DE1,1,15166.0
2015,NUTS,2010,DE1,1,15884.0
2016,NUTS,2010,DE1,1,16000.0
2017,NUTS,2010,DE1,1,16344.0
2018,NUTS,2010,DE1,1,16687.0
2019,NUTS,2010,DE1,1,17175.0
2011,NUTS,2010,DE11,2,3231.0
2012,NUTS,2010,DE11,2,3258.0
2013,NUTS,2010,DE11,2,3353.0
2014,NUTS,2010,DE11,2,3372.0
2015,NUTS,2010,DE11,2,3423.0
2016,NUTS,2010,DE11,2,3525.0
2017,NUTS,2010,DE11,2,3548.0
2018,NUTS,2010,DE11,2,3636.0
2019,NUTS,2010,DE11,2,3786.0
2011,NUTS,2010,DE12,2,8120.0
2012,NUTS,2010,DE12,2,8129.0
2013,NUTS,2010,DE12,2,8555.0
2014,NUTS,2010,DE12,2,8724.0
2015,NUTS,2010,DE12,2,9261.0
2016,NUTS,2010,DE12,2,9185.0
2017,NUTS,2010,DE12,2,9341.0
2018,NUTS,2010,DE12,2,9475.0
2019,NUTS,2010,DE12,2,9615.0
2011,NUTS,2010,DE13,2,2137.0
2012,NUTS,2010,DE13,2,2207.0
2013,NUTS,2010,DE13,2,2232.0
2014,NUTS,2010,DE13,2,2229.0
2015,NUTS,2010,DE13,2,2205.0
2016,NUTS,2010,DE13,2,2271.0
2017,NUTS,2010,DE13,2,2361.0
2018,NUTS,2010,DE13,2,2459.0
2019,NUTS,2010,DE13,2,2598.0
2011,NUTS,2010,DE14,2,900.0
2012,NUTS,2010,DE14,2,872.0
2013,NUTS,2010,DE14,2,908.0
2014,NUTS,2010,DE14,2,841.0
2015,NUTS,2010,DE14,2,994.0
2016,NUTS,2010,DE14,2,1019.0
2017,NUTS,2010,DE14,2,1094.0
2018,NUTS,2010,DE14,2,1118.0
2019,NUTS,2010,DE14,2,1177.0
2011,NUTS,2010,DE2,1,12318.0
2012,NUTS,2010,DE2,1,12720.0
2013,NUTS,2010,DE2,1,13412.0
2014,NUTS,2010,DE2,1,13701.0
2015,NUTS,2010,DE2,1,13735.0
2016,NUTS,2010,DE2,1,13851.0
2017,NUTS,2010,DE2,1,14212.0
2018,NUTS,2010,DE2,1,14797.0
2019,NUTS,2010,DE2,1,15213.0
2011,NUTS,2010,DE21,2,9949.0
2012,NUTS,2010,DE21,2,10242.0
2013,NUTS,2010,DE21,2,10768.0
2014,NUTS,2010,DE21,2,11048.0
2015,NUTS,2010,DE21,2,10841.0
2016,NUTS,2010,DE21,2,10904.0
2017,NUTS,2010,DE21,2,11103.0
2018,NUTS,2010,DE21,2,11443.0
2019,NUTS,2010,DE21,2,11684.0
2015,NUTS,2010,DE22,2,73.0
2016,NUTS,2010,DE22,2,74.0
2017,NUTS,2010,DE22,2,68.0
2018,NUTS,2010,DE22,2,80.0
2019,NUTS,2010,DE22,2,93.0
2015,NUTS,2010,DE23,2,198.0
2016,NUTS,2010,DE23,2,205.0
2017,NUTS,2010,DE23,2,190.0
2018,NUTS,2010,DE23,2,210.0
2019,NUTS,2010,DE23,2,205.0
2011,NUTS,2010,DE24,2,204.0
2012,NUTS,2010,DE24,2,216.0
2013,NUTS,2010,DE24,2,220.0
2014,NUTS,2010,DE24,2,315.0
2015,NUTS,2010,DE24,2,333.0
2016,NUTS,2010,DE24,2,282.0
2017,NUTS,2010,DE24,2,397.0
2018,NUTS,2010,DE24,2,395.0
2019,NUTS,2010,DE24,2,372.0
2011,NUTS,2010,DE25,2,1286.0
2012,NUTS,2010,DE25,2,1267.0
2013,NUTS,2010,DE25,2,1495.0
2014,NUTS,2010,DE25,2,1446.0
2015,NUTS,2010,DE25,2,1538.0
2016,NUTS,2010,DE25,2,1605.0
2017,NUTS,2010,DE25,2,1659.0
2018,NUTS,2010,DE25,2,1773.0
2019,NUTS,2010,DE25,2,1907.0
2011,NUTS,2010,DE26,2,527.0
2012,NUTS,2010,DE26,2,500.0
2013,NUTS,2010,DE26,2,494.0
2014,NUTS,2010,DE26,2,368.0
2015,NUTS,2010,DE26,2,406.0
2016,NUTS,2010,DE26,2,418.0
2017,NUTS,2010,DE26,2,397.0
2018,NUTS,2010,DE26,2,413.0
2019,NUTS,2010,DE26,2,417.0
