year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps_kp05
2020,NUTS,2010,CZ05,2,3.092
2011,NUTS,2010,CZ06,2,2.741
2012,NUTS,2010,CZ06,2,1.406
2013,NUTS,2010,CZ06,2,1.964
2014,NUTS,2010,CZ06,2,2.169
2015,NUTS,2010,CZ06,2,3.872
2016,NUTS,2010,CZ06,2,0.477
2017,NUTS,2010,CZ06,2,0.791
2018,NUTS,2010,CZ06,2,1.199
2019,NUTS,2010,CZ06,2,0.88
2020,NUTS,2010,CZ06,2,0.892
2011,NUTS,2010,CZ07,2,0.641
2012,NUTS,2010,CZ07,2,0.458
2013,NUTS,2010,CZ07,2,0.38
2014,NUTS,2010,CZ07,2,0.676
2015,NUTS,2010,CZ07,2,0.507
2016,NUTS,2010,CZ07,2,0.493
2017,NUTS,2010,CZ07,2,0.358
2018,NUTS,2010,CZ07,2,0.479
2019,NUTS,2010,CZ07,2,0.759
2020,NUTS,2010,CZ07,2,0.795
2011,NUTS,2010,CZ08,2,2.907
2012,NUTS,2010,CZ08,2,3.409
2013,NUTS,2010,CZ08,2,0.209
2014,NUTS,2010,CZ08,2,4.727
2015,NUTS,2010,CZ08,2,0.431
2016,NUTS,2010,CZ08,2,0.15
2017,NUTS,2010,CZ08,2,0.817
2018,NUTS,2010,CZ08,2,0.906
2019,NUTS,2010,CZ08,2,0.651
2020,NUTS,2010,CZ08,2,0.497
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,16.84
2012,NUTS,2010,DK,0,19.126
2013,NUTS,2010,DK,0,19.446
2014,NUTS,2010,DK,0,19.006
2015,NUTS,2010,DK,0,17.641
2016,NUTS,2010,DK,0,18.316
2017,NUTS,2010,DK,0,15.651
2018,NUTS,2010,DK,0,18.281
2019,NUTS,2010,DK,0,21.417
2020,NUTS,2010,DK,0,22.769
2011,NUTS,2010,DK0,1,16.84
2012,NUTS,2010,DK0,1,19.126
2013,NUTS,2010,DK0,1,19.438
2014,NUTS,2010,DK0,1,19.086
2015,NUTS,2010,DK0,1,17.641
2016,NUTS,2010,DK0,1,18.316
2017,NUTS,2010,DK0,1,15.651
2018,NUTS,2010,DK0,1,18.281
2019,NUTS,2010,DK0,1,21.417
2020,NUTS,2010,DK0,1,22.769
2011,NUTS,2010,DK01,2,16.499
2012,NUTS,2010,DK01,2,18.42
2013,NUTS,2010,DK01,2,18.811
2014,NUTS,2010,DK01,2,18.522
2015,NUTS,2010,DK01,2,16.679
2016,NUTS,2010,DK01,2,17.436
2017,NUTS,2010,DK01,2,15.098
2019,NUTS,2010,DK01,2,21.028
2011,NUTS,2010,DK02,2,0.341
2012,NUTS,2010,DK02,2,0.328
2013,NUTS,2010,DK02,2,0.285
2014,NUTS,2010,DK02,2,0.322
2015,NUTS,2010,DK02,2,0.722
2016,NUTS,2010,DK02,2,0.64
2017,NUTS,2010,DK02,2,0.316
2019,NUTS,2010,DK02,2,0.389
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.378
2013,NUTS,2010,DK03,2,0.334
2014,NUTS,2010,DK03,2,0.242
2015,NUTS,2010,DK03,2,0.241
2016,NUTS,2010,DK03,2,0.24
2017,NUTS,2010,DK03,2,0.237
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.237
2011,NUTS,2010,EA19,2,1473.689
2012,NUTS,2010,EA19,2,1425.005
2013,NUTS,2010,EA19,2,1266.375
2014,NUTS,2010,EA19,2,1348.75
2015,NUTS,2010,EA19,2,1408.105
2016,NUTS,2010,EA19,2,1342.271
2017,NUTS,2010,EA19,2,1190.773
2018,NUTS,2010,EA19,2,1235.903
2019,NUTS,2010,EA19,2,1355.695
2020,NUTS,2010,EA19,2,1437.798
2011,NUTS,2010,EE,0,4.067
2012,NUTS,2010,EE,0,4.483
2013,NUTS,2010,EE,0,3.699
2014,NUTS,2010,EE,0,3.574
2015,NUTS,2010,EE,0,5.619
2016,NUTS,2010,EE,0,4.215
2017,NUTS,2010,EE,0,4.196
2018,NUTS,2010,EE,0,5.769
2019,NUTS,2010,EE,0,4.772
2020,NUTS,2010,EE,0,7.202
2011,NUTS,2010,EE0,1,4.067
2012,NUTS,2010,EE0,1,4.483
2013,NUTS,2010,EE0,1,3.699
2014,NUTS,2010,EE0,1,3.574
2015,NUTS,2010,EE0,1,5.619
2016,NUTS,2010,EE0,1,4.215
2017,NUTS,2010,EE0,1,4.196
2018,NUTS,2010,EE0,1,5.769
2019,NUTS,2010,EE0,1,4.772
2020,NUTS,2010,EE0,1,7.202
2011,NUTS,2010,EE00,2,4.067
2012,NUTS,2010,EE00,2,4.483
2013,NUTS,2010,EE00,2,3.699
2014,NUTS,2010,EE00,2,3.574
2015,NUTS,2010,EE00,2,5.619
2016,NUTS,2010,EE00,2,4.215
2017,NUTS,2010,EE00,2,4.196
2018,NUTS,2010,EE00,2,5.769
2019,NUTS,2010,EE00,2,4.772
2020,NUTS,2010,EE00,2,7.202
2011,NUTS,2010,EL,0,14.045
2012,NUTS,2010,EL,0,12.841
2013,NUTS,2010,EL,0,18.69
2014,NUTS,2010,EL,0,19.3
2015,NUTS,2010,EL,0,20.017
2016,NUTS,2010,EL,0,16.446
2017,NUTS,2010,EL,0,17.229
2018,NUTS,2010,EL,0,24.35
2019,NUTS,2010,EL,0,20.731
2020,NUTS,2010,EL,0,15.169
2011,NUTS,2010,EL3,1,11.996
2013,NUTS,2010,EL3,1,13.14
2015,NUTS,2010,EL3,1,14.476
2017,NUTS,2010,EL3,1,13.037
2018,NUTS,2010,EL3,1,16.258
2019,NUTS,2010,EL3,1,15.315
2011,NUTS,2010,EL30,2,11.996
2013,NUTS,2010,EL30,2,13.14
2015,NUTS,2010,EL30,2,14.476
2017,NUTS,2010,EL30,2,13.037
2018,NUTS,2010,EL30,2,16.258
2019,NUTS,2010,EL30,2,15.315
2011,NUTS,2010,EL4,1,0.252
2013,NUTS,2010,EL4,1,1.618
2015,NUTS,2010,EL4,1,1.592
2017,NUTS,2010,EL4,1,1.923
2018,NUTS,2010,EL4,1,1.999
2019,NUTS,2010,EL4,1,2.141
2011,NUTS,2010,EL41,2,0.05
2013,NUTS,2010,EL41,2,0.061
2015,NUTS,2010,EL41,2,0.063
2017,NUTS,2010,EL41,2,0.179
2018,NUTS,2010,EL41,2,0.211
2019,NUTS,2010,EL41,2,0.346
2011,NUTS,2010,EL42,2,0.184
2013,NUTS,2010,EL42,2,0.625
2015,NUTS,2010,EL42,2,0.367
2017,NUTS,2010,EL42,2,0.441
2018,NUTS,2010,EL42,2,0.379
2019,NUTS,2010,EL42,2,0.42
2011,NUTS,2010,EL43,2,0.018
2013,NUTS,2010,EL43,2,0.932
2015,NUTS,2010,EL43,2,1.163
2017,NUTS,2010,EL43,2,1.303
2018,NUTS,2010,EL43,2,1.41
2019,NUTS,2010,EL43,2,1.375
2011,NUTS,2010,EL5,1,1.585
2013,NUTS,2010,EL5,1,3.574
2015,NUTS,2010,EL5,1,3.666
2017,NUTS,2010,EL5,1,1.702
2018,NUTS,2010,EL5,1,2.81
2019,NUTS,2010,EL5,1,2.414
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.051
2015,NUTS,2010,EL51,2,0.052
2017,NUTS,2010,EL51,2,0.105
2018,NUTS,2010,EL51,2,0.105
2019,NUTS,2010,EL51,2,0.042
2011,NUTS,2010,EL52,2,1.24
2013,NUTS,2010,EL52,2,3.021
2015,NUTS,2010,EL52,2,3.163
2017,NUTS,2010,EL52,2,1.093
2018,NUTS,2010,EL52,2,2.199
2019,NUTS,2010,EL52,2,2.005
2011,NUTS,2010,EL53,2,0.237
2013,NUTS,2010,EL53,2,0.195
2015,NUTS,2010,EL53,2,0.136
2017,NUTS,2010,EL53,2,0.263
2018,NUTS,2010,EL53,2,0.284
2019,NUTS,2010,EL53,2,0.158
2011,NUTS,2010,EL54,2,0.108
2013,NUTS,2010,EL54,2,0.307
2015,NUTS,2010,EL54,2,0.314
2017,NUTS,2010,EL54,2,0.242
2018,NUTS,2010,EL54,2,0.221
2019,NUTS,2010,EL54,2,0.21
2011,NUTS,2010,EL6,1,0.212
2013,NUTS,2010,EL6,1,0.358
2015,NUTS,2010,EL6,1,0.283
2017,NUTS,2010,EL6,1,0.567
2018,NUTS,2010,EL6,1,3.283
2019,NUTS,2010,EL6,1,0.861
2011,NUTS,2010,EL61,2,0.054
2013,NUTS,2010,EL61,2,0.061
2015,NUTS,2010,EL61,2,0.052
2017,NUTS,2010,EL61,2,0.126
2018,NUTS,2010,EL61,2,0.137
2019,NUTS,2010,EL61,2,0.105
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
