year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_f_pc_act_fte
2017,NUTS,2010,IT,0,0.1743
2018,NUTS,2010,IT,0,0.1781
2019,NUTS,2010,IT,0,0.1824
2011,NUTS,2010,LT,0,0.1705
2012,NUTS,2010,LT,0,0.1636
2013,NUTS,2010,LT,0,0.1635
2014,NUTS,2010,LT,0,0.1713
2015,NUTS,2010,LT,0,0.1568
2016,NUTS,2010,LT,0,0.177
2017,NUTS,2010,LT,0,0.1753
2018,NUTS,2010,LT,0,0.1827
2019,NUTS,2010,LT,0,0.1681
2011,NUTS,2010,LU,0,0.4797
2012,NUTS,2010,LU,0,0.463
2013,NUTS,2010,LU,0,0.4882
2014,NUTS,2010,LU,0,0.4762
2015,NUTS,2010,LU,0,0.4234
2017,NUTS,2010,LU,0,0.3817
2019,NUTS,2010,LU,0,0.3899
2011,NUTS,2010,LV,0,0.1375
2012,NUTS,2010,LV,0,0.134
2013,NUTS,2010,LV,0,0.1347
2014,NUTS,2010,LV,0,0.138
2015,NUTS,2010,LV,0,0.1441
2016,NUTS,2010,LV,0,0.1352
2017,NUTS,2010,LV,0,0.1193
2018,NUTS,2010,LV,0,0.126
2019,NUTS,2010,LV,0,0.1266
2011,NUTS,2010,ME,0,0.0918
2013,NUTS,2010,ME,0,0.0738
2014,NUTS,2010,ME,0,0.0967
2015,NUTS,2010,ME,0,0.07
2017,NUTS,2010,ME,0,0.0852
2018,NUTS,2010,ME,0,0.0879
2019,NUTS,2010,ME,0,0.1368
2011,NUTS,2010,MK,0,0.0534
2012,NUTS,2010,MK,0,0.1123
2015,NUTS,2010,MK,0,0.0286
2016,NUTS,2010,MK,0,0.0374
2017,NUTS,2010,MK,0,0.0365
2018,NUTS,2010,MK,0,0.0349
2019,NUTS,2010,MK,0,0.0316
2011,NUTS,2010,MT,0,0.019
2012,NUTS,2010,MT,0,0.0112
2013,NUTS,2010,MT,0,0.0086
2014,NUTS,2010,MT,0,0.0077
2015,NUTS,2010,MT,0,0.0086
2016,NUTS,2010,MT,0,0.0085
2017,NUTS,2010,MT,0,0.014
2018,NUTS,2010,MT,0,0.0147
2019,NUTS,2010,MT,0,0.0026
2011,NUTS,2010,NL,0,0.0937
2012,NUTS,2010,NL,0,0.1354
2015,NUTS,2010,PL,0,0.1319
2016,NUTS,2010,PL,0,0.03
2017,NUTS,2010,PL,0,0.0329
2018,NUTS,2010,PL,0,0.031
2019,NUTS,2010,PL,0,0.0265
2011,NUTS,2010,PT,0,0.0826
2012,NUTS,2010,PT,0,0.0553
2013,NUTS,2010,PT,0,0.048
2014,NUTS,2010,PT,0,0.0501
2015,NUTS,2010,PT,0,0.0512
2016,NUTS,2010,PT,0,0.0528
2017,NUTS,2010,PT,0,0.0553
2018,NUTS,2010,PT,0,0.0559
2019,NUTS,2010,PT,0,0.0559
2020,NUTS,2010,PT,0,0.064
2011,NUTS,2010,RO,0,0.1536
2012,NUTS,2010,RO,0,0.1674
2013,NUTS,2010,RO,0,0.1838
2014,NUTS,2010,RO,0,0.1751
2015,NUTS,2010,RO,0,0.1788
2016,NUTS,2010,RO,0,0.187
2017,NUTS,2010,RO,0,0.1796
2018,NUTS,2010,RO,0,0.1707
2019,NUTS,2010,RO,0,0.1784
2011,NUTS,2010,RS,0,0.2261
2012,NUTS,2010,RS,0,0.2298
2013,NUTS,2010,RS,0,0.2272
2014,NUTS,2010,RS,0,0.2019
2015,NUTS,2010,RS,0,0.2218
2016,NUTS,2010,RS,0,0.2116
2017,NUTS,2010,RS,0,0.2104
2018,NUTS,2010,RS,0,0.2195
2019,NUTS,2010,RS,0,0.2228
2020,NUTS,2010,RS,0,0.2323
2011,NUTS,2010,SE,0,0.0597
2013,NUTS,2010,SE,0,0.0649
2015,NUTS,2010,SE,0,0.0834
2017,NUTS,2010,SE,0,0.104
2019,NUTS,2010,SE,0,0.1005
2011,NUTS,2010,SI,0,0.2905
2012,NUTS,2010,SI,0,0.2834
2013,NUTS,2010,SI,0,0.2916
2014,NUTS,2010,SI,0,0.2823
2015,NUTS,2010,SI,0,0.2788
2016,NUTS,2010,SI,0,0.2798
2017,NUTS,2010,SI,0,0.2489
2018,NUTS,2010,SI,0,0.2724
2019,NUTS,2010,SI,0,0.2994
2011,NUTS,2010,SK,0,0.1704
2012,NUTS,2010,SK,0,0.1732
2013,NUTS,2010,SK,0,0.1448
2014,NUTS,2010,SK,0,0.1717
2015,NUTS,2010,SK,0,0.1815
2016,NUTS,2010,SK,0,0.1821
2017,NUTS,2010,SK,0,0.1722
2018,NUTS,2010,SK,0,0.1687
2019,NUTS,2010,SK,0,0.1702
2020,NUTS,2010,SK,0,0.1737
2011,NUTS,2010,TR,0,0.0385
2012,NUTS,2010,TR,0,0.0389
2013,NUTS,2010,TR,0,0.0363
2014,NUTS,2010,TR,0,0.0368
2015,NUTS,2010,TR,0,0.0353
2016,NUTS,2010,TR,0,0.0336
2017,NUTS,2010,TR,0,0.0327
2018,NUTS,2010,TR,0,0.0313
2019,NUTS,2010,TR,0,0.0242
2020,NUTS,2010,TR,0,0.0297
2011,NUTS,2010,UK,0,0.041
2012,NUTS,2010,UK,0,0.0406
2013,NUTS,2010,UK,0,0.0386
2014,NUTS,2010,UK,0,0.0378
2015,NUTS,2010,UK,0,0.038
2016,NUTS,2010,UK,0,0.0376
2017,NUTS,2010,UK,0,0.0373
2018,NUTS,2010,UK,0,0.0372
