year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2013,NUTS,2010,BG42,2,1423.0
2014,NUTS,2010,BG42,2,1507.0
2015,NUTS,2010,BG42,2,1636.0
2016,NUTS,2010,BG42,2,1765.0
2017,NUTS,2010,BG42,2,2107.0
2018,NUTS,2010,BG42,2,2515.0
2019,NUTS,2010,BG42,2,2977.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,60279.0
2015,NUTS,2010,CH,0,70834.0
2017,NUTS,2010,CH,0,71657.0
2019,NUTS,2010,CH,0,77492.0
2011,NUTS,2010,CN_X_HK,5,1905899.0
2012,NUTS,2010,CN_X_HK,5,2069650.0
2011,NUTS,2010,CY,0,1942.0
2012,NUTS,2010,CY,0,1924.0
2013,NUTS,2010,CY,0,2228.0
2014,NUTS,2010,CY,0,2164.0
2015,NUTS,2010,CY,0,2119.0
2016,NUTS,2010,CY,0,2178.0
2017,NUTS,2010,CY,0,2357.0
2018,NUTS,2010,CY,0,2652.0
2019,NUTS,2010,CY,0,2890.0
2011,NUTS,2010,CZ,0,45902.0
2012,NUTS,2010,CZ,0,47651.0
2013,NUTS,2010,CZ,0,51455.0
2014,NUTS,2010,CZ,0,54493.0
2015,NUTS,2010,CZ,0,56605.0
2016,NUTS,2010,CZ,0,56178.0
2017,NUTS,2010,CZ,0,59789.0
2018,NUTS,2010,CZ,0,61966.0
2019,NUTS,2010,CZ,0,63690.0
2020,NUTS,2010,CZ,0,65193.0
2011,NUTS,2010,CZ0,1,45902.0
2012,NUTS,2010,CZ0,1,47651.0
2013,NUTS,2010,CZ0,1,51455.0
2014,NUTS,2010,CZ0,1,54493.0
2015,NUTS,2010,CZ0,1,56605.0
2016,NUTS,2010,CZ0,1,56178.0
2017,NUTS,2010,CZ0,1,59789.0
2018,NUTS,2010,CZ0,1,61966.0
2019,NUTS,2010,CZ0,1,63690.0
2020,NUTS,2010,CZ0,1,65193.0
2011,NUTS,2010,CZ01,2,18593.0
2012,NUTS,2010,CZ01,2,18789.0
2013,NUTS,2010,CZ01,2,20120.0
2014,NUTS,2010,CZ01,2,20688.0
2015,NUTS,2010,CZ01,2,20407.0
2016,NUTS,2010,CZ01,2,20611.0
2017,NUTS,2010,CZ01,2,23042.0
2018,NUTS,2010,CZ01,2,24599.0
2019,NUTS,2010,CZ01,2,24069.0
2020,NUTS,2010,CZ01,2,24685.0
2011,NUTS,2010,CZ02,2,3506.0
2012,NUTS,2010,CZ02,2,3424.0
2013,NUTS,2010,CZ02,2,3475.0
2014,NUTS,2010,CZ02,2,3555.0
2015,NUTS,2010,CZ02,2,4057.0
2016,NUTS,2010,CZ02,2,3732.0
2017,NUTS,2010,CZ02,2,3928.0
