year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_total_pnp_f
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,0.0216
2017,NUTS,2010,AT32,2,0.0292
2019,NUTS,2010,AT32,2,0.0271
2002,NUTS,2010,AT33,2,0.0348
2004,NUTS,2010,AT33,2,0.0352
2006,NUTS,2010,AT33,2,0.0051
2013,NUTS,2010,AT33,2,0.0017
2019,NUTS,2010,AT33,2,0.0027
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,BE,0,0.0169
2003,NUTS,2010,BE,0,0.0172
2004,NUTS,2010,BE,0,0.0159
2005,NUTS,2010,BE,0,0.0146
2006,NUTS,2010,BE,0,0.015
2007,NUTS,2010,BE,0,0.0148
2008,NUTS,2010,BE,0,0.0144
2009,NUTS,2010,BE,0,0.0143
2010,NUTS,2010,BE,0,0.0147
2011,NUTS,2010,BE,0,0.014
2012,NUTS,2010,BE,0,0.0085
2013,NUTS,2010,BE,0,0.0084
2014,NUTS,2010,BE,0,0.0072
2015,NUTS,2010,BE,0,0.01
2016,NUTS,2010,BE,0,0.0143
2017,NUTS,2010,BE,0,0.0156
2018,NUTS,2010,BE,0,0.0574
2019,NUTS,2010,BE,0,0.0588
2002,NUTS,2010,BE1,1,0.0792
2003,NUTS,2010,BE1,1,0.0832
2004,NUTS,2010,BE1,1,0.0679
2005,NUTS,2010,BE1,1,0.0598
2006,NUTS,2010,BE1,1,0.065
2007,NUTS,2010,BE1,1,0.0648
2008,NUTS,2010,BE1,1,0.0643
2009,NUTS,2010,BE1,1,0.065
2010,NUTS,2010,BE1,1,0.0658
2011,NUTS,2010,BE1,1,0.0611
2012,NUTS,2010,BE1,1,0.0637
2013,NUTS,2010,BE1,1,0.0623
2014,NUTS,2010,BE1,1,0.0497
2015,NUTS,2010,BE1,1,0.0647
2016,NUTS,2010,BE1,1,0.0659
2017,NUTS,2010,BE1,1,0.0798
2018,NUTS,2010,BE1,1,0.4859
2019,NUTS,2010,BE1,1,0.4881
2002,NUTS,2010,BE10,2,0.0792
2003,NUTS,2010,BE10,2,0.0832
2004,NUTS,2010,BE10,2,0.0679
2005,NUTS,2010,BE10,2,0.0598
2006,NUTS,2010,BE10,2,0.065
2007,NUTS,2010,BE10,2,0.0648
2008,NUTS,2010,BE10,2,0.0643
2009,NUTS,2010,BE10,2,0.065
2010,NUTS,2010,BE10,2,0.0658
2011,NUTS,2010,BE10,2,0.0611
2012,NUTS,2010,BE10,2,0.0637
2013,NUTS,2010,BE10,2,0.0623
2014,NUTS,2010,BE10,2,0.0497
2015,NUTS,2010,BE10,2,0.0647
2016,NUTS,2010,BE10,2,0.0659
2017,NUTS,2010,BE10,2,0.0798
2018,NUTS,2010,BE10,2,0.4859
2019,NUTS,2010,BE10,2,0.4881
2002,NUTS,2010,BE2,1,0.0158
2003,NUTS,2010,BE2,1,0.0155
2004,NUTS,2010,BE2,1,0.0158
2005,NUTS,2010,BE2,1,0.0147
2006,NUTS,2010,BE2,1,0.0146
2007,NUTS,2010,BE2,1,0.0142
2008,NUTS,2010,BE2,1,0.0136
2009,NUTS,2010,BE2,1,0.0131
2010,NUTS,2010,BE2,1,0.0134
2011,NUTS,2010,BE2,1,0.0131
2012,NUTS,2010,BE2,1,0.0033
2013,NUTS,2010,BE2,1,0.0035
2014,NUTS,2010,BE2,1,0.0033
2015,NUTS,2010,BE2,1,0.0054
2016,NUTS,2010,BE2,1,0.0115
2017,NUTS,2010,BE2,1,0.0114
2018,NUTS,2010,BE2,1,0.0111
2019,NUTS,2010,BE2,1,0.0133
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0003
2015,NUTS,2010,BE3,1,0.0003
2016,NUTS,2010,BE3,1,0.0014
2017,NUTS,2010,BE3,1,0.0014
2018,NUTS,2010,BE3,1,0.0014
2019,NUTS,2010,BE3,1,0.0014
2000,NUTS,2010,BG,0,0.0015
2001,NUTS,2010,BG,0,0.0035
2002,NUTS,2010,BG,0,0.001
2003,NUTS,2010,BG,0,0.0028
2004,NUTS,2010,BG,0,0.0022
2005,NUTS,2010,BG,0,0.0095
2006,NUTS,2010,BG,0,0.0041
2007,NUTS,2010,BG,0,0.0063
2008,NUTS,2010,BG,0,0.0037
2009,NUTS,2010,BG,0,0.0027
2010,NUTS,2010,BG,0,0.0037
2011,NUTS,2010,BG,0,0.0045
2012,NUTS,2010,BG,0,0.0056
2013,NUTS,2010,BG,0,0.0057
2014,NUTS,2010,BG,0,0.0055
2015,NUTS,2010,BG,0,0.006
2016,NUTS,2010,BG,0,0.0023
2017,NUTS,2010,BG,0,0.007
2018,NUTS,2010,BG,0,0.0061
2019,NUTS,2010,BG,0,0.0067
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,0.0005
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2010,NUTS,2010,BG3,1,0.0
2011,NUTS,2010,BG3,1,0.0007
2013,NUTS,2010,BG3,1,0.0016
2014,NUTS,2010,BG3,1,0.001
2015,NUTS,2010,BG3,1,0.0008
2016,NUTS,2010,BG3,1,0.0007
2017,NUTS,2010,BG3,1,0.0014
2018,NUTS,2010,BG3,1,0.0013
2019,NUTS,2010,BG3,1,0.0012
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,0.0024
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2009,NUTS,2010,BG33,2,0.0
2010,NUTS,2010,BG33,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG33,2,0.0059
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,0.0054
2004,NUTS,2010,BG4,1,0.0038
2005,NUTS,2010,BG4,1,0.0186
2006,NUTS,2010,BG4,1,0.0081
2007,NUTS,2010,BG4,1,0.0121
2010,NUTS,2010,BG4,1,0.007
2011,NUTS,2010,BG4,1,0.0079
2013,NUTS,2010,BG4,1,0.0091
2014,NUTS,2010,BG4,1,0.0092
2015,NUTS,2010,BG4,1,0.0103
2016,NUTS,2010,BG4,1,0.0036
2017,NUTS,2010,BG4,1,0.0116
2018,NUTS,2010,BG4,1,0.0099
2019,NUTS,2010,BG4,1,0.0111
2000,NUTS,2010,BG41,2,0.005
2003,NUTS,2010,BG41,2,0.009
2005,NUTS,2010,BG41,2,0.0253
2008,NUTS,2010,BG41,2,0.0113
2009,NUTS,2010,BG41,2,0.0065
2012,NUTS,2010,BG41,2,0.0159
2014,NUTS,2010,BG41,2,0.0148
2016,NUTS,2010,BG41,2,0.0035
2017,NUTS,2010,BG41,2,0.0146
2018,NUTS,2010,BG41,2,0.0112
2019,NUTS,2010,BG41,2,0.0136
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,0.0082
2014,NUTS,2010,BG42,2,0.0
2016,NUTS,2010,BG42,2,0.0038
2017,NUTS,2010,BG42,2,0.0065
2018,NUTS,2010,BG42,2,0.0076
2019,NUTS,2010,BG42,2,0.0068
1998,NUTS,2010,CY,0,0.0554
1999,NUTS,2010,CY,0,0.065
2000,NUTS,2010,CY,0,0.0656
2001,NUTS,2010,CY,0,0.0698
2002,NUTS,2010,CY,0,0.0722
2003,NUTS,2010,CY,0,0.0767
2004,NUTS,2010,CY,0,0.0721
2005,NUTS,2010,CY,0,0.073
2006,NUTS,2010,CY,0,0.0762
2007,NUTS,2010,CY,0,0.0776
2008,NUTS,2010,CY,0,0.0727
2009,NUTS,2010,CY,0,0.0811
2010,NUTS,2010,CY,0,0.0566
2011,NUTS,2010,CY,0,0.0559
2012,NUTS,2010,CY,0,0.0564
2013,NUTS,2010,CY,0,0.0529
2014,NUTS,2010,CY,0,0.0696
2015,NUTS,2010,CY,0,0.0698
2016,NUTS,2010,CY,0,0.0719
2017,NUTS,2010,CY,0,0.0757
2018,NUTS,2010,CY,0,0.0783
2019,NUTS,2010,CY,0,0.1019
1999,NUTS,2010,CZ,0,0.0026
2000,NUTS,2010,CZ,0,0.0086
2001,NUTS,2010,CZ,0,0.0039
2002,NUTS,2010,CZ,0,0.0036
2003,NUTS,2010,CZ,0,0.0048
2004,NUTS,2010,CZ,0,0.0043
2005,NUTS,2010,CZ,0,0.0048
2006,NUTS,2010,CZ,0,0.004
2007,NUTS,2010,CZ,0,0.0041
2008,NUTS,2010,CZ,0,0.005
2009,NUTS,2010,CZ,0,0.0059
2010,NUTS,2010,CZ,0,0.0074
2011,NUTS,2010,CZ,0,0.0076
2012,NUTS,2010,CZ,0,0.006
2013,NUTS,2010,CZ,0,0.0053
2014,NUTS,2010,CZ,0,0.0062
2015,NUTS,2010,CZ,0,0.0059
2016,NUTS,2010,CZ,0,0.0055
2017,NUTS,2010,CZ,0,0.0062
2018,NUTS,2010,CZ,0,0.0051
2019,NUTS,2010,CZ,0,0.0076
2020,NUTS,2010,CZ,0,0.0082
1999,NUTS,2010,CZ0,1,0.0026
2000,NUTS,2010,CZ0,1,0.0085
2001,NUTS,2010,CZ0,1,0.0038
2002,NUTS,2010,CZ0,1,0.0036
2003,NUTS,2010,CZ0,1,0.0048
2004,NUTS,2010,CZ0,1,0.0043
2005,NUTS,2010,CZ0,1,0.0048
2006,NUTS,2010,CZ0,1,0.0039
2007,NUTS,2010,CZ0,1,0.004
2008,NUTS,2010,CZ0,1,0.005
2009,NUTS,2010,CZ0,1,0.0059
2010,NUTS,2010,CZ0,1,0.0073
2011,NUTS,2010,CZ0,1,0.0075
2012,NUTS,2010,CZ0,1,0.0059
2013,NUTS,2010,CZ0,1,0.0052
2014,NUTS,2010,CZ0,1,0.0061
2015,NUTS,2010,CZ0,1,0.0058
2016,NUTS,2010,CZ0,1,0.0054
2017,NUTS,2010,CZ0,1,0.006
2018,NUTS,2010,CZ0,1,0.0049
2019,NUTS,2010,CZ0,1,0.0074
2020,NUTS,2010,CZ0,1,0.008
2001,NUTS,2010,CZ01,2,0.0167
2002,NUTS,2010,CZ01,2,0.0143
2003,NUTS,2010,CZ01,2,0.0209
2004,NUTS,2010,CZ01,2,0.0234
2005,NUTS,2010,CZ01,2,0.031
2006,NUTS,2010,CZ01,2,0.0221
2007,NUTS,2010,CZ01,2,0.0235
2008,NUTS,2010,CZ01,2,0.03
2009,NUTS,2010,CZ01,2,0.0279
2010,NUTS,2010,CZ01,2,0.0336
2011,NUTS,2010,CZ01,2,0.0374
2012,NUTS,2010,CZ01,2,0.0291
2013,NUTS,2010,CZ01,2,0.0266
2014,NUTS,2010,CZ01,2,0.0284
2015,NUTS,2010,CZ01,2,0.0236
2016,NUTS,2010,CZ01,2,0.0271
2017,NUTS,2010,CZ01,2,0.025
2018,NUTS,2010,CZ01,2,0.0209
2019,NUTS,2010,CZ01,2,0.0285
2020,NUTS,2010,CZ01,2,0.0334
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0016
2003,NUTS,2010,CZ02,2,0.0012
2004,NUTS,2010,CZ02,2,0.0004
2005,NUTS,2010,CZ02,2,0.0004
2006,NUTS,2010,CZ02,2,0.0004
2007,NUTS,2010,CZ02,2,0.0008
2008,NUTS,2010,CZ02,2,0.0004
2009,NUTS,2010,CZ02,2,0.0004
2010,NUTS,2010,CZ02,2,0.0
2011,NUTS,2010,CZ02,2,0.0007
2012,NUTS,2010,CZ02,2,0.0007
2013,NUTS,2010,CZ02,2,0.0028
2014,NUTS,2010,CZ02,2,0.0038
2015,NUTS,2010,CZ02,2,0.0034
2016,NUTS,2010,CZ02,2,0.0003
2017,NUTS,2010,CZ02,2,0.0
2018,NUTS,2010,CZ02,2,0.0003
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0016
2001,NUTS,2010,CZ03,2,0.0089
2002,NUTS,2010,CZ03,2,0.0027
2003,NUTS,2010,CZ03,2,0.0054
2004,NUTS,2010,CZ03,2,0.0046
2005,NUTS,2010,CZ03,2,0.0043
2006,NUTS,2010,CZ03,2,0.0044
2007,NUTS,2010,CZ03,2,0.0016
2008,NUTS,2010,CZ03,2,0.0019
2009,NUTS,2010,CZ03,2,0.0091
2010,NUTS,2010,CZ03,2,0.0113
2011,NUTS,2010,CZ03,2,0.0061
2012,NUTS,2010,CZ03,2,0.0078
2013,NUTS,2010,CZ03,2,0.0064
2014,NUTS,2010,CZ03,2,0.0067
2015,NUTS,2010,CZ03,2,0.0119
2016,NUTS,2010,CZ03,2,0.0111
2017,NUTS,2010,CZ03,2,0.0124
2018,NUTS,2010,CZ03,2,0.0121
2019,NUTS,2010,CZ03,2,0.0115
2020,NUTS,2010,CZ03,2,0.0129
2001,NUTS,2010,CZ04,2,0.0008
2002,NUTS,2010,CZ04,2,0.0016
2003,NUTS,2010,CZ04,2,0.0016
2004,NUTS,2010,CZ04,2,0.0004
2005,NUTS,2010,CZ04,2,0.0
2006,NUTS,2010,CZ04,2,0.0
2007,NUTS,2010,CZ04,2,0.0
2008,NUTS,2010,CZ04,2,0.0
2009,NUTS,2010,CZ04,2,0.0
2010,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0012
2019,NUTS,2010,CZ04,2,0.0012
2020,NUTS,2010,CZ04,2,0.0013
2001,NUTS,2010,CZ05,2,0.0003
2002,NUTS,2010,CZ05,2,0.0006
2003,NUTS,2010,CZ05,2,0.0015
2004,NUTS,2010,CZ05,2,0.0003
2005,NUTS,2010,CZ05,2,0.0003
2006,NUTS,2010,CZ05,2,0.0
2007,NUTS,2010,CZ05,2,0.0003
2008,NUTS,2010,CZ05,2,0.0
2009,NUTS,2010,CZ05,2,0.0012
2010,NUTS,2010,CZ05,2,0.0
2011,NUTS,2010,CZ05,2,0.0006
2012,NUTS,2010,CZ05,2,0.0007
2013,NUTS,2010,CZ05,2,0.0006
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,0.0051
2019,NUTS,2010,CZ05,2,0.003
2020,NUTS,2010,CZ05,2,0.0043
2001,NUTS,2010,CZ06,2,0.0008
2002,NUTS,2010,CZ06,2,0.0023
2003,NUTS,2010,CZ06,2,0.0023
2004,NUTS,2010,CZ06,2,0.003
2005,NUTS,2010,CZ06,2,0.0008
2006,NUTS,2010,CZ06,2,0.0006
2007,NUTS,2010,CZ06,2,0.0014
2008,NUTS,2010,CZ06,2,0.0031
2009,NUTS,2010,CZ06,2,0.0034
2010,NUTS,2010,CZ06,2,0.0063
2011,NUTS,2010,CZ06,2,0.0079
2012,NUTS,2010,CZ06,2,0.004
2013,NUTS,2010,CZ06,2,0.0032
2014,NUTS,2010,CZ06,2,0.0046
2015,NUTS,2010,CZ06,2,0.0037
2016,NUTS,2010,CZ06,2,0.0005
2017,NUTS,2010,CZ06,2,0.0016
2018,NUTS,2010,CZ06,2,0.0021
2019,NUTS,2010,CZ06,2,0.0034
2020,NUTS,2010,CZ06,2,0.0024
2001,NUTS,2010,CZ07,2,0.0004
2002,NUTS,2010,CZ07,2,0.0004
2003,NUTS,2010,CZ07,2,0.0007
2004,NUTS,2010,CZ07,2,0.0004
2005,NUTS,2010,CZ07,2,0.0008
2006,NUTS,2010,CZ07,2,0.0022
2007,NUTS,2010,CZ07,2,0.003
2008,NUTS,2010,CZ07,2,0.0025
2009,NUTS,2010,CZ07,2,0.003
2010,NUTS,2010,CZ07,2,0.005
2011,NUTS,2010,CZ07,2,0.005
2012,NUTS,2010,CZ07,2,0.0034
2013,NUTS,2010,CZ07,2,0.0011
2014,NUTS,2010,CZ07,2,0.0011
2015,NUTS,2010,CZ07,2,0.0008
2016,NUTS,2010,CZ07,2,0.0008
2017,NUTS,2010,CZ07,2,0.0007
2018,NUTS,2010,CZ07,2,0.0
2019,NUTS,2010,CZ07,2,0.0027
2020,NUTS,2010,CZ07,2,0.0027
2001,NUTS,2010,CZ08,2,0.0026
2002,NUTS,2010,CZ08,2,0.0048
2003,NUTS,2010,CZ08,2,0.0036
2004,NUTS,2010,CZ08,2,0.0011
2005,NUTS,2010,CZ08,2,0.0004
2006,NUTS,2010,CZ08,2,0.0015
2007,NUTS,2010,CZ08,2,0.0004
2008,NUTS,2010,CZ08,2,0.0004
2009,NUTS,2010,CZ08,2,0.0004
2010,NUTS,2010,CZ08,2,0.0004
2011,NUTS,2010,CZ08,2,0.0004
2012,NUTS,2010,CZ08,2,0.0006
2013,NUTS,2010,CZ08,2,0.0004
2014,NUTS,2010,CZ08,2,0.0034
2015,NUTS,2010,CZ08,2,0.0022
2016,NUTS,2010,CZ08,2,0.0033
2017,NUTS,2010,CZ08,2,0.0018
2018,NUTS,2010,CZ08,2,0.0022
2019,NUTS,2010,CZ08,2,0.0077
2020,NUTS,2010,CZ08,2,0.003
1999,NUTS,2010,DK,0,0.0219
2000,NUTS,2010,DK,0,0.017
2001,NUTS,2010,DK,0,0.015
2002,NUTS,2010,DK,0,0.0125
2003,NUTS,2010,DK,0,0.0128
2004,NUTS,2010,DK,0,0.0142
2005,NUTS,2010,DK,0,0.0209
2006,NUTS,2010,DK,0,0.0207
2007,NUTS,2010,DK,0,0.0227
2009,NUTS,2010,DK,0,0.0159
2010,NUTS,2010,DK,0,0.0211
2011,NUTS,2010,DK,0,0.0186
2012,NUTS,2010,DK,0,0.0218
2013,NUTS,2010,DK,0,0.0199
2014,NUTS,2010,DK,0,0.0205
2015,NUTS,2010,DK,0,0.0218
2016,NUTS,2010,DK,0,0.0214
2017,NUTS,2010,DK,0,0.0166
2018,NUTS,2010,DK,0,0.0141
2019,NUTS,2010,DK,0,0.0166
1999,NUTS,2010,DK0,1,0.0219
2000,NUTS,2010,DK0,1,0.0169
2001,NUTS,2010,DK0,1,0.0151
2002,NUTS,2010,DK0,1,0.0123
2003,NUTS,2010,DK0,1,0.0127
2007,NUTS,2010,DK0,1,0.0225
2009,NUTS,2010,DK0,1,0.0156
2010,NUTS,2010,DK0,1,0.0208
2011,NUTS,2010,DK0,1,0.0183
2012,NUTS,2010,DK0,1,0.0213
2013,NUTS,2010,DK0,1,0.0195
2014,NUTS,2010,DK0,1,0.0201
2015,NUTS,2010,DK0,1,0.0214
2016,NUTS,2010,DK0,1,0.0209
2017,NUTS,2010,DK0,1,0.0162
2018,NUTS,2010,DK0,1,0.0138
2019,NUTS,2010,DK0,1,0.0162
2007,NUTS,2010,DK01,2,0.0539
2009,NUTS,2010,DK01,2,0.0525
2010,NUTS,2010,DK01,2,0.061
2011,NUTS,2010,DK01,2,0.0523
2012,NUTS,2010,DK01,2,0.0591
2013,NUTS,2010,DK01,2,0.0563
2014,NUTS,2010,DK01,2,0.0574
2015,NUTS,2010,DK01,2,0.0588
2016,NUTS,2010,DK01,2,0.055
2017,NUTS,2010,DK01,2,0.0435
2019,NUTS,2010,DK01,2,0.0453
2007,NUTS,2010,DK02,2,0.0005
2009,NUTS,2010,DK02,2,0.0
2010,NUTS,2010,DK02,2,0.0084
2011,NUTS,2010,DK02,2,0.0058
2012,NUTS,2010,DK02,2,0.0059
2013,NUTS,2010,DK02,2,0.0
2014,NUTS,2010,DK02,2,0.0
2015,NUTS,2010,DK02,2,0.0044
2016,NUTS,2010,DK02,2,0.0058
2017,NUTS,2010,DK02,2,0.0047
2019,NUTS,2010,DK02,2,0.0047
2007,NUTS,2010,DK03,2,0.0
2009,NUTS,2010,DK03,2,0.0
2010,NUTS,2010,DK03,2,0.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.0025
2013,NUTS,2010,DK03,2,0.0026
2014,NUTS,2010,DK03,2,0.0026
2015,NUTS,2010,DK03,2,0.0033
2016,NUTS,2010,DK03,2,0.004
2017,NUTS,2010,DK03,2,0.0022
2007,NUTS,2010,DK04,2,0.0231
2009,NUTS,2010,DK04,2,0.0
2010,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2010,NUTS,2010,DK05,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0045
2001,NUTS,2010,EA19,2,0.0142
2002,NUTS,2010,EA19,2,0.0178
2003,NUTS,2010,EA19,2,0.0169
2004,NUTS,2010,EA19,2,0.0173
2005,NUTS,2010,EA19,2,0.0185
2006,NUTS,2010,EA19,2,0.021
2007,NUTS,2010,EA19,2,0.0215
2008,NUTS,2010,EA19,2,0.0217
2009,NUTS,2010,EA19,2,0.0216
2010,NUTS,2010,EA19,2,0.0198
2011,NUTS,2010,EA19,2,0.0202
2012,NUTS,2010,EA19,2,0.0199
2013,NUTS,2010,EA19,2,0.0161
2014,NUTS,2010,EA19,2,0.0172
2016,NUTS,2010,EA19,2,0.0182
2017,NUTS,2010,EA19,2,0.0179
1997,NUTS,2010,EE,0,0.0031
1998,NUTS,2010,EE,0,0.0032
1999,NUTS,2010,EE,0,0.0038
2000,NUTS,2010,EE,0,0.0124
2001,NUTS,2010,EE,0,0.0144
2002,NUTS,2010,EE,0,0.0173
2003,NUTS,2010,EE,0,0.0236
2004,NUTS,2010,EE,0,0.0323
2005,NUTS,2010,EE,0,0.0215
2006,NUTS,2010,EE,0,0.0311
2007,NUTS,2010,EE,0,0.0346
2008,NUTS,2010,EE,0,0.0255
2009,NUTS,2010,EE,0,0.03
2010,NUTS,2010,EE,0,0.0235
2011,NUTS,2010,EE,0,0.0243
2012,NUTS,2010,EE,0,0.029
2013,NUTS,2010,EE,0,0.0246
2014,NUTS,2010,EE,0,0.0242
2015,NUTS,2010,EE,0,0.0225
2016,NUTS,2010,EE,0,0.027
2017,NUTS,2010,EE,0,0.0237
2018,NUTS,2010,EE,0,0.0279
2019,NUTS,2010,EE,0,0.026
1999,NUTS,2010,EL,0,0.0048
2001,NUTS,2010,EL,0,0.0054
2003,NUTS,2010,EL,0,0.0063
2005,NUTS,2010,EL,0,0.0056
2011,NUTS,2010,EL,0,0.0155
