year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_pc_act_hc_total
2004,NUTS,2010,AT3,1,1.448
2006,NUTS,2010,AT3,1,1.6155
2007,NUTS,2010,AT3,1,1.6765
2009,NUTS,2010,AT3,1,1.8153
2011,NUTS,2010,AT3,1,2.052
2013,NUTS,2010,AT3,1,2.2291
2015,NUTS,2010,AT3,1,2.4081
2017,NUTS,2010,AT3,1,2.5198
2019,NUTS,2010,AT3,1,2.6777
2002,NUTS,2010,AT31,2,1.1537
2004,NUTS,2010,AT31,2,1.3684
2006,NUTS,2010,AT31,2,1.629
2007,NUTS,2010,AT31,2,1.6833
2009,NUTS,2010,AT31,2,1.8048
2011,NUTS,2010,AT31,2,2.0869
2013,NUTS,2010,AT31,2,2.3177
2015,NUTS,2010,AT31,2,2.5464
2017,NUTS,2010,AT31,2,2.5965
2019,NUTS,2010,AT31,2,2.8145
2002,NUTS,2010,AT32,2,1.0128
2004,NUTS,2010,AT32,2,1.1943
2006,NUTS,2010,AT32,2,1.3069
2007,NUTS,2010,AT32,2,1.3233
2009,NUTS,2010,AT32,2,1.5413
2011,NUTS,2010,AT32,2,1.7615
2013,NUTS,2010,AT32,2,1.9349
2015,NUTS,2010,AT32,2,2.1316
2017,NUTS,2010,AT32,2,2.3167
2019,NUTS,2010,AT32,2,2.4886
2002,NUTS,2010,AT33,2,1.6909
2004,NUTS,2010,AT33,2,2.008
2006,NUTS,2010,AT33,2,2.0811
2007,NUTS,2010,AT33,2,2.2005
2009,NUTS,2010,AT33,2,2.2716
2011,NUTS,2010,AT33,2,2.5566
2013,NUTS,2010,AT33,2,2.6571
2015,NUTS,2010,AT33,2,2.7149
2017,NUTS,2010,AT33,2,2.8619
2019,NUTS,2010,AT33,2,3.0307
2002,NUTS,2010,AT34,2,0.9681
2004,NUTS,2010,AT34,2,1.0701
2006,NUTS,2010,AT34,2,1.1245
2007,NUTS,2010,AT34,2,1.1564
2009,NUTS,2010,AT34,2,1.3734
2011,NUTS,2010,AT34,2,1.3717
2013,NUTS,2010,AT34,2,1.4735
2015,NUTS,2010,AT34,2,1.682
2017,NUTS,2010,AT34,2,1.8685
2019,NUTS,2010,AT34,2,1.7648
2002,NUTS,2010,BE,0,1.6717
2003,NUTS,2010,BE,0,1.67
2004,NUTS,2010,BE,0,1.6991
2005,NUTS,2010,BE,0,1.7108
2006,NUTS,2010,BE,0,1.7448
2007,NUTS,2010,BE,0,1.7771
2008,NUTS,2010,BE,0,1.8274
2009,NUTS,2010,BE,0,1.8602
2010,NUTS,2010,BE,0,1.8272
2011,NUTS,2010,BE,0,1.959
2013,NUTS,2010,BE,0,2.0465
2015,NUTS,2010,BE,0,2.3042
2017,NUTS,2010,BE,0,2.6093
2019,NUTS,2010,BE,0,2.9331
2002,NUTS,2010,BE1,1,3.2075
2003,NUTS,2010,BE1,1,3.0921
2004,NUTS,2010,BE1,1,3.1172
2005,NUTS,2010,BE1,1,3.0357
2006,NUTS,2010,BE1,1,3.2517
2007,NUTS,2010,BE1,1,3.273
2008,NUTS,2010,BE1,1,3.2676
2009,NUTS,2010,BE1,1,3.2916
2010,NUTS,2010,BE1,1,2.998
2011,NUTS,2010,BE1,1,3.0754
2013,NUTS,2010,BE1,1,3.4135
2015,NUTS,2010,BE1,1,3.6837
2017,NUTS,2010,BE1,1,4.0928
2019,NUTS,2010,BE1,1,5.0971
2002,NUTS,2010,BE10,2,3.2075
2003,NUTS,2010,BE10,2,3.0921
2004,NUTS,2010,BE10,2,3.1172
2005,NUTS,2010,BE10,2,3.0357
2006,NUTS,2010,BE10,2,3.2517
2007,NUTS,2010,BE10,2,3.273
2008,NUTS,2010,BE10,2,3.2676
2009,NUTS,2010,BE10,2,3.2916
2010,NUTS,2010,BE10,2,2.998
2011,NUTS,2010,BE10,2,3.0754
2013,NUTS,2010,BE10,2,3.4135
2015,NUTS,2010,BE10,2,3.6837
2017,NUTS,2010,BE10,2,4.0928
2019,NUTS,2010,BE10,2,5.0971
2002,NUTS,2010,BE2,1,1.6099
2003,NUTS,2010,BE2,1,1.6167
2004,NUTS,2010,BE2,1,1.7023
2005,NUTS,2010,BE2,1,1.6952
2006,NUTS,2010,BE2,1,1.7101
2007,NUTS,2010,BE2,1,1.7336
2008,NUTS,2010,BE2,1,1.8046
2009,NUTS,2010,BE2,1,1.8346
2010,NUTS,2010,BE2,1,1.8454
2011,NUTS,2010,BE2,1,1.9494
2013,NUTS,2010,BE2,1,2.0919
2015,NUTS,2010,BE2,1,2.3824
2017,NUTS,2010,BE2,1,2.6523
2019,NUTS,2010,BE2,1,3.0371
2006,NUTS,2010,BE21,2,1.8442
2007,NUTS,2010,BE21,2,1.8286
2008,NUTS,2010,BE21,2,1.7867
2009,NUTS,2010,BE21,2,1.8355
2010,NUTS,2010,BE21,2,1.8379
2011,NUTS,2010,BE21,2,1.9843
2013,NUTS,2010,BE21,2,1.9061
2015,NUTS,2010,BE21,2,2.2302
2006,NUTS,2010,BE22,2,0.7705
2007,NUTS,2010,BE22,2,0.8097
2008,NUTS,2010,BE22,2,0.8331
2009,NUTS,2010,BE22,2,0.8682
2010,NUTS,2010,BE22,2,0.8432
2011,NUTS,2010,BE22,2,0.8946
2013,NUTS,2010,BE22,2,1.0644
2015,NUTS,2010,BE22,2,1.3867
2006,NUTS,2010,BE23,2,1.8124
2007,NUTS,2010,BE23,2,1.8745
2008,NUTS,2010,BE23,2,1.9955
2009,NUTS,2010,BE23,2,2.0738
2010,NUTS,2010,BE23,2,2.1342
2011,NUTS,2010,BE23,2,2.2497
2013,NUTS,2010,BE23,2,2.5107
2015,NUTS,2010,BE23,2,2.7523
2006,NUTS,2010,BE24,2,3.0325
2007,NUTS,2010,BE24,2,3.0653
2008,NUTS,2010,BE24,2,3.3512
2009,NUTS,2010,BE24,2,3.3163
2010,NUTS,2010,BE24,2,3.3716
2011,NUTS,2010,BE24,2,3.4451
2013,NUTS,2010,BE24,2,3.6663
2015,NUTS,2010,BE24,2,4.0913
2006,NUTS,2010,BE25,2,0.8203
2007,NUTS,2010,BE25,2,0.8316
2008,NUTS,2010,BE25,2,0.8084
2009,NUTS,2010,BE25,2,0.8151
2010,NUTS,2010,BE25,2,0.766
2011,NUTS,2010,BE25,2,0.8636
2013,NUTS,2010,BE25,2,1.0647
2015,NUTS,2010,BE25,2,1.2136
2002,NUTS,2010,BE3,1,1.3607
2003,NUTS,2010,BE3,1,1.3583
2004,NUTS,2010,BE3,1,1.2775
2005,NUTS,2010,BE3,1,1.2832
2006,NUTS,2010,BE3,1,1.3057
2007,NUTS,2010,BE3,1,1.3469
2008,NUTS,2010,BE3,1,1.3665
2009,NUTS,2010,BE3,1,1.4063
2010,NUTS,2010,BE3,1,1.3611
2011,NUTS,2010,BE3,1,1.5541
2013,NUTS,2010,BE3,1,1.444
2015,NUTS,2010,BE3,1,1.6033
2017,NUTS,2010,BE3,1,1.9154
2019,NUTS,2010,BE3,1,1.8332
2006,NUTS,2010,BE31,2,4.3284
2007,NUTS,2010,BE31,2,4.2833
2008,NUTS,2010,BE31,2,3.9633
2009,NUTS,2010,BE31,2,4.0779
2010,NUTS,2010,BE31,2,3.6223
2011,NUTS,2010,BE31,2,4.9587
2013,NUTS,2010,BE31,2,5.1492
2015,NUTS,2010,BE31,2,5.0728
2006,NUTS,2010,BE32,2,0.6511
2007,NUTS,2010,BE32,2,0.6791
2008,NUTS,2010,BE32,2,0.805
2009,NUTS,2010,BE32,2,0.8699
2010,NUTS,2010,BE32,2,0.914
2011,NUTS,2010,BE32,2,0.9951
2013,NUTS,2010,BE32,2,0.7671
2015,NUTS,2010,BE32,2,1.0305
2006,NUTS,2010,BE33,2,1.2905
2007,NUTS,2010,BE33,2,1.3788
2008,NUTS,2010,BE33,2,1.3563
2009,NUTS,2010,BE33,2,1.3614
2010,NUTS,2010,BE33,2,1.4507
2011,NUTS,2010,BE33,2,1.4689
2013,NUTS,2010,BE33,2,1.4461
2015,NUTS,2010,BE33,2,1.48
2006,NUTS,2010,BE34,2,0.3174
2007,NUTS,2010,BE34,2,0.304
2008,NUTS,2010,BE34,2,0.2769
2009,NUTS,2010,BE34,2,0.2596
2010,NUTS,2010,BE34,2,0.3559
2011,NUTS,2010,BE34,2,0.3116
2013,NUTS,2010,BE34,2,0.1855
2015,NUTS,2010,BE34,2,0.2213
2006,NUTS,2010,BE35,2,1.1571
2007,NUTS,2010,BE35,2,1.1957
2008,NUTS,2010,BE35,2,1.3288
2009,NUTS,2010,BE35,2,1.3692
2010,NUTS,2010,BE35,2,1.0365
2011,NUTS,2010,BE35,2,1.0941
2013,NUTS,2010,BE35,2,0.8181
2015,NUTS,2010,BE35,2,1.2251
2000,NUTS,2010,BG,0,0.5052
2001,NUTS,2010,BG,0,0.4965
2002,NUTS,2010,BG,0,0.5081
2003,NUTS,2010,BG,0,0.5382
2004,NUTS,2010,BG,0,0.55
2005,NUTS,2010,BG,0,0.5681
2006,NUTS,2010,BG,0,0.5626
2007,NUTS,2010,BG,0,0.5781
2008,NUTS,2010,BG,0,0.5734
2009,NUTS,2010,BG,0,0.6402
2010,NUTS,2010,BG,0,0.6162
2011,NUTS,2010,BG,0,0.6316
2012,NUTS,2010,BG,0,0.6575
2013,NUTS,2010,BG,0,0.6727
2014,NUTS,2010,BG,0,0.7715
2015,NUTS,2010,BG,0,0.9046
2016,NUTS,2010,BG,0,1.0111
2017,NUTS,2010,BG,0,0.9542
2018,NUTS,2010,BG,0,1.0699
2019,NUTS,2010,BG,0,1.0696
2003,NUTS,2010,BG3,1,0.223
2004,NUTS,2010,BG3,1,0.2382
2005,NUTS,2010,BG3,1,0.27
2006,NUTS,2010,BG3,1,0.2874
2007,NUTS,2010,BG3,1,0.3043
2008,NUTS,2010,BG3,1,0.3187
2009,NUTS,2010,BG3,1,0.3471
2010,NUTS,2010,BG3,1,0.3412
2011,NUTS,2010,BG3,1,0.3391
2012,NUTS,2010,BG3,1,0.3716
2013,NUTS,2010,BG3,1,0.3846
2014,NUTS,2010,BG3,1,0.4686
2015,NUTS,2010,BG3,1,0.5722
2016,NUTS,2010,BG3,1,0.5637
2017,NUTS,2010,BG3,1,0.5625
2018,NUTS,2010,BG3,1,0.6529
2019,NUTS,2010,BG3,1,0.6483
2003,NUTS,2010,BG31,2,0.1465
2004,NUTS,2010,BG31,2,0.1488
2005,NUTS,2010,BG31,2,0.1579
2006,NUTS,2010,BG31,2,0.1757
2007,NUTS,2010,BG31,2,0.1995
2008,NUTS,2010,BG31,2,0.1911
2009,NUTS,2010,BG31,2,0.1681
2010,NUTS,2010,BG31,2,0.1854
2011,NUTS,2010,BG31,2,0.1724
2012,NUTS,2010,BG31,2,0.2739
2013,NUTS,2010,BG31,2,0.2682
2014,NUTS,2010,BG31,2,0.2699
2015,NUTS,2010,BG31,2,0.4309
2016,NUTS,2010,BG31,2,0.4943
2017,NUTS,2010,BG31,2,0.4508
2018,NUTS,2010,BG31,2,0.565
2019,NUTS,2010,BG31,2,0.5344
2003,NUTS,2010,BG32,2,0.1866
2004,NUTS,2010,BG32,2,0.2128
2005,NUTS,2010,BG32,2,0.3392
2006,NUTS,2010,BG32,2,0.3092
2007,NUTS,2010,BG32,2,0.324
2008,NUTS,2010,BG32,2,0.3675
2009,NUTS,2010,BG32,2,0.3923
2010,NUTS,2010,BG32,2,0.3778
2011,NUTS,2010,BG32,2,0.4233
2012,NUTS,2010,BG32,2,0.3926
2013,NUTS,2010,BG32,2,0.4
2014,NUTS,2010,BG32,2,0.5259
2015,NUTS,2010,BG32,2,0.6268
2016,NUTS,2010,BG32,2,0.5264
2017,NUTS,2010,BG32,2,0.591
2018,NUTS,2010,BG32,2,0.6514
2019,NUTS,2010,BG32,2,0.6287
2003,NUTS,2010,BG33,2,0.328
2004,NUTS,2010,BG33,2,0.359
2005,NUTS,2010,BG33,2,0.3458
2006,NUTS,2010,BG33,2,0.3641
2007,NUTS,2010,BG33,2,0.3701
2008,NUTS,2010,BG33,2,0.3842
2009,NUTS,2010,BG33,2,0.4444
2010,NUTS,2010,BG33,2,0.4891
2011,NUTS,2010,BG33,2,0.4551
2012,NUTS,2010,BG33,2,0.4874
2013,NUTS,2010,BG33,2,0.516
2014,NUTS,2010,BG33,2,0.6778
2015,NUTS,2010,BG33,2,0.7329
2016,NUTS,2010,BG33,2,0.7223
2017,NUTS,2010,BG33,2,0.7454
2018,NUTS,2010,BG33,2,0.8367
2019,NUTS,2010,BG33,2,0.8313
2003,NUTS,2010,BG34,2,0.2127
2004,NUTS,2010,BG34,2,0.2159
2005,NUTS,2010,BG34,2,0.2263
2006,NUTS,2010,BG34,2,0.282
2007,NUTS,2010,BG34,2,0.3066
2008,NUTS,2010,BG34,2,0.3161
2009,NUTS,2010,BG34,2,0.3551
2010,NUTS,2010,BG34,2,0.2867
2011,NUTS,2010,BG34,2,0.2833
2012,NUTS,2010,BG34,2,0.3137
2013,NUTS,2010,BG34,2,0.3298
2014,NUTS,2010,BG34,2,0.3622
2015,NUTS,2010,BG34,2,0.4709
2016,NUTS,2010,BG34,2,0.4861
2017,NUTS,2010,BG34,2,0.4404
2018,NUTS,2010,BG34,2,0.5417
2019,NUTS,2010,BG34,2,0.5677
2003,NUTS,2010,BG4,1,0.8379
2004,NUTS,2010,BG4,1,0.838
2005,NUTS,2010,BG4,1,0.8556
2006,NUTS,2010,BG4,1,0.8267
2007,NUTS,2010,BG4,1,0.8356
2008,NUTS,2010,BG4,1,0.8058
2009,NUTS,2010,BG4,1,0.9016
2010,NUTS,2010,BG4,1,0.8588
2011,NUTS,2010,BG4,1,0.8916
2012,NUTS,2010,BG4,1,0.9083
2013,NUTS,2010,BG4,1,0.9172
2014,NUTS,2010,BG4,1,1.0196
2015,NUTS,2010,BG4,1,1.1792
2016,NUTS,2010,BG4,1,1.3828
2017,NUTS,2010,BG4,1,1.2662
2018,NUTS,2010,BG4,1,1.3919
2019,NUTS,2010,BG4,1,1.3879
2000,NUTS,2010,BG41,2,1.322
2002,NUTS,2010,BG41,2,1.2799
2003,NUTS,2010,BG41,2,1.2784
2004,NUTS,2010,BG41,2,1.2824
2005,NUTS,2010,BG41,2,1.2723
2006,NUTS,2010,BG41,2,1.211
2007,NUTS,2010,BG41,2,1.2072
2008,NUTS,2010,BG41,2,1.1688
2009,NUTS,2010,BG41,2,1.2993
2010,NUTS,2010,BG41,2,1.2039
2011,NUTS,2010,BG41,2,1.2533
2012,NUTS,2010,BG41,2,1.2834
2013,NUTS,2010,BG41,2,1.2985
2014,NUTS,2010,BG41,2,1.4469
2015,NUTS,2010,BG41,2,1.6197
2016,NUTS,2010,BG41,2,1.8944
2017,NUTS,2010,BG41,2,1.7437
2018,NUTS,2010,BG41,2,1.873
2019,NUTS,2010,BG41,2,1.8289
2003,NUTS,2010,BG42,2,0.1802
2004,NUTS,2010,BG42,2,0.1854
2005,NUTS,2010,BG42,2,0.2244
2006,NUTS,2010,BG42,2,0.2207
2007,NUTS,2010,BG42,2,0.2554
2008,NUTS,2010,BG42,2,0.2426
2009,NUTS,2010,BG42,2,0.274
2010,NUTS,2010,BG42,2,0.2919
2011,NUTS,2010,BG42,2,0.2951
2012,NUTS,2010,BG42,2,0.3014
2013,NUTS,2010,BG42,2,0.3111
2014,NUTS,2010,BG42,2,0.348
2015,NUTS,2010,BG42,2,0.4624
2016,NUTS,2010,BG42,2,0.5341
2017,NUTS,2010,BG42,2,0.4996
2018,NUTS,2010,BG42,2,0.5926
2019,NUTS,2010,BG42,2,0.6596
2012,NUTS,2010,CH,0,2.6586
2015,NUTS,2010,CH,0,2.7028
2017,NUTS,2010,CH,0,2.6066
2019,NUTS,2010,CH,0,2.7964
1998,NUTS,2010,CY,0,0.4471
1999,NUTS,2010,CY,0,0.5223
2000,NUTS,2010,CY,0,0.538
2001,NUTS,2010,CY,0,0.5519
2002,NUTS,2010,CY,0,0.6053
2003,NUTS,2010,CY,0,0.6331
2004,NUTS,2010,CY,0,0.6497
2005,NUTS,2010,CY,0,0.6919
2006,NUTS,2010,CY,0,0.6942
2007,NUTS,2010,CY,0,0.6514
2008,NUTS,2010,CY,0,0.6412
2009,NUTS,2010,CY,0,0.6593
2010,NUTS,2010,CY,0,0.6425
2011,NUTS,2010,CY,0,0.665
2012,NUTS,2010,CY,0,0.6425
2013,NUTS,2010,CY,0,0.7052
2014,NUTS,2010,CY,0,0.696
2015,NUTS,2010,CY,0,0.7073
2016,NUTS,2010,CY,0,0.7576
2017,NUTS,2010,CY,0,0.7962
2018,NUTS,2010,CY,0,0.8812
2019,NUTS,2010,CY,0,0.9384
1998,NUTS,2010,CZ,0,1.0061
1999,NUTS,2010,CZ,0,1.0332
2000,NUTS,2010,CZ,0,1.0541
2001,NUTS,2010,CZ,0,1.0295
2002,NUTS,2010,CZ,0,1.0637
2003,NUTS,2010,CZ,0,1.1043
2004,NUTS,2010,CZ,0,1.188
2005,NUTS,2010,CZ,0,1.2774
2006,NUTS,2010,CZ,0,1.3456
2007,NUTS,2010,CZ,0,1.424
2008,NUTS,2010,CZ,0,1.4431
2009,NUTS,2010,CZ,0,1.4549
2010,NUTS,2010,CZ,0,1.5004
2011,NUTS,2010,CZ,0,1.599
2012,NUTS,2010,CZ,0,1.6914
2013,NUTS,2010,CZ,0,1.7785
2014,NUTS,2010,CZ,0,1.87
2015,NUTS,2010,CZ,0,1.9252
2016,NUTS,2010,CZ,0,1.9111
2017,NUTS,2010,CZ,0,2.0529
2018,NUTS,2010,CZ,0,2.1539
2019,NUTS,2010,CZ,0,2.2262
2020,NUTS,2010,CZ,0,2.2596
1999,NUTS,2010,CZ0,1,1.023
2000,NUTS,2010,CZ0,1,1.0442
2001,NUTS,2010,CZ0,1,1.021
2002,NUTS,2010,CZ0,1,1.0549
2003,NUTS,2010,CZ0,1,1.0949
2004,NUTS,2010,CZ0,1,1.1791
2005,NUTS,2010,CZ0,1,1.2636
2006,NUTS,2010,CZ0,1,1.3301
2007,NUTS,2010,CZ0,1,1.4058
2008,NUTS,2010,CZ0,1,1.424
2009,NUTS,2010,CZ0,1,1.4336
2010,NUTS,2010,CZ0,1,1.4786
2011,NUTS,2010,CZ0,1,1.5753
2012,NUTS,2010,CZ0,1,1.665
2013,NUTS,2010,CZ0,1,1.7473
2014,NUTS,2010,CZ0,1,1.8376
2015,NUTS,2010,CZ0,1,1.8857
2016,NUTS,2010,CZ0,1,1.8668
2017,NUTS,2010,CZ0,1,2.0036
2018,NUTS,2010,CZ0,1,2.0949
2019,NUTS,2010,CZ0,1,2.1632
2020,NUTS,2010,CZ0,1,2.1974
2001,NUTS,2010,CZ01,2,3.3634
2002,NUTS,2010,CZ01,2,3.4261
2003,NUTS,2010,CZ01,2,3.5434
2004,NUTS,2010,CZ01,2,3.8727
2005,NUTS,2010,CZ01,2,4.196
2006,NUTS,2010,CZ01,2,4.3319
2007,NUTS,2010,CZ01,2,4.5932
2008,NUTS,2010,CZ01,2,4.5496
2009,NUTS,2010,CZ01,2,4.3274
2010,NUTS,2010,CZ01,2,4.241
2011,NUTS,2010,CZ01,2,4.6764
2012,NUTS,2010,CZ01,2,4.7619
2013,NUTS,2010,CZ01,2,5.1239
2014,NUTS,2010,CZ01,2,5.2971
2015,NUTS,2010,CZ01,2,5.1757
2016,NUTS,2010,CZ01,2,4.9402
2017,NUTS,2010,CZ01,2,5.3193
2018,NUTS,2010,CZ01,2,5.4956
2019,NUTS,2010,CZ01,2,5.5992
2020,NUTS,2010,CZ01,2,5.7759
2001,NUTS,2010,CZ02,2,0.7408
2002,NUTS,2010,CZ02,2,0.8321
2003,NUTS,2010,CZ02,2,0.9174
2004,NUTS,2010,CZ02,2,0.9205
2005,NUTS,2010,CZ02,2,0.9009
2006,NUTS,2010,CZ02,2,0.9471
2007,NUTS,2010,CZ02,2,0.9401
2008,NUTS,2010,CZ02,2,0.953
2009,NUTS,2010,CZ02,2,0.9772
2010,NUTS,2010,CZ02,2,0.9967
2011,NUTS,2010,CZ02,2,1.0147
2012,NUTS,2010,CZ02,2,0.988
2013,NUTS,2010,CZ02,2,1.0131
2014,NUTS,2010,CZ02,2,1.0472
2015,NUTS,2010,CZ02,2,1.1225
2016,NUTS,2010,CZ02,2,1.2128
2017,NUTS,2010,CZ02,2,1.3061
2018,NUTS,2010,CZ02,2,1.3754
2019,NUTS,2010,CZ02,2,1.4051
2020,NUTS,2010,CZ02,2,1.3864
2001,NUTS,2010,CZ03,2,0.6246
2002,NUTS,2010,CZ03,2,0.6885
2003,NUTS,2010,CZ03,2,0.6475
2004,NUTS,2010,CZ03,2,0.694
2005,NUTS,2010,CZ03,2,0.7835
2006,NUTS,2010,CZ03,2,0.8547
2007,NUTS,2010,CZ03,2,0.8466
2008,NUTS,2010,CZ03,2,0.8252
2009,NUTS,2010,CZ03,2,0.9127
2010,NUTS,2010,CZ03,2,1.0699
2011,NUTS,2010,CZ03,2,1.1275
2012,NUTS,2010,CZ03,2,1.2255
2013,NUTS,2010,CZ03,2,1.2379
2014,NUTS,2010,CZ03,2,1.319
2015,NUTS,2010,CZ03,2,1.3339
2016,NUTS,2010,CZ03,2,1.3501
2017,NUTS,2010,CZ03,2,1.413
2018,NUTS,2010,CZ03,2,1.5323
2019,NUTS,2010,CZ03,2,1.6161
2020,NUTS,2010,CZ03,2,1.568
2001,NUTS,2010,CZ04,2,0.2209
2002,NUTS,2010,CZ04,2,0.1947
2003,NUTS,2010,CZ04,2,0.1975
2004,NUTS,2010,CZ04,2,0.2291
2005,NUTS,2010,CZ04,2,0.1901
2006,NUTS,2010,CZ04,2,0.2556
2007,NUTS,2010,CZ04,2,0.2803
2008,NUTS,2010,CZ04,2,0.2447
2009,NUTS,2010,CZ04,2,0.2526
2010,NUTS,2010,CZ04,2,0.2549
2011,NUTS,2010,CZ04,2,0.2983
2012,NUTS,2010,CZ04,2,0.3499
2013,NUTS,2010,CZ04,2,0.3667
2014,NUTS,2010,CZ04,2,0.4342
2015,NUTS,2010,CZ04,2,0.3904
2016,NUTS,2010,CZ04,2,0.3661
2017,NUTS,2010,CZ04,2,0.4166
2018,NUTS,2010,CZ04,2,0.4457
2019,NUTS,2010,CZ04,2,0.4587
2020,NUTS,2010,CZ04,2,0.463
2001,NUTS,2010,CZ05,2,0.6867
2002,NUTS,2010,CZ05,2,0.7312
2003,NUTS,2010,CZ05,2,0.7487
2004,NUTS,2010,CZ05,2,0.8329
2005,NUTS,2010,CZ05,2,0.8467
2006,NUTS,2010,CZ05,2,0.9326
2007,NUTS,2010,CZ05,2,0.9977
2008,NUTS,2010,CZ05,2,1.0093
2009,NUTS,2010,CZ05,2,1.0429
2010,NUTS,2010,CZ05,2,1.0945
2011,NUTS,2010,CZ05,2,1.1563
2012,NUTS,2010,CZ05,2,1.1949
2013,NUTS,2010,CZ05,2,1.2938
2014,NUTS,2010,CZ05,2,1.3042
2015,NUTS,2010,CZ05,2,1.3152
2016,NUTS,2010,CZ05,2,1.327
2017,NUTS,2010,CZ05,2,1.3869
2018,NUTS,2010,CZ05,2,1.4282
2019,NUTS,2010,CZ05,2,1.4972
2020,NUTS,2010,CZ05,2,1.4773
2001,NUTS,2010,CZ06,2,1.2031
2002,NUTS,2010,CZ06,2,1.2373
2003,NUTS,2010,CZ06,2,1.2809
2004,NUTS,2010,CZ06,2,1.3708
2005,NUTS,2010,CZ06,2,1.5062
2006,NUTS,2010,CZ06,2,1.4977
2007,NUTS,2010,CZ06,2,1.5661
2008,NUTS,2010,CZ06,2,1.7039
2009,NUTS,2010,CZ06,2,1.7555
2010,NUTS,2010,CZ06,2,1.8002
2011,NUTS,2010,CZ06,2,1.8576
2012,NUTS,2010,CZ06,2,2.095
2013,NUTS,2010,CZ06,2,2.1586
2014,NUTS,2010,CZ06,2,2.3146
2015,NUTS,2010,CZ06,2,2.6067
2016,NUTS,2010,CZ06,2,2.5651
2017,NUTS,2010,CZ06,2,2.6768
2018,NUTS,2010,CZ06,2,2.8252
2019,NUTS,2010,CZ06,2,2.891
2020,NUTS,2010,CZ06,2,3.02
2001,NUTS,2010,CZ07,2,0.5573
2002,NUTS,2010,CZ07,2,0.6128
