year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_hrstc
2012,NUTS,2010,BE1,1,133.2
2013,NUTS,2010,BE1,1,132.4
2014,NUTS,2010,BE1,1,151.6
2015,NUTS,2010,BE1,1,154.2
2016,NUTS,2010,BE1,1,158.3
2017,NUTS,2010,BE1,1,169.8
2018,NUTS,2010,BE1,1,183.7
2019,NUTS,2010,BE1,1,182.2
2020,NUTS,2010,BE1,1,193.9
2011,NUTS,2010,BE10,2,140.6
2012,NUTS,2010,BE10,2,133.2
2013,NUTS,2010,BE10,2,132.4
2014,NUTS,2010,BE10,2,151.6
2015,NUTS,2010,BE10,2,154.2
2016,NUTS,2010,BE10,2,158.3
2017,NUTS,2010,BE10,2,169.8
2018,NUTS,2010,BE10,2,183.7
2019,NUTS,2010,BE10,2,182.2
2020,NUTS,2010,BE10,2,193.9
2011,NUTS,2010,BE2,1,717.8
2012,NUTS,2010,BE2,1,731.8
2013,NUTS,2010,BE2,1,750.6
2014,NUTS,2010,BE2,1,793.1
2015,NUTS,2010,BE2,1,793.2
2016,NUTS,2010,BE2,1,813.5
2017,NUTS,2010,BE2,1,882.2
2018,NUTS,2010,BE2,1,896.8
2019,NUTS,2010,BE2,1,897.3
2020,NUTS,2010,BE2,1,932.4
2011,NUTS,2010,BE21,2,192.8
2012,NUTS,2010,BE21,2,200.9
2013,NUTS,2010,BE21,2,213.3
2014,NUTS,2010,BE21,2,234.6
2015,NUTS,2010,BE21,2,219.5
2016,NUTS,2010,BE21,2,209.9
2017,NUTS,2010,BE21,2,229.9
2018,NUTS,2010,BE21,2,247.2
2019,NUTS,2010,BE21,2,239.8
2020,NUTS,2010,BE21,2,236.7
2011,NUTS,2010,BE22,2,85.3
2012,NUTS,2010,BE22,2,90.4
2013,NUTS,2010,BE22,2,90.6
2014,NUTS,2010,BE22,2,95.8
2015,NUTS,2010,BE22,2,101.3
2016,NUTS,2010,BE22,2,99.4
2017,NUTS,2010,BE22,2,109.4
2018,NUTS,2010,BE22,2,108.7
2019,NUTS,2010,BE22,2,118.0
2020,NUTS,2010,BE22,2,119.8
2011,NUTS,2010,BE23,2,174.3
2012,NUTS,2010,BE23,2,172.2
2013,NUTS,2010,BE23,2,181.4
2014,NUTS,2010,BE23,2,182.5
2015,NUTS,2010,BE23,2,189.4
2016,NUTS,2010,BE23,2,202.6
2017,NUTS,2010,BE23,2,214.3
2018,NUTS,2010,BE23,2,225.6
2019,NUTS,2010,BE23,2,216.1
2020,NUTS,2010,BE23,2,231.8
2011,NUTS,2010,BE24,2,147.8
2012,NUTS,2010,BE24,2,151.9
2013,NUTS,2010,BE24,2,147.5
2014,NUTS,2010,BE24,2,159.1
2015,NUTS,2010,BE24,2,160.2
2016,NUTS,2010,BE24,2,165.9
2017,NUTS,2010,BE24,2,183.3
2018,NUTS,2010,BE24,2,177.3
2019,NUTS,2010,BE24,2,183.9
2020,NUTS,2010,BE24,2,195.6
2011,NUTS,2010,BE25,2,117.6
2012,NUTS,2010,BE25,2,116.5
2013,NUTS,2010,BE25,2,117.7
2014,NUTS,2010,BE25,2,121.2
2015,NUTS,2010,BE25,2,122.8
2016,NUTS,2010,BE25,2,135.7
2017,NUTS,2010,BE25,2,145.3
2018,NUTS,2010,BE25,2,138.1
2019,NUTS,2010,BE25,2,139.5
2020,NUTS,2010,BE25,2,148.6
2011,NUTS,2010,BE3,1,340.0
2012,NUTS,2010,BE3,1,355.5
2013,NUTS,2010,BE3,1,358.8
2014,NUTS,2010,BE3,1,365.5
2015,NUTS,2010,BE3,1,376.9
2016,NUTS,2010,BE3,1,382.2
2017,NUTS,2010,BE3,1,404.7
2018,NUTS,2010,BE3,1,419.6
2019,NUTS,2010,BE3,1,428.7
2020,NUTS,2010,BE3,1,448.6
2011,NUTS,2010,BE31,2,57.5
2012,NUTS,2010,BE31,2,56.1
2013,NUTS,2010,BE31,2,59.3
2014,NUTS,2010,BE31,2,55.0
2015,NUTS,2010,BE31,2,59.4
2016,NUTS,2010,BE31,2,57.2
2017,NUTS,2010,BE31,2,64.2
2018,NUTS,2010,BE31,2,63.9
2019,NUTS,2010,BE31,2,66.0
2020,NUTS,2010,BE31,2,69.7
2011,NUTS,2010,BE32,2,106.4
2012,NUTS,2010,BE32,2,113.5
2013,NUTS,2010,BE32,2,113.1
2014,NUTS,2010,BE32,2,115.2
2015,NUTS,2010,BE32,2,114.4
2016,NUTS,2010,BE32,2,128.9
2017,NUTS,2010,BE32,2,127.4
2018,NUTS,2010,BE32,2,131.3
2019,NUTS,2010,BE32,2,133.8
2020,NUTS,2010,BE32,2,137.2
2011,NUTS,2010,BE33,2,100.8
2012,NUTS,2010,BE33,2,106.2
2013,NUTS,2010,BE33,2,108.4
2014,NUTS,2010,BE33,2,108.5
2015,NUTS,2010,BE33,2,113.9
2016,NUTS,2010,BE33,2,112.4
2017,NUTS,2010,BE33,2,118.3
2018,NUTS,2010,BE33,2,128.8
2019,NUTS,2010,BE33,2,133.9
2020,NUTS,2010,BE33,2,137.2
2011,NUTS,2010,BE34,2,25.7
2012,NUTS,2010,BE34,2,28.0
2013,NUTS,2010,BE34,2,26.6
2014,NUTS,2010,BE34,2,28.8
2015,NUTS,2010,BE34,2,32.7
2016,NUTS,2010,BE34,2,29.6
2017,NUTS,2010,BE34,2,32.2
2018,NUTS,2010,BE34,2,33.9
2019,NUTS,2010,BE34,2,34.8
2020,NUTS,2010,BE34,2,36.7
2011,NUTS,2010,BE35,2,49.5
2012,NUTS,2010,BE35,2,51.7
2013,NUTS,2010,BE35,2,51.5
2014,NUTS,2010,BE35,2,58.0
2015,NUTS,2010,BE35,2,56.5
2016,NUTS,2010,BE35,2,54.1
2017,NUTS,2010,BE35,2,62.6
2018,NUTS,2010,BE35,2,61.6
2019,NUTS,2010,BE35,2,60.1
2020,NUTS,2010,BE35,2,67.8
2011,NUTS,2010,BG,0,523.3
2012,NUTS,2010,BG,0,523.4
2013,NUTS,2010,BG,0,550.7
2014,NUTS,2010,BG,0,599.3
2015,NUTS,2010,BG,0,627.9
2016,NUTS,2010,BG,0,631.4
2017,NUTS,2010,BG,0,630.5
2018,NUTS,2010,BG,0,639.7
2019,NUTS,2010,BG,0,656.4
2020,NUTS,2010,BG,0,681.9
2011,NUTS,2010,BG3,1,214.5
2012,NUTS,2010,BG3,1,214.7
2013,NUTS,2010,BG3,1,218.8
2014,NUTS,2010,BG3,1,234.7
2015,NUTS,2010,BG3,1,241.1
2016,NUTS,2010,BG3,1,241.8
2017,NUTS,2010,BG3,1,247.9
2018,NUTS,2010,BG3,1,251.2
2019,NUTS,2010,BG3,1,245.9
2020,NUTS,2010,BG3,1,248.8
2011,NUTS,2010,BG31,2,42.7
2012,NUTS,2010,BG31,2,41.7
2013,NUTS,2010,BG31,2,42.7
2014,NUTS,2010,BG31,2,47.9
2015,NUTS,2010,BG31,2,52.3
2016,NUTS,2010,BG31,2,46.4
2017,NUTS,2010,BG31,2,45.1
2018,NUTS,2010,BG31,2,47.5
2019,NUTS,2010,BG31,2,45.7
2020,NUTS,2010,BG31,2,48.1
2011,NUTS,2010,BG32,2,51.3
2012,NUTS,2010,BG32,2,53.4
2013,NUTS,2010,BG32,2,51.9
2014,NUTS,2010,BG32,2,52.3
2015,NUTS,2010,BG32,2,52.9
2016,NUTS,2010,BG32,2,54.7
2017,NUTS,2010,BG32,2,53.8
2018,NUTS,2010,BG32,2,59.7
2019,NUTS,2010,BG32,2,65.3
2020,NUTS,2010,BG32,2,63.5
2011,NUTS,2010,BG33,2,61.3
2012,NUTS,2010,BG33,2,59.2
2013,NUTS,2010,BG33,2,63.2
2014,NUTS,2010,BG33,2,75.5
2015,NUTS,2010,BG33,2,73.6
2016,NUTS,2010,BG33,2,75.1
2017,NUTS,2010,BG33,2,79.3
2018,NUTS,2010,BG33,2,71.5
2019,NUTS,2010,BG33,2,62.9
2020,NUTS,2010,BG33,2,65.6
2011,NUTS,2010,BG34,2,59.3
2012,NUTS,2010,BG34,2,60.4
2013,NUTS,2010,BG34,2,61.0
2014,NUTS,2010,BG34,2,58.9
2015,NUTS,2010,BG34,2,62.2
2016,NUTS,2010,BG34,2,65.5
2017,NUTS,2010,BG34,2,69.6
2018,NUTS,2010,BG34,2,72.5
2019,NUTS,2010,BG34,2,72.1
2020,NUTS,2010,BG34,2,71.6
2011,NUTS,2010,BG4,1,308.7
2012,NUTS,2010,BG4,1,308.8
2013,NUTS,2010,BG4,1,331.9
2014,NUTS,2010,BG4,1,364.6
2015,NUTS,2010,BG4,1,386.8
2016,NUTS,2010,BG4,1,389.6
2017,NUTS,2010,BG4,1,382.6
2018,NUTS,2010,BG4,1,388.4
2019,NUTS,2010,BG4,1,410.5
2020,NUTS,2010,BG4,1,433.1
2011,NUTS,2010,BG41,2,228.2
2012,NUTS,2010,BG41,2,230.4
2013,NUTS,2010,BG41,2,243.6
2014,NUTS,2010,BG41,2,268.8
2015,NUTS,2010,BG41,2,289.1
2016,NUTS,2010,BG41,2,297.0
2017,NUTS,2010,BG41,2,290.5
2018,NUTS,2010,BG41,2,290.9
2019,NUTS,2010,BG41,2,309.2
2020,NUTS,2010,BG41,2,333.7
2011,NUTS,2010,BG42,2,80.5
2012,NUTS,2010,BG42,2,78.3
2013,NUTS,2010,BG42,2,88.3
2014,NUTS,2010,BG42,2,95.8
2015,NUTS,2010,BG42,2,97.7
2016,NUTS,2010,BG42,2,92.6
2017,NUTS,2010,BG42,2,92.2
2018,NUTS,2010,BG42,2,97.6
2019,NUTS,2010,BG42,2,101.3
2020,NUTS,2010,BG42,2,99.5
2011,NUTS,2010,CH,0,909.6
2012,NUTS,2010,CH,0,968.0
2013,NUTS,2010,CH,0,1038.5
2014,NUTS,2010,CH,0,1082.0
2015,NUTS,2010,CH,0,1139.8
2016,NUTS,2010,CH,0,1205.4
2017,NUTS,2010,CH,0,1243.0
2018,NUTS,2010,CH,0,1294.8
2019,NUTS,2010,CH,0,1343.8
2020,NUTS,2010,CH,0,1363.5
2011,NUTS,2010,CH0,1,909.6
2012,NUTS,2010,CH0,1,968.0
2013,NUTS,2010,CH0,1,1038.5
2014,NUTS,2010,CH0,1,1082.0
2015,NUTS,2010,CH0,1,1139.8
2016,NUTS,2010,CH0,1,1205.4
2017,NUTS,2010,CH0,1,1243.0
2018,NUTS,2010,CH0,1,1294.8
2019,NUTS,2010,CH0,1,1343.8
2020,NUTS,2010,CH0,1,1363.5
2011,NUTS,2010,CH01,2,177.4
2012,NUTS,2010,CH01,2,184.9
2013,NUTS,2010,CH01,2,191.0
2014,NUTS,2010,CH01,2,202.0
2015,NUTS,2010,CH01,2,207.9
2016,NUTS,2010,CH01,2,222.1
2017,NUTS,2010,CH01,2,229.3
2018,NUTS,2010,CH01,2,237.3
2019,NUTS,2010,CH01,2,242.1
2020,NUTS,2010,CH01,2,246.4
2011,NUTS,2010,CH02,2,180.5
2012,NUTS,2010,CH02,2,198.2
2013,NUTS,2010,CH02,2,216.2
2014,NUTS,2010,CH02,2,223.4
2015,NUTS,2010,CH02,2,231.1
2016,NUTS,2010,CH02,2,235.9
2017,NUTS,2010,CH02,2,249.8
2018,NUTS,2010,CH02,2,252.5
2019,NUTS,2010,CH02,2,260.3
2020,NUTS,2010,CH02,2,267.5
2011,NUTS,2010,CH03,2,131.9
2012,NUTS,2010,CH03,2,140.9
2013,NUTS,2010,CH03,2,156.3
2014,NUTS,2010,CH03,2,154.8
2015,NUTS,2010,CH03,2,165.3
2016,NUTS,2010,CH03,2,172.1
2017,NUTS,2010,CH03,2,173.5
2018,NUTS,2010,CH03,2,183.8
2019,NUTS,2010,CH03,2,191.3
2020,NUTS,2010,CH03,2,191.3
2011,NUTS,2010,CH04,2,207.6
2012,NUTS,2010,CH04,2,223.2
2013,NUTS,2010,CH04,2,237.0
2014,NUTS,2010,CH04,2,243.5
2015,NUTS,2010,CH04,2,260.5
2016,NUTS,2010,CH04,2,286.0
2017,NUTS,2010,CH04,2,291.5
2018,NUTS,2010,CH04,2,298.4
2019,NUTS,2010,CH04,2,320.0
2020,NUTS,2010,CH04,2,331.6
2011,NUTS,2010,CH05,2,101.6
2012,NUTS,2010,CH05,2,103.6
2013,NUTS,2010,CH05,2,110.3
2014,NUTS,2010,CH05,2,124.5
2015,NUTS,2010,CH05,2,133.8
2016,NUTS,2010,CH05,2,136.9
2017,NUTS,2010,CH05,2,141.3
2018,NUTS,2010,CH05,2,153.4
2019,NUTS,2010,CH05,2,160.3
2020,NUTS,2010,CH05,2,161.3
2011,NUTS,2010,CH06,2,78.3
2012,NUTS,2010,CH06,2,84.8
2013,NUTS,2010,CH06,2,92.2
2014,NUTS,2010,CH06,2,96.3
2015,NUTS,2010,CH06,2,100.1
2016,NUTS,2010,CH06,2,111.9
2017,NUTS,2010,CH06,2,113.9
2018,NUTS,2010,CH06,2,122.1
2019,NUTS,2010,CH06,2,121.5
2020,NUTS,2010,CH06,2,120.5
2011,NUTS,2010,CH07,2,32.4
2012,NUTS,2010,CH07,2,32.4
2013,NUTS,2010,CH07,2,35.6
2014,NUTS,2010,CH07,2,37.6
2015,NUTS,2010,CH07,2,41.1
2016,NUTS,2010,CH07,2,40.6
2017,NUTS,2010,CH07,2,43.8
2018,NUTS,2010,CH07,2,47.3
2019,NUTS,2010,CH07,2,48.2
2020,NUTS,2010,CH07,2,45.0
2011,NUTS,2010,CY,0,94.0
2012,NUTS,2010,CY,0,95.4
2013,NUTS,2010,CY,0,92.3
2014,NUTS,2010,CY,0,95.9
2015,NUTS,2010,CY,0,93.2
2016,NUTS,2010,CY,0,92.8
2017,NUTS,2010,CY,0,99.8
2018,NUTS,2010,CY,0,106.7
2019,NUTS,2010,CY,0,110.2
2020,NUTS,2010,CY,0,113.6
2011,NUTS,2010,CY0,1,94.0
2012,NUTS,2010,CY0,1,95.4
2013,NUTS,2010,CY0,1,92.3
2014,NUTS,2010,CY0,1,95.9
2015,NUTS,2010,CY0,1,93.2
2016,NUTS,2010,CY0,1,92.8
2017,NUTS,2010,CY0,1,99.8
2018,NUTS,2010,CY0,1,106.7
2019,NUTS,2010,CY0,1,110.2
2020,NUTS,2010,CY0,1,113.6
2011,NUTS,2010,CY00,2,94.0
2012,NUTS,2010,CY00,2,95.4
2013,NUTS,2010,CY00,2,92.3
2014,NUTS,2010,CY00,2,95.9
2015,NUTS,2010,CY00,2,93.2
2016,NUTS,2010,CY00,2,92.8
2017,NUTS,2010,CY00,2,99.8
2018,NUTS,2010,CY00,2,106.7
2019,NUTS,2010,CY00,2,110.2
2020,NUTS,2010,CY00,2,113.6
2011,NUTS,2010,CZ,0,718.0
2012,NUTS,2010,CZ,0,755.6
2013,NUTS,2010,CZ,0,802.7
2014,NUTS,2010,CZ,0,838.3
2015,NUTS,2010,CZ,0,861.8
2016,NUTS,2010,CZ,0,907.5
2017,NUTS,2010,CZ,0,951.6
2018,NUTS,2010,CZ,0,977.1
2019,NUTS,2010,CZ,0,963.4
2020,NUTS,2010,CZ,0,991.1
2011,NUTS,2010,CZ0,1,718.0
2012,NUTS,2010,CZ0,1,755.6
2013,NUTS,2010,CZ0,1,802.7
2014,NUTS,2010,CZ0,1,838.3
2015,NUTS,2010,CZ0,1,861.8
2016,NUTS,2010,CZ0,1,907.5
2017,NUTS,2010,CZ0,1,951.6
2018,NUTS,2010,CZ0,1,977.1
2019,NUTS,2010,CZ0,1,963.4
2020,NUTS,2010,CZ0,1,991.1
2011,NUTS,2010,CZ01,2,191.4
2012,NUTS,2010,CZ01,2,194.6
2013,NUTS,2010,CZ01,2,199.6
2014,NUTS,2010,CZ01,2,203.6
2015,NUTS,2010,CZ01,2,201.8
2016,NUTS,2010,CZ01,2,220.7
2017,NUTS,2010,CZ01,2,235.5
2018,NUTS,2010,CZ01,2,246.8
2019,NUTS,2010,CZ01,2,253.2
2020,NUTS,2010,CZ01,2,263.9
2011,NUTS,2010,CZ02,2,79.6
2012,NUTS,2010,CZ02,2,89.7
2013,NUTS,2010,CZ02,2,93.4
2014,NUTS,2010,CZ02,2,104.5
2015,NUTS,2010,CZ02,2,105.3
2016,NUTS,2010,CZ02,2,102.3
2017,NUTS,2010,CZ02,2,110.1
2018,NUTS,2010,CZ02,2,123.9
2019,NUTS,2010,CZ02,2,116.0
2020,NUTS,2010,CZ02,2,119.8
2011,NUTS,2010,CZ03,2,70.9
2012,NUTS,2010,CZ03,2,77.1
2013,NUTS,2010,CZ03,2,78.3
2014,NUTS,2010,CZ03,2,78.2
2015,NUTS,2010,CZ03,2,81.9
2016,NUTS,2010,CZ03,2,84.9
2017,NUTS,2010,CZ03,2,92.0
2018,NUTS,2010,CZ03,2,92.9
2019,NUTS,2010,CZ03,2,93.8
2020,NUTS,2010,CZ03,2,85.4
2011,NUTS,2010,CZ04,2,40.3
2012,NUTS,2010,CZ04,2,49.6
2013,NUTS,2010,CZ04,2,52.7
2014,NUTS,2010,CZ04,2,54.8
2015,NUTS,2010,CZ04,2,54.2
2016,NUTS,2010,CZ04,2,61.4
2017,NUTS,2010,CZ04,2,55.7
2018,NUTS,2010,CZ04,2,58.7
2019,NUTS,2010,CZ04,2,59.4
2020,NUTS,2010,CZ04,2,51.7
2011,NUTS,2010,CZ05,2,81.9
2012,NUTS,2010,CZ05,2,81.6
2013,NUTS,2010,CZ05,2,90.2
2014,NUTS,2010,CZ05,2,97.3
2015,NUTS,2010,CZ05,2,100.2
2016,NUTS,2010,CZ05,2,107.1
2017,NUTS,2010,CZ05,2,112.6
2018,NUTS,2010,CZ05,2,110.9
2019,NUTS,2010,CZ05,2,106.1
2020,NUTS,2010,CZ05,2,111.3
2011,NUTS,2010,CZ06,2,116.8
2012,NUTS,2010,CZ06,2,125.3
2013,NUTS,2010,CZ06,2,139.7
2014,NUTS,2010,CZ06,2,145.5
2015,NUTS,2010,CZ06,2,145.6
2016,NUTS,2010,CZ06,2,151.8
2017,NUTS,2010,CZ06,2,157.4
2018,NUTS,2010,CZ06,2,161.0
2019,NUTS,2010,CZ06,2,159.5
2020,NUTS,2010,CZ06,2,174.0
2011,NUTS,2010,CZ07,2,68.0
2012,NUTS,2010,CZ07,2,67.5
2013,NUTS,2010,CZ07,2,70.6
2014,NUTS,2010,CZ07,2,80.8
2015,NUTS,2010,CZ07,2,86.1
2016,NUTS,2010,CZ07,2,84.1
2017,NUTS,2010,CZ07,2,87.5
2018,NUTS,2010,CZ07,2,88.6
2019,NUTS,2010,CZ07,2,83.0
2020,NUTS,2010,CZ07,2,91.6
2011,NUTS,2010,CZ08,2,69.2
2012,NUTS,2010,CZ08,2,70.3
2013,NUTS,2010,CZ08,2,78.3
2014,NUTS,2010,CZ08,2,73.6
2015,NUTS,2010,CZ08,2,86.6
2016,NUTS,2010,CZ08,2,95.3
2017,NUTS,2010,CZ08,2,100.8
2018,NUTS,2010,CZ08,2,94.2
2019,NUTS,2010,CZ08,2,92.4
2020,NUTS,2010,CZ08,2,93.5
2011,NUTS,2010,DE,0,8522.9
2012,NUTS,2010,DE,0,8393.4
2013,NUTS,2010,DE,0,8526.7
2014,NUTS,2010,DE,0,7995.2
2015,NUTS,2010,DE,0,8275.0
2016,NUTS,2010,DE,0,8606.2
2017,NUTS,2010,DE,0,8733.5
2018,NUTS,2010,DE,0,8887.3
2019,NUTS,2010,DE,0,9227.8
2020,NUTS,2010,DE,0,8917.9
2011,NUTS,2010,DE1,1,1240.3
2012,NUTS,2010,DE1,1,1228.4
2013,NUTS,2010,DE1,1,1270.2
2014,NUTS,2010,DE1,1,1184.0
2015,NUTS,2010,DE1,1,1244.0
2016,NUTS,2010,DE1,1,1315.5
2017,NUTS,2010,DE1,1,1296.0
2018,NUTS,2010,DE1,1,1311.4
2019,NUTS,2010,DE1,1,1396.8
2020,NUTS,2010,DE1,1,1326.9
2011,NUTS,2010,DE11,2,468.5
2012,NUTS,2010,DE11,2,455.9
2013,NUTS,2010,DE11,2,478.7
2014,NUTS,2010,DE11,2,459.4
2015,NUTS,2010,DE11,2,494.4
2016,NUTS,2010,DE11,2,524.2
2017,NUTS,2010,DE11,2,508.0
2018,NUTS,2010,DE11,2,524.2
2019,NUTS,2010,DE11,2,557.8
2020,NUTS,2010,DE11,2,510.2
2011,NUTS,2010,DE12,2,320.4
2012,NUTS,2010,DE12,2,319.8
2013,NUTS,2010,DE12,2,321.4
2014,NUTS,2010,DE12,2,302.1
2015,NUTS,2010,DE12,2,320.0
2016,NUTS,2010,DE12,2,333.8
2017,NUTS,2010,DE12,2,323.4
2018,NUTS,2010,DE12,2,326.4
2019,NUTS,2010,DE12,2,346.8
2020,NUTS,2010,DE12,2,350.5
2011,NUTS,2010,DE13,2,239.7
2012,NUTS,2010,DE13,2,233.7
2013,NUTS,2010,DE13,2,243.8
2014,NUTS,2010,DE13,2,219.0
2015,NUTS,2010,DE13,2,223.2
2016,NUTS,2010,DE13,2,243.7
2017,NUTS,2010,DE13,2,248.2
2018,NUTS,2010,DE13,2,252.0
2019,NUTS,2010,DE13,2,262.9
2020,NUTS,2010,DE13,2,241.2
2011,NUTS,2010,DE14,2,211.6
2012,NUTS,2010,DE14,2,219.0
2013,NUTS,2010,DE14,2,226.3
2014,NUTS,2010,DE14,2,203.5
2015,NUTS,2010,DE14,2,206.4
2016,NUTS,2010,DE14,2,213.8
2017,NUTS,2010,DE14,2,216.4
2018,NUTS,2010,DE14,2,208.8
2019,NUTS,2010,DE14,2,229.3
2020,NUTS,2010,DE14,2,225.0
2011,NUTS,2010,DE2,1,1413.2
2012,NUTS,2010,DE2,1,1425.1
2013,NUTS,2010,DE2,1,1453.8
2014,NUTS,2010,DE2,1,1398.8
2015,NUTS,2010,DE2,1,1428.0
2016,NUTS,2010,DE2,1,1470.8
2017,NUTS,2010,DE2,1,1518.5
2018,NUTS,2010,DE2,1,1538.0
