year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_avi
2011,NUTS,2010,AT31,2,0.709
2012,NUTS,2010,AT31,2,1.415
2001,NUTS,2010,AT311,3,11.058
2003,NUTS,2010,AT311,3,3.667
2008,NUTS,2010,AT311,3,1.82
2010,NUTS,2010,AT311,3,7.272
2002,NUTS,2010,AT312,3,1.905
2006,NUTS,2010,AT312,3,1.852
2007,NUTS,2010,AT312,3,0.608
2011,NUTS,2010,AT312,3,1.82
2001,NUTS,2010,AT315,3,0.887
2010,NUTS,2010,AT315,3,4.361
2012,NUTS,2010,AT315,3,8.704
2001,NUTS,2010,AT32,2,3.885
2008,NUTS,2010,AT32,2,3.803
2011,NUTS,2010,AT32,2,1.894
2001,NUTS,2010,AT323,3,6.031
2008,NUTS,2010,AT323,3,5.846
2011,NUTS,2010,AT323,3,2.901
2000,NUTS,2010,AT33,2,2.996
2001,NUTS,2010,AT33,2,1.489
2003,NUTS,2010,AT33,2,1.472
2006,NUTS,2010,AT33,2,1.44
2007,NUTS,2010,AT33,2,0.473
2009,NUTS,2010,AT33,2,1.423
2003,NUTS,2010,AT332,3,3.712
2001,NUTS,2010,AT333,3,19.84
2006,NUTS,2010,AT335,3,4.245
2007,NUTS,2010,AT335,3,1.393
2009,NUTS,2010,AT335,3,4.183
2004,NUTS,2010,AT34,2,5.601
2005,NUTS,2010,AT34,2,1.389
2009,NUTS,2010,AT34,2,2.724
2011,NUTS,2010,AT34,2,16.247
2004,NUTS,2010,AT342,3,7.428
2005,NUTS,2010,AT342,3,1.841
2009,NUTS,2010,AT342,3,3.588
2011,NUTS,2010,AT342,3,21.32
1990,NUTS,2010,BE,0,0.101
1991,NUTS,2010,BE,0,0.1
1993,NUTS,2010,BE,0,0.099
1995,NUTS,2010,BE,0,0.296
1996,NUTS,2010,BE,0,0.658
1997,NUTS,2010,BE,0,0.197
1998,NUTS,2010,BE,0,0.049
1999,NUTS,2010,BE,0,0.245
2000,NUTS,2010,BE,0,0.488
2001,NUTS,2010,BE,0,0.458
2002,NUTS,2010,BE,0,0.63
2003,NUTS,2010,BE,0,0.483
2004,NUTS,2010,BE,0,0.24
2005,NUTS,2010,BE,0,0.574
2006,NUTS,2010,BE,0,0.642
2007,NUTS,2010,BE,0,0.496
2008,NUTS,2010,BE,0,0.281
2009,NUTS,2010,BE,0,0.186
2010,NUTS,2010,BE,0,0.415
2011,NUTS,2010,BE,0,0.082
2012,NUTS,2010,BE,0,0.09
2001,NUTS,2010,BE1,1,1.815
2004,NUTS,2010,BE1,1,0.25
2005,NUTS,2010,BE1,1,0.248
2007,NUTS,2010,BE1,1,0.805
2010,NUTS,2010,BE1,1,0.229
2001,NUTS,2010,BE10,2,1.815
2004,NUTS,2010,BE10,2,0.25
2005,NUTS,2010,BE10,2,0.248
2007,NUTS,2010,BE10,2,0.805
2010,NUTS,2010,BE10,2,0.229
2001,NUTS,2010,BE100,3,1.815
2004,NUTS,2010,BE100,3,0.25
2005,NUTS,2010,BE100,3,0.248
2007,NUTS,2010,BE100,3,0.805
2010,NUTS,2010,BE100,3,0.229
2000,NUTS,2010,BE2,1,0.168
2001,NUTS,2010,BE2,1,0.294
2002,NUTS,2010,BE2,1,0.586
2003,NUTS,2010,BE2,1,0.5
2004,NUTS,2010,BE2,1,0.083
2005,NUTS,2010,BE2,1,0.579
2006,NUTS,2010,BE2,1,0.74
2007,NUTS,2010,BE2,1,0.314
2008,NUTS,2010,BE2,1,0.325
2009,NUTS,2010,BE2,1,0.214
2010,NUTS,2010,BE2,1,0.56
2011,NUTS,2010,BE2,1,0.079
2000,NUTS,2010,BE21,2,0.608
2001,NUTS,2010,BE21,2,0.152
2002,NUTS,2010,BE21,2,1.21
2005,NUTS,2010,BE21,2,0.298
2006,NUTS,2010,BE21,2,1.481
2007,NUTS,2010,BE21,2,0.635
2008,NUTS,2010,BE21,2,0.291
2009,NUTS,2010,BE21,2,0.578
2010,NUTS,2010,BE21,2,0.189
2011,NUTS,2010,BE21,2,0.282
2000,NUTS,2010,BE211,3,1.073
2002,NUTS,2010,BE211,3,2.138
2007,NUTS,2010,BE211,3,0.603
2010,NUTS,2010,BE211,3,0.335
2011,NUTS,2010,BE211,3,0.498
2001,NUTS,2010,BE212,3,0.816
2006,NUTS,2010,BE212,3,7.956
2007,NUTS,2010,BE212,3,1.581
2008,NUTS,2010,BE212,3,1.567
2009,NUTS,2010,BE212,3,3.108
2005,NUTS,2010,BE213,3,1.2
2004,NUTS,2010,BE22,2,0.621
2008,NUTS,2010,BE22,2,0.605
2010,NUTS,2010,BE22,2,1.193
2008,NUTS,2010,BE221,3,1.244
2010,NUTS,2010,BE221,3,1.224
2004,NUTS,2010,BE222,3,2.233
2010,NUTS,2010,BE223,3,2.533
2010,NUTS,2010,BE23,2,0.468
2010,NUTS,2010,BE231,3,1.206
2010,NUTS,2010,BE234,3,0.626
2001,NUTS,2010,BE24,2,1.473
2002,NUTS,2010,BE24,2,1.467
2003,NUTS,2010,BE24,2,2.919
2005,NUTS,2010,BE24,2,1.927
2006,NUTS,2010,BE24,2,1.915
2007,NUTS,2010,BE24,2,0.789
2008,NUTS,2010,BE24,2,0.472
2009,NUTS,2010,BE24,2,0.309
2010,NUTS,2010,BE24,2,1.393
2001,NUTS,2010,BE241,3,1.339
2002,NUTS,2010,BE241,3,1.775
2003,NUTS,2010,BE241,3,2.351
2005,NUTS,2010,BE241,3,3.056
2006,NUTS,2010,BE241,3,1.736
2007,NUTS,2010,BE241,3,0.431
2008,NUTS,2010,BE241,3,0.856
2009,NUTS,2010,BE241,3,0.289
2010,NUTS,2010,BE241,3,1.685
2001,NUTS,2010,BE242,3,1.637
2002,NUTS,2010,BE242,3,1.088
2003,NUTS,2010,BE242,3,3.614
2005,NUTS,2010,BE242,3,0.538
2006,NUTS,2010,BE242,3,2.136
2007,NUTS,2010,BE242,3,1.229
2009,NUTS,2010,BE242,3,0.354
2010,NUTS,2010,BE242,3,1.034
2005,NUTS,2010,BE25,2,0.878
2008,NUTS,2010,BE25,2,0.435
2008,NUTS,2010,BE251,3,1.814
2005,NUTS,2010,BE253,3,9.59
2000,NUTS,2010,BE3,1,1.198
2001,NUTS,2010,BE3,1,0.359
2002,NUTS,2010,BE3,1,0.893
2003,NUTS,2010,BE3,1,0.594
2004,NUTS,2010,BE3,1,0.518
2005,NUTS,2010,BE3,1,0.663
2006,NUTS,2010,BE3,1,0.659
2007,NUTS,2010,BE3,1,0.728
2008,NUTS,2010,BE3,1,0.289
2009,NUTS,2010,BE3,1,0.193
2010,NUTS,2010,BE3,1,0.214
2011,NUTS,2010,BE3,1,0.113
2012,NUTS,2010,BE3,1,0.281
2000,NUTS,2010,BE31,2,2.858
2001,NUTS,2010,BE31,2,1.903
2002,NUTS,2010,BE31,2,2.815
2004,NUTS,2010,BE31,2,2.079
2005,NUTS,2010,BE31,2,3.436
2007,NUTS,2010,BE31,2,0.891
2008,NUTS,2010,BE31,2,0.884
2009,NUTS,2010,BE31,2,0.453
2012,NUTS,2010,BE31,2,1.293
2000,NUTS,2010,BE310,3,2.858
2001,NUTS,2010,BE310,3,1.903
2002,NUTS,2010,BE310,3,2.815
2004,NUTS,2010,BE310,3,2.079
2005,NUTS,2010,BE310,3,3.436
2007,NUTS,2010,BE310,3,0.891
2008,NUTS,2010,BE310,3,0.884
2009,NUTS,2010,BE310,3,0.453
2012,NUTS,2010,BE310,3,1.293
2001,NUTS,2010,BE32,2,0.258
2002,NUTS,2010,BE32,2,1.561
2003,NUTS,2010,BE32,2,0.39
2006,NUTS,2010,BE32,2,1.55
2007,NUTS,2010,BE32,2,0.517
2008,NUTS,2010,BE32,2,0.515
2009,NUTS,2010,BE32,2,0.13
2011,NUTS,2010,BE32,2,0.152
2012,NUTS,2010,BE32,2,0.377
2007,NUTS,2010,BE321,3,4.033
2012,NUTS,2010,BE321,3,5.879
2001,NUTS,2010,BE322,3,0.785
2002,NUTS,2010,BE322,3,4.755
2007,NUTS,2010,BE322,3,0.781
2008,NUTS,2010,BE322,3,0.78
2003,NUTS,2010,BE323,3,2.009
2011,NUTS,2010,BE323,3,0.788
2009,NUTS,2010,BE325,3,0.933
2006,NUTS,2010,BE326,3,13.608
2008,NUTS,2010,BE326,3,2.227
2000,NUTS,2010,BE33,2,2.943
2001,NUTS,2010,BE33,2,0.196
2004,NUTS,2010,BE33,2,0.243
2005,NUTS,2010,BE33,2,0.967
2006,NUTS,2010,BE33,2,0.24
2007,NUTS,2010,BE33,2,1.432
2009,NUTS,2010,BE33,2,0.311
2010,NUTS,2010,BE33,2,0.702
2011,NUTS,2010,BE33,2,0.185
2000,NUTS,2010,BE331,3,4.999
2005,NUTS,2010,BE331,3,4.828
2011,NUTS,2010,BE331,3,1.832
2000,NUTS,2010,BE332,3,4.269
2001,NUTS,2010,BE332,3,0.342
2004,NUTS,2010,BE332,3,0.426
2005,NUTS,2010,BE332,3,0.85
2007,NUTS,2010,BE332,3,1.682
2009,NUTS,2010,BE332,3,0.55
2010,NUTS,2010,BE332,3,1.242
2007,NUTS,2010,BE334,3,3.42
2007,NUTS,2010,BE335,3,1.242
2006,NUTS,2010,BE336,3,3.419
2003,NUTS,2010,BE35,2,3.33
2004,NUTS,2010,BE35,2,1.656
2004,NUTS,2010,BE351,3,7.374
2003,NUTS,2010,BE352,3,5.228
2012,NUTS,2010,BG,0,0.068
2012,NUTS,2010,BG3,1,0.067
2012,NUTS,2010,BG33,2,0.26
2012,NUTS,2010,BG332,3,1.329
2012,NUTS,2010,BG4,1,0.069
2012,NUTS,2010,BG42,2,0.17
2012,NUTS,2010,BG421,3,0.367
1990,NUTS,2010,CH,0,0.45
1991,NUTS,2010,CH,0,0.148
1992,NUTS,2010,CH,0,0.438
1993,NUTS,2010,CH,0,0.145
1994,NUTS,2010,CH,0,0.431
1995,NUTS,2010,CH,0,0.59
1996,NUTS,2010,CH,0,0.566
1997,NUTS,2010,CH,0,0.424
1998,NUTS,2010,CH,0,2.231
1999,NUTS,2010,CH,0,1.123
2000,NUTS,2010,CH,0,1.117
2001,NUTS,2010,CH,0,0.763
2002,NUTS,2010,CH,0,0.62
2003,NUTS,2010,CH,0,1.06
2004,NUTS,2010,CH,0,0.758
2005,NUTS,2010,CH,0,0.854
2006,NUTS,2010,CH,0,0.961
2007,NUTS,2010,CH,0,0.814
2008,NUTS,2010,CH,0,0.395
2009,NUTS,2010,CH,0,1.768
2010,NUTS,2010,CH,0,0.712
2011,NUTS,2010,CH,0,0.381
2012,NUTS,2010,CH,0,0.22
1990,NUTS,2010,CH0,1,0.45
1991,NUTS,2010,CH0,1,0.148
1992,NUTS,2010,CH0,1,0.438
1993,NUTS,2010,CH0,1,0.145
1994,NUTS,2010,CH0,1,0.431
1995,NUTS,2010,CH0,1,0.59
1996,NUTS,2010,CH0,1,0.566
1997,NUTS,2010,CH0,1,0.424
1998,NUTS,2010,CH0,1,2.231
1999,NUTS,2010,CH0,1,0.983
2000,NUTS,2010,CH0,1,1.117
2001,NUTS,2010,CH0,1,0.764
2002,NUTS,2010,CH0,1,0.62
2003,NUTS,2010,CH0,1,1.06
2004,NUTS,2010,CH0,1,0.758
2005,NUTS,2010,CH0,1,0.809
2006,NUTS,2010,CH0,1,0.961
2007,NUTS,2010,CH0,1,0.814
2008,NUTS,2010,CH0,1,0.395
2009,NUTS,2010,CH0,1,1.768
2010,NUTS,2010,CH0,1,0.712
2011,NUTS,2010,CH0,1,0.381
2012,NUTS,2010,CH0,1,0.22
1990,NUTS,2010,CH01,2,1.683
1992,NUTS,2010,CH01,2,0.815
1994,NUTS,2010,CH01,2,0.799
1995,NUTS,2010,CH01,2,0.396
1998,NUTS,2010,CH01,2,1.174
1999,NUTS,2010,CH01,2,0.778
2000,NUTS,2010,CH01,2,0.772
2001,NUTS,2010,CH01,2,0.384
2002,NUTS,2010,CH01,2,0.38
2004,NUTS,2010,CH01,2,1.172
2005,NUTS,2010,CH01,2,1.468
2006,NUTS,2010,CH01,2,0.727
2007,NUTS,2010,CH01,2,1.079
2008,NUTS,2010,CH01,2,1.42
2009,NUTS,2010,CH01,2,4.139
2012,NUTS,2010,CH01,2,0.565
1990,NUTS,2010,CH011,3,1.748
1999,NUTS,2010,CH011,3,1.635
2001,NUTS,2010,CH011,3,0.808
2002,NUTS,2010,CH011,3,0.8
2004,NUTS,2010,CH011,3,0.908
2007,NUTS,2010,CH011,3,0.755
2009,NUTS,2010,CH011,3,8.282
2012,NUTS,2010,CH011,3,1.102
1992,NUTS,2010,CH012,3,3.88
1994,NUTS,2010,CH012,3,3.749
1995,NUTS,2010,CH012,3,1.856
1998,NUTS,2010,CH012,3,5.487
2006,NUTS,2010,CH012,3,3.43
2007,NUTS,2010,CH012,3,3.394
2012,NUTS,2010,CH012,3,0.158
1990,NUTS,2010,CH013,3,2.681
2000,NUTS,2010,CH013,3,2.481
2004,NUTS,2010,CH013,3,2.359
2005,NUTS,2010,CH013,3,4.68
2008,NUTS,2010,CH013,3,4.564
2009,NUTS,2010,CH013,3,0.56
1990,NUTS,2010,CH02,2,0.629
1992,NUTS,2010,CH02,2,0.616
1995,NUTS,2010,CH02,2,0.612
1996,NUTS,2010,CH02,2,0.457
1998,NUTS,2010,CH02,2,0.505
1999,NUTS,2010,CH02,2,1.211
2000,NUTS,2010,CH02,2,1.811
2001,NUTS,2010,CH02,2,1.205
2002,NUTS,2010,CH02,2,0.3
2003,NUTS,2010,CH02,2,1.194
2006,NUTS,2010,CH02,2,1.179
2007,NUTS,2010,CH02,2,0.358
2009,NUTS,2010,CH02,2,0.578
2012,NUTS,2010,CH02,2,0.062
1990,NUTS,2010,CH021,3,1.067
1992,NUTS,2010,CH021,3,1.053
1996,NUTS,2010,CH021,3,0.531
1998,NUTS,2010,CH021,3,0.884
1999,NUTS,2010,CH021,3,2.125
2000,NUTS,2010,CH021,3,3.18
2001,NUTS,2010,CH021,3,1.059
2003,NUTS,2010,CH021,3,2.106
2001,NUTS,2010,CH022,3,4.219
2006,NUTS,2010,CH022,3,3.938
2007,NUTS,2010,CH022,3,0.426
2009,NUTS,2010,CH022,3,3.724
2012,NUTS,2010,CH022,3,0.176
1995,NUTS,2010,CH023,3,4.213
1996,NUTS,2010,CH023,3,1.045
2012,NUTS,2010,CH023,3,0.195
2002,NUTS,2010,CH024,3,3.008
2006,NUTS,2010,CH024,3,5.937
2007,NUTS,2010,CH024,3,2.96
1991,NUTS,2010,CH03,2,1.083
1992,NUTS,2010,CH03,2,1.07
1997,NUTS,2010,CH03,2,1.02
1998,NUTS,2010,CH03,2,2.036
1999,NUTS,2010,CH03,2,1.017
2000,NUTS,2010,CH03,2,1.012
2001,NUTS,2010,CH03,2,0.252
2002,NUTS,2010,CH03,2,0.752
2003,NUTS,2010,CH03,2,0.995
2004,NUTS,2010,CH03,2,0.988
2005,NUTS,2010,CH03,2,1.966
2006,NUTS,2010,CH03,2,0.979
2007,NUTS,2010,CH03,2,0.39
2009,NUTS,2010,CH03,2,0.314
2010,NUTS,2010,CH03,2,0.745
2012,NUTS,2010,CH03,2,0.343
1991,NUTS,2010,CH031,3,5.159
1992,NUTS,2010,CH031,3,5.111
1999,NUTS,2010,CH031,3,5.249
2000,NUTS,2010,CH031,3,5.306
2012,NUTS,2010,CH031,3,0.268
2003,NUTS,2010,CH032,3,3.803
2006,NUTS,2010,CH032,3,3.758
2012,NUTS,2010,CH032,3,0.944
1997,NUTS,2010,CH033,3,1.881
1998,NUTS,2010,CH033,3,3.745
2001,NUTS,2010,CH033,3,0.46
2002,NUTS,2010,CH033,3,1.363
2004,NUTS,2010,CH033,3,1.784
2005,NUTS,2010,CH033,3,3.539
2007,NUTS,2010,CH033,3,0.696
2009,NUTS,2010,CH033,3,0.558
2010,NUTS,2010,CH033,3,1.317
2012,NUTS,2010,CH033,3,0.081
1993,NUTS,2010,CH04,2,0.864
1994,NUTS,2010,CH04,2,0.861
1995,NUTS,2010,CH04,2,1.403
1996,NUTS,2010,CH04,2,1.489
1997,NUTS,2010,CH04,2,0.848
1998,NUTS,2010,CH04,2,4.088
1999,NUTS,2010,CH04,2,1.684
2000,NUTS,2010,CH04,2,2.503
2001,NUTS,2010,CH04,2,1.24
2002,NUTS,2010,CH04,2,1.426
2003,NUTS,2010,CH04,2,2.618
2004,NUTS,2010,CH04,2,2.136
2005,NUTS,2010,CH04,2,0.793
2006,NUTS,2010,CH04,2,1.705
2007,NUTS,2010,CH04,2,2.025
2008,NUTS,2010,CH04,2,0.382
2009,NUTS,2010,CH04,2,1.126
2010,NUTS,2010,CH04,2,0.185
2011,NUTS,2010,CH04,2,1.457
2012,NUTS,2010,CH04,2,0.187
1993,NUTS,2010,CH040,3,0.864
1994,NUTS,2010,CH040,3,0.861
1995,NUTS,2010,CH040,3,1.403
1996,NUTS,2010,CH040,3,1.489
1997,NUTS,2010,CH040,3,0.848
1998,NUTS,2010,CH040,3,4.088
1999,NUTS,2010,CH040,3,1.684
2000,NUTS,2010,CH040,3,2.503
2001,NUTS,2010,CH040,3,1.24
2002,NUTS,2010,CH040,3,1.426
2003,NUTS,2010,CH040,3,2.618
2004,NUTS,2010,CH040,3,2.136
2005,NUTS,2010,CH040,3,0.793
2006,NUTS,2010,CH040,3,1.705
2007,NUTS,2010,CH040,3,2.025
2008,NUTS,2010,CH040,3,0.382
2009,NUTS,2010,CH040,3,1.126
2010,NUTS,2010,CH040,3,0.185
2011,NUTS,2010,CH040,3,1.457
2012,NUTS,2010,CH040,3,0.187
1995,NUTS,2010,CH05,2,0.973
1996,NUTS,2010,CH05,2,1.452
1997,NUTS,2010,CH05,2,0.965
1998,NUTS,2010,CH05,2,5.308
1999,NUTS,2010,CH05,2,0.963
2010,NUTS,2010,CH05,2,0.457
2011,NUTS,2010,CH05,2,0.906
2012,NUTS,2010,CH05,2,0.045
1998,NUTS,2010,CH051,3,129.082
1998,NUTS,2010,CH052,3,6.78
1996,NUTS,2010,CH055,3,2.261
1997,NUTS,2010,CH055,3,1.127
2011,NUTS,2010,CH055,3,2.088
2012,NUTS,2010,CH055,3,0.103
1995,NUTS,2010,CH056,3,5.43
1999,NUTS,2010,CH056,3,5.373
2010,NUTS,2010,CH056,3,2.606
1996,NUTS,2010,CH057,3,2.238
1997,NUTS,2010,CH057,3,2.224
1998,NUTS,2010,CH06,2,1.243
2001,NUTS,2010,CH06,2,1.837
2002,NUTS,2010,CH06,2,1.453
2003,NUTS,2010,CH06,2,1.44
2004,NUTS,2010,CH06,2,0.472
2005,NUTS,2010,CH06,2,1.421
2006,NUTS,2010,CH06,2,1.411
2007,NUTS,2010,CH06,2,1.401
2008,NUTS,2010,CH06,2,0.692
2009,NUTS,2010,CH06,2,1.814
2010,NUTS,2010,CH06,2,4.056
2012,NUTS,2010,CH06,2,0.145
1998,NUTS,2010,CH061,3,0.962
2001,NUTS,2010,CH061,3,2.165
2004,NUTS,2010,CH061,3,0.934
2009,NUTS,2010,CH061,3,0.895
2012,NUTS,2010,CH061,3,0.131
1998,NUTS,2010,CH063,3,3.995
2012,NUTS,2010,CH063,3,0.338
2001,NUTS,2010,CH065,3,13.224
2003,NUTS,2010,CH065,3,25.816
2008,NUTS,2010,CH065,3,12.411
2009,NUTS,2010,CH065,3,24.548
2002,NUTS,2010,CH066,3,9.899
2005,NUTS,2010,CH066,3,9.502
2006,NUTS,2010,CH066,3,9.39
2007,NUTS,2010,CH066,3,9.331
2010,NUTS,2010,CH066,3,27.054
1994,NUTS,2010,CH07,2,3.356
1998,NUTS,2010,CH07,2,1.08
2003,NUTS,2010,CH07,2,1.586
2009,NUTS,2010,CH07,2,10.519
2010,NUTS,2010,CH07,2,2.979
1994,NUTS,2010,CH070,3,3.356
1998,NUTS,2010,CH070,3,1.08
2003,NUTS,2010,CH070,3,1.586
2009,NUTS,2010,CH070,3,10.519
2010,NUTS,2010,CH070,3,2.979
1990,NUTS,2010,CY,0,1.746
2003,NUTS,2010,CY,0,1.401
1990,NUTS,2010,CY0,1,1.746
2003,NUTS,2010,CY0,1,1.401
1990,NUTS,2010,CY00,2,1.746
2003,NUTS,2010,CY00,2,1.401
1990,NUTS,2010,CY000,3,1.746
2003,NUTS,2010,CY000,3,1.401
1999,NUTS,2010,CZ,0,0.097
2000,NUTS,2010,CZ,0,0.097
2002,NUTS,2010,CZ,0,0.098
2003,NUTS,2010,CZ,0,0.098
2009,NUTS,2010,CZ,0,0.096
2012,NUTS,2010,CZ,0,0.19
2000,NUTS,2010,CZ0,1,0.097
2002,NUTS,2010,CZ0,1,0.098
2003,NUTS,2010,CZ0,1,0.098
2009,NUTS,2010,CZ0,1,0.096
2012,NUTS,2010,CZ0,1,0.19
2000,NUTS,2010,CZ01,2,0.843
2002,NUTS,2010,CZ01,2,0.864
2012,NUTS,2010,CZ01,2,0.805
2000,NUTS,2010,CZ010,3,0.843
2002,NUTS,2010,CZ010,3,0.864
2012,NUTS,2010,CZ010,3,0.805
2003,NUTS,2010,CZ02,2,0.886
2009,NUTS,2010,CZ02,2,0.813
2003,NUTS,2010,CZ020,3,0.886
2009,NUTS,2010,CZ020,3,0.813
2012,NUTS,2010,CZ06,2,0.596
2012,NUTS,2010,CZ064,3,0.857
1990,NUTS,2010,DE,0,0.476
1991,NUTS,2010,DE,0,0.702
1992,NUTS,2010,DE,0,0.63
1993,NUTS,2010,DE,0,0.541
1994,NUTS,2010,DE,0,0.376
1995,NUTS,2010,DE,0,0.562
1996,NUTS,2010,DE,0,0.714
1997,NUTS,2010,DE,0,0.875
1998,NUTS,2010,DE,0,0.961
1999,NUTS,2010,DE,0,1.138
2000,NUTS,2010,DE,0,1.208
2001,NUTS,2010,DE,0,0.943
2002,NUTS,2010,DE,0,1.272
2003,NUTS,2010,DE,0,1.761
2004,NUTS,2010,DE,0,1.802
2005,NUTS,2010,DE,0,1.721
2006,NUTS,2010,DE,0,1.739
2007,NUTS,2010,DE,0,2.406
2008,NUTS,2010,DE,0,2.412
2009,NUTS,2010,DE,0,2.676
2010,NUTS,2010,DE,0,2.336
2011,NUTS,2010,DE,0,2.461
2012,NUTS,2010,DE,0,2.449
2000,NUTS,2010,DE1,1,1.51
2001,NUTS,2010,DE1,1,2.204
2002,NUTS,2010,DE1,1,1.415
2003,NUTS,2010,DE1,1,1.165
2004,NUTS,2010,DE1,1,2.331
2005,NUTS,2010,DE1,1,2.063
2006,NUTS,2010,DE1,1,1.725
2007,NUTS,2010,DE1,1,2.788
2008,NUTS,2010,DE1,1,1.79
2009,NUTS,2010,DE1,1,2.324
2010,NUTS,2010,DE1,1,2.463
2011,NUTS,2010,DE1,1,2.461
2012,NUTS,2010,DE1,1,1.321
2000,NUTS,2010,DE11,2,1.958
2001,NUTS,2010,DE11,2,2.267
2002,NUTS,2010,DE11,2,1.556
2003,NUTS,2010,DE11,2,1.38
2004,NUTS,2010,DE11,2,2.649
2005,NUTS,2010,DE11,2,1.541
2006,NUTS,2010,DE11,2,1.996
2007,NUTS,2010,DE11,2,1.705
2008,NUTS,2010,DE11,2,0.811
