year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2016,NUTS,2010,BE2,1,13917.0
2017,NUTS,2010,BE2,1,14103.0
2018,NUTS,2010,BE2,1,14712.0
2019,NUTS,2010,BE2,1,15223.0
2011,NUTS,2010,BE3,1,5552.0
2012,NUTS,2010,BE3,1,5325.0
2013,NUTS,2010,BE3,1,5279.0
2014,NUTS,2010,BE3,1,5249.0
2015,NUTS,2010,BE3,1,6880.0
2016,NUTS,2010,BE3,1,6052.0
2017,NUTS,2010,BE3,1,5889.0
2018,NUTS,2010,BE3,1,5834.0
2019,NUTS,2010,BE3,1,5840.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,5216.0
2012,NUTS,2010,BG,0,4356.0
2013,NUTS,2010,BG,0,4517.0
2014,NUTS,2010,BG,0,5064.0
2015,NUTS,2010,BG,0,4521.0
2016,NUTS,2010,BG,0,5707.0
2017,NUTS,2010,BG,0,4414.0
2018,NUTS,2010,BG,0,4404.0
2019,NUTS,2010,BG,0,4123.0
2020,NUTS,2010,BG,0,4059.0
2011,NUTS,2010,BG3,1,1846.0
2012,NUTS,2010,BG3,1,1739.0
2013,NUTS,2010,BG3,1,1842.0
2014,NUTS,2010,BG3,1,2321.0
2015,NUTS,2010,BG3,1,1965.0
2016,NUTS,2010,BG3,1,1872.0
2017,NUTS,2010,BG3,1,1768.0
2018,NUTS,2010,BG3,1,1872.0
2019,NUTS,2010,BG3,1,1884.0
2011,NUTS,2010,BG32,2,499.0
2012,NUTS,2010,BG32,2,464.0
2013,NUTS,2010,BG32,2,487.0
2014,NUTS,2010,BG32,2,893.0
2015,NUTS,2010,BG32,2,644.0
2016,NUTS,2010,BG32,2,510.0
2017,NUTS,2010,BG32,2,496.0
2018,NUTS,2010,BG32,2,522.0
2019,NUTS,2010,BG32,2,432.0
2012,NUTS,2010,BG33,2,811.0
2013,NUTS,2010,BG33,2,805.0
2014,NUTS,2010,BG33,2,991.0
2015,NUTS,2010,BG33,2,899.0
2011,NUTS,2010,BG34,2,480.0
2016,NUTS,2010,BG34,2,368.0
2017,NUTS,2010,BG34,2,347.0
2011,NUTS,2010,BG4,1,3370.0
2012,NUTS,2010,BG4,1,2617.0
2013,NUTS,2010,BG4,1,2675.0
2014,NUTS,2010,BG4,1,2743.0
2015,NUTS,2010,BG4,1,2556.0
2016,NUTS,2010,BG4,1,3835.0
2017,NUTS,2010,BG4,1,2646.0
2018,NUTS,2010,BG4,1,2532.0
2019,NUTS,2010,BG4,1,2239.0
2013,NUTS,2010,BG41,2,2202.0
2015,NUTS,2010,BG41,2,2001.0
2016,NUTS,2010,BG41,2,3406.0
2017,NUTS,2010,BG41,2,2151.0
2018,NUTS,2010,BG41,2,2004.0
2019,NUTS,2010,BG41,2,1594.0
2013,NUTS,2010,BG42,2,473.0
2015,NUTS,2010,BG42,2,555.0
2016,NUTS,2010,BG42,2,429.0
2017,NUTS,2010,BG42,2,495.0
2018,NUTS,2010,BG42,2,528.0
2019,NUTS,2010,BG42,2,645.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,26945.0
2015,NUTS,2010,CH,0,29717.0
2017,NUTS,2010,CH,0,31523.0
2019,NUTS,2010,CH,0,33190.0
2011,NUTS,2010,CN_X_HK,5,299296.0
2012,NUTS,2010,CN_X_HK,5,313520.0
2013,NUTS,2010,CN_X_HK,5,324942.0
2014,NUTS,2010,CN_X_HK,5,334794.0
2015,NUTS,2010,CN_X_HK,5,354861.0
2016,NUTS,2010,CN_X_HK,5,360049.0
2017,NUTS,2010,CN_X_HK,5,382160.0
2018,NUTS,2010,CN_X_HK,5,410893.0
2019,NUTS,2010,CN_X_HK,5,565478.0
2011,NUTS,2010,CY,0,628.0
2012,NUTS,2010,CY,0,599.0
2013,NUTS,2010,CY,0,617.0
2014,NUTS,2010,CY,0,599.0
2015,NUTS,2010,CY,0,588.0
2016,NUTS,2010,CY,0,583.0
2017,NUTS,2010,CY,0,673.0
2018,NUTS,2010,CY,0,734.0
2019,NUTS,2010,CY,0,821.0
2020,NUTS,2010,CY,0,840.0
2011,NUTS,2010,CZ,0,14724.0
2012,NUTS,2010,CZ,0,16441.0
2013,NUTS,2010,CZ,0,16240.0
2014,NUTS,2010,CZ,0,16525.0
2015,NUTS,2010,CZ,0,16868.0
2016,NUTS,2010,CZ,0,15201.0
2017,NUTS,2010,CZ,0,15803.0
2018,NUTS,2010,CZ,0,18226.0
2019,NUTS,2010,CZ,0,19647.0
2020,NUTS,2010,CZ,0,20007.0
2011,NUTS,2010,CZ0,1,14724.0
2012,NUTS,2010,CZ0,1,16441.0
2013,NUTS,2010,CZ0,1,16240.0
2014,NUTS,2010,CZ0,1,16525.0
2015,NUTS,2010,CZ0,1,16868.0
2016,NUTS,2010,CZ0,1,15201.0
2017,NUTS,2010,CZ0,1,15803.0
2018,NUTS,2010,CZ0,1,18226.0
2019,NUTS,2010,CZ0,1,19647.0
2020,NUTS,2010,CZ0,1,20007.0
2011,NUTS,2010,CZ01,2,5913.0
2012,NUTS,2010,CZ01,2,5603.0
2013,NUTS,2010,CZ01,2,6273.0
2014,NUTS,2010,CZ01,2,5932.0
2015,NUTS,2010,CZ01,2,5981.0
2016,NUTS,2010,CZ01,2,4699.0
2017,NUTS,2010,CZ01,2,5411.0
2018,NUTS,2010,CZ01,2,6595.0
2019,NUTS,2010,CZ01,2,7290.0
2020,NUTS,2010,CZ01,2,7410.0
2011,NUTS,2010,CZ02,2,123.0
2012,NUTS,2010,CZ02,2,136.0
2013,NUTS,2010,CZ02,2,160.0
2014,NUTS,2010,CZ02,2,222.0
2015,NUTS,2010,CZ02,2,254.0
2016,NUTS,2010,CZ02,2,188.0
2017,NUTS,2010,CZ02,2,204.0
2018,NUTS,2010,CZ02,2,216.0
2019,NUTS,2010,CZ02,2,254.0
2020,NUTS,2010,CZ02,2,248.0
2011,NUTS,2010,CZ03,2,1394.0
2012,NUTS,2010,CZ03,2,1401.0
2013,NUTS,2010,CZ03,2,1551.0
2014,NUTS,2010,CZ03,2,1831.0
2015,NUTS,2010,CZ03,2,1481.0
2016,NUTS,2010,CZ03,2,1373.0
2017,NUTS,2010,CZ03,2,1494.0
2018,NUTS,2010,CZ03,2,1593.0
2019,NUTS,2010,CZ03,2,1619.0
2020,NUTS,2010,CZ03,2,1741.0
2011,NUTS,2010,CZ04,2,175.0
2012,NUTS,2010,CZ04,2,204.0
2013,NUTS,2010,CZ04,2,242.0
2014,NUTS,2010,CZ04,2,245.0
2015,NUTS,2010,CZ04,2,264.0
2016,NUTS,2010,CZ04,2,245.0
2017,NUTS,2010,CZ04,2,290.0
2018,NUTS,2010,CZ04,2,361.0
2019,NUTS,2010,CZ04,2,295.0
2020,NUTS,2010,CZ04,2,215.0
2011,NUTS,2010,CZ05,2,1294.0
2012,NUTS,2010,CZ05,2,1272.0
2013,NUTS,2010,CZ05,2,1265.0
2014,NUTS,2010,CZ05,2,1301.0
2015,NUTS,2010,CZ05,2,1325.0
