year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_fte
2017,NUTS,2010,DE40,2,463.0
2019,NUTS,2010,DE40,2,481.0
2017,NUTS,2010,DE5,1,255.0
2019,NUTS,2010,DE5,1,314.0
2017,NUTS,2010,DE50,2,255.0
2019,NUTS,2010,DE50,2,314.0
2017,NUTS,2010,DE6,1,851.0
2019,NUTS,2010,DE6,1,930.0
2017,NUTS,2010,DE60,2,851.0
2019,NUTS,2010,DE60,2,930.0
2017,NUTS,2010,DE7,1,3273.0
2019,NUTS,2010,DE7,1,3522.0
2017,NUTS,2010,DE71,2,2710.0
2019,NUTS,2010,DE71,2,2978.0
2017,NUTS,2010,DE72,2,329.0
2019,NUTS,2010,DE72,2,306.0
2017,NUTS,2010,DE73,2,233.0
2019,NUTS,2010,DE73,2,238.0
2017,NUTS,2010,DE8,1,208.0
2019,NUTS,2010,DE8,1,262.0
2017,NUTS,2010,DE80,2,208.0
2019,NUTS,2010,DE80,2,262.0
2017,NUTS,2010,DE9,1,2267.0
2019,NUTS,2010,DE9,1,2501.0
2017,NUTS,2010,DE91,2,1221.0
2019,NUTS,2010,DE91,2,1327.0
2017,NUTS,2010,DE92,2,562.0
2019,NUTS,2010,DE92,2,602.0
2017,NUTS,2010,DE93,2,188.0
2019,NUTS,2010,DE93,2,213.0
2017,NUTS,2010,DE94,2,297.0
2019,NUTS,2010,DE94,2,359.0
2017,NUTS,2010,DEA,1,5478.0
2019,NUTS,2010,DEA,1,6192.0
2017,NUTS,2010,DEA1,2,2436.0
2019,NUTS,2010,DEA1,2,2740.0
2017,NUTS,2010,DEA2,2,1443.0
2019,NUTS,2010,DEA2,2,1714.0
2017,NUTS,2010,DEA3,2,316.0
2019,NUTS,2010,DEA3,2,361.0
2017,NUTS,2010,DEA4,2,626.0
2019,NUTS,2010,DEA4,2,693.0
2017,NUTS,2010,DEA5,2,657.0
2019,NUTS,2010,DEA5,2,684.0
2017,NUTS,2010,DEB,1,1414.0
2019,NUTS,2010,DEB,1,1705.0
2017,NUTS,2010,DEB1,2,180.0
2019,NUTS,2010,DEB1,2,216.0
2017,NUTS,2010,DEB2,2,63.0
2019,NUTS,2010,DEB2,2,64.0
2017,NUTS,2010,DEB3,2,1172.0
2019,NUTS,2010,DEB3,2,1425.0
2017,NUTS,2010,DEC,1,287.0
2019,NUTS,2010,DEC,1,288.0
2017,NUTS,2010,DEC0,2,287.0
2019,NUTS,2010,DEC0,2,288.0
2017,NUTS,2010,DED,1,1283.0
2019,NUTS,2010,DED,1,1404.0
2017,NUTS,2010,DED2,2,644.0
2019,NUTS,2010,DED2,2,746.0
2017,NUTS,2010,DED4,2,462.0
2019,NUTS,2010,DED4,2,488.0
2017,NUTS,2010,DED5,2,177.0
2019,NUTS,2010,DED5,2,171.0
2017,NUTS,2010,DEE,1,266.0
2019,NUTS,2010,DEE,1,316.0
2017,NUTS,2010,DEE0,2,266.0
2019,NUTS,2010,DEE0,2,316.0
2017,NUTS,2010,DEF,1,524.0
2019,NUTS,2010,DEF,1,560.0
2017,NUTS,2010,DEF0,2,524.0
2019,NUTS,2010,DEF0,2,560.0
2017,NUTS,2010,DEG,1,590.0
2019,NUTS,2010,DEG,1,641.0
2017,NUTS,2010,DEG0,2,590.0
2019,NUTS,2010,DEG0,2,641.0
2017,NUTS,2010,DEZ,1,0.0
2019,NUTS,2010,DEZ,1,0.0
2017,NUTS,2010,DEZZ,2,0.0
2019,NUTS,2010,DEZZ,2,0.0
2011,NUTS,2010,DK,0,5985.0
2012,NUTS,2010,DK,0,6041.0
2013,NUTS,2010,DK,0,6482.0
2015,NUTS,2010,DK,0,6242.0
2017,NUTS,2010,DK,0,7655.0
2019,NUTS,2010,DK,0,6862.0
2011,NUTS,2010,DK0,1,5985.0
2012,NUTS,2010,DK0,1,6041.0
2013,NUTS,2010,DK0,1,6743.0
2015,NUTS,2010,DK0,1,6242.0
2017,NUTS,2010,DK0,1,7655.0
2019,NUTS,2010,DK0,1,6862.0
2011,NUTS,2010,DK01,2,4636.0
2013,NUTS,2010,DK01,2,5048.0
2015,NUTS,2010,DK01,2,4625.0
2017,NUTS,2010,DK01,2,6292.0
2019,NUTS,2010,DK01,2,4961.0
2011,NUTS,2010,DK02,2,212.0
2013,NUTS,2010,DK02,2,385.0
2015,NUTS,2010,DK02,2,196.0
2017,NUTS,2010,DK02,2,266.0
2019,NUTS,2010,DK02,2,296.0
