year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_eur_hab
2020,NUTS,2010,CZ02,2,401.7
2011,NUTS,2010,CZ03,2,179.7
2012,NUTS,2010,CZ03,2,207.9
2013,NUTS,2010,CZ03,2,212.2
2014,NUTS,2010,CZ03,2,216.8
2015,NUTS,2010,CZ03,2,219.9
2016,NUTS,2010,CZ03,2,191.7
2017,NUTS,2010,CZ03,2,204.1
2018,NUTS,2010,CZ03,2,249.2
2019,NUTS,2010,CZ03,2,281.5
2020,NUTS,2010,CZ03,2,253.0
2011,NUTS,2010,CZ04,2,34.7
2012,NUTS,2010,CZ04,2,46.7
2013,NUTS,2010,CZ04,2,40.9
2014,NUTS,2010,CZ04,2,44.1
2015,NUTS,2010,CZ04,2,42.4
2016,NUTS,2010,CZ04,2,34.2
2017,NUTS,2010,CZ04,2,37.8
2018,NUTS,2010,CZ04,2,45.4
2019,NUTS,2010,CZ04,2,57.7
2020,NUTS,2010,CZ04,2,55.9
2011,NUTS,2010,CZ05,2,162.0
2012,NUTS,2010,CZ05,2,193.0
2013,NUTS,2010,CZ05,2,177.2
2014,NUTS,2010,CZ05,2,178.3
2015,NUTS,2010,CZ05,2,174.1
2016,NUTS,2010,CZ05,2,171.6
2017,NUTS,2010,CZ05,2,196.9
2018,NUTS,2010,CZ05,2,234.5
2019,NUTS,2010,CZ05,2,250.7
2020,NUTS,2010,CZ05,2,238.3
2011,NUTS,2010,CZ06,2,290.5
2012,NUTS,2010,CZ06,2,368.8
2013,NUTS,2010,CZ06,2,397.4
2014,NUTS,2010,CZ06,2,400.1
2015,NUTS,2010,CZ06,2,419.0
2016,NUTS,2010,CZ06,2,359.6
2017,NUTS,2010,CZ06,2,379.7
2018,NUTS,2010,CZ06,2,416.4
2019,NUTS,2010,CZ06,2,468.7
2020,NUTS,2010,CZ06,2,485.1
2011,NUTS,2010,CZ07,2,140.7
2012,NUTS,2010,CZ07,2,190.3
2013,NUTS,2010,CZ07,2,167.0
2014,NUTS,2010,CZ07,2,182.0
2015,NUTS,2010,CZ07,2,165.6
2016,NUTS,2010,CZ07,2,165.5
2017,NUTS,2010,CZ07,2,209.7
2018,NUTS,2010,CZ07,2,246.4
