year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2015,NUTS,2010,BG41,2,421.501
2016,NUTS,2010,BG41,2,327.844
2017,NUTS,2010,BG41,2,304.132
2018,NUTS,2010,BG41,2,343.346
2019,NUTS,2010,BG41,2,379.489
2011,NUTS,2010,BG42,2,9.107
2012,NUTS,2010,BG42,2,13.952
2013,NUTS,2010,BG42,2,12.67
2014,NUTS,2010,BG42,2,19.737
2015,NUTS,2010,BG42,2,45.344
2016,NUTS,2010,BG42,2,47.654
2017,NUTS,2010,BG42,2,46.386
2018,NUTS,2010,BG42,2,42.461
2019,NUTS,2010,BG42,2,44.516
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,5823.083
2015,NUTS,2010,CH,0,6459.045
2017,NUTS,2010,CH,0,6596.301
2019,NUTS,2010,CH,0,7173.552
2012,NUTS,2010,CH0,1,5823.083
2015,NUTS,2010,CH0,1,6459.045
2017,NUTS,2010,CH0,1,6596.301
2019,NUTS,2010,CH0,1,7173.552
2012,NUTS,2010,CH01,2,795.179
2015,NUTS,2010,CH01,2,906.597
2012,NUTS,2010,CH02,2,888.806
2015,NUTS,2010,CH02,2,874.725
2012,NUTS,2010,CH03,2,2905.774
2015,NUTS,2010,CH03,2,3401.467
2012,NUTS,2010,CH04,2,662.167
2015,NUTS,2010,CH04,2,790.154
2012,NUTS,2010,CH05,2,531.988
2015,NUTS,2010,CH05,2,505.347
2012,NUTS,2010,CH06,2,503.679
2015,NUTS,2010,CH06,2,721.999
2012,NUTS,2010,CH07,2,197.352
2015,NUTS,2010,CH07,2,44.709
2011,NUTS,2010,CN_X_HK,5,139834.97
2012,NUTS,2010,CN_X_HK,5,161422.172
2013,NUTS,2010,CN_X_HK,5,182436.841
2014,NUTS,2010,CN_X_HK,5,199735.88
2015,NUTS,2010,CN_X_HK,5,216340.186
