year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_se_pc_act
2018,NUTS,2010,AT33,2,7.6
2019,NUTS,2010,AT33,2,8.8
2020,NUTS,2010,AT33,2,9.1
2011,NUTS,2010,AT34,2,3.8
2012,NUTS,2010,AT34,2,4.7
2013,NUTS,2010,AT34,2,5.3
2014,NUTS,2010,AT34,2,5.2
2015,NUTS,2010,AT34,2,5.3
2016,NUTS,2010,AT34,2,5.5
2017,NUTS,2010,AT34,2,5.7
2018,NUTS,2010,AT34,2,7.8
2019,NUTS,2010,AT34,2,7.8
2020,NUTS,2010,AT34,2,8.5
2011,NUTS,2010,BE,0,7.0
2012,NUTS,2010,BE,0,7.5
2013,NUTS,2010,BE,0,7.7
2014,NUTS,2010,BE,0,8.0
2015,NUTS,2010,BE,0,8.4
2016,NUTS,2010,BE,0,9.0
2017,NUTS,2010,BE,0,9.8
2018,NUTS,2010,BE,0,9.8
2019,NUTS,2010,BE,0,10.0
2020,NUTS,2010,BE,0,10.4
2011,NUTS,2010,BE1,1,7.9
2012,NUTS,2010,BE1,1,8.3
2013,NUTS,2010,BE1,1,7.8
2014,NUTS,2010,BE1,1,8.2
2015,NUTS,2010,BE1,1,8.2
2016,NUTS,2010,BE1,1,8.5
2017,NUTS,2010,BE1,1,9.2
2018,NUTS,2010,BE1,1,9.2
2019,NUTS,2010,BE1,1,9.9
2020,NUTS,2010,BE1,1,10.5
2011,NUTS,2010,BE10,2,7.9
2012,NUTS,2010,BE10,2,8.3
2013,NUTS,2010,BE10,2,7.8
2014,NUTS,2010,BE10,2,8.2
2015,NUTS,2010,BE10,2,8.2
2016,NUTS,2010,BE10,2,8.5
2017,NUTS,2010,BE10,2,9.2
2018,NUTS,2010,BE10,2,9.2
2019,NUTS,2010,BE10,2,9.9
2020,NUTS,2010,BE10,2,10.5
2011,NUTS,2010,BE2,1,7.0
2012,NUTS,2010,BE2,1,7.5
2013,NUTS,2010,BE2,1,7.9
2014,NUTS,2010,BE2,1,8.3
2015,NUTS,2010,BE2,1,8.8
2016,NUTS,2010,BE2,1,9.0
2017,NUTS,2010,BE2,1,10.1
2018,NUTS,2010,BE2,1,9.7
2019,NUTS,2010,BE2,1,9.7
2020,NUTS,2010,BE2,1,10.4
2011,NUTS,2010,BE21,2,7.4
2012,NUTS,2010,BE21,2,7.9
2013,NUTS,2010,BE21,2,8.4
2014,NUTS,2010,BE21,2,9.5
2015,NUTS,2010,BE21,2,8.9
2016,NUTS,2010,BE21,2,9.2
2017,NUTS,2010,BE21,2,10.3
2018,NUTS,2010,BE21,2,10.3
2019,NUTS,2010,BE21,2,9.7
2020,NUTS,2010,BE21,2,9.5
2011,NUTS,2010,BE22,2,6.7
2012,NUTS,2010,BE22,2,7.7
2013,NUTS,2010,BE22,2,8.2
2014,NUTS,2010,BE22,2,8.3
2015,NUTS,2010,BE22,2,8.7
2016,NUTS,2010,BE22,2,9.3
2017,NUTS,2010,BE22,2,9.9
2018,NUTS,2010,BE22,2,8.8
2019,NUTS,2010,BE22,2,9.6
2020,NUTS,2010,BE22,2,11.9
2011,NUTS,2010,BE23,2,6.9
2012,NUTS,2010,BE23,2,7.1
2013,NUTS,2010,BE23,2,7.4
2014,NUTS,2010,BE23,2,8.0
2015,NUTS,2010,BE23,2,9.4
2016,NUTS,2010,BE23,2,9.1
2017,NUTS,2010,BE23,2,10.6
2018,NUTS,2010,BE23,2,10.0
2019,NUTS,2010,BE23,2,10.1
2020,NUTS,2010,BE23,2,10.7
2011,NUTS,2010,BE24,2,8.0
2012,NUTS,2010,BE24,2,9.0
2013,NUTS,2010,BE24,2,8.5
2014,NUTS,2010,BE24,2,9.0
2015,NUTS,2010,BE24,2,9.7
2016,NUTS,2010,BE24,2,9.6
2017,NUTS,2010,BE24,2,10.9
2018,NUTS,2010,BE24,2,10.8
2019,NUTS,2010,BE24,2,11.1
2020,NUTS,2010,BE24,2,12.0
2011,NUTS,2010,BE25,2,6.0
2012,NUTS,2010,BE25,2,5.7
2013,NUTS,2010,BE25,2,6.7
2014,NUTS,2010,BE25,2,6.0
2015,NUTS,2010,BE25,2,7.0
2016,NUTS,2010,BE25,2,8.0
2017,NUTS,2010,BE25,2,8.6
2018,NUTS,2010,BE25,2,8.2
2019,NUTS,2010,BE25,2,8.1
2020,NUTS,2010,BE25,2,8.6
2011,NUTS,2010,BE3,1,6.5
2012,NUTS,2010,BE3,1,7.3
2013,NUTS,2010,BE3,1,7.4
2014,NUTS,2010,BE3,1,7.5
2015,NUTS,2010,BE3,1,7.6
2016,NUTS,2010,BE3,1,9.1
2017,NUTS,2010,BE3,1,9.3
2018,NUTS,2010,BE3,1,10.2
2019,NUTS,2010,BE3,1,10.6
2020,NUTS,2010,BE3,1,10.4
2011,NUTS,2010,BE31,2,9.5
2012,NUTS,2010,BE31,2,11.3
2013,NUTS,2010,BE31,2,12.1
2014,NUTS,2010,BE31,2,10.5
2015,NUTS,2010,BE31,2,12.2
2016,NUTS,2010,BE31,2,12.7
2017,NUTS,2010,BE31,2,13.5
2018,NUTS,2010,BE31,2,13.3
2019,NUTS,2010,BE31,2,14.7
2020,NUTS,2010,BE31,2,15.6
2011,NUTS,2010,BE32,2,5.2
2012,NUTS,2010,BE32,2,5.5
2013,NUTS,2010,BE32,2,5.7
2014,NUTS,2010,BE32,2,5.6
2015,NUTS,2010,BE32,2,5.5
2016,NUTS,2010,BE32,2,7.6
2017,NUTS,2010,BE32,2,6.7
2018,NUTS,2010,BE32,2,7.9
2019,NUTS,2010,BE32,2,8.5
2020,NUTS,2010,BE32,2,7.6
2011,NUTS,2010,BE33,2,6.9
2012,NUTS,2010,BE33,2,7.9
2013,NUTS,2010,BE33,2,7.8
2014,NUTS,2010,BE33,2,9.0
2015,NUTS,2010,BE33,2,8.4
2016,NUTS,2010,BE33,2,10.1
2017,NUTS,2010,BE33,2,10.6
2018,NUTS,2010,BE33,2,11.5
2019,NUTS,2010,BE33,2,11.9
2020,NUTS,2010,BE33,2,11.3
2011,NUTS,2010,BE34,2,7.1
2012,NUTS,2010,BE34,2,7.5
2013,NUTS,2010,BE34,2,8.1
2014,NUTS,2010,BE34,2,7.5
2015,NUTS,2010,BE34,2,8.6
2016,NUTS,2010,BE34,2,8.4
2017,NUTS,2010,BE34,2,10.3
2018,NUTS,2010,BE34,2,9.2
2019,NUTS,2010,BE34,2,8.9
2020,NUTS,2010,BE34,2,9.4
2011,NUTS,2010,BE35,2,6.4
2012,NUTS,2010,BE35,2,6.9
2013,NUTS,2010,BE35,2,6.9
2014,NUTS,2010,BE35,2,6.6
2015,NUTS,2010,BE35,2,6.6
2016,NUTS,2010,BE35,2,8.2
2017,NUTS,2010,BE35,2,8.8
2018,NUTS,2010,BE35,2,10.8
2019,NUTS,2010,BE35,2,10.5
2020,NUTS,2010,BE35,2,11.0
2011,NUTS,2010,BG,0,4.9
2012,NUTS,2010,BG,0,4.8
2013,NUTS,2010,BG,0,5.0
2014,NUTS,2010,BG,0,5.6
2015,NUTS,2010,BG,0,5.9
2016,NUTS,2010,BG,0,6.0
2017,NUTS,2010,BG,0,5.9
2018,NUTS,2010,BG,0,6.3
2019,NUTS,2010,BG,0,6.2
2020,NUTS,2010,BG,0,6.6
2011,NUTS,2010,BG3,1,3.8
2012,NUTS,2010,BG3,1,3.7
2013,NUTS,2010,BG3,1,3.7
2014,NUTS,2010,BG3,1,4.3
2015,NUTS,2010,BG3,1,4.5
2016,NUTS,2010,BG3,1,4.4
2017,NUTS,2010,BG3,1,4.4
2018,NUTS,2010,BG3,1,4.7
2019,NUTS,2010,BG3,1,4.6
2020,NUTS,2010,BG3,1,4.6
2011,NUTS,2010,BG31,2,3.9
2012,NUTS,2010,BG31,2,3.8
2013,NUTS,2010,BG31,2,3.7
2014,NUTS,2010,BG31,2,4.6
2015,NUTS,2010,BG31,2,4.8
2016,NUTS,2010,BG31,2,4.5
2017,NUTS,2010,BG31,2,4.1
2018,NUTS,2010,BG31,2,4.7
2019,NUTS,2010,BG31,2,4.5
2020,NUTS,2010,BG31,2,4.6
2011,NUTS,2010,BG32,2,3.9
2012,NUTS,2010,BG32,2,4.1
2013,NUTS,2010,BG32,2,3.7
2014,NUTS,2010,BG32,2,4.0
2015,NUTS,2010,BG32,2,4.4
2016,NUTS,2010,BG32,2,4.8
2017,NUTS,2010,BG32,2,4.5
2018,NUTS,2010,BG32,2,5.4
2019,NUTS,2010,BG32,2,5.9
2020,NUTS,2010,BG32,2,4.4
2011,NUTS,2010,BG33,2,3.8
2012,NUTS,2010,BG33,2,3.5
2013,NUTS,2010,BG33,2,3.3
2014,NUTS,2010,BG33,2,4.7
2015,NUTS,2010,BG33,2,4.8
2016,NUTS,2010,BG33,2,4.6
2017,NUTS,2010,BG33,2,5.0
2018,NUTS,2010,BG33,2,4.4
2019,NUTS,2010,BG33,2,4.1
2020,NUTS,2010,BG33,2,4.8
2011,NUTS,2010,BG34,2,3.8
2012,NUTS,2010,BG34,2,3.7
2013,NUTS,2010,BG34,2,4.0
2014,NUTS,2010,BG34,2,4.0
2015,NUTS,2010,BG34,2,3.9
2016,NUTS,2010,BG34,2,3.9
2017,NUTS,2010,BG34,2,3.9
2018,NUTS,2010,BG34,2,4.5
2019,NUTS,2010,BG34,2,4.2
2020,NUTS,2010,BG34,2,4.5
2011,NUTS,2010,BG4,1,5.9
2012,NUTS,2010,BG4,1,5.8
2013,NUTS,2010,BG4,1,6.2
2014,NUTS,2010,BG4,1,6.8
2015,NUTS,2010,BG4,1,7.3
2016,NUTS,2010,BG4,1,7.4
2017,NUTS,2010,BG4,1,7.3
2018,NUTS,2010,BG4,1,7.6
2019,NUTS,2010,BG4,1,7.7
2020,NUTS,2010,BG4,1,8.5
2011,NUTS,2010,BG41,2,6.9
2012,NUTS,2010,BG41,2,7.0
2013,NUTS,2010,BG41,2,7.6
2014,NUTS,2010,BG41,2,8.5
2015,NUTS,2010,BG41,2,8.8
2016,NUTS,2010,BG41,2,9.0
2017,NUTS,2010,BG41,2,9.1
2018,NUTS,2010,BG41,2,9.5
2019,NUTS,2010,BG41,2,9.7
2020,NUTS,2010,BG41,2,10.8
2011,NUTS,2010,BG42,2,4.1
2012,NUTS,2010,BG42,2,3.9
2013,NUTS,2010,BG42,2,4.1
2014,NUTS,2010,BG42,2,4.1
2015,NUTS,2010,BG42,2,4.8
2016,NUTS,2010,BG42,2,4.6
2017,NUTS,2010,BG42,2,4.5
2018,NUTS,2010,BG42,2,4.6
2019,NUTS,2010,BG42,2,4.4
2020,NUTS,2010,BG42,2,4.7
2011,NUTS,2010,CH,0,10.3
2012,NUTS,2010,CH,0,10.7
2013,NUTS,2010,CH,0,10.9
2014,NUTS,2010,CH,0,11.2
2015,NUTS,2010,CH,0,11.3
2016,NUTS,2010,CH,0,11.6
2017,NUTS,2010,CH,0,11.7
2018,NUTS,2010,CH,0,12.2
2019,NUTS,2010,CH,0,12.6
2020,NUTS,2010,CH,0,12.4
2011,NUTS,2010,CH0,1,10.3
2012,NUTS,2010,CH0,1,10.7
2013,NUTS,2010,CH0,1,10.9
2014,NUTS,2010,CH0,1,11.2
2015,NUTS,2010,CH0,1,11.3
2016,NUTS,2010,CH0,1,11.6
2017,NUTS,2010,CH0,1,11.7
2018,NUTS,2010,CH0,1,12.2
2019,NUTS,2010,CH0,1,12.6
2020,NUTS,2010,CH0,1,12.4
2011,NUTS,2010,CH01,2,10.0
2012,NUTS,2010,CH01,2,10.0
2013,NUTS,2010,CH01,2,10.1
2014,NUTS,2010,CH01,2,10.3
2015,NUTS,2010,CH01,2,10.3
2016,NUTS,2010,CH01,2,11.1
2017,NUTS,2010,CH01,2,11.1
2018,NUTS,2010,CH01,2,11.0
2019,NUTS,2010,CH01,2,11.5
2020,NUTS,2010,CH01,2,11.5
2011,NUTS,2010,CH02,2,9.6
2012,NUTS,2010,CH02,2,10.0
2013,NUTS,2010,CH02,2,10.3
2014,NUTS,2010,CH02,2,10.6
2015,NUTS,2010,CH02,2,10.7
2016,NUTS,2010,CH02,2,10.8
2017,NUTS,2010,CH02,2,10.5
2018,NUTS,2010,CH02,2,11.1
2019,NUTS,2010,CH02,2,12.0
2020,NUTS,2010,CH02,2,11.6
2011,NUTS,2010,CH03,2,11.0
2012,NUTS,2010,CH03,2,12.1
2013,NUTS,2010,CH03,2,13.2
2014,NUTS,2010,CH03,2,13.5
2015,NUTS,2010,CH03,2,13.3
2016,NUTS,2010,CH03,2,12.7
2017,NUTS,2010,CH03,2,13.3
2018,NUTS,2010,CH03,2,13.6
2019,NUTS,2010,CH03,2,13.6
2020,NUTS,2010,CH03,2,13.2
2011,NUTS,2010,CH04,2,13.5
2012,NUTS,2010,CH04,2,14.1
2013,NUTS,2010,CH04,2,13.7
2014,NUTS,2010,CH04,2,13.7
2015,NUTS,2010,CH04,2,14.3
2016,NUTS,2010,CH04,2,15.5
2017,NUTS,2010,CH04,2,15.6
2018,NUTS,2010,CH04,2,16.1
2019,NUTS,2010,CH04,2,16.6
2020,NUTS,2010,CH04,2,16.3
2011,NUTS,2010,CH05,2,8.6
2012,NUTS,2010,CH05,2,8.7
2013,NUTS,2010,CH05,2,8.7
2014,NUTS,2010,CH05,2,9.3
2015,NUTS,2010,CH05,2,9.4
2016,NUTS,2010,CH05,2,9.4
2017,NUTS,2010,CH05,2,9.6
2018,NUTS,2010,CH05,2,9.9
2019,NUTS,2010,CH05,2,9.6
2020,NUTS,2010,CH05,2,9.7
2011,NUTS,2010,CH06,2,8.8
2012,NUTS,2010,CH06,2,9.2
2013,NUTS,2010,CH06,2,9.0
2014,NUTS,2010,CH06,2,9.6
2015,NUTS,2010,CH06,2,10.0
2016,NUTS,2010,CH06,2,10.1
2017,NUTS,2010,CH06,2,10.7
2018,NUTS,2010,CH06,2,11.5
2019,NUTS,2010,CH06,2,11.8
2020,NUTS,2010,CH06,2,11.7
2011,NUTS,2010,CH07,2,7.7
2012,NUTS,2010,CH07,2,7.8
2013,NUTS,2010,CH07,2,9.0
2014,NUTS,2010,CH07,2,9.6
2015,NUTS,2010,CH07,2,9.7
2016,NUTS,2010,CH07,2,8.7
2017,NUTS,2010,CH07,2,8.9
2018,NUTS,2010,CH07,2,9.9
2019,NUTS,2010,CH07,2,11.6
2020,NUTS,2010,CH07,2,11.2
2011,NUTS,2010,CY,0,5.1
2012,NUTS,2010,CY,0,5.5
2013,NUTS,2010,CY,0,5.1
2014,NUTS,2010,CY,0,5.3
2015,NUTS,2010,CY,0,5.6
2016,NUTS,2010,CY,0,5.7
2017,NUTS,2010,CY,0,6.5
2018,NUTS,2010,CY,0,6.6
2019,NUTS,2010,CY,0,6.6
2020,NUTS,2010,CY,0,6.7
2011,NUTS,2010,CY0,1,5.1
2012,NUTS,2010,CY0,1,5.5
2013,NUTS,2010,CY0,1,5.1
2014,NUTS,2010,CY0,1,5.3
2015,NUTS,2010,CY0,1,5.6
2016,NUTS,2010,CY0,1,5.7
2017,NUTS,2010,CY0,1,6.5
2018,NUTS,2010,CY0,1,6.6
2019,NUTS,2010,CY0,1,6.6
2020,NUTS,2010,CY0,1,6.7
2011,NUTS,2010,CY00,2,5.1
2012,NUTS,2010,CY00,2,5.5
2013,NUTS,2010,CY00,2,5.1
2014,NUTS,2010,CY00,2,5.3
2015,NUTS,2010,CY00,2,5.6
2016,NUTS,2010,CY00,2,5.7
2017,NUTS,2010,CY00,2,6.5
2018,NUTS,2010,CY00,2,6.6
2019,NUTS,2010,CY00,2,6.6
2020,NUTS,2010,CY00,2,6.7
2011,NUTS,2010,CZ,0,4.4
2012,NUTS,2010,CZ,0,4.9
2013,NUTS,2010,CZ,0,5.3
2014,NUTS,2010,CZ,0,5.7
2015,NUTS,2010,CZ,0,6.1
2016,NUTS,2010,CZ,0,6.2
2017,NUTS,2010,CZ,0,6.2
2018,NUTS,2010,CZ,0,6.4
2019,NUTS,2010,CZ,0,6.7
2020,NUTS,2010,CZ,0,7.1
2011,NUTS,2010,CZ0,1,4.4
2012,NUTS,2010,CZ0,1,4.9
2013,NUTS,2010,CZ0,1,5.3
2014,NUTS,2010,CZ0,1,5.7
2015,NUTS,2010,CZ0,1,6.1
2016,NUTS,2010,CZ0,1,6.2
2017,NUTS,2010,CZ0,1,6.2
2018,NUTS,2010,CZ0,1,6.4
2019,NUTS,2010,CZ0,1,6.7
2020,NUTS,2010,CZ0,1,7.1
2011,NUTS,2010,CZ01,2,9.1
2012,NUTS,2010,CZ01,2,9.1
2013,NUTS,2010,CZ01,2,11.1
2014,NUTS,2010,CZ01,2,11.6
2015,NUTS,2010,CZ01,2,12.1
2016,NUTS,2010,CZ01,2,12.0
2017,NUTS,2010,CZ01,2,11.8
2018,NUTS,2010,CZ01,2,11.8
2019,NUTS,2010,CZ01,2,12.7
2020,NUTS,2010,CZ01,2,14.1
2011,NUTS,2010,CZ02,2,3.5
2012,NUTS,2010,CZ02,2,4.4
2013,NUTS,2010,CZ02,2,4.8
2014,NUTS,2010,CZ02,2,5.4
2015,NUTS,2010,CZ02,2,5.9
2016,NUTS,2010,CZ02,2,5.6
2017,NUTS,2010,CZ02,2,6.0
2018,NUTS,2010,CZ02,2,6.6
2019,NUTS,2010,CZ02,2,6.4
2020,NUTS,2010,CZ02,2,6.5
2011,NUTS,2010,CZ03,2,3.3
2012,NUTS,2010,CZ03,2,4.4
2013,NUTS,2010,CZ03,2,4.9
2014,NUTS,2010,CZ03,2,4.9
2015,NUTS,2010,CZ03,2,4.7
2016,NUTS,2010,CZ03,2,5.0
2017,NUTS,2010,CZ03,2,5.2
2018,NUTS,2010,CZ03,2,5.3
2019,NUTS,2010,CZ03,2,5.4
2020,NUTS,2010,CZ03,2,5.4
2011,NUTS,2010,CZ04,2,2.1
2012,NUTS,2010,CZ04,2,3.0
2013,NUTS,2010,CZ04,2,3.0
2014,NUTS,2010,CZ04,2,3.4
2015,NUTS,2010,CZ04,2,3.4
2016,NUTS,2010,CZ04,2,3.2
2017,NUTS,2010,CZ04,2,3.0
2018,NUTS,2010,CZ04,2,3.1
2019,NUTS,2010,CZ04,2,3.7
2020,NUTS,2010,CZ04,2,3.7
2011,NUTS,2010,CZ05,2,4.0
2012,NUTS,2010,CZ05,2,4.4
2013,NUTS,2010,CZ05,2,4.6
2014,NUTS,2010,CZ05,2,4.8
2015,NUTS,2010,CZ05,2,5.2
2016,NUTS,2010,CZ05,2,5.3
2017,NUTS,2010,CZ05,2,5.2
2018,NUTS,2010,CZ05,2,5.6
2019,NUTS,2010,CZ05,2,5.7
2020,NUTS,2010,CZ05,2,5.6
2011,NUTS,2010,CZ06,2,5.5
2012,NUTS,2010,CZ06,2,5.8
2013,NUTS,2010,CZ06,2,5.8
2014,NUTS,2010,CZ06,2,6.3
2015,NUTS,2010,CZ06,2,6.6
2016,NUTS,2010,CZ06,2,7.3
2017,NUTS,2010,CZ06,2,6.9
2018,NUTS,2010,CZ06,2,7.2
2019,NUTS,2010,CZ06,2,7.7
2020,NUTS,2010,CZ06,2,8.0
2011,NUTS,2010,CZ07,2,3.4
2012,NUTS,2010,CZ07,2,3.5
2013,NUTS,2010,CZ07,2,3.6
2014,NUTS,2010,CZ07,2,4.4
2015,NUTS,2010,CZ07,2,5.4
2016,NUTS,2010,CZ07,2,5.0
2017,NUTS,2010,CZ07,2,4.4
2018,NUTS,2010,CZ07,2,4.6
2019,NUTS,2010,CZ07,2,4.8
2020,NUTS,2010,CZ07,2,5.8
2011,NUTS,2010,CZ08,2,3.5
2012,NUTS,2010,CZ08,2,3.7
2013,NUTS,2010,CZ08,2,4.0
2014,NUTS,2010,CZ08,2,4.4
2015,NUTS,2010,CZ08,2,4.7
2016,NUTS,2010,CZ08,2,5.2
2017,NUTS,2010,CZ08,2,6.2
2018,NUTS,2010,CZ08,2,6.0
2019,NUTS,2010,CZ08,2,6.0
2020,NUTS,2010,CZ08,2,6.4
2011,NUTS,2010,DE,0,7.2
2012,NUTS,2010,DE,0,6.9
2013,NUTS,2010,DE,0,7.0
2014,NUTS,2010,DE,0,7.1
2015,NUTS,2010,DE,0,7.2
2016,NUTS,2010,DE,0,7.5
2017,NUTS,2010,DE,0,7.6
2018,NUTS,2010,DE,0,7.6
2019,NUTS,2010,DE,0,7.7
2020,NUTS,2010,DE,0,8.0
2011,NUTS,2010,DE1,1,8.1
2012,NUTS,2010,DE1,1,7.8
2013,NUTS,2010,DE1,1,8.0
2014,NUTS,2010,DE1,1,8.0
2015,NUTS,2010,DE1,1,8.3
2016,NUTS,2010,DE1,1,8.5
2017,NUTS,2010,DE1,1,8.4
2018,NUTS,2010,DE1,1,8.2
2019,NUTS,2010,DE1,1,8.7
2020,NUTS,2010,DE1,1,8.7
2011,NUTS,2010,DE11,2,8.6
2012,NUTS,2010,DE11,2,8.2
2013,NUTS,2010,DE11,2,8.3
2014,NUTS,2010,DE11,2,8.5
2015,NUTS,2010,DE11,2,8.9
2016,NUTS,2010,DE11,2,9.3
2017,NUTS,2010,DE11,2,8.9
2018,NUTS,2010,DE11,2,9.1
2019,NUTS,2010,DE11,2,9.6
2020,NUTS,2010,DE11,2,9.6
2011,NUTS,2010,DE12,2,8.4
2012,NUTS,2010,DE12,2,8.4
2013,NUTS,2010,DE12,2,8.3
2014,NUTS,2010,DE12,2,8.3
2015,NUTS,2010,DE12,2,8.6
2016,NUTS,2010,DE12,2,8.7
2017,NUTS,2010,DE12,2,8.9
2018,NUTS,2010,DE12,2,8.4
2019,NUTS,2010,DE12,2,8.6
2020,NUTS,2010,DE12,2,8.8
2011,NUTS,2010,DE13,2,6.9
2012,NUTS,2010,DE13,2,6.5
2013,NUTS,2010,DE13,2,6.8
2014,NUTS,2010,DE13,2,6.8
2015,NUTS,2010,DE13,2,6.9
2016,NUTS,2010,DE13,2,7.2
2017,NUTS,2010,DE13,2,7.3
2018,NUTS,2010,DE13,2,7.1
2019,NUTS,2010,DE13,2,7.4
2020,NUTS,2010,DE13,2,7.2
2011,NUTS,2010,DE14,2,8.2
2012,NUTS,2010,DE14,2,7.8
2013,NUTS,2010,DE14,2,8.2
2014,NUTS,2010,DE14,2,8.1
2015,NUTS,2010,DE14,2,8.1
2016,NUTS,2010,DE14,2,8.1
2017,NUTS,2010,DE14,2,8.0
2018,NUTS,2010,DE14,2,7.4
2019,NUTS,2010,DE14,2,8.3
2020,NUTS,2010,DE14,2,8.3
2011,NUTS,2010,DE2,1,8.1
2012,NUTS,2010,DE2,1,7.9
2013,NUTS,2010,DE2,1,7.8
2014,NUTS,2010,DE2,1,8.1
2015,NUTS,2010,DE2,1,8.2
2016,NUTS,2010,DE2,1,8.3
2017,NUTS,2010,DE2,1,8.4
2018,NUTS,2010,DE2,1,8.6
2019,NUTS,2010,DE2,1,8.5
2020,NUTS,2010,DE2,1,9.0
2011,NUTS,2010,DE21,2,10.5
