year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cab
2011,NUTS,2010,FR1,1,49.902
2012,NUTS,2010,FR1,1,41.895
2011,NUTS,2010,FR10,2,49.902
2012,NUTS,2010,FR10,2,41.895
2011,NUTS,2010,FR2,1,5.76
2012,NUTS,2010,FR2,1,2.838
2011,NUTS,2010,FR21,2,4.076
2012,NUTS,2010,FR21,2,2.078
2011,NUTS,2010,FR22,2,2.916
2012,NUTS,2010,FR22,2,1.777
2011,NUTS,2010,FR23,2,1.317
2012,NUTS,2010,FR23,2,2.573
2011,NUTS,2010,FR24,2,5.068
2012,NUTS,2010,FR24,2,0.831
2011,NUTS,2010,FR25,2,18.078
2012,NUTS,2010,FR25,2,10.128
2011,NUTS,2010,FR26,2,5.997
2012,NUTS,2010,FR26,2,1.674
2011,NUTS,2010,FR3,1,3.026
2012,NUTS,2010,FR3,1,1.105
2011,NUTS,2010,FR30,2,3.026
2012,NUTS,2010,FR30,2,1.105
2011,NUTS,2010,FR4,1,3.995
2012,NUTS,2010,FR4,1,3.075
2011,NUTS,2010,FR41,2,1.684
2012,NUTS,2010,FR41,2,1.514
2011,NUTS,2010,FR42,2,6.543
2012,NUTS,2010,FR42,2,5.33
2011,NUTS,2010,FR43,2,4.252
2012,NUTS,2010,FR43,2,2.357
2011,NUTS,2010,FR5,1,24.558
2012,NUTS,2010,FR5,1,21.687
2011,NUTS,2010,FR51,2,8.349
2012,NUTS,2010,FR51,2,5.839
2011,NUTS,2010,FR52,2,56.165
2012,NUTS,2010,FR52,2,51.929
2011,NUTS,2010,FR53,2,1.39
2012,NUTS,2010,FR53,2,0.636
2011,NUTS,2010,FR6,1,9.613
2012,NUTS,2010,FR6,1,6.614
2011,NUTS,2010,FR61,2,9.645
2012,NUTS,2010,FR61,2,4.95
2011,NUTS,2010,FR62,2,10.24
2012,NUTS,2010,FR62,2,9.234
2011,NUTS,2010,FR63,2,6.862
2012,NUTS,2010,FR63,2,3.204
2011,NUTS,2010,FR7,1,30.175
2012,NUTS,2010,FR7,1,29.718
2011,NUTS,2010,FR71,2,33.183
2012,NUTS,2010,FR71,2,34.966
2011,NUTS,2010,FR72,2,15.684
2012,NUTS,2010,FR72,2,4.165
2011,NUTS,2010,FR8,1,34.386
2012,NUTS,2010,FR8,1,23.788
2011,NUTS,2010,FR81,2,11.739
2012,NUTS,2010,FR81,2,7.385
2011,NUTS,2010,FR82,2,47.398
2012,NUTS,2010,FR82,2,33.008
2011,NUTS,2010,FR83,2,1.488
2011,NUTS,2010,HR,0,0.356
2011,NUTS,2010,HR0,1,0.356
2011,NUTS,2010,HR04,2,0.519
2011,NUTS,2010,HU,0,3.314
2012,NUTS,2010,HU,0,4.197
2011,NUTS,2010,HU1,1,8.652
2012,NUTS,2010,HU1,1,8.861
2011,NUTS,2010,HU10,2,8.652
2012,NUTS,2010,HU10,2,8.861
2011,NUTS,2010,HU2,1,1.149
2012,NUTS,2010,HU2,1,0.442
2011,NUTS,2010,HU21,2,3.067
2012,NUTS,2010,HU22,2,1.291
2011,NUTS,2010,HU3,1,0.675
2012,NUTS,2010,HU3,1,3.307
2011,NUTS,2010,HU31,2,0.533
2012,NUTS,2010,HU31,2,1.064
2012,NUTS,2010,HU32,2,0.815
2011,NUTS,2010,HU33,2,1.56
2012,NUTS,2010,HU33,2,8.087
2011,NUTS,2010,IE,0,15.251
2012,NUTS,2010,IE,0,13.381
2011,NUTS,2010,IE0,1,14.48
2012,NUTS,2010,IE0,1,12.568
2011,NUTS,2010,IE01,2,13.465
2012,NUTS,2010,IE01,2,13.525
2011,NUTS,2010,IE02,2,14.831
2012,NUTS,2010,IE02,2,12.241
2012,NUTS,2010,IS,0,1.848
2012,NUTS,2010,IS0,1,1.848
2012,NUTS,2010,IS00,2,1.848
2011,NUTS,2010,IT,0,4.344
2012,NUTS,2010,IT,0,2.86
2011,NUTS,2010,ITC,1,6.214
2012,NUTS,2010,ITC,1,3.863
2011,NUTS,2010,ITC1,2,7.405
2012,NUTS,2010,ITC1,2,5.189
2011,NUTS,2010,ITC2,2,24.452
2011,NUTS,2010,ITC3,2,14.373
2012,NUTS,2010,ITC3,2,4.446
2011,NUTS,2010,ITC4,2,4.19
2012,NUTS,2010,ITC4,2,3.238
2011,NUTS,2010,ITF,1,2.588
2012,NUTS,2010,ITF,1,1.171
2011,NUTS,2010,ITF1,2,2.749
2012,NUTS,2010,ITF1,2,1.194
2011,NUTS,2010,ITF3,2,2.966
2012,NUTS,2010,ITF3,2,2.647
2011,NUTS,2010,ITF4,2,2.93
2011,NUTS,2010,ITF6,2,1.936
2011,NUTS,2010,ITG,1,0.954
2012,NUTS,2010,ITG,1,0.414
2011,NUTS,2010,ITG1,2,1.342
2012,NUTS,2010,ITG1,2,0.581
2011,NUTS,2010,ITH,1,5.046
2012,NUTS,2010,ITH,1,3.548
2011,NUTS,2010,ITH1,2,5.396
2012,NUTS,2010,ITH1,2,1.698
2011,NUTS,2010,ITH2,2,2.097
2012,NUTS,2010,ITH2,2,0.578
2011,NUTS,2010,ITH3,2,2.037
2012,NUTS,2010,ITH3,2,1.337
2011,NUTS,2010,ITH4,2,7.981
2012,NUTS,2010,ITH4,2,11.165
2011,NUTS,2010,ITH5,2,7.839
2012,NUTS,2010,ITH5,2,4.535
2011,NUTS,2010,ITI,1,3.693
2012,NUTS,2010,ITI,1,3.213
2011,NUTS,2010,ITI1,2,5.309
2012,NUTS,2010,ITI1,2,4.332
2012,NUTS,2010,ITI2,2,2.565
2011,NUTS,2010,ITI3,2,4.426
2012,NUTS,2010,ITI3,2,1.431
2011,NUTS,2010,ITI4,2,2.968
2012,NUTS,2010,ITI4,2,3.06
2011,NUTS,2010,LU,0,5.882
2012,NUTS,2010,LU,0,1.326
2011,NUTS,2010,LU0,1,5.882
2012,NUTS,2010,LU0,1,1.326
2011,NUTS,2010,LU00,2,5.882
2012,NUTS,2010,LU00,2,1.326
2011,NUTS,2010,LV,0,0.973
2012,NUTS,2010,LV,0,1.94
2011,NUTS,2010,LV0,1,0.973
2012,NUTS,2010,LV0,1,1.94
2011,NUTS,2010,LV00,2,0.973
2012,NUTS,2010,LV00,2,1.94
2011,NUTS,2010,NL,0,34.465
2012,NUTS,2010,NL,0,25.259
2011,NUTS,2010,NL1,1,5.422
2011,NUTS,2010,NL11,2,11.515
2011,NUTS,2010,NL12,2,3.827
2011,NUTS,2010,NL2,1,5.198
2012,NUTS,2010,NL2,1,3.8
2011,NUTS,2010,NL21,2,4.232
2012,NUTS,2010,NL21,2,2.674
2011,NUTS,2010,NL22,2,6.546
2012,NUTS,2010,NL22,2,4.728
2011,NUTS,2010,NL23,2,1.197
2012,NUTS,2010,NL23,2,2.329
2011,NUTS,2010,NL3,1,11.993
2012,NUTS,2010,NL3,1,6.911
2011,NUTS,2010,NL31,2,10.449
2012,NUTS,2010,NL31,2,1.459
2011,NUTS,2010,NL32,2,14.632
2012,NUTS,2010,NL32,2,10.159
2011,NUTS,2010,NL33,2,11.171
2012,NUTS,2010,NL33,2,7.074
