year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_nac
2018,NUTS,2010,CY0,1,14.661
2019,NUTS,2010,CY0,1,18.595
2020,NUTS,2010,CY0,1,20.0
2011,NUTS,2010,CY00,2,13.876
2012,NUTS,2010,CY00,2,10.996
2013,NUTS,2010,CY00,2,11.021
2014,NUTS,2010,CY00,2,13.527
2015,NUTS,2010,CY00,2,12.158
2016,NUTS,2010,CY00,2,12.425
2017,NUTS,2010,CY00,2,12.869
2018,NUTS,2010,CY00,2,14.661
2019,NUTS,2010,CY00,2,18.595
2020,NUTS,2010,CY00,2,20.0
2011,NUTS,2010,CZ,0,345.292
2012,NUTS,2010,CZ,0,369.395
2013,NUTS,2010,CZ,0,267.478
2014,NUTS,2010,CZ,0,350.871
2015,NUTS,2010,CZ,0,342.557
2016,NUTS,2010,CZ,0,197.192
2017,NUTS,2010,CZ,0,252.348
2018,NUTS,2010,CZ,0,227.142
2019,NUTS,2010,CZ,0,316.889
2020,NUTS,2010,CZ,0,331.107
2011,NUTS,2010,CZ0,1,345.292
2012,NUTS,2010,CZ0,1,369.395
2013,NUTS,2010,CZ0,1,267.478
2014,NUTS,2010,CZ0,1,350.871
2015,NUTS,2010,CZ0,1,342.557
2016,NUTS,2010,CZ0,1,197.192
2017,NUTS,2010,CZ0,1,252.348
2018,NUTS,2010,CZ0,1,227.142
2019,NUTS,2010,CZ0,1,316.889
2020,NUTS,2010,CZ0,1,331.107
2011,NUTS,2010,CZ01,2,163.033
2012,NUTS,2010,CZ01,2,177.469
2013,NUTS,2010,CZ01,2,145.426
2014,NUTS,2010,CZ01,2,153.199
2015,NUTS,2010,CZ01,2,142.998
2016,NUTS,2010,CZ01,2,138.946
2017,NUTS,2010,CZ01,2,147.286
2018,NUTS,2010,CZ01,2,123.607
2019,NUTS,2010,CZ01,2,163.128
2020,NUTS,2010,CZ01,2,168.482
2011,NUTS,2010,CZ02,2,4.066
2012,NUTS,2010,CZ02,2,4.456
2013,NUTS,2010,CZ02,2,19.516
2014,NUTS,2010,CZ02,2,8.974
2015,NUTS,2010,CZ02,2,9.036
2016,NUTS,2010,CZ02,2,4.649
2017,NUTS,2010,CZ02,2,5.65
2018,NUTS,2010,CZ02,2,3.191
2019,NUTS,2010,CZ02,2,1.936
2020,NUTS,2010,CZ02,2,2.715
2011,NUTS,2010,CZ03,2,18.731
2012,NUTS,2010,CZ03,2,52.332
2013,NUTS,2010,CZ03,2,10.584
