year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_pc_emp_hc
2019,NUTS,2010,BE3,1,0.4211
2011,NUTS,2010,BG,0,0.0576
2012,NUTS,2010,BG,0,0.0754
2013,NUTS,2010,BG,0,0.1011
2014,NUTS,2010,BG,0,0.1152
2015,NUTS,2010,BG,0,0.1755
2016,NUTS,2010,BG,0,0.2081
2017,NUTS,2010,BG,0,0.2022
2018,NUTS,2010,BG,0,0.2281
2019,NUTS,2010,BG,0,0.2439
2011,NUTS,2010,BG3,1,0.0219
2012,NUTS,2010,BG3,1,0.0298
2015,NUTS,2010,BG3,1,0.0958
2016,NUTS,2010,BG3,1,0.0812
2017,NUTS,2010,BG3,1,0.0968
2018,NUTS,2010,BG3,1,0.1229
2019,NUTS,2010,BG3,1,0.1316
2016,NUTS,2010,BG31,2,0.126
2017,NUTS,2010,BG31,2,0.1448
2018,NUTS,2010,BG31,2,0.1592
2019,NUTS,2010,BG31,2,0.1621
2011,NUTS,2010,BG32,2,0.018
2012,NUTS,2010,BG32,2,0.0267
2013,NUTS,2010,BG32,2,0.0392
2014,NUTS,2010,BG32,2,0.0499
2016,NUTS,2010,BG32,2,0.075
2017,NUTS,2010,BG32,2,0.1075
2018,NUTS,2010,BG32,2,0.145
2019,NUTS,2010,BG32,2,0.1525
2011,NUTS,2010,BG33,2,0.0201
2012,NUTS,2010,BG33,2,0.0244
2015,NUTS,2010,BG33,2,0.0837
2016,NUTS,2010,BG33,2,0.0821
2017,NUTS,2010,BG33,2,0.0852
2018,NUTS,2010,BG33,2,0.1188
2019,NUTS,2010,BG33,2,0.1324
2015,NUTS,2010,BG34,2,0.0859
2016,NUTS,2010,BG34,2,0.0572
2017,NUTS,2010,BG34,2,0.0694
2018,NUTS,2010,BG34,2,0.0875
2019,NUTS,2010,BG34,2,0.097
2011,NUTS,2010,BG4,1,0.0862
2012,NUTS,2010,BG4,1,0.1113
2015,NUTS,2010,BG4,1,0.2339
2016,NUTS,2010,BG4,1,0.3042
2017,NUTS,2010,BG4,1,0.277
2018,NUTS,2010,BG4,1,0.2999
2019,NUTS,2010,BG4,1,0.3198
2011,NUTS,2010,BG41,2,0.1046
2012,NUTS,2010,BG41,2,0.1471
2013,NUTS,2010,BG41,2,0.2122
2015,NUTS,2010,BG41,2,0.323
2016,NUTS,2010,BG41,2,0.4376
2017,NUTS,2010,BG41,2,0.3882
2018,NUTS,2010,BG41,2,0.4167
2019,NUTS,2010,BG41,2,0.4463
2011,NUTS,2010,BG42,2,0.0528
2012,NUTS,2010,BG42,2,0.0494
2014,NUTS,2010,BG42,2,0.0302
2015,NUTS,2010,BG42,2,0.0756
2016,NUTS,2010,BG42,2,0.0674
2017,NUTS,2010,BG42,2,0.0861
2018,NUTS,2010,BG42,2,0.0934
2019,NUTS,2010,BG42,2,0.1003
2012,NUTS,2010,CH,0,0.2148
2015,NUTS,2010,CH,0,0.272
2017,NUTS,2010,CH,0,0.3006
2019,NUTS,2010,CH,0,0.3147
2012,NUTS,2010,CH01,2,0.2293
2015,NUTS,2010,CH01,2,0.3359
2017,NUTS,2010,CH01,2,0.2669
2019,NUTS,2010,CH01,2,0.3142
2012,NUTS,2010,CH02,2,0.1747
2015,NUTS,2010,CH02,2,0.1022
2017,NUTS,2010,CH02,2,0.1149
2019,NUTS,2010,CH02,2,0.0953
2012,NUTS,2010,CH03,2,0.285
2015,NUTS,2010,CH03,2,0.7796
2017,NUTS,2010,CH03,2,0.9454
2019,NUTS,2010,CH03,2,1.0603
2012,NUTS,2010,CH04,2,0.3278
2015,NUTS,2010,CH04,2,0.1854
2017,NUTS,2010,CH04,2,0.1945
2019,NUTS,2010,CH04,2,0.1656
2012,NUTS,2010,CH05,2,0.0941
2015,NUTS,2010,CH05,2,0.119
2017,NUTS,2010,CH05,2,0.1136
2019,NUTS,2010,CH05,2,0.1497
2012,NUTS,2010,CH06,2,0.0749
2015,NUTS,2010,CH06,2,0.221
2017,NUTS,2010,CH06,2,0.3066
2019,NUTS,2010,CH06,2,0.2712
2012,NUTS,2010,CH07,2,0.2723
2015,NUTS,2010,CH07,2,0.0634
2017,NUTS,2010,CH07,2,0.1624
2019,NUTS,2010,CH07,2,0.1195
2011,NUTS,2010,CY,0,0.0522
2012,NUTS,2010,CY,0,0.0552
2013,NUTS,2010,CY,0,0.0613
2014,NUTS,2010,CY,0,0.0608
2015,NUTS,2010,CY,0,0.0547
2016,NUTS,2010,CY,0,0.0622
2017,NUTS,2010,CY,0,0.0749
2018,NUTS,2010,CY,0,0.0995
2019,NUTS,2010,CY,0,0.1042
2011,NUTS,2010,CZ,0,0.1065
2012,NUTS,2010,CZ,0,0.1157
2013,NUTS,2010,CZ,0,0.1265
2014,NUTS,2010,CZ,0,0.1403
2015,NUTS,2010,CZ,0,0.1337
2016,NUTS,2010,CZ,0,0.1295
2017,NUTS,2010,CZ,0,0.1328
2018,NUTS,2010,CZ,0,0.1381
2019,NUTS,2010,CZ,0,0.1489
2020,NUTS,2010,CZ,0,0.1621
2011,NUTS,2010,CZ0,1,0.1049
2012,NUTS,2010,CZ0,1,0.1139
2013,NUTS,2010,CZ0,1,0.1242
2014,NUTS,2010,CZ0,1,0.1379
2015,NUTS,2010,CZ0,1,0.1309
2016,NUTS,2010,CZ0,1,0.1265
2017,NUTS,2010,CZ0,1,0.1297
2018,NUTS,2010,CZ0,1,0.1344
2019,NUTS,2010,CZ0,1,0.1448
2020,NUTS,2010,CZ0,1,0.1578
2011,NUTS,2010,CZ01,2,0.1987
2012,NUTS,2010,CZ01,2,0.2567
2013,NUTS,2010,CZ01,2,0.2838
2014,NUTS,2010,CZ01,2,0.2935
2015,NUTS,2010,CZ01,2,0.2985
2016,NUTS,2010,CZ01,2,0.3599
2017,NUTS,2010,CZ01,2,0.3167
2018,NUTS,2010,CZ01,2,0.3212
2019,NUTS,2010,CZ01,2,0.3116
2020,NUTS,2010,CZ01,2,0.3465
2011,NUTS,2010,CZ02,2,0.1673
2012,NUTS,2010,CZ02,2,0.164
2013,NUTS,2010,CZ02,2,0.1269
2014,NUTS,2010,CZ02,2,0.1178
2015,NUTS,2010,CZ02,2,0.1199
2016,NUTS,2010,CZ02,2,0.0639
2017,NUTS,2010,CZ02,2,0.0947
2018,NUTS,2010,CZ02,2,0.1116
2019,NUTS,2010,CZ02,2,0.1169
2020,NUTS,2010,CZ02,2,0.1192
2011,NUTS,2010,CZ03,2,0.039
2012,NUTS,2010,CZ03,2,0.0447
2013,NUTS,2010,CZ03,2,0.051
2014,NUTS,2010,CZ03,2,0.0566
2015,NUTS,2010,CZ03,2,0.0593
2016,NUTS,2010,CZ03,2,0.0642
2017,NUTS,2010,CZ03,2,0.069
2018,NUTS,2010,CZ03,2,0.0738
2019,NUTS,2010,CZ03,2,0.0879
2020,NUTS,2010,CZ03,2,0.0928
2011,NUTS,2010,CZ04,2,0.0323
2012,NUTS,2010,CZ04,2,0.0353
2013,NUTS,2010,CZ04,2,0.0462
2014,NUTS,2010,CZ04,2,0.0413
2015,NUTS,2010,CZ04,2,0.0398
2016,NUTS,2010,CZ04,2,0.0375
2017,NUTS,2010,CZ04,2,0.0452
2018,NUTS,2010,CZ04,2,0.0421
2019,NUTS,2010,CZ04,2,0.0449
2020,NUTS,2010,CZ04,2,0.0433
2011,NUTS,2010,CZ05,2,0.0951
2012,NUTS,2010,CZ05,2,0.1194
2013,NUTS,2010,CZ05,2,0.1317
2014,NUTS,2010,CZ05,2,0.121
2015,NUTS,2010,CZ05,2,0.1273
2016,NUTS,2010,CZ05,2,0.1164
2017,NUTS,2010,CZ05,2,0.1313
2018,NUTS,2010,CZ05,2,0.1211
2019,NUTS,2010,CZ05,2,0.1224
2020,NUTS,2010,CZ05,2,0.1385
2011,NUTS,2010,CZ06,2,0.1338
2012,NUTS,2010,CZ06,2,0.1114
2013,NUTS,2010,CZ06,2,0.1588
2014,NUTS,2010,CZ06,2,0.2523
2015,NUTS,2010,CZ06,2,0.1887
2016,NUTS,2010,CZ06,2,0.1624
2017,NUTS,2010,CZ06,2,0.1604
2018,NUTS,2010,CZ06,2,0.1739
2019,NUTS,2010,CZ06,2,0.1994
2020,NUTS,2010,CZ06,2,0.2258
2011,NUTS,2010,CZ07,2,0.0861
2012,NUTS,2010,CZ07,2,0.0847
2013,NUTS,2010,CZ07,2,0.0875
2014,NUTS,2010,CZ07,2,0.086
2015,NUTS,2010,CZ07,2,0.093
2016,NUTS,2010,CZ07,2,0.0868
2017,NUTS,2010,CZ07,2,0.0858
2018,NUTS,2010,CZ07,2,0.0831
2019,NUTS,2010,CZ07,2,0.1184
2020,NUTS,2010,CZ07,2,0.1204
2011,NUTS,2010,CZ08,2,0.0501
2012,NUTS,2010,CZ08,2,0.0506
2013,NUTS,2010,CZ08,2,0.0526
2014,NUTS,2010,CZ08,2,0.0537
2015,NUTS,2010,CZ08,2,0.0597
2016,NUTS,2010,CZ08,2,0.0671
2017,NUTS,2010,CZ08,2,0.0832
2018,NUTS,2010,CZ08,2,0.0911
2019,NUTS,2010,CZ08,2,0.097
2020,NUTS,2010,CZ08,2,0.1018
2011,NUTS,2010,DE,0,0.1753
2013,NUTS,2010,DE,0,0.175
2015,NUTS,2010,DE,0,0.2054
2017,NUTS,2010,DE,0,0.2205
2019,NUTS,2010,DE,0,0.2414
2017,NUTS,2010,DE1,1,0.3978
2019,NUTS,2010,DE1,1,0.4199
2017,NUTS,2010,DE11,2,0.5736
2019,NUTS,2010,DE11,2,0.5837
2017,NUTS,2010,DE12,2,0.3408
2019,NUTS,2010,DE12,2,0.3538
2017,NUTS,2010,DE13,2,0.1767
2019,NUTS,2010,DE13,2,0.2016
2017,NUTS,2010,DE14,2,0.3687
2019,NUTS,2010,DE14,2,0.4217
2017,NUTS,2010,DE2,1,0.2511
2019,NUTS,2010,DE2,1,0.2856
2017,NUTS,2010,DE21,2,0.3883
2019,NUTS,2010,DE21,2,0.448
2017,NUTS,2010,DE22,2,0.1017
2019,NUTS,2010,DE22,2,0.1148
2017,NUTS,2010,DE23,2,0.1762
2019,NUTS,2010,DE23,2,0.2308
2017,NUTS,2010,DE24,2,0.152
2019,NUTS,2010,DE24,2,0.1862
2017,NUTS,2010,DE25,2,0.244
2019,NUTS,2010,DE25,2,0.2758
2017,NUTS,2010,DE26,2,0.2087
2019,NUTS,2010,DE26,2,0.2118
2017,NUTS,2010,DE27,2,0.128
2019,NUTS,2010,DE27,2,0.124
2017,NUTS,2010,DE3,1,0.2665
2019,NUTS,2010,DE3,1,0.2849
2017,NUTS,2010,DE30,2,0.2665
2019,NUTS,2010,DE30,2,0.2849
2017,NUTS,2010,DE4,1,0.093
2019,NUTS,2010,DE4,1,0.0986
2017,NUTS,2010,DE40,2,0.093
2019,NUTS,2010,DE40,2,0.0986
2017,NUTS,2010,DE5,1,0.1962
2019,NUTS,2010,DE5,1,0.2406
2017,NUTS,2010,DE50,2,0.1962
2019,NUTS,2010,DE50,2,0.2406
2017,NUTS,2010,DE6,1,0.2116
2019,NUTS,2010,DE6,1,0.2259
2017,NUTS,2010,DE60,2,0.2116
2019,NUTS,2010,DE60,2,0.2259
2017,NUTS,2010,DE7,1,0.2494
2019,NUTS,2010,DE7,1,0.2626
2017,NUTS,2010,DE71,2,0.32
2019,NUTS,2010,DE71,2,0.3418
2017,NUTS,2010,DE72,2,0.1513
2019,NUTS,2010,DE72,2,0.1415
2017,NUTS,2010,DE73,2,0.0966
2019,NUTS,2010,DE73,2,0.0955
2017,NUTS,2010,DE8,1,0.0841
2019,NUTS,2010,DE8,1,0.1019
2017,NUTS,2010,DE80,2,0.0841
2019,NUTS,2010,DE80,2,0.1019
2017,NUTS,2010,DE9,1,0.1425
2019,NUTS,2010,DE9,1,0.154
2017,NUTS,2010,DE91,2,0.3701
2019,NUTS,2010,DE91,2,0.3962
2017,NUTS,2010,DE92,2,0.1333
2019,NUTS,2010,DE92,2,0.1388
2017,NUTS,2010,DE93,2,0.054
2019,NUTS,2010,DE93,2,0.0581
2017,NUTS,2010,DE94,2,0.0707
2019,NUTS,2010,DE94,2,0.0842
2017,NUTS,2010,DEA,1,0.1631
2019,NUTS,2010,DEA,1,0.175
2017,NUTS,2010,DEA1,2,0.2394
2019,NUTS,2010,DEA1,2,0.2645
2017,NUTS,2010,DEA2,2,0.1856
2019,NUTS,2010,DEA2,2,0.1926
2017,NUTS,2010,DEA3,2,0.0633
2019,NUTS,2010,DEA3,2,0.0687
2017,NUTS,2010,DEA4,2,0.1584
2019,NUTS,2010,DEA4,2,0.1799
2017,NUTS,2010,DEA5,2,0.098
2019,NUTS,2010,DEA5,2,0.1012
2017,NUTS,2010,DEB,1,0.1722
2019,NUTS,2010,DEB,1,0.2067
2017,NUTS,2010,DEB1,2,0.0642
2019,NUTS,2010,DEB1,2,0.0808
2017,NUTS,2010,DEB2,2,0.0506
2019,NUTS,2010,DEB2,2,0.0523
2017,NUTS,2010,DEB3,2,0.2859
2019,NUTS,2010,DEB3,2,0.3418
2017,NUTS,2010,DEC,1,0.1641
2019,NUTS,2010,DEC,1,0.1721
2017,NUTS,2010,DEC0,2,0.1641
2019,NUTS,2010,DEC0,2,0.1721
2017,NUTS,2010,DED,1,0.1682
2019,NUTS,2010,DED,1,0.1836
2017,NUTS,2010,DED2,2,0.2095
2019,NUTS,2010,DED2,2,0.2397
2017,NUTS,2010,DED4,2,0.1841
2019,NUTS,2010,DED4,2,0.1987
2017,NUTS,2010,DED5,2,0.0868
2019,NUTS,2010,DED5,2,0.0828
2017,NUTS,2010,DEE,1,0.0698
2019,NUTS,2010,DEE,1,0.083
2017,NUTS,2010,DEE0,2,0.0698
2019,NUTS,2010,DEE0,2,0.083
2017,NUTS,2010,DEF,1,0.0895
2019,NUTS,2010,DEF,1,0.0942
2017,NUTS,2010,DEF0,2,0.0895
2019,NUTS,2010,DEF0,2,0.0942
2017,NUTS,2010,DEG,1,0.1465
2019,NUTS,2010,DEG,1,0.1664
2017,NUTS,2010,DEG0,2,0.1465
2019,NUTS,2010,DEG0,2,0.1664
2011,NUTS,2010,DK,0,0.6285
2012,NUTS,2010,DK,0,0.6649
2013,NUTS,2010,DK,0,0.6134
2015,NUTS,2010,DK,0,0.585
2017,NUTS,2010,DK,0,0.6751
2019,NUTS,2010,DK,0,0.6001
2011,NUTS,2010,DK0,1,0.5762
2013,NUTS,2010,DK0,1,0.6223
2015,NUTS,2010,DK0,1,0.5731
2017,NUTS,2010,DK0,1,0.6602
2019,NUTS,2010,DK0,1,0.5873
2011,NUTS,2010,DK01,2,1.337
2013,NUTS,2010,DK01,2,1.3704
2015,NUTS,2010,DK01,2,1.2256
2017,NUTS,2010,DK01,2,1.522
2019,NUTS,2010,DK01,2,1.2213
2011,NUTS,2010,DK02,2,0.1403
2013,NUTS,2010,DK02,2,0.2443
2015,NUTS,2010,DK02,2,0.1377
2017,NUTS,2010,DK02,2,0.1944
2019,NUTS,2010,DK02,2,0.195
2011,NUTS,2010,DK03,2,0.2653
2013,NUTS,2010,DK03,2,0.2969
2015,NUTS,2010,DK03,2,0.4433
2017,NUTS,2010,DK03,2,0.2519
2019,NUTS,2010,DK03,2,0.2942
2011,NUTS,2010,DK04,2,0.2273
2013,NUTS,2010,DK04,2,0.2807
2015,NUTS,2010,DK04,2,0.1777
2017,NUTS,2010,DK04,2,0.2036
2019,NUTS,2010,DK04,2,0.3232
2011,NUTS,2010,DK05,2,0.0673
2013,NUTS,2010,DK05,2,0.0524
2015,NUTS,2010,DK05,2,0.0715
2017,NUTS,2010,DK05,2,0.0982
2019,NUTS,2010,DK05,2,0.0885
2011,NUTS,2010,EA19,2,0.2124
2013,NUTS,2010,EA19,2,0.2405
2015,NUTS,2010,EA19,2,0.2625
2017,NUTS,2010,EA19,2,0.2953
2019,NUTS,2010,EA19,2,0.3274
2011,NUTS,2010,EE,0,0.2397
2012,NUTS,2010,EE,0,0.2067
2013,NUTS,2010,EE,0,0.1883
2014,NUTS,2010,EE,0,0.2081
2015,NUTS,2010,EE,0,0.166
2016,NUTS,2010,EE,0,0.1585
2017,NUTS,2010,EE,0,0.1795
2018,NUTS,2010,EE,0,0.1908
2019,NUTS,2010,EE,0,0.2251
2011,NUTS,2010,EL,0,0.1111
2013,NUTS,2010,EL,0,0.1123
2015,NUTS,2010,EL,0,0.132
2017,NUTS,2010,EL,0,0.3007
2019,NUTS,2010,EL,0,0.2942
2011,NUTS,2010,EL3,1,0.175
2011,NUTS,2010,EL30,2,0.175
2011,NUTS,2010,EL4,1,0.0072
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,0.0
2011,NUTS,2010,EL43,2,0.0125
2011,NUTS,2010,EL5,1,0.1171
2011,NUTS,2010,EL51,2,0.0228
2011,NUTS,2010,EL52,2,0.1725
2011,NUTS,2010,EL53,2,0.047
2011,NUTS,2010,EL54,2,0.0289
2011,NUTS,2010,EL6,1,0.0331
2011,NUTS,2010,EL61,2,0.0096
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0597
2011,NUTS,2010,EL64,2,0.0644
2011,NUTS,2010,EL65,2,0.0211
2011,NUTS,2010,ES,0,0.2126
2012,NUTS,2010,ES,0,0.22
2013,NUTS,2010,ES,0,0.2326
2014,NUTS,2010,ES,0,0.2312
2015,NUTS,2010,ES,0,0.2297
2016,NUTS,2010,ES,0,0.2301
2017,NUTS,2010,ES,0,0.2387
2018,NUTS,2010,ES,0,0.2511
2019,NUTS,2010,ES,0,0.2558
2011,NUTS,2010,ES1,1,0.1475
2012,NUTS,2010,ES1,1,0.1451
2013,NUTS,2010,ES1,1,0.161
2014,NUTS,2010,ES1,1,0.1549
2015,NUTS,2010,ES1,1,0.1466
2016,NUTS,2010,ES1,1,0.1533
2017,NUTS,2010,ES1,1,0.178
2018,NUTS,2010,ES1,1,0.194
2019,NUTS,2010,ES1,1,0.1959
2011,NUTS,2010,ES11,2,0.1422
2012,NUTS,2010,ES11,2,0.1427
2013,NUTS,2010,ES11,2,0.1638
2014,NUTS,2010,ES11,2,0.1591
2015,NUTS,2010,ES11,2,0.1518
2016,NUTS,2010,ES11,2,0.1615
2017,NUTS,2010,ES11,2,0.1923
2018,NUTS,2010,ES11,2,0.2144
2019,NUTS,2010,ES11,2,0.2095
2011,NUTS,2010,ES12,2,0.1951
2012,NUTS,2010,ES12,2,0.189
2013,NUTS,2010,ES12,2,0.1927
2014,NUTS,2010,ES12,2,0.1891
2015,NUTS,2010,ES12,2,0.1642
2016,NUTS,2010,ES12,2,0.1635
2017,NUTS,2010,ES12,2,0.1711
2018,NUTS,2010,ES12,2,0.1819
2019,NUTS,2010,ES12,2,0.1955
2011,NUTS,2010,ES13,2,0.0895
2012,NUTS,2010,ES13,2,0.0833
2013,NUTS,2010,ES13,2,0.0934
2014,NUTS,2010,ES13,2,0.0775
2015,NUTS,2010,ES13,2,0.0928
2016,NUTS,2010,ES13,2,0.0987
2017,NUTS,2010,ES13,2,0.1259
2018,NUTS,2010,ES13,2,0.1177
2019,NUTS,2010,ES13,2,0.1323
2011,NUTS,2010,ES2,1,0.4562
2012,NUTS,2010,ES2,1,0.468
2013,NUTS,2010,ES2,1,0.4954
2014,NUTS,2010,ES2,1,0.4911
2015,NUTS,2010,ES2,1,0.4946
2016,NUTS,2010,ES2,1,0.4858
2017,NUTS,2010,ES2,1,0.521
2018,NUTS,2010,ES2,1,0.5196
2019,NUTS,2010,ES2,1,0.5246
2011,NUTS,2010,ES21,2,0.6622
2012,NUTS,2010,ES21,2,0.7085
2013,NUTS,2010,ES21,2,0.7436
2014,NUTS,2010,ES21,2,0.728
2015,NUTS,2010,ES21,2,0.7442
2016,NUTS,2010,ES21,2,0.7152
2017,NUTS,2010,ES21,2,0.7983
2018,NUTS,2010,ES21,2,0.8039
2019,NUTS,2010,ES21,2,0.8068
2011,NUTS,2010,ES22,2,0.3962
2012,NUTS,2010,ES22,2,0.3729
2013,NUTS,2010,ES22,2,0.3933
2014,NUTS,2010,ES22,2,0.3744
2015,NUTS,2010,ES22,2,0.4077
2016,NUTS,2010,ES22,2,0.4259
2017,NUTS,2010,ES22,2,0.3978
2018,NUTS,2010,ES22,2,0.381
2019,NUTS,2010,ES22,2,0.3937
2011,NUTS,2010,ES23,2,0.2183
2012,NUTS,2010,ES23,2,0.2
2013,NUTS,2010,ES23,2,0.1904
2014,NUTS,2010,ES23,2,0.2113
2015,NUTS,2010,ES23,2,0.2031
2016,NUTS,2010,ES23,2,0.1879
2017,NUTS,2010,ES23,2,0.186
2018,NUTS,2010,ES23,2,0.1766
2019,NUTS,2010,ES23,2,0.191
2011,NUTS,2010,ES24,2,0.1723
2012,NUTS,2010,ES24,2,0.1613
2013,NUTS,2010,ES24,2,0.1812
2014,NUTS,2010,ES24,2,0.2002
2015,NUTS,2010,ES24,2,0.1723
2016,NUTS,2010,ES24,2,0.192
2017,NUTS,2010,ES24,2,0.1934
2018,NUTS,2010,ES24,2,0.1912
2019,NUTS,2010,ES24,2,0.1944
2011,NUTS,2010,ES3,1,0.3219
2012,NUTS,2010,ES3,1,0.3296
2013,NUTS,2010,ES3,1,0.3658
2014,NUTS,2010,ES3,1,0.3663
2015,NUTS,2010,ES3,1,0.3607
2016,NUTS,2010,ES3,1,0.3651
2017,NUTS,2010,ES3,1,0.3665
2018,NUTS,2010,ES3,1,0.3894
2019,NUTS,2010,ES3,1,0.3947
2011,NUTS,2010,ES30,2,0.3219
2012,NUTS,2010,ES30,2,0.3296
2013,NUTS,2010,ES30,2,0.3658
2014,NUTS,2010,ES30,2,0.3663
2015,NUTS,2010,ES30,2,0.3607
2016,NUTS,2010,ES30,2,0.3651
2017,NUTS,2010,ES30,2,0.3665
2018,NUTS,2010,ES30,2,0.3894
2019,NUTS,2010,ES30,2,0.3947
2011,NUTS,2010,ES4,1,0.1224
2012,NUTS,2010,ES4,1,0.1284
2013,NUTS,2010,ES4,1,0.1163
2014,NUTS,2010,ES4,1,0.1205
2015,NUTS,2010,ES4,1,0.1168
2016,NUTS,2010,ES4,1,0.1169
2017,NUTS,2010,ES4,1,0.126
2018,NUTS,2010,ES4,1,0.1287
2019,NUTS,2010,ES4,1,0.1381
2011,NUTS,2010,ES41,2,0.1681
2012,NUTS,2010,ES41,2,0.183
2013,NUTS,2010,ES41,2,0.1542
2014,NUTS,2010,ES41,2,0.1596
2015,NUTS,2010,ES41,2,0.1598
2016,NUTS,2010,ES41,2,0.1472
2017,NUTS,2010,ES41,2,0.1626
2018,NUTS,2010,ES41,2,0.1804
2019,NUTS,2010,ES41,2,0.2025
2011,NUTS,2010,ES42,2,0.0928
2012,NUTS,2010,ES42,2,0.0868
2013,NUTS,2010,ES42,2,0.0814
2014,NUTS,2010,ES42,2,0.0931
2015,NUTS,2010,ES42,2,0.0838
2016,NUTS,2010,ES42,2,0.1021
2017,NUTS,2010,ES42,2,0.1032
2018,NUTS,2010,ES42,2,0.0784
2019,NUTS,2010,ES42,2,0.0857
2011,NUTS,2010,ES43,2,0.0547
2012,NUTS,2010,ES43,2,0.0566
2013,NUTS,2010,ES43,2,0.0818
2014,NUTS,2010,ES43,2,0.0675
2015,NUTS,2010,ES43,2,0.0633
2016,NUTS,2010,ES43,2,0.0608
2017,NUTS,2010,ES43,2,0.0708
2018,NUTS,2010,ES43,2,0.0897
2019,NUTS,2010,ES43,2,0.0723
2011,NUTS,2010,ES5,1,0.2039
2012,NUTS,2010,ES5,1,0.2093
2013,NUTS,2010,ES5,1,0.2204
2014,NUTS,2010,ES5,1,0.2198
2015,NUTS,2010,ES5,1,0.2252
2016,NUTS,2010,ES5,1,0.2292
2017,NUTS,2010,ES5,1,0.2395
2018,NUTS,2010,ES5,1,0.2511
2019,NUTS,2010,ES5,1,0.2606
2011,NUTS,2010,ES51,2,0.2509
