year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2012,NUTS,2010,ES51,2,1.815
2011,NUTS,2010,ES52,2,0.744
2012,NUTS,2010,ES52,2,0.363
2011,NUTS,2010,ES6,1,0.729
2012,NUTS,2010,ES6,1,0.666
2011,NUTS,2010,ES61,2,0.874
2012,NUTS,2010,ES61,2,0.798
2011,NUTS,2010,FI,0,7.363
2012,NUTS,2010,FI,0,3.03
2011,NUTS,2010,FI1,1,7.405
2012,NUTS,2010,FI1,1,3.047
2011,NUTS,2010,FI19,2,1.51
2011,NUTS,2010,FI1B,2,20.677
2012,NUTS,2010,FI1B,2,6.729
2011,NUTS,2010,FI1C,2,0.588
2012,NUTS,2010,FI1C,2,1.785
2011,NUTS,2010,FI1D,2,1.663
2012,NUTS,2010,FI1D,2,2.39
2011,NUTS,2010,FR,0,10.073
2012,NUTS,2010,FR,0,7.228
2011,NUTS,2010,FR1,1,11.267
2012,NUTS,2010,FR1,1,6.402
2011,NUTS,2010,FR10,2,11.267
2012,NUTS,2010,FR10,2,6.402
2011,NUTS,2010,FR2,1,2.166
2012,NUTS,2010,FR2,1,1.515
2012,NUTS,2010,FR21,2,0.571
2011,NUTS,2010,FR22,2,1.365
2012,NUTS,2010,FR22,2,0.296
2011,NUTS,2010,FR23,2,4.477
2012,NUTS,2010,FR23,2,2.978
2011,NUTS,2010,FR24,2,1.512
2012,NUTS,2010,FR24,2,1.899
2011,NUTS,2010,FR25,2,5.946
2012,NUTS,2010,FR25,2,1.558
2012,NUTS,2010,FR26,2,1.395
2011,NUTS,2010,FR3,1,3.608
2012,NUTS,2010,FR3,1,0.863
2011,NUTS,2010,FR30,2,3.608
2012,NUTS,2010,FR30,2,0.863
2011,NUTS,2010,FR4,1,3.004
2012,NUTS,2010,FR4,1,3.221
2011,NUTS,2010,FR41,2,1.598
2012,NUTS,2010,FR41,2,2.473
2011,NUTS,2010,FR42,2,5.802
2012,NUTS,2010,FR42,2,5.263
2011,NUTS,2010,FR43,2,0.966
2012,NUTS,2010,FR43,2,1.263
2011,NUTS,2010,FR5,1,4.273
2012,NUTS,2010,FR5,1,1.69
2011,NUTS,2010,FR51,2,5.564
2012,NUTS,2010,FR51,2,2.011
2011,NUTS,2010,FR52,2,3.135
2012,NUTS,2010,FR52,2,1.611
2011,NUTS,2010,FR53,2,3.642
2012,NUTS,2010,FR53,2,1.145
2011,NUTS,2010,FR6,1,2.569
2012,NUTS,2010,FR6,1,2.05
2011,NUTS,2010,FR61,2,2.313
2012,NUTS,2010,FR61,2,2.188
2011,NUTS,2010,FR62,2,3.468
2012,NUTS,2010,FR62,2,2.133
2012,NUTS,2010,FR63,2,1.057
2011,NUTS,2010,FR7,1,43.086
2012,NUTS,2010,FR7,1,36.242
2011,NUTS,2010,FR71,2,51.853
2012,NUTS,2010,FR71,2,43.686
2011,NUTS,2010,FR72,2,0.842
2011,NUTS,2010,FR8,1,9.054
2012,NUTS,2010,FR8,1,4.99
2011,NUTS,2010,FR81,2,4.889
2012,NUTS,2010,FR81,2,1.867
2011,NUTS,2010,FR82,2,11.584
2012,NUTS,2010,FR82,2,6.763
2011,NUTS,2010,HU,0,0.237
2011,NUTS,2010,HU1,1,0.508
