year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_f
2016,NUTS,2010,BE3,1,7.0
2017,NUTS,2010,BE3,1,7.0
2018,NUTS,2010,BE3,1,8.0
2019,NUTS,2010,BE3,1,7.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,37.0
2012,NUTS,2010,BG,0,58.0
2013,NUTS,2010,BG,0,46.0
2014,NUTS,2010,BG,0,51.0
2015,NUTS,2010,BG,0,60.0
2016,NUTS,2010,BG,0,19.0
2017,NUTS,2010,BG,0,46.0
2018,NUTS,2010,BG,0,45.0
2019,NUTS,2010,BG,0,54.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2016,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG41,2,32.0
2012,NUTS,2010,BG41,2,54.0
2015,NUTS,2010,BG41,2,56.0
2017,NUTS,2010,BG41,2,27.0
2018,NUTS,2010,BG41,2,21.0
2019,NUTS,2010,BG41,2,36.0
2014,NUTS,2010,BG42,2,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,27.0
2012,NUTS,2010,CY,0,29.0
2013,NUTS,2010,CY,0,23.0
2014,NUTS,2010,CY,0,30.0
2015,NUTS,2010,CY,0,21.0
2016,NUTS,2010,CY,0,18.0
2017,NUTS,2010,CY,0,21.0
2018,NUTS,2010,CY,0,21.0
2019,NUTS,2010,CY,0,47.0
2011,NUTS,2010,CZ,0,77.0
2012,NUTS,2010,CZ,0,99.0
2013,NUTS,2010,CZ,0,77.0
2014,NUTS,2010,CZ,0,83.0
2015,NUTS,2010,CZ,0,72.0
2016,NUTS,2010,CZ,0,60.0
2017,NUTS,2010,CZ,0,78.0
2018,NUTS,2010,CZ,0,67.0
2019,NUTS,2010,CZ,0,80.0
2020,NUTS,2010,CZ,0,78.0
2011,NUTS,2010,CZ0,1,77.0
2012,NUTS,2010,CZ0,1,99.0
2013,NUTS,2010,CZ0,1,77.0
2014,NUTS,2010,CZ0,1,83.0
2015,NUTS,2010,CZ0,1,72.0
2016,NUTS,2010,CZ0,1,60.0
2017,NUTS,2010,CZ0,1,78.0
2018,NUTS,2010,CZ0,1,67.0
2019,NUTS,2010,CZ0,1,80.0
2020,NUTS,2010,CZ0,1,78.0
2011,NUTS,2010,CZ01,2,37.0
2012,NUTS,2010,CZ01,2,49.0
2013,NUTS,2010,CZ01,2,46.0
2014,NUTS,2010,CZ01,2,50.0
2015,NUTS,2010,CZ01,2,39.0
2016,NUTS,2010,CZ01,2,39.0
2017,NUTS,2010,CZ01,2,44.0
2018,NUTS,2010,CZ01,2,38.0
2019,NUTS,2010,CZ01,2,46.0
2020,NUTS,2010,CZ01,2,50.0
2011,NUTS,2010,CZ02,2,1.0
2012,NUTS,2010,CZ02,2,2.0
2013,NUTS,2010,CZ02,2,5.0
2014,NUTS,2010,CZ02,2,2.0
2015,NUTS,2010,CZ02,2,4.0
2016,NUTS,2010,CZ02,2,1.0
2017,NUTS,2010,CZ02,2,0.0
2018,NUTS,2010,CZ02,2,1.0
