year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2011,NUTS,2010,CZ07,2,0.3223
2012,NUTS,2010,CZ07,2,0.321
2013,NUTS,2010,CZ07,2,0.3328
2014,NUTS,2010,CZ07,2,0.3329
2015,NUTS,2010,CZ07,2,0.348
2016,NUTS,2010,CZ07,2,0.3332
2017,NUTS,2010,CZ07,2,0.3509
2018,NUTS,2010,CZ07,2,0.3574
2019,NUTS,2010,CZ07,2,0.4032
2020,NUTS,2010,CZ07,2,0.4053
2011,NUTS,2010,CZ08,2,0.2037
2012,NUTS,2010,CZ08,2,0.2033
2013,NUTS,2010,CZ08,2,0.2201
2014,NUTS,2010,CZ08,2,0.2176
2015,NUTS,2010,CZ08,2,0.2153
2016,NUTS,2010,CZ08,2,0.2287
2017,NUTS,2010,CZ08,2,0.2795
2018,NUTS,2010,CZ08,2,0.2795
2019,NUTS,2010,CZ08,2,0.2709
2020,NUTS,2010,CZ08,2,0.2727
2011,NUTS,2010,DE,0,0.4589
2013,NUTS,2010,DE,0,0.4435
2015,NUTS,2010,DE,0,0.4765
2017,NUTS,2010,DE,0,0.5041
2019,NUTS,2010,DE,0,0.5369
2017,NUTS,2010,DE1,1,0.8653
2019,NUTS,2010,DE1,1,0.9228
2017,NUTS,2010,DE11,2,1.12
2019,NUTS,2010,DE11,2,1.1847
2017,NUTS,2010,DE12,2,0.7757
2019,NUTS,2010,DE12,2,0.8082
2017,NUTS,2010,DE13,2,0.452
2019,NUTS,2010,DE13,2,0.4877
2017,NUTS,2010,DE14,2,0.9476
2019,NUTS,2010,DE14,2,1.0428
2017,NUTS,2010,DE2,1,0.5489
2019,NUTS,2010,DE2,1,0.6053
2017,NUTS,2010,DE21,2,0.8261
2019,NUTS,2010,DE21,2,0.9067
2017,NUTS,2010,DE22,2,0.211
2019,NUTS,2010,DE22,2,0.2565
2017,NUTS,2010,DE23,2,0.3638
2019,NUTS,2010,DE23,2,0.4601
2017,NUTS,2010,DE24,2,0.3315
2019,NUTS,2010,DE24,2,0.4096
2017,NUTS,2010,DE25,2,0.5799
2019,NUTS,2010,DE25,2,0.6458
2017,NUTS,2010,DE26,2,0.4569
2019,NUTS,2010,DE26,2,0.4738
2017,NUTS,2010,DE27,2,0.3162
2019,NUTS,2010,DE27,2,0.3001
2017,NUTS,2010,DE3,1,0.4884
2019,NUTS,2010,DE3,1,0.5102
2017,NUTS,2010,DE30,2,0.4884
2019,NUTS,2010,DE30,2,0.5102
2017,NUTS,2010,DE4,1,0.2036
2019,NUTS,2010,DE4,1,0.2002
2017,NUTS,2010,DE40,2,0.2036
2019,NUTS,2010,DE40,2,0.2002
2017,NUTS,2010,DE5,1,0.4003
2019,NUTS,2010,DE5,1,0.4579
2017,NUTS,2010,DE50,2,0.4003
2019,NUTS,2010,DE50,2,0.4579
2017,NUTS,2010,DE6,1,0.4791
2019,NUTS,2010,DE6,1,0.4855
2017,NUTS,2010,DE60,2,0.4791
2019,NUTS,2010,DE60,2,0.4855
2017,NUTS,2010,DE7,1,0.6647
2019,NUTS,2010,DE7,1,0.6814
2017,NUTS,2010,DE71,2,0.8184
2019,NUTS,2010,DE71,2,0.8539
2017,NUTS,2010,DE72,2,0.3627
2019,NUTS,2010,DE72,2,0.3531
2017,NUTS,2010,DE73,2,0.4075
2019,NUTS,2010,DE73,2,0.3716
2017,NUTS,2010,DE8,1,0.1751
2019,NUTS,2010,DE8,1,0.2091
2017,NUTS,2010,DE80,2,0.1751
2019,NUTS,2010,DE80,2,0.2091
2017,NUTS,2010,DE9,1,0.3679
2019,NUTS,2010,DE9,1,0.386
2017,NUTS,2010,DE91,2,0.9399
2019,NUTS,2010,DE91,2,0.9807
2017,NUTS,2010,DE92,2,0.3494
2019,NUTS,2010,DE92,2,0.3625
2017,NUTS,2010,DE93,2,0.1496
2019,NUTS,2010,DE93,2,0.1487
2017,NUTS,2010,DE94,2,0.1811
2019,NUTS,2010,DE94,2,0.2045
2017,NUTS,2010,DEA,1,0.3635
2019,NUTS,2010,DEA,1,0.3698
2017,NUTS,2010,DEA1,2,0.467
2019,NUTS,2010,DEA1,2,0.4923
2017,NUTS,2010,DEA2,2,0.4131
2019,NUTS,2010,DEA2,2,0.3996
2017,NUTS,2010,DEA3,2,0.1871
2019,NUTS,2010,DEA3,2,0.196
2017,NUTS,2010,DEA4,2,0.3948
2019,NUTS,2010,DEA4,2,0.4143
2017,NUTS,2010,DEA5,2,0.2585
2019,NUTS,2010,DEA5,2,0.2609
2017,NUTS,2010,DEB,1,0.5564
2019,NUTS,2010,DEB,1,0.6079
2017,NUTS,2010,DEB1,2,0.2021
2019,NUTS,2010,DEB1,2,0.2445
2017,NUTS,2010,DEB2,2,0.1292
2019,NUTS,2010,DEB2,2,0.1344
2017,NUTS,2010,DEB3,2,0.938
2019,NUTS,2010,DEB3,2,1.006
2017,NUTS,2010,DEC,1,0.3214
2019,NUTS,2010,DEC,1,0.3456
2017,NUTS,2010,DEC0,2,0.3214
2019,NUTS,2010,DEC0,2,0.3456
2017,NUTS,2010,DED,1,0.3786
2019,NUTS,2010,DED,1,0.3962
2017,NUTS,2010,DED2,2,0.4888
2019,NUTS,2010,DED2,2,0.5046
2017,NUTS,2010,DED4,2,0.419
2019,NUTS,2010,DED4,2,0.456
2017,NUTS,2010,DED5,2,0.165
2019,NUTS,2010,DED5,2,0.1624
2017,NUTS,2010,DEE,1,0.1805
2019,NUTS,2010,DEE,1,0.1938
2017,NUTS,2010,DEE0,2,0.1805
2019,NUTS,2010,DEE0,2,0.1938
2017,NUTS,2010,DEF,1,0.216
2019,NUTS,2010,DEF,1,0.2321
2017,NUTS,2010,DEF0,2,0.216
2019,NUTS,2010,DEF0,2,0.2321
2017,NUTS,2010,DEG,1,0.3116
2019,NUTS,2010,DEG,1,0.3387
2017,NUTS,2010,DEG0,2,0.3116
2019,NUTS,2010,DEG0,2,0.3387
2011,NUTS,2010,DK,0,1.1497
2012,NUTS,2010,DK,0,1.0536
2013,NUTS,2010,DK,0,1.0235
2015,NUTS,2010,DK,0,1.0301
2017,NUTS,2010,DK,0,1.1011
2019,NUTS,2010,DK,0,1.0661
2011,NUTS,2010,DK0,1,1.0598
2013,NUTS,2010,DK0,1,1.1139
2015,NUTS,2010,DK0,1,1.0091
2017,NUTS,2010,DK0,1,1.0768
2019,NUTS,2010,DK0,1,1.0433
2011,NUTS,2010,DK01,2,2.3711
2013,NUTS,2010,DK01,2,2.5102
2015,NUTS,2010,DK01,2,2.1786
2017,NUTS,2010,DK01,2,2.3642
2019,NUTS,2010,DK01,2,2.2703
2011,NUTS,2010,DK02,2,0.334
2013,NUTS,2010,DK02,2,0.3578
2015,NUTS,2010,DK02,2,0.2866
2017,NUTS,2010,DK02,2,0.4726
2019,NUTS,2010,DK02,2,0.364
2011,NUTS,2010,DK03,2,0.4828
2013,NUTS,2010,DK03,2,0.4793
2015,NUTS,2010,DK03,2,0.6284
2017,NUTS,2010,DK03,2,0.3952
2019,NUTS,2010,DK03,2,0.4544
2011,NUTS,2010,DK04,2,0.4891
2013,NUTS,2010,DK04,2,0.4804
2015,NUTS,2010,DK04,2,0.3516
2017,NUTS,2010,DK04,2,0.4069
2019,NUTS,2010,DK04,2,0.4421
2011,NUTS,2010,DK05,2,0.1628
2013,NUTS,2010,DK05,2,0.1704
2015,NUTS,2010,DK05,2,0.2145
2017,NUTS,2010,DK05,2,0.2284
2019,NUTS,2010,DK05,2,0.2247
2011,NUTS,2010,EA19,2,0.461
2013,NUTS,2010,EA19,2,0.4966
2015,NUTS,2010,EA19,2,0.5288
2017,NUTS,2010,EA19,2,0.587
2019,NUTS,2010,EA19,2,0.644
2011,NUTS,2010,EE,0,0.3803
2012,NUTS,2010,EE,0,0.3037
2013,NUTS,2010,EE,0,0.2919
2014,NUTS,2010,EE,0,0.3142
2015,NUTS,2010,EE,0,0.2597
2016,NUTS,2010,EE,0,0.2482
2017,NUTS,2010,EE,0,0.2653
2018,NUTS,2010,EE,0,0.2886
2019,NUTS,2010,EE,0,0.3616
2011,NUTS,2010,EL,0,0.1933
2013,NUTS,2010,EL,0,0.2153
2015,NUTS,2010,EL,0,0.2458
2017,NUTS,2010,EL,0,0.4448
2019,NUTS,2010,EL,0,0.4296
2011,NUTS,2010,EL3,1,0.3162
2011,NUTS,2010,EL30,2,0.3162
2011,NUTS,2010,EL4,1,0.0327
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,0.0019
2011,NUTS,2010,EL43,2,0.0559
2011,NUTS,2010,EL5,1,0.1765
2011,NUTS,2010,EL51,2,0.0888
2011,NUTS,2010,EL52,2,0.241
2011,NUTS,2010,EL53,2,0.0635
2011,NUTS,2010,EL54,2,0.0598
2011,NUTS,2010,EL6,1,0.0579
2011,NUTS,2010,EL61,2,0.022
2011,NUTS,2010,EL62,2,0.0267
2011,NUTS,2010,EL63,2,0.08
2011,NUTS,2010,EL64,2,0.1192
2011,NUTS,2010,EL65,2,0.0399
2011,NUTS,2010,ES,0,0.4615
2012,NUTS,2010,ES,0,0.4734
2013,NUTS,2010,ES,0,0.4944
2014,NUTS,2010,ES,0,0.4813
2015,NUTS,2010,ES,0,0.4772
2016,NUTS,2010,ES,0,0.4691
2017,NUTS,2010,ES,0,0.4867
2018,NUTS,2010,ES,0,0.5166
2019,NUTS,2010,ES,0,0.5234
2011,NUTS,2010,ES1,1,0.3296
2012,NUTS,2010,ES1,1,0.3311
2013,NUTS,2010,ES1,1,0.3554
