year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_hc_rse_t
2015,NUTS,2010,BE3,1,4.0
2016,NUTS,2010,BE3,1,31.0
2017,NUTS,2010,BE3,1,24.0
2018,NUTS,2010,BE3,1,27.0
2019,NUTS,2010,BE3,1,29.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,121.0
2012,NUTS,2010,BG,0,176.0
2013,NUTS,2010,BG,0,217.0
2014,NUTS,2010,BG,0,145.0
2015,NUTS,2010,BG,0,147.0
2016,NUTS,2010,BG,0,46.0
2017,NUTS,2010,BG,0,169.0
2018,NUTS,2010,BG,0,135.0
2019,NUTS,2010,BG,0,157.0
2011,NUTS,2010,BG3,1,5.0
2012,NUTS,2010,BG3,1,6.0
2014,NUTS,2010,BG3,1,9.0
2017,NUTS,2010,BG3,1,11.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,116.0
2012,NUTS,2010,BG4,1,170.0
2014,NUTS,2010,BG4,1,136.0
2017,NUTS,2010,BG4,1,158.0
2013,NUTS,2010,BG41,2,207.0
2015,NUTS,2010,BG41,2,132.0
2016,NUTS,2010,BG41,2,26.0
2018,NUTS,2010,BG41,2,91.0
2019,NUTS,2010,BG41,2,123.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,108.0
2012,NUTS,2010,CY,0,121.0
2013,NUTS,2010,CY,0,115.0
2014,NUTS,2010,CY,0,138.0
2015,NUTS,2010,CY,0,132.0
2016,NUTS,2010,CY,0,118.0
2017,NUTS,2010,CY,0,145.0
2018,NUTS,2010,CY,0,151.0
2019,NUTS,2010,CY,0,196.0
2011,NUTS,2010,CZ,0,251.0
2012,NUTS,2010,CZ,0,206.0
2013,NUTS,2010,CZ,0,202.0
2014,NUTS,2010,CZ,0,232.0
2015,NUTS,2010,CZ,0,199.0
2016,NUTS,2010,CZ,0,190.0
2017,NUTS,2010,CZ,0,232.0
2018,NUTS,2010,CZ,0,197.0
2019,NUTS,2010,CZ,0,240.0
2020,NUTS,2010,CZ,0,266.0
2011,NUTS,2010,CZ0,1,251.0
2012,NUTS,2010,CZ0,1,206.0
2013,NUTS,2010,CZ0,1,202.0
