year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_t
2019,NUTS,2010,EL,0,293.0
2020,NUTS,2010,EL,0,241.0
2011,NUTS,2010,EL3,1,163.0
2013,NUTS,2010,EL3,1,206.0
2015,NUTS,2010,EL3,1,178.0
2017,NUTS,2010,EL3,1,227.0
2019,NUTS,2010,EL3,1,188.0
2011,NUTS,2010,EL30,2,163.0
2013,NUTS,2010,EL30,2,206.0
2015,NUTS,2010,EL30,2,178.0
2017,NUTS,2010,EL30,2,227.0
2019,NUTS,2010,EL30,2,188.0
2011,NUTS,2010,EL4,1,7.0
2013,NUTS,2010,EL4,1,19.0
2015,NUTS,2010,EL4,1,17.0
2017,NUTS,2010,EL4,1,32.0
2019,NUTS,2010,EL4,1,33.0
2011,NUTS,2010,EL41,2,1.0
2013,NUTS,2010,EL41,2,1.0
2015,NUTS,2010,EL41,2,1.0
2017,NUTS,2010,EL41,2,3.0
2019,NUTS,2010,EL41,2,8.0
2011,NUTS,2010,EL42,2,6.0
2013,NUTS,2010,EL42,2,8.0
2015,NUTS,2010,EL42,2,6.0
2017,NUTS,2010,EL42,2,9.0
2019,NUTS,2010,EL42,2,11.0
2011,NUTS,2010,EL43,2,0.0
2013,NUTS,2010,EL43,2,10.0
2015,NUTS,2010,EL43,2,10.0
2017,NUTS,2010,EL43,2,20.0
2019,NUTS,2010,EL43,2,14.0
2011,NUTS,2010,EL5,1,41.0
2013,NUTS,2010,EL5,1,64.0
2015,NUTS,2010,EL5,1,68.0
2017,NUTS,2010,EL5,1,33.0
2019,NUTS,2010,EL5,1,55.0
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,2.0
2015,NUTS,2010,EL51,2,2.0
2017,NUTS,2010,EL51,2,3.0
2019,NUTS,2010,EL51,2,1.0
2011,NUTS,2010,EL52,2,34.0
2013,NUTS,2010,EL52,2,55.0
2015,NUTS,2010,EL52,2,61.0
2017,NUTS,2010,EL52,2,22.0
2019,NUTS,2010,EL52,2,45.0
2011,NUTS,2010,EL53,2,5.0
2013,NUTS,2010,EL53,2,5.0
2015,NUTS,2010,EL53,2,3.0
2017,NUTS,2010,EL53,2,3.0
2019,NUTS,2010,EL53,2,5.0
2011,NUTS,2010,EL54,2,2.0
2013,NUTS,2010,EL54,2,2.0
2015,NUTS,2010,EL54,2,2.0
2017,NUTS,2010,EL54,2,6.0
2019,NUTS,2010,EL54,2,3.0
2011,NUTS,2010,EL6,1,4.0
2013,NUTS,2010,EL6,1,8.0
2015,NUTS,2010,EL6,1,7.0
2017,NUTS,2010,EL6,1,11.0
2019,NUTS,2010,EL6,1,18.0
2011,NUTS,2010,EL61,2,1.0
2013,NUTS,2010,EL61,2,1.0
2015,NUTS,2010,EL61,2,1.0
2017,NUTS,2010,EL61,2,3.0
2019,NUTS,2010,EL61,2,2.0
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,1.0
2015,NUTS,2010,EL63,2,0.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,2.0
2013,NUTS,2010,EL64,2,3.0
2015,NUTS,2010,EL64,2,3.0
2017,NUTS,2010,EL64,2,3.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,2.0
2013,NUTS,2010,EL65,2,3.0
2015,NUTS,2010,EL65,2,3.0
2017,NUTS,2010,EL65,2,5.0
2019,NUTS,2010,EL65,2,16.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,242.0
2012,NUTS,2010,ES,0,232.0
2013,NUTS,2010,ES,0,197.0
2014,NUTS,2010,ES,0,210.0
2015,NUTS,2010,ES,0,218.0
2016,NUTS,2010,ES,0,335.0
2017,NUTS,2010,ES,0,256.0
2018,NUTS,2010,ES,0,331.0
2019,NUTS,2010,ES,0,309.0
2020,NUTS,2010,ES,0,334.0
2011,NUTS,2010,ES1,1,29.0
2012,NUTS,2010,ES1,1,26.0
2013,NUTS,2010,ES1,1,14.0
2015,NUTS,2010,ES1,1,12.0
2016,NUTS,2010,ES1,1,36.0
2017,NUTS,2010,ES1,1,36.0
2018,NUTS,2010,ES1,1,68.0
2014,NUTS,2010,ES11,2,2.0
2015,NUTS,2010,ES11,2,3.0
2016,NUTS,2010,ES11,2,27.0
2017,NUTS,2010,ES11,2,29.0
2018,NUTS,2010,ES11,2,34.0
2019,NUTS,2010,ES11,2,33.0
2012,NUTS,2010,ES12,2,4.0
2013,NUTS,2010,ES12,2,2.0
2014,NUTS,2010,ES12,2,2.0
2015,NUTS,2010,ES12,2,3.0
2016,NUTS,2010,ES12,2,2.0
2017,NUTS,2010,ES12,2,2.0
2018,NUTS,2010,ES12,2,4.0
2019,NUTS,2010,ES12,2,2.0
2011,NUTS,2010,ES13,2,25.0
2015,NUTS,2010,ES13,2,7.0
2016,NUTS,2010,ES13,2,6.0
2017,NUTS,2010,ES13,2,5.0
2018,NUTS,2010,ES13,2,31.0
2011,NUTS,2010,ES2,1,22.0
2013,NUTS,2010,ES2,1,25.0
2015,NUTS,2010,ES2,1,19.0
2019,NUTS,2010,ES2,1,15.0
2011,NUTS,2010,ES21,2,13.0
2012,NUTS,2010,ES21,2,20.0
2013,NUTS,2010,ES21,2,15.0
2014,NUTS,2010,ES21,2,12.0
2015,NUTS,2010,ES21,2,11.0
2016,NUTS,2010,ES21,2,18.0
2017,NUTS,2010,ES21,2,13.0
2018,NUTS,2010,ES21,2,12.0
2019,NUTS,2010,ES21,2,14.0
2011,NUTS,2010,ES22,2,4.0
2015,NUTS,2010,ES22,2,3.0
2011,NUTS,2010,ES23,2,2.0
2012,NUTS,2010,ES23,2,4.0
2014,NUTS,2010,ES23,2,2.0
2015,NUTS,2010,ES23,2,2.0
2016,NUTS,2010,ES23,2,1.0
2017,NUTS,2010,ES23,2,1.0
2018,NUTS,2010,ES23,2,1.0
2011,NUTS,2010,ES24,2,4.0
2012,NUTS,2010,ES24,2,3.0
2013,NUTS,2010,ES24,2,3.0
2014,NUTS,2010,ES24,2,1.0
2015,NUTS,2010,ES24,2,4.0
2016,NUTS,2010,ES24,2,3.0
2017,NUTS,2010,ES24,2,3.0
2018,NUTS,2010,ES24,2,1.0
2011,NUTS,2010,ES3,1,69.0
2012,NUTS,2010,ES3,1,75.0
2013,NUTS,2010,ES3,1,70.0
