year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_hc_f
2019,NUTS,2010,DE72,2,0.0699
2015,NUTS,2010,DE73,2,0.0508
2016,NUTS,2010,DE73,2,0.0537
2017,NUTS,2010,DE73,2,0.0569
2018,NUTS,2010,DE73,2,0.0379
2019,NUTS,2010,DE73,2,0.0376
2015,NUTS,2010,DE8,1,0.2801
2016,NUTS,2010,DE8,1,0.2887
2017,NUTS,2010,DE8,1,0.2895
2018,NUTS,2010,DE8,1,0.3109
2019,NUTS,2010,DE8,1,0.3121
2015,NUTS,2010,DE80,2,0.2801
2016,NUTS,2010,DE80,2,0.2887
2017,NUTS,2010,DE80,2,0.2895
2018,NUTS,2010,DE80,2,0.3109
2019,NUTS,2010,DE80,2,0.3121
2015,NUTS,2010,DE9,1,0.2266
2016,NUTS,2010,DE9,1,0.2262
2017,NUTS,2010,DE9,1,0.2274
2018,NUTS,2010,DE9,1,0.2398
2019,NUTS,2010,DE9,1,0.2319
2015,NUTS,2010,DE91,2,0.8039
2016,NUTS,2010,DE91,2,0.8299
2017,NUTS,2010,DE91,2,0.8106
2018,NUTS,2010,DE91,2,0.799
2019,NUTS,2010,DE91,2,0.7981
2015,NUTS,2010,DE92,2,0.1524
2016,NUTS,2010,DE92,2,0.1607
2017,NUTS,2010,DE92,2,0.1569
2018,NUTS,2010,DE92,2,0.2155
2019,NUTS,2010,DE92,2,0.2047
2015,NUTS,2010,DE93,2,0.0354
2016,NUTS,2010,DE93,2,0.028
2017,NUTS,2010,DE93,2,0.0388
2018,NUTS,2010,DE93,2,0.0325
2019,NUTS,2010,DE93,2,0.0332
2015,NUTS,2010,DE94,2,0.0594
2016,NUTS,2010,DE94,2,0.0493
2017,NUTS,2010,DE94,2,0.0539
2018,NUTS,2010,DE94,2,0.0579
2019,NUTS,2010,DE94,2,0.0427
2015,NUTS,2010,DEA,1,0.2161
2016,NUTS,2010,DEA,1,0.216
2017,NUTS,2010,DEA,1,0.2257
2018,NUTS,2010,DEA,1,0.237
2019,NUTS,2010,DEA,1,0.2434
2015,NUTS,2010,DEA1,2,0.0922
2016,NUTS,2010,DEA1,2,0.0862
2017,NUTS,2010,DEA1,2,0.0887
2018,NUTS,2010,DEA1,2,0.0961
2019,NUTS,2010,DEA1,2,0.0983
2015,NUTS,2010,DEA2,2,0.6135
2016,NUTS,2010,DEA2,2,0.6017
2017,NUTS,2010,DEA2,2,0.629
2018,NUTS,2010,DEA2,2,0.6683
2019,NUTS,2010,DEA2,2,0.6888
2015,NUTS,2010,DEA3,2,0.0521
2016,NUTS,2010,DEA3,2,0.0543
2017,NUTS,2010,DEA3,2,0.0632
2018,NUTS,2010,DEA3,2,0.0578
2019,NUTS,2010,DEA3,2,0.0561
2015,NUTS,2010,DEA4,2,0.0477
2016,NUTS,2010,DEA4,2,0.0514
2017,NUTS,2010,DEA4,2,0.0575
2018,NUTS,2010,DEA4,2,0.0631
2019,NUTS,2010,DEA4,2,0.0656
2015,NUTS,2010,DEA5,2,0.1161
2016,NUTS,2010,DEA5,2,0.1196
2017,NUTS,2010,DEA5,2,0.1251
2018,NUTS,2010,DEA5,2,0.1275
2019,NUTS,2010,DEA5,2,0.1241
2015,NUTS,2010,DEB,1,0.1007
2016,NUTS,2010,DEB,1,0.1104
2017,NUTS,2010,DEB,1,0.1198
2018,NUTS,2010,DEB,1,0.1251
2019,NUTS,2010,DEB,1,0.1409
2015,NUTS,2010,DEB1,2,0.0348
2016,NUTS,2010,DEB1,2,0.037
2017,NUTS,2010,DEB1,2,0.0357
2018,NUTS,2010,DEB1,2,0.0389
2019,NUTS,2010,DEB1,2,0.0423
2015,NUTS,2010,DEB2,2,0.0177
2016,NUTS,2010,DEB2,2,0.0171
2017,NUTS,2010,DEB2,2,0.0163
2018,NUTS,2010,DEB2,2,0.0205
2019,NUTS,2010,DEB2,2,0.0423
2015,NUTS,2010,DEB3,2,0.1722
2016,NUTS,2010,DEB3,2,0.1916
2017,NUTS,2010,DEB3,2,0.21
2018,NUTS,2010,DEB3,2,0.2176
2019,NUTS,2010,DEB3,2,0.2398
2015,NUTS,2010,DEC,1,0.2354
2016,NUTS,2010,DEC,1,0.2282
2017,NUTS,2010,DEC,1,0.2209
2018,NUTS,2010,DEC,1,0.22
2019,NUTS,2010,DEC,1,0.2851
2015,NUTS,2010,DEC0,2,0.2354
2016,NUTS,2010,DEC0,2,0.2282
2017,NUTS,2010,DEC0,2,0.2209
2018,NUTS,2010,DEC0,2,0.22
2019,NUTS,2010,DEC0,2,0.2851
2015,NUTS,2010,DED,1,0.3766
2016,NUTS,2010,DED,1,0.3776
2017,NUTS,2010,DED,1,0.399
2018,NUTS,2010,DED,1,0.4128
2019,NUTS,2010,DED,1,0.4268
2015,NUTS,2010,DED2,2,0.4986
2016,NUTS,2010,DED2,2,0.511
2017,NUTS,2010,DED2,2,0.5382
2018,NUTS,2010,DED2,2,0.5495
2019,NUTS,2010,DED2,2,0.5627
2015,NUTS,2010,DED4,2,0.0957
2016,NUTS,2010,DED4,2,0.0949
2017,NUTS,2010,DED4,2,0.0981
2018,NUTS,2010,DED4,2,0.1058
2019,NUTS,2010,DED4,2,0.1083
2015,NUTS,2010,DED5,2,0.5681
2016,NUTS,2010,DED5,2,0.5507
2017,NUTS,2010,DED5,2,0.5911
2018,NUTS,2010,DED5,2,0.6036
2019,NUTS,2010,DED5,2,0.628
2015,NUTS,2010,DEE,1,0.296
2016,NUTS,2010,DEE,1,0.2986
2017,NUTS,2010,DEE,1,0.3166
2018,NUTS,2010,DEE,1,0.3375
2019,NUTS,2010,DEE,1,0.3316
2015,NUTS,2010,DEE0,2,0.296
2016,NUTS,2010,DEE0,2,0.2986
2017,NUTS,2010,DEE0,2,0.3166
2018,NUTS,2010,DEE0,2,0.3375
2019,NUTS,2010,DEE0,2,0.3316
2015,NUTS,2010,DEF,1,0.2401
2016,NUTS,2010,DEF,1,0.2358
2017,NUTS,2010,DEF,1,0.25
2018,NUTS,2010,DEF,1,0.265
2019,NUTS,2010,DEF,1,0.2543
2015,NUTS,2010,DEF0,2,0.2401
2016,NUTS,2010,DEF0,2,0.2358
2017,NUTS,2010,DEF0,2,0.25
2018,NUTS,2010,DEF0,2,0.265
2019,NUTS,2010,DEF0,2,0.2543
2015,NUTS,2010,DEG,1,0.2562
2016,NUTS,2010,DEG,1,0.2711
2017,NUTS,2010,DEG,1,0.2573
2018,NUTS,2010,DEG,1,0.2767
2019,NUTS,2010,DEG,1,0.2741
2015,NUTS,2010,DEG0,2,0.2562
2016,NUTS,2010,DEG0,2,0.2711
2017,NUTS,2010,DEG0,2,0.2573
2018,NUTS,2010,DEG0,2,0.2767
2019,NUTS,2010,DEG0,2,0.2741
2011,NUTS,2010,DK,0,0.0806
2012,NUTS,2010,DK,0,0.0981
2013,NUTS,2010,DK,0,0.1004
2014,NUTS,2010,DK,0,0.1179
2015,NUTS,2010,DK,0,0.128
2016,NUTS,2010,DK,0,0.1236
2017,NUTS,2010,DK,0,0.1473
2018,NUTS,2010,DK,0,0.1485
2019,NUTS,2010,DK,0,0.1475
2011,NUTS,2010,DK0,1,0.0805
2012,NUTS,2010,DK0,1,0.0962
2013,NUTS,2010,DK0,1,0.0985
2014,NUTS,2010,DK0,1,0.1153
2015,NUTS,2010,DK0,1,0.1256
2016,NUTS,2010,DK0,1,0.1209
2017,NUTS,2010,DK0,1,0.1442
2018,NUTS,2010,DK0,1,0.1456
2019,NUTS,2010,DK0,1,0.1445
2011,NUTS,2010,DK01,2,0.1498
2012,NUTS,2010,DK01,2,0.1339
2013,NUTS,2010,DK01,2,0.1243
2014,NUTS,2010,DK01,2,0.1289
2015,NUTS,2010,DK01,2,0.139
2016,NUTS,2010,DK01,2,0.1199
2017,NUTS,2010,DK01,2,0.1954
2019,NUTS,2010,DK01,2,0.2078
2011,NUTS,2010,DK02,2,0.0748
2012,NUTS,2010,DK02,2,0.0592
2013,NUTS,2010,DK02,2,0.0924
2014,NUTS,2010,DK02,2,0.1654
2015,NUTS,2010,DK02,2,0.177
2016,NUTS,2010,DK02,2,0.121
2017,NUTS,2010,DK02,2,0.1172
2019,NUTS,2010,DK02,2,0.1164
2011,NUTS,2010,DK03,2,0.0089
2012,NUTS,2010,DK03,2,0.0787
2013,NUTS,2010,DK03,2,0.081
2014,NUTS,2010,DK03,2,0.087
2015,NUTS,2010,DK03,2,0.0886
2016,NUTS,2010,DK03,2,0.1101
2017,NUTS,2010,DK03,2,0.0191
2019,NUTS,2010,DK03,2,0.0215
2011,NUTS,2010,DK04,2,0.0764
2012,NUTS,2010,DK04,2,0.1121
2013,NUTS,2010,DK04,2,0.1133
2014,NUTS,2010,DK04,2,0.1323
2015,NUTS,2010,DK04,2,0.1518
2016,NUTS,2010,DK04,2,0.1745
2017,NUTS,2010,DK04,2,0.1596
2019,NUTS,2010,DK04,2,0.1367
2011,NUTS,2010,DK05,2,0.0108
2012,NUTS,2010,DK05,2,0.0161
2013,NUTS,2010,DK05,2,0.0184
2014,NUTS,2010,DK05,2,0.0198
2015,NUTS,2010,DK05,2,0.0271
2016,NUTS,2010,DK05,2,0.0255
2017,NUTS,2010,DK05,2,0.2206
2019,NUTS,2010,DK05,2,0.2339
2011,NUTS,2010,EA19,2,0.2164
2012,NUTS,2010,EA19,2,0.2212
2013,NUTS,2010,EA19,2,0.2185
2014,NUTS,2010,EA19,2,0.222
2015,NUTS,2010,EA19,2,0.2333
2016,NUTS,2010,EA19,2,0.236
2017,NUTS,2010,EA19,2,0.2405
2018,NUTS,2010,EA19,2,0.2484
2019,NUTS,2010,EA19,2,0.2534
2011,NUTS,2010,EE,0,0.2119
2012,NUTS,2010,EE,0,0.2232
2013,NUTS,2010,EE,0,0.2228
2014,NUTS,2010,EE,0,0.217
2015,NUTS,2010,EE,0,0.2241
2016,NUTS,2010,EE,0,0.1928
2017,NUTS,2010,EE,0,0.1905
2018,NUTS,2010,EE,0,0.1687
2019,NUTS,2010,EE,0,0.1666
