year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_emp_fte_f
2012,NUTS,2010,BG33,2,0.0
2016,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG41,2,0.0067
2012,NUTS,2010,BG41,2,0.0114
2015,NUTS,2010,BG41,2,0.0114
2017,NUTS,2010,BG41,2,0.0054
2018,NUTS,2010,BG41,2,0.0041
2019,NUTS,2010,BG41,2,0.0069
2014,NUTS,2010,BG42,2,0.0
2011,NUTS,2010,CY,0,0.0144
2012,NUTS,2010,CY,0,0.016
2013,NUTS,2010,CY,0,0.0133
2014,NUTS,2010,CY,0,0.017
2015,NUTS,2010,CY,0,0.012
2016,NUTS,2010,CY,0,0.0105
2017,NUTS,2010,CY,0,0.0118
2018,NUTS,2010,CY,0,0.0111
2019,NUTS,2010,CY,0,0.0243
2011,NUTS,2010,CZ,0,0.0037
2012,NUTS,2010,CZ,0,0.0048
2013,NUTS,2010,CZ,0,0.0037
2014,NUTS,2010,CZ,0,0.0039
2015,NUTS,2010,CZ,0,0.0033
2016,NUTS,2010,CZ,0,0.0027
2017,NUTS,2010,CZ,0,0.0035
2018,NUTS,2010,CZ,0,0.0029
2019,NUTS,2010,CZ,0,0.0035
2020,NUTS,2010,CZ,0,0.0035
2011,NUTS,2010,CZ0,1,0.0037
2012,NUTS,2010,CZ0,1,0.0047
2013,NUTS,2010,CZ0,1,0.0036
2014,NUTS,2010,CZ0,1,0.0038
2015,NUTS,2010,CZ0,1,0.0033
2016,NUTS,2010,CZ0,1,0.0026
2017,NUTS,2010,CZ0,1,0.0034
2018,NUTS,2010,CZ0,1,0.0029
2019,NUTS,2010,CZ0,1,0.0034
2020,NUTS,2010,CZ0,1,0.0034
2011,NUTS,2010,CZ01,2,0.0131
2012,NUTS,2010,CZ01,2,0.0171
2013,NUTS,2010,CZ01,2,0.0159
2014,NUTS,2010,CZ01,2,0.0174
2015,NUTS,2010,CZ01,2,0.0135
2016,NUTS,2010,CZ01,2,0.013
2017,NUTS,2010,CZ01,2,0.0144
2018,NUTS,2010,CZ01,2,0.0118
2019,NUTS,2010,CZ01,2,0.0143
2020,NUTS,2010,CZ01,2,0.0158
2011,NUTS,2010,CZ02,2,0.0005
2012,NUTS,2010,CZ02,2,0.0007
2013,NUTS,2010,CZ02,2,0.0019
2014,NUTS,2010,CZ02,2,0.0008
2015,NUTS,2010,CZ02,2,0.0013
2016,NUTS,2010,CZ02,2,0.0004
2017,NUTS,2010,CZ02,2,0.0001
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0004
2011,NUTS,2010,CZ03,2,0.0016
2012,NUTS,2010,CZ03,2,0.0029
2013,NUTS,2010,CZ03,2,0.0025
2014,NUTS,2010,CZ03,2,0.0047
2015,NUTS,2010,CZ03,2,0.008
2016,NUTS,2010,CZ03,2,0.0057
2017,NUTS,2010,CZ03,2,0.0087
2018,NUTS,2010,CZ03,2,0.008
2019,NUTS,2010,CZ03,2,0.0075
2020,NUTS,2010,CZ03,2,0.0066
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0001
2019,NUTS,2010,CZ04,2,0.0001
2020,NUTS,2010,CZ04,2,0.0001
2011,NUTS,2010,CZ05,2,0.0087
2012,NUTS,2010,CZ05,2,0.0099
2013,NUTS,2010,CZ05,2,0.0049
2014,NUTS,2010,CZ05,2,0.0019
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0001
2017,NUTS,2010,CZ05,2,0.0014
2019,NUTS,2010,CZ05,2,0.0008
2020,NUTS,2010,CZ05,2,0.0013
2011,NUTS,2010,CZ06,2,0.0017
2012,NUTS,2010,CZ06,2,0.0009
2013,NUTS,2010,CZ06,2,0.001
2014,NUTS,2010,CZ06,2,0.0015
2015,NUTS,2010,CZ06,2,0.0011
2016,NUTS,2010,CZ06,2,0.0001
2017,NUTS,2010,CZ06,2,0.0004
2018,NUTS,2010,CZ06,2,0.0008
2019,NUTS,2010,CZ06,2,0.0011
2020,NUTS,2010,CZ06,2,0.0004
2011,NUTS,2010,CZ07,2,0.0011
2012,NUTS,2010,CZ07,2,0.0012
2013,NUTS,2010,CZ07,2,0.0006
2014,NUTS,2010,CZ07,2,0.0014
2015,NUTS,2010,CZ07,2,0.001
2016,NUTS,2010,CZ07,2,0.0009
2017,NUTS,2010,CZ07,2,0.0007
2018,NUTS,2010,CZ07,2,0.0001
2019,NUTS,2010,CZ07,2,0.0008
2020,NUTS,2010,CZ07,2,0.0004
2011,NUTS,2010,CZ08,2,0.0003
2012,NUTS,2010,CZ08,2,0.0025
2013,NUTS,2010,CZ08,2,0.0002
2014,NUTS,2010,CZ08,2,0.0016
2015,NUTS,2010,CZ08,2,0.0007
2016,NUTS,2010,CZ08,2,0.0008
2017,NUTS,2010,CZ08,2,0.001
2018,NUTS,2010,CZ08,2,0.0014
2019,NUTS,2010,CZ08,2,0.0013
2020,NUTS,2010,CZ08,2,0.001
2011,NUTS,2010,DK,0,0.0099
2012,NUTS,2010,DK,0,0.0105
2013,NUTS,2010,DK,0,0.0102
2014,NUTS,2010,DK,0,0.0106
2015,NUTS,2010,DK,0,0.0103
2016,NUTS,2010,DK,0,0.0112
2017,NUTS,2010,DK,0,0.0097
2018,NUTS,2010,DK,0,0.0083
2019,NUTS,2010,DK,0,0.0098
2011,NUTS,2010,DK0,1,0.0097
2012,NUTS,2010,DK0,1,0.0103
2013,NUTS,2010,DK0,1,0.01
2014,NUTS,2010,DK0,1,0.0104
2015,NUTS,2010,DK0,1,0.0101
2016,NUTS,2010,DK0,1,0.0109
2017,NUTS,2010,DK0,1,0.0094
2018,NUTS,2010,DK0,1,0.0081
2019,NUTS,2010,DK0,1,0.0096
2011,NUTS,2010,DK01,2,0.0281
2012,NUTS,2010,DK01,2,0.0287
2013,NUTS,2010,DK01,2,0.0276
2014,NUTS,2010,DK01,2,0.0284
2015,NUTS,2010,DK01,2,0.028
2016,NUTS,2010,DK01,2,0.0292
2017,NUTS,2010,DK01,2,0.0256
2019,NUTS,2010,DK01,2,0.028
2011,NUTS,2010,DK02,2,0.0025
2012,NUTS,2010,DK02,2,0.0023
2013,NUTS,2010,DK02,2,0.0034
2014,NUTS,2010,DK02,2,0.0035
2015,NUTS,2010,DK02,2,0.0023
