year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_emp_fte_total_total
2002,NUTS,2010,CZ,0,0.4149
2003,NUTS,2010,CZ,0,0.4374
2004,NUTS,2010,CZ,0,0.4352
2005,NUTS,2010,CZ,0,0.6932
2006,NUTS,2010,CZ,0,0.7291
2007,NUTS,2010,CZ,0,0.7481
2008,NUTS,2010,CZ,0,0.743
2009,NUTS,2010,CZ,0,0.7603
2010,NUTS,2010,CZ,0,0.7748
2011,NUTS,2010,CZ,0,0.8126
2012,NUTS,2010,CZ,0,0.8722
2013,NUTS,2010,CZ,0,0.8799
2014,NUTS,2010,CZ,0,0.8925
2015,NUTS,2010,CZ,0,0.8993
2016,NUTS,2010,CZ,0,0.8443
2017,NUTS,2010,CZ,0,0.8703
2018,NUTS,2010,CZ,0,0.9379
2019,NUTS,2010,CZ,0,0.9973
2020,NUTS,2010,CZ,0,1.0316
1997,NUTS,2010,DE,0,0.7251
1999,NUTS,2010,DE,0,0.7387
2001,NUTS,2010,DE,0,0.7636
2003,NUTS,2010,DE,0,0.7517
2005,NUTS,2010,DE,0,0.753
2007,NUTS,2010,DE,0,0.7706
2009,NUTS,2010,DE,0,0.8357
2011,NUTS,2010,DE,0,0.901
2013,NUTS,2010,DE,0,0.9142
2015,NUTS,2010,DE,0,0.9625
2017,NUTS,2010,DE,0,0.9952
2019,NUTS,2010,DE,0,1.0445
1999,NUTS,2010,DK,0,0.9795
2001,NUTS,2010,DK,0,1.135
2002,NUTS,2010,DK,0,1.256
2003,NUTS,2010,DK,0,1.2373
2005,NUTS,2010,DK,0,1.2607
2007,NUTS,2010,DK,0,1.2533
2009,NUTS,2010,DK,0,1.512
2010,NUTS,2010,DK,0,1.6063
2011,NUTS,2010,DK,0,1.6354
2012,NUTS,2010,DK,0,1.6971
2013,NUTS,2010,DK,0,1.7534
2015,NUTS,2010,DK,0,1.7263
2017,NUTS,2010,DK,0,1.8569
2019,NUTS,2010,DK,0,1.8325
1999,NUTS,2010,DK0,1,0.9727
2001,NUTS,2010,DK0,1,1.1357
2002,NUTS,2010,DK0,1,1.2109
2003,NUTS,2010,DK0,1,1.2887
1998,NUTS,2010,EE,0,0.8136
1999,NUTS,2010,EE,0,0.8409
2000,NUTS,2010,EE,0,0.6505
2001,NUTS,2010,EE,0,0.6468
2002,NUTS,2010,EE,0,0.705
2003,NUTS,2010,EE,0,0.7091
2004,NUTS,2010,EE,0,0.7779
2005,NUTS,2010,EE,0,0.6341
2006,NUTS,2010,EE,0,0.6453
2007,NUTS,2010,EE,0,0.7029
2008,NUTS,2010,EE,0,0.679
2009,NUTS,2010,EE,0,0.803
2010,NUTS,2010,EE,0,0.8081
2011,NUTS,2010,EE,0,0.8731
2012,NUTS,2010,EE,0,0.8869
2013,NUTS,2010,EE,0,0.8768
2014,NUTS,2010,EE,0,0.9187
2015,NUTS,2010,EE,0,0.8827
2016,NUTS,2010,EE,0,0.8512
2017,NUTS,2010,EE,0,0.874
2018,NUTS,2010,EE,0,0.9062
2019,NUTS,2010,EE,0,0.8987
2001,NUTS,2010,EL,0,0.719
2003,NUTS,2010,EL,0,0.6845
2005,NUTS,2010,EL,0,0.7277
2011,NUTS,2010,EL,0,0.9527
2013,NUTS,2010,EL,0,1.2052
2015,NUTS,2010,EL,0,1.3252
2019,NUTS,2010,EL,0,1.3917
1997,NUTS,2010,ES,0,0.611
1999,NUTS,2010,ES,0,0.64
2001,NUTS,2010,ES,0,0.7116
2002,NUTS,2010,ES,0,0.7624
2003,NUTS,2010,ES,0,0.8218
2004,NUTS,2010,ES,0,0.8505
2005,NUTS,2010,ES,0,0.86
2006,NUTS,2010,ES,0,0.8927
2007,NUTS,2010,ES,0,0.923
2008,NUTS,2010,ES,0,0.9805
2009,NUTS,2010,ES,0,1.0614
2010,NUTS,2010,ES,0,1.079
2011,NUTS,2010,ES,0,1.0521
2012,NUTS,2010,ES,0,1.0517
2013,NUTS,2010,ES,0,1.0517
2014,NUTS,2010,ES,0,1.0186
2015,NUTS,2010,ES,0,1.011
2016,NUTS,2010,ES,0,1.0047
2017,NUTS,2010,ES,0,1.0175
2018,NUTS,2010,ES,0,1.0367
2019,NUTS,2010,ES,0,1.0509
2010,NUTS,2010,FR,0,0.7444
2011,NUTS,2010,FR,0,0.9429
2012,NUTS,2010,FR,0,0.9619
2013,NUTS,2010,FR,0,0.9717
2014,NUTS,2010,FR,0,1.021
2016,NUTS,2010,FR,0,1.0934
2017,NUTS,2010,FR,0,1.1143
2002,NUTS,2010,HR,0,0.985
2003,NUTS,2010,HR,0,0.7219
2004,NUTS,2010,HR,0,0.8271
2005,NUTS,2010,HR,0,0.6631
2006,NUTS,2010,HR,0,0.6758
2007,NUTS,2010,HR,0,0.6892
2008,NUTS,2010,HR,0,0.7116
2009,NUTS,2010,HR,0,0.7221
2010,NUTS,2010,HR,0,0.7387
2011,NUTS,2010,HR,0,0.7592
2012,NUTS,2010,HR,0,0.765
2013,NUTS,2010,HR,0,0.7685
2014,NUTS,2010,HR,0,0.7229
2015,NUTS,2010,HR,0,0.7489
2016,NUTS,2010,HR,0,0.8101
2017,NUTS,2010,HR,0,0.8017
2018,NUTS,2010,HR,0,0.8363
2019,NUTS,2010,HR,0,0.9094
2020,NUTS,2010,HR,0,1.0036
2002,NUTS,2010,HR0,1,0.9603
2003,NUTS,2010,HR0,1,0.703
2006,NUTS,2010,HU,0,0.6062
2007,NUTS,2010,HU,0,0.5965
2008,NUTS,2010,HU,0,0.6306
2009,NUTS,2010,HU,0,0.6222
2010,NUTS,2010,HU,0,0.6443
2011,NUTS,2010,HU,0,0.6714
2012,NUTS,2010,HU,0,0.6743
2013,NUTS,2010,HU,0,0.6743
2014,NUTS,2010,HU,0,0.6384
2015,NUTS,2010,HU,0,0.6339
2016,NUTS,2010,HU,0,0.5744
2017,NUTS,2010,HU,0,0.6389
2018,NUTS,2010,HU,0,0.7617
2019,NUTS,2010,HU,0,0.8555
2002,NUTS,2010,IE,0,0.5039
2003,NUTS,2010,IE,0,0.5387
2004,NUTS,2010,IE,0,0.5704
2005,NUTS,2010,IE,0,0.576
2006,NUTS,2010,IE,0,0.5972
2007,NUTS,2010,IE,0,0.612
2008,NUTS,2010,IE,0,0.6574
2009,NUTS,2010,IE,0,0.7128
2010,NUTS,2010,IE,0,0.7428
2011,NUTS,2010,IE,0,0.7521
2012,NUTS,2010,IE,0,0.7264
2013,NUTS,2010,IE,0,1.2261
2015,NUTS,2010,IE,0,1.204
2017,NUTS,2010,IE,0,1.3026
2019,NUTS,2010,IE,0,1.1005
2002,NUTS,2010,IE0,1,0.5244
2003,NUTS,2010,IE0,1,0.5606
2003,NUTS,2010,IS,0,1.6115
2005,NUTS,2010,IS,0,1.7323
2006,NUTS,2010,IS,0,1.7484
2007,NUTS,2010,IS,0,1.454
2008,NUTS,2010,IS,0,1.5
2009,NUTS,2010,IS,0,1.8086
2011,NUTS,2010,IS,0,1.6234
2003,NUTS,2010,IT,0,0.646
2004,NUTS,2010,IT,0,0.6338
2005,NUTS,2010,IT,0,0.6988
2006,NUTS,2010,IT,0,0.7492
2007,NUTS,2010,IT,0,0.8088
2008,NUTS,2010,IT,0,0.812
2009,NUTS,2010,IT,0,0.8652
2010,NUTS,2010,IT,0,0.8599
2011,NUTS,2010,IT,0,0.8635
2012,NUTS,2010,IT,0,0.9086
2013,NUTS,2010,IT,0,0.941
2014,NUTS,2010,IT,0,0.9403
2015,NUTS,2010,IT,0,0.9726
2016,NUTS,2010,IT,0,1.0323
2017,NUTS,2010,IT,0,1.0824
2018,NUTS,2010,IT,0,1.1518
2019,NUTS,2010,IT,0,1.1951
1998,NUTS,2010,KR,0,0.211
2000,NUTS,2010,LT,0,0.8293
2001,NUTS,2010,LT,0,0.9419
2002,NUTS,2010,LT,0,0.7436
2003,NUTS,2010,LT,0,0.7432
2004,NUTS,2010,LT,0,0.8045
2005,NUTS,2010,LT,0,0.8537
2006,NUTS,2010,LT,0,0.8787
2007,NUTS,2010,LT,0,0.9475
2008,NUTS,2010,LT,0,0.9823
2009,NUTS,2010,LT,0,0.9711
2010,NUTS,2010,LT,0,1.0116
2011,NUTS,2010,LT,0,0.9118
2012,NUTS,2010,LT,0,0.8584
2013,NUTS,2010,LT,0,0.8679
2014,NUTS,2010,LT,0,0.8662
2015,NUTS,2010,LT,0,0.7852
2016,NUTS,2010,LT,0,0.8016
2017,NUTS,2010,LT,0,0.8122
2018,NUTS,2010,LT,0,0.8281
2019,NUTS,2010,LT,0,0.8959
2005,NUTS,2010,LU,0,1.1112
2009,NUTS,2010,LU,0,1.4575
2011,NUTS,2010,LU,0,1.3176
2013,NUTS,2010,LU,0,1.176
2014,NUTS,2010,LU,0,0.8528
2015,NUTS,2010,LU,0,1.1608
2017,NUTS,2010,LU,0,1.1458
2019,NUTS,2010,LU,0,1.1708
1997,NUTS,2010,LV,0,0.4572
1998,NUTS,2010,LV,0,0.4787
1999,NUTS,2010,LV,0,0.4916
2000,NUTS,2010,LV,0,0.6257
2001,NUTS,2010,LV,0,0.6893
2002,NUTS,2010,LV,0,0.6393
2003,NUTS,2010,LV,0,0.5902
2004,NUTS,2010,LV,0,0.6277
2005,NUTS,2010,LV,0,0.6026
2006,NUTS,2010,LV,0,0.6588
2007,NUTS,2010,LV,0,0.668
2008,NUTS,2010,LV,0,0.6912
2009,NUTS,2010,LV,0,0.6235
2010,NUTS,2010,LV,0,0.6136
2011,NUTS,2010,LV,0,0.6633
2012,NUTS,2010,LV,0,0.6933
2013,NUTS,2010,LV,0,0.6451
2015,NUTS,2010,LV,0,0.6564
2016,NUTS,2010,LV,0,0.6264
2017,NUTS,2010,LV,0,0.6672
2018,NUTS,2010,LV,0,0.695
2019,NUTS,2010,LV,0,0.7179
2011,NUTS,2010,ME,0,0.3244
2013,NUTS,2010,ME,0,0.3001
2014,NUTS,2010,ME,0,0.3207
2015,NUTS,2010,ME,0,0.3284
2017,NUTS,2010,ME,0,0.3176
2018,NUTS,2010,ME,0,0.3474
2019,NUTS,2010,ME,0,0.3579
2006,NUTS,2010,MK,0,0.331
2007,NUTS,2010,MK,0,0.3162
2008,NUTS,2010,MK,0,0.2983
2009,NUTS,2010,MK,0,0.266
2010,NUTS,2010,MK,0,0.3418
2011,NUTS,2010,MK,0,0.2534
2012,NUTS,2010,MK,0,0.3756
2015,NUTS,2010,MK,0,0.371
2016,NUTS,2010,MK,0,0.4015
2017,NUTS,2010,MK,0,0.3565
2018,NUTS,2010,MK,0,0.3701
2019,NUTS,2010,MK,0,0.3393
1999,NUTS,2010,MT,0,0.0233
2000,NUTS,2010,MT,0,0.0233
2004,NUTS,2010,MT,0,0.4311
2005,NUTS,2010,MT,0,0.4475
2006,NUTS,2010,MT,0,0.4732
2007,NUTS,2010,MT,0,0.4107
2008,NUTS,2010,MT,0,0.461
2009,NUTS,2010,MT,0,0.4519
2010,NUTS,2010,MT,0,0.4871
2011,NUTS,2010,MT,0,0.5702
2012,NUTS,2010,MT,0,0.5998
2013,NUTS,2010,MT,0,0.5439
2014,NUTS,2010,MT,0,0.5349
2015,NUTS,2010,MT,0,0.4993
2016,NUTS,2010,MT,0,0.501
2017,NUTS,2010,MT,0,0.5355
2018,NUTS,2010,MT,0,0.4877
2019,NUTS,2010,MT,0,0.4935
2011,NUTS,2010,NL,0,0.8179
2012,NUTS,2010,NL,0,0.8749
2000,NUTS,2010,PL,0,0.8526
2015,NUTS,2010,PL,0,0.57
2016,NUTS,2010,PL,0,0.5712
2017,NUTS,2010,PL,0,0.7396
2018,NUTS,2010,PL,0,0.8023
2019,NUTS,2010,PL,0,0.8289
2001,NUTS,2010,PT,0,0.4614
2002,NUTS,2010,PT,0,0.4953
2003,NUTS,2010,PT,0,0.5304
2004,NUTS,2010,PT,0,0.5299
2005,NUTS,2010,PT,0,0.5298
2006,NUTS,2010,PT,0,0.6037
2007,NUTS,2010,PT,0,0.6792
2008,NUTS,2010,PT,0,0.9194
2009,NUTS,2010,PT,0,1.0012
2010,NUTS,2010,PT,0,0.9903
2011,NUTS,2010,PT,0,1.028
2012,NUTS,2010,PT,0,1.0304
2013,NUTS,2010,PT,0,1.0291
2014,NUTS,2010,PT,0,0.9962
2015,NUTS,2010,PT,0,1.0009
2016,NUTS,2010,PT,0,1.0215
2017,NUTS,2010,PT,0,1.0824
2018,NUTS,2010,PT,0,1.1095
2019,NUTS,2010,PT,0,1.152
2020,NUTS,2010,PT,0,1.2356
2001,NUTS,2010,PT1,1,0.4384
2001,NUTS,2010,PT11,2,0.257
2001,NUTS,2010,PT15,2,0.2415
2001,NUTS,2010,PT2,1,0.4135
2001,NUTS,2010,PT20,2,0.4135
2001,NUTS,2010,PT3,1,0.3098
2001,NUTS,2010,PT30,2,0.3098
1998,NUTS,2010,RO,0,0.5651
1999,NUTS,2010,RO,0,0.478
2000,NUTS,2010,RO,0,0.3564
2001,NUTS,2010,RO,0,0.3511
2002,NUTS,2010,RO,0,0.3856
2003,NUTS,2010,RO,0,0.4032
2004,NUTS,2010,RO,0,0.3968
2005,NUTS,2010,RO,0,0.4084
2006,NUTS,2010,RO,0,0.3493
2007,NUTS,2010,RO,0,0.3333
2008,NUTS,2010,RO,0,0.3606
2009,NUTS,2010,RO,0,0.4201
2010,NUTS,2010,RO,0,0.3926
2011,NUTS,2010,RO,0,0.4567
2012,NUTS,2010,RO,0,0.4738
2013,NUTS,2010,RO,0,0.4955
2014,NUTS,2010,RO,0,0.463
2015,NUTS,2010,RO,0,0.4531
2016,NUTS,2010,RO,0,0.4634
2017,NUTS,2010,RO,0,0.4501
2018,NUTS,2010,RO,0,0.4323
2019,NUTS,2010,RO,0,0.4353
2010,NUTS,2010,RS,0,0.8861
2011,NUTS,2010,RS,0,0.9538
2012,NUTS,2010,RS,0,0.9816
2013,NUTS,2010,RS,0,0.9793
2014,NUTS,2010,RS,0,0.9423
2015,NUTS,2010,RS,0,1.0347
2016,NUTS,2010,RS,0,0.9676
2017,NUTS,2010,RS,0,0.9128
2018,NUTS,2010,RS,0,0.9197
2019,NUTS,2010,RS,0,0.8998
2020,NUTS,2010,RS,0,0.9442
1997,NUTS,2010,SE,0,0.9766
1999,NUTS,2010,SE,0,0.9987
2001,NUTS,2010,SE,0,1.0248
2003,NUTS,2010,SE,0,0.6469
2005,NUTS,2010,SE,0,1.1036
2007,NUTS,2010,SE,0,1.0378
2009,NUTS,2010,SE,0,1.0971
2011,NUTS,2010,SE,0,1.1116
2013,NUTS,2010,SE,0,1.1138
2015,NUTS,2010,SE,0,1.1435
2017,NUTS,2010,SE,0,1.2105
2019,NUTS,2010,SE,0,1.2477
1997,NUTS,2010,SI,0,0.7548
1998,NUTS,2010,SI,0,0.7838
1999,NUTS,2010,SI,0,0.8081
2000,NUTS,2010,SI,0,0.8357
2001,NUTS,2010,SI,0,0.8241
2002,NUTS,2010,SI,0,0.8037
2003,NUTS,2010,SI,0,0.6138
2004,NUTS,2010,SI,0,0.6198
2005,NUTS,2010,SI,0,0.7908
2006,NUTS,2010,SI,0,0.8487
2007,NUTS,2010,SI,0,0.8852
2008,NUTS,2010,SI,0,0.9318
2009,NUTS,2010,SI,0,1.0106
2010,NUTS,2010,SI,0,1.0946
2011,NUTS,2010,SI,0,1.294
2012,NUTS,2010,SI,0,1.2498
2013,NUTS,2010,SI,0,1.3252
2014,NUTS,2010,SI,0,1.2785
2015,NUTS,2010,SI,0,1.1872
2016,NUTS,2010,SI,0,1.168
2017,NUTS,2010,SI,0,1.1422
2018,NUTS,2010,SI,0,1.2489
2019,NUTS,2010,SI,0,1.3465
1999,NUTS,2010,SI0,1,0.7792
2000,NUTS,2010,SI0,1,0.8165
2001,NUTS,2010,SI0,1,0.8026
2002,NUTS,2010,SI0,1,0.7699
2003,NUTS,2010,SI0,1,0.601
2004,NUTS,2010,SI0,1,0.598
2005,NUTS,2010,SI0,1,0.7713
2006,NUTS,2010,SI0,1,0.8282
2007,NUTS,2010,SI0,1,0.8582
1997,NUTS,2010,SK,0,0.7119
1998,NUTS,2010,SK,0,0.7388
1999,NUTS,2010,SK,0,0.6927
2000,NUTS,2010,SK,0,0.7085
2001,NUTS,2010,SK,0,0.6695
2002,NUTS,2010,SK,0,0.636
2003,NUTS,2010,SK,0,0.6207
2004,NUTS,2010,SK,0,0.6595
2005,NUTS,2010,SK,0,0.6502
2006,NUTS,2010,SK,0,0.6728
2007,NUTS,2010,SK,0,0.6673
2008,NUTS,2010,SK,0,0.6586
2009,NUTS,2010,SK,0,0.6439
2010,NUTS,2010,SK,0,0.7277
2011,NUTS,2010,SK,0,0.7275
2012,NUTS,2010,SK,0,0.7112
2013,NUTS,2010,SK,0,0.6658
2014,NUTS,2010,SK,0,0.6665
2015,NUTS,2010,SK,0,0.6572
2016,NUTS,2010,SK,0,0.6208
2017,NUTS,2010,SK,0,0.6288
2018,NUTS,2010,SK,0,0.6475
2019,NUTS,2010,SK,0,0.6658
2020,NUTS,2010,SK,0,0.7104
2006,NUTS,2010,TR,0,0.3281
2007,NUTS,2010,TR,0,0.3743
2008,NUTS,2010,TR,0,0.3772
2009,NUTS,2010,TR,0,0.3892
2010,NUTS,2010,TR,0,0.3891
2011,NUTS,2010,TR,0,0.4058
2012,NUTS,2010,TR,0,0.4444
2013,NUTS,2010,TR,0,0.4596
2014,NUTS,2010,TR,0,0.4639
2015,NUTS,2010,TR,0,0.4787
2016,NUTS,2010,TR,0,0.5303
2017,NUTS,2010,TR,0,0.5777
2018,NUTS,2010,TR,0,0.6178
2019,NUTS,2010,TR,0,0.6697
2020,NUTS,2010,TR,0,0.7851
