year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_pc_emp_fte_rse_t
2011,NUTS,2010,DE1,1,1.0606
2013,NUTS,2010,DE1,1,1.0748
2015,NUTS,2010,DE1,1,1.2088
2017,NUTS,2010,DE1,1,1.3863
2019,NUTS,2010,DE1,1,1.4417
2011,NUTS,2010,DE11,2,1.6637
2013,NUTS,2010,DE11,2,1.7376
2015,NUTS,2010,DE11,2,1.9302
2017,NUTS,2010,DE11,2,2.274
2019,NUTS,2010,DE11,2,2.2912
2011,NUTS,2010,DE12,2,0.7875
2013,NUTS,2010,DE12,2,0.7352
2015,NUTS,2010,DE12,2,0.8626
2017,NUTS,2010,DE12,2,1.0485
2019,NUTS,2010,DE12,2,1.0872
2011,NUTS,2010,DE13,2,0.4554
2013,NUTS,2010,DE13,2,0.4291
2015,NUTS,2010,DE13,2,0.4787
2017,NUTS,2010,DE13,2,0.504
2019,NUTS,2010,DE13,2,0.5717
2011,NUTS,2010,DE14,2,0.9032
2013,NUTS,2010,DE14,2,0.9313
2015,NUTS,2010,DE14,2,1.0043
2017,NUTS,2010,DE14,2,0.9759
2019,NUTS,2010,DE14,2,1.1101
2011,NUTS,2010,DE2,1,0.6956
2013,NUTS,2010,DE2,1,0.7026
2015,NUTS,2010,DE2,1,0.8076
2017,NUTS,2010,DE2,1,0.8071
2019,NUTS,2010,DE2,1,0.9152
2011,NUTS,2010,DE21,2,1.1468
2013,NUTS,2010,DE21,2,1.1816
2015,NUTS,2010,DE21,2,1.3273
2017,NUTS,2010,DE21,2,1.2461
2019,NUTS,2010,DE21,2,1.419
2011,NUTS,2010,DE22,2,0.2784
2013,NUTS,2010,DE22,2,0.2788
2015,NUTS,2010,DE22,2,0.3175
2017,NUTS,2010,DE22,2,0.3311
2019,NUTS,2010,DE22,2,0.3905
2011,NUTS,2010,DE23,2,0.4125
2013,NUTS,2010,DE23,2,0.3529
2015,NUTS,2010,DE23,2,0.4467
2017,NUTS,2010,DE23,2,0.5775
2019,NUTS,2010,DE23,2,0.6916
2011,NUTS,2010,DE24,2,0.3266
2013,NUTS,2010,DE24,2,0.3316
2015,NUTS,2010,DE24,2,0.3626
2017,NUTS,2010,DE24,2,0.401
2019,NUTS,2010,DE24,2,0.5842
2011,NUTS,2010,DE25,2,0.7803
2013,NUTS,2010,DE25,2,0.6601
2015,NUTS,2010,DE25,2,0.8001
2017,NUTS,2010,DE25,2,0.7571
2019,NUTS,2010,DE25,2,0.8811
2011,NUTS,2010,DE26,2,0.5103
2013,NUTS,2010,DE26,2,0.5319
2015,NUTS,2010,DE26,2,0.5515
2017,NUTS,2010,DE26,2,0.7635
2019,NUTS,2010,DE26,2,0.7566
2011,NUTS,2010,DE27,2,0.2895
2013,NUTS,2010,DE27,2,0.3527
2015,NUTS,2010,DE27,2,0.4635
2017,NUTS,2010,DE27,2,0.434
2019,NUTS,2010,DE27,2,0.4322
2011,NUTS,2010,DE3,1,0.4326
2013,NUTS,2010,DE3,1,0.4104
2015,NUTS,2010,DE3,1,0.5037
2017,NUTS,2010,DE3,1,0.4568
2019,NUTS,2010,DE3,1,0.4712
2011,NUTS,2010,DE30,2,0.4326
2013,NUTS,2010,DE30,2,0.4104
2015,NUTS,2010,DE30,2,0.5037
2017,NUTS,2010,DE30,2,0.4568
2019,NUTS,2010,DE30,2,0.4712
2011,NUTS,2010,DE4,1,0.1142
2013,NUTS,2010,DE4,1,0.1352
2015,NUTS,2010,DE4,1,0.1663
2017,NUTS,2010,DE4,1,0.1999
2019,NUTS,2010,DE4,1,0.2029
2011,NUTS,2010,DE40,2,0.1142
2013,NUTS,2010,DE40,2,0.1352
2015,NUTS,2010,DE40,2,0.1663
2017,NUTS,2010,DE40,2,0.1999
2019,NUTS,2010,DE40,2,0.2029
2011,NUTS,2010,DE5,1,0.3697
2013,NUTS,2010,DE5,1,0.4417
2015,NUTS,2010,DE5,1,0.5207
2017,NUTS,2010,DE5,1,0.4511
2019,NUTS,2010,DE5,1,0.5534
2011,NUTS,2010,DE50,2,0.3697
2013,NUTS,2010,DE50,2,0.4417
2015,NUTS,2010,DE50,2,0.5207
2017,NUTS,2010,DE50,2,0.4511
2019,NUTS,2010,DE50,2,0.5534
2011,NUTS,2010,DE6,1,0.3556
2013,NUTS,2010,DE6,1,0.4691
2015,NUTS,2010,DE6,1,0.4909
2017,NUTS,2010,DE6,1,0.5684
2019,NUTS,2010,DE6,1,0.5856
2011,NUTS,2010,DE60,2,0.3556
2013,NUTS,2010,DE60,2,0.4691
2015,NUTS,2010,DE60,2,0.4909
2017,NUTS,2010,DE60,2,0.5684
2019,NUTS,2010,DE60,2,0.5856
2011,NUTS,2010,DE7,1,0.5637
2013,NUTS,2010,DE7,1,0.5305
2015,NUTS,2010,DE7,1,0.6761
2017,NUTS,2010,DE7,1,0.6723
2019,NUTS,2010,DE7,1,0.6805
2011,NUTS,2010,DE71,2,0.7532
2013,NUTS,2010,DE71,2,0.6673
2015,NUTS,2010,DE71,2,0.8524
2017,NUTS,2010,DE71,2,0.8512
2019,NUTS,2010,DE71,2,0.8655
2011,NUTS,2010,DE72,2,0.3569
2013,NUTS,2010,DE72,2,0.396
2015,NUTS,2010,DE72,2,0.4031
2017,NUTS,2010,DE72,2,0.4146
2019,NUTS,2010,DE72,2,0.4231
2011,NUTS,2010,DE73,2,0.1389
2013,NUTS,2010,DE73,2,0.2029
2015,NUTS,2010,DE73,2,0.3366
2017,NUTS,2010,DE73,2,0.2965
2019,NUTS,2010,DE73,2,0.2738
2011,NUTS,2010,DE8,1,0.1793
2013,NUTS,2010,DE8,1,0.1096
2015,NUTS,2010,DE8,1,0.1296
2017,NUTS,2010,DE8,1,0.1416
2019,NUTS,2010,DE8,1,0.1545
2011,NUTS,2010,DE80,2,0.1793
2013,NUTS,2010,DE80,2,0.1096
2015,NUTS,2010,DE80,2,0.1296
2017,NUTS,2010,DE80,2,0.1416
2019,NUTS,2010,DE80,2,0.1545
2011,NUTS,2010,DE9,1,0.4024
2013,NUTS,2010,DE9,1,0.4298
2015,NUTS,2010,DE9,1,0.443
2017,NUTS,2010,DE9,1,0.4443
2019,NUTS,2010,DE9,1,0.4846
2011,NUTS,2010,DE91,2,1.1267
2013,NUTS,2010,DE91,2,1.2563
2015,NUTS,2010,DE91,2,1.2185
2017,NUTS,2010,DE91,2,1.29
2019,NUTS,2010,DE91,2,1.3606
2011,NUTS,2010,DE92,2,0.4366
2013,NUTS,2010,DE92,2,0.4071
2015,NUTS,2010,DE92,2,0.4528
2017,NUTS,2010,DE92,2,0.3992
2019,NUTS,2010,DE92,2,0.4288
2011,NUTS,2010,DE93,2,0.1184
2013,NUTS,2010,DE93,2,0.1511
2015,NUTS,2010,DE93,2,0.1552
2017,NUTS,2010,DE93,2,0.1728
2019,NUTS,2010,DE93,2,0.1913
2011,NUTS,2010,DE94,2,0.1099
2013,NUTS,2010,DE94,2,0.134
2015,NUTS,2010,DE94,2,0.1537
2017,NUTS,2010,DE94,2,0.1567
2019,NUTS,2010,DE94,2,0.1964
2011,NUTS,2010,DEA,1,0.3212
2013,NUTS,2010,DEA,1,0.3285
2015,NUTS,2010,DEA,1,0.3784
2017,NUTS,2010,DEA,1,0.3886
2019,NUTS,2010,DEA,1,0.4246
2011,NUTS,2010,DEA1,2,0.332
2013,NUTS,2010,DEA1,2,0.314
2015,NUTS,2010,DEA1,2,0.3986
2017,NUTS,2010,DEA1,2,0.4009
2019,NUTS,2010,DEA1,2,0.426
2011,NUTS,2010,DEA2,2,0.4115
2013,NUTS,2010,DEA2,2,0.3631
2015,NUTS,2010,DEA2,2,0.4388
2017,NUTS,2010,DEA2,2,0.4559
2019,NUTS,2010,DEA2,2,0.5367
2011,NUTS,2010,DEA3,2,0.119
2013,NUTS,2010,DEA3,2,0.1346
2015,NUTS,2010,DEA3,2,0.141
2017,NUTS,2010,DEA3,2,0.15
2019,NUTS,2010,DEA3,2,0.1724
2011,NUTS,2010,DEA4,2,0.4323
2013,NUTS,2010,DEA4,2,0.5242
2015,NUTS,2010,DEA4,2,0.5415
2017,NUTS,2010,DEA4,2,0.5582
2019,NUTS,2010,DEA4,2,0.6104
2011,NUTS,2010,DEA5,2,0.2785
2013,NUTS,2010,DEA5,2,0.3344
2015,NUTS,2010,DEA5,2,0.3545
2017,NUTS,2010,DEA5,2,0.3603
2019,NUTS,2010,DEA5,2,0.3628
2011,NUTS,2010,DEB,1,0.2672
2013,NUTS,2010,DEB,1,0.292
2015,NUTS,2010,DEB,1,0.3413
2017,NUTS,2010,DEB,1,0.3335
2019,NUTS,2010,DEB,1,0.3859
2011,NUTS,2010,DEB1,2,0.1339
2013,NUTS,2010,DEB1,2,0.1392
2015,NUTS,2010,DEB1,2,0.1146
2017,NUTS,2010,DEB1,2,0.1399
2019,NUTS,2010,DEB1,2,0.171
2011,NUTS,2010,DEB2,2,0.165
2013,NUTS,2010,DEB2,2,0.1732
2015,NUTS,2010,DEB2,2,0.1455
2017,NUTS,2010,DEB2,2,0.1362
2019,NUTS,2010,DEB2,2,0.1395
2011,NUTS,2010,DEB3,2,0.3941
2013,NUTS,2010,DEB3,2,0.4358
2015,NUTS,2010,DEB3,2,0.5635
2017,NUTS,2010,DEB3,2,0.5308
2019,NUTS,2010,DEB3,2,0.6124
2011,NUTS,2010,DEC,1,0.1986
2013,NUTS,2010,DEC,1,0.2042
2015,NUTS,2010,DEC,1,0.2045
2017,NUTS,2010,DEC,1,0.3064
2019,NUTS,2010,DEC,1,0.3239
2011,NUTS,2010,DEC0,2,0.1986
2013,NUTS,2010,DEC0,2,0.2042
2015,NUTS,2010,DEC0,2,0.2045
2017,NUTS,2010,DEC0,2,0.3064
2019,NUTS,2010,DEC0,2,0.3239
2011,NUTS,2010,DED,1,0.3238
2013,NUTS,2010,DED,1,0.3267
2015,NUTS,2010,DED,1,0.3629
2017,NUTS,2010,DED,1,0.3933
2019,NUTS,2010,DED,1,0.4285
2011,NUTS,2010,DED2,2,0.4565
2013,NUTS,2010,DED2,2,0.4434
2015,NUTS,2010,DED2,2,0.5166
2017,NUTS,2010,DED2,2,0.5692
2019,NUTS,2010,DED2,2,0.6137
2011,NUTS,2010,DED4,2,0.2822
2013,NUTS,2010,DED4,2,0.3287
2015,NUTS,2010,DED4,2,0.3233
2017,NUTS,2010,DED4,2,0.3441
2019,NUTS,2010,DED4,2,0.4013
2011,NUTS,2010,DED5,2,0.1698
2013,NUTS,2010,DED5,2,0.1405
2015,NUTS,2010,DED5,2,0.1779
2017,NUTS,2010,DED5,2,0.1917
2019,NUTS,2010,DED5,2,0.185
2011,NUTS,2010,DEE,1,0.1202
2013,NUTS,2010,DEE,1,0.1282
2015,NUTS,2010,DEE,1,0.1167
2017,NUTS,2010,DEE,1,0.1294
2019,NUTS,2010,DEE,1,0.1453
2011,NUTS,2010,DEE0,2,0.1202
2013,NUTS,2010,DEE0,2,0.1282
2015,NUTS,2010,DEE0,2,0.1167
2017,NUTS,2010,DEE0,2,0.1294
2019,NUTS,2010,DEE0,2,0.1453
2011,NUTS,2010,DEF,1,0.1893
2013,NUTS,2010,DEF,1,0.1986
2015,NUTS,2010,DEF,1,0.209
2017,NUTS,2010,DEF,1,0.2246
2019,NUTS,2010,DEF,1,0.221
2011,NUTS,2010,DEF0,2,0.1893
2013,NUTS,2010,DEF0,2,0.1986
2015,NUTS,2010,DEF0,2,0.209
2017,NUTS,2010,DEF0,2,0.2246
2019,NUTS,2010,DEF0,2,0.221
2011,NUTS,2010,DEG,1,0.2937
2013,NUTS,2010,DEG,1,0.2798
2015,NUTS,2010,DEG,1,0.3055
2017,NUTS,2010,DEG,1,0.3537
2019,NUTS,2010,DEG,1,0.3877
2011,NUTS,2010,DEG0,2,0.2937
2013,NUTS,2010,DEG0,2,0.2798
2015,NUTS,2010,DEG0,2,0.3055
2017,NUTS,2010,DEG0,2,0.3537
2019,NUTS,2010,DEG0,2,0.3877
2011,NUTS,2010,DK,0,0.9245
2012,NUTS,2010,DK,0,0.9501
2013,NUTS,2010,DK,0,0.9137
2014,NUTS,2010,DK,0,0.9296
2015,NUTS,2010,DK,0,0.9535
2016,NUTS,2010,DK,0,1.0034
2017,NUTS,2010,DK,0,0.9672
2018,NUTS,2010,DK,0,0.9371
2019,NUTS,2010,DK,0,0.9403
2020,NUTS,2010,DK,0,0.9412
2011,NUTS,2010,DK0,1,0.8448
2012,NUTS,2010,DK0,1,0.9214
2013,NUTS,2010,DK0,1,0.8862
2014,NUTS,2010,DK0,1,0.9
2015,NUTS,2010,DK0,1,0.9233
2016,NUTS,2010,DK0,1,0.9699
2017,NUTS,2010,DK0,1,0.9358
2018,NUTS,2010,DK0,1,0.9062
2019,NUTS,2010,DK0,1,0.9081
2011,NUTS,2010,DK01,2,1.7352
2012,NUTS,2010,DK01,2,1.8225
2013,NUTS,2010,DK01,2,1.7284
2014,NUTS,2010,DK01,2,1.7047
2015,NUTS,2010,DK01,2,1.7604
2016,NUTS,2010,DK01,2,1.7681
2017,NUTS,2010,DK01,2,1.8173
2019,NUTS,2010,DK01,2,1.6181
2011,NUTS,2010,DK02,2,0.2002
