year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_pps_hab_kp05
2015,NUTS,2010,AT34,2,613.8
2017,NUTS,2010,AT34,2,612.5
2019,NUTS,2010,AT34,2,634.0
2012,NUTS,2010,BA,0,15.9
2011,NUTS,2010,BE,0,615.6
2012,NUTS,2010,BE,0,646.5
2013,NUTS,2010,BE,0,659.9
2014,NUTS,2010,BE,0,679.0
2015,NUTS,2010,BE,0,706.3
2016,NUTS,2010,BE,0,738.4
2017,NUTS,2010,BE,0,790.2
2018,NUTS,2010,BE,0,859.4
2019,NUTS,2010,BE,0,965.1
2020,NUTS,2010,BE,0,996.0
2011,NUTS,2010,BE1,1,697.7
2012,NUTS,2010,BE1,1,724.8
2013,NUTS,2010,BE1,1,750.5
2014,NUTS,2010,BE1,1,837.2
2015,NUTS,2010,BE1,1,886.6
2016,NUTS,2010,BE1,1,977.1
2017,NUTS,2010,BE1,1,1059.9
2018,NUTS,2010,BE1,1,1170.8
2019,NUTS,2010,BE1,1,1225.2
2011,NUTS,2010,BE10,2,697.7
2012,NUTS,2010,BE10,2,724.8
2013,NUTS,2010,BE10,2,750.5
2014,NUTS,2010,BE10,2,837.2
2015,NUTS,2010,BE10,2,886.6
2016,NUTS,2010,BE10,2,977.1
2017,NUTS,2010,BE10,2,1059.9
2018,NUTS,2010,BE10,2,1170.8
2019,NUTS,2010,BE10,2,1225.2
2011,NUTS,2010,BE2,1,660.1
2012,NUTS,2010,BE2,1,712.5
2013,NUTS,2010,BE2,1,726.9
2014,NUTS,2010,BE2,1,748.0
2015,NUTS,2010,BE2,1,782.0
2016,NUTS,2010,BE2,1,815.6
2017,NUTS,2010,BE2,1,865.9
2018,NUTS,2010,BE2,1,897.4
2019,NUTS,2010,BE2,1,1037.2
2011,NUTS,2010,BE21,2,883.0
2012,NUTS,2010,BE21,2,885.9
2013,NUTS,2010,BE21,2,891.4
2014,NUTS,2010,BE21,2,1008.7
2015,NUTS,2010,BE21,2,1069.3
2016,NUTS,2010,BE21,2,1123.1
2017,NUTS,2010,BE21,2,1206.2
2011,NUTS,2010,BE22,2,270.8
2012,NUTS,2010,BE22,2,281.5
2013,NUTS,2010,BE22,2,298.8
2014,NUTS,2010,BE22,2,311.7
2015,NUTS,2010,BE22,2,320.1
2016,NUTS,2010,BE22,2,354.5
2017,NUTS,2010,BE22,2,383.5
2011,NUTS,2010,BE23,2,582.7
2012,NUTS,2010,BE23,2,660.1
2013,NUTS,2010,BE23,2,693.1
2014,NUTS,2010,BE23,2,648.3
2015,NUTS,2010,BE23,2,664.0
2016,NUTS,2010,BE23,2,735.2
2017,NUTS,2010,BE23,2,739.9
2011,NUTS,2010,BE24,2,1105.9
2012,NUTS,2010,BE24,2,1199.4
2013,NUTS,2010,BE24,2,1212.0
2014,NUTS,2010,BE24,2,1276.8
2015,NUTS,2010,BE24,2,1323.6
2016,NUTS,2010,BE24,2,1277.8
2017,NUTS,2010,BE24,2,1356.9
2011,NUTS,2010,BE25,2,284.6
2012,NUTS,2010,BE25,2,371.2
2013,NUTS,2010,BE25,2,373.8
2014,NUTS,2010,BE25,2,292.9
2015,NUTS,2010,BE25,2,313.4
2016,NUTS,2010,BE25,2,341.4
2017,NUTS,2010,BE25,2,383.9
2011,NUTS,2010,BE3,1,509.8
2012,NUTS,2010,BE3,1,503.1
2013,NUTS,2010,BE3,1,510.6
2014,NUTS,2010,BE3,1,503.7
2015,NUTS,2010,BE3,1,511.4
2016,NUTS,2010,BE3,1,520.7
2017,NUTS,2010,BE3,1,564.8
2018,NUTS,2010,BE3,1,687.6
2019,NUTS,2010,BE3,1,747.8
2011,NUTS,2010,BE31,2,2455.2
2012,NUTS,2010,BE31,2,2689.8
2013,NUTS,2010,BE31,2,2685.6
2014,NUTS,2010,BE31,2,2132.0
2015,NUTS,2010,BE31,2,2050.3
2016,NUTS,2010,BE31,2,2480.5
2017,NUTS,2010,BE31,2,2655.6
2011,NUTS,2010,BE32,2,281.7
2012,NUTS,2010,BE32,2,244.7
2013,NUTS,2010,BE32,2,253.2
2014,NUTS,2010,BE32,2,298.5
2015,NUTS,2010,BE32,2,298.3
2016,NUTS,2010,BE32,2,234.4
2017,NUTS,2010,BE32,2,269.2
2011,NUTS,2010,BE33,2,328.0
2012,NUTS,2010,BE33,2,310.5
2013,NUTS,2010,BE33,2,326.6
2014,NUTS,2010,BE33,2,382.2
2015,NUTS,2010,BE33,2,428.7
2016,NUTS,2010,BE33,2,431.3
2017,NUTS,2010,BE33,2,461.5
2011,NUTS,2010,BE34,2,72.1
2012,NUTS,2010,BE34,2,48.1
2013,NUTS,2010,BE34,2,41.8
2014,NUTS,2010,BE34,2,129.5
2015,NUTS,2010,BE34,2,147.3
2016,NUTS,2010,BE34,2,49.2
2017,NUTS,2010,BE34,2,51.0
2011,NUTS,2010,BE35,2,240.4
2012,NUTS,2010,BE35,2,155.3
2013,NUTS,2010,BE35,2,154.1
2014,NUTS,2010,BE35,2,243.3
2015,NUTS,2010,BE35,2,247.6
2016,NUTS,2010,BE35,2,188.9
2017,NUTS,2010,BE35,2,203.5
2011,NUTS,2010,BG,0,56.2
2012,NUTS,2010,BG,0,64.5
2013,NUTS,2010,BG,0,68.2
2014,NUTS,2010,BG,0,86.2
2015,NUTS,2010,BG,0,107.8
2016,NUTS,2010,BG,0,90.7
2017,NUTS,2010,BG,0,90.3
2018,NUTS,2010,BG,0,95.1
2019,NUTS,2010,BG,0,110.0
2020,NUTS,2010,BG,0,108.6
2011,NUTS,2010,BG3,1,11.9
2012,NUTS,2010,BG3,1,13.3
2013,NUTS,2010,BG3,1,17.2
2014,NUTS,2010,BG3,1,21.5
2015,NUTS,2010,BG3,1,35.8
2016,NUTS,2010,BG3,1,35.8
2017,NUTS,2010,BG3,1,36.0
2018,NUTS,2010,BG3,1,35.8
2019,NUTS,2010,BG3,1,38.4
2011,NUTS,2010,BG31,2,8.1
2012,NUTS,2010,BG31,2,10.5
2013,NUTS,2010,BG31,2,12.3
2014,NUTS,2010,BG31,2,13.8
2015,NUTS,2010,BG31,2,38.1
2016,NUTS,2010,BG31,2,33.5
2017,NUTS,2010,BG31,2,34.3
2018,NUTS,2010,BG31,2,40.1
2019,NUTS,2010,BG31,2,33.2
2011,NUTS,2010,BG32,2,8.9
2012,NUTS,2010,BG32,2,8.3
2013,NUTS,2010,BG32,2,11.1
2014,NUTS,2010,BG32,2,12.0
2015,NUTS,2010,BG32,2,41.2
2016,NUTS,2010,BG32,2,33.2
2017,NUTS,2010,BG32,2,31.6
2018,NUTS,2010,BG32,2,27.1
2019,NUTS,2010,BG32,2,29.9
2011,NUTS,2010,BG33,2,17.7
2012,NUTS,2010,BG33,2,19.7
2013,NUTS,2010,BG33,2,29.6
2014,NUTS,2010,BG33,2,33.2
2015,NUTS,2010,BG33,2,34.2
2016,NUTS,2010,BG33,2,48.2
2017,NUTS,2010,BG33,2,46.3
2018,NUTS,2010,BG33,2,43.1
2019,NUTS,2010,BG33,2,52.8
2011,NUTS,2010,BG34,2,12.2
2012,NUTS,2010,BG34,2,13.8
2013,NUTS,2010,BG34,2,14.8
2014,NUTS,2010,BG34,2,24.3
2015,NUTS,2010,BG34,2,31.4
2016,NUTS,2010,BG34,2,28.5
2017,NUTS,2010,BG34,2,31.5
2018,NUTS,2010,BG34,2,32.8
2019,NUTS,2010,BG34,2,35.6
2011,NUTS,2010,BG4,1,102.2
2012,NUTS,2010,BG4,1,117.5
2013,NUTS,2010,BG4,1,120.7
2014,NUTS,2010,BG4,1,152.5
2015,NUTS,2010,BG4,1,181.0
2016,NUTS,2010,BG4,1,146.2
2017,NUTS,2010,BG4,1,144.7
2018,NUTS,2010,BG4,1,154.4
2019,NUTS,2010,BG4,1,181.2
2011,NUTS,2010,BG41,2,162.9
2012,NUTS,2010,BG41,2,186.5
2013,NUTS,2010,BG41,2,192.5
2014,NUTS,2010,BG41,2,243.3
2015,NUTS,2010,BG41,2,276.2
2016,NUTS,2010,BG41,2,217.7
2017,NUTS,2010,BG41,2,214.7
2018,NUTS,2010,BG41,2,231.7
2019,NUTS,2010,BG41,2,269.1
2011,NUTS,2010,BG42,2,14.6
2012,NUTS,2010,BG42,2,17.6
2013,NUTS,2010,BG42,2,16.0
2014,NUTS,2010,BG42,2,19.5
2015,NUTS,2010,BG42,2,41.1
2016,NUTS,2010,BG42,2,40.5
2017,NUTS,2010,BG42,2,41.0
2018,NUTS,2010,BG42,2,39.4
2019,NUTS,2010,BG42,2,50.1
2012,NUTS,2010,CH,0,1056.6
2015,NUTS,2010,CH,0,1154.9
2017,NUTS,2010,CH,0,1167.8
2019,NUTS,2010,CH,0,1243.2
2012,NUTS,2010,CH0,1,1056.6
2015,NUTS,2010,CH0,1,1154.9
2017,NUTS,2010,CH0,1,1167.8
2019,NUTS,2010,CH0,1,1243.2
2011,NUTS,2010,CY,0,103.9
2012,NUTS,2010,CY,0,94.5
2013,NUTS,2010,CY,0,97.4
2014,NUTS,2010,CY,0,101.9
2015,NUTS,2010,CY,0,99.1
2016,NUTS,2010,CY,0,115.3
2017,NUTS,2010,CY,0,126.3
2018,NUTS,2010,CY,0,149.4
2019,NUTS,2010,CY,0,180.1
2020,NUTS,2010,CY,0,193.7
2011,NUTS,2010,CY0,1,103.9
2012,NUTS,2010,CY0,1,94.5
2013,NUTS,2010,CY0,1,97.4
2014,NUTS,2010,CY0,1,101.9
2015,NUTS,2010,CY0,1,99.1
2016,NUTS,2010,CY0,1,115.3
2017,NUTS,2010,CY0,1,126.3
2018,NUTS,2010,CY0,1,149.4
2019,NUTS,2010,CY0,1,180.1
2020,NUTS,2010,CY0,1,193.7
2011,NUTS,2010,CY00,2,103.9
2012,NUTS,2010,CY00,2,94.5
2013,NUTS,2010,CY00,2,97.4
2014,NUTS,2010,CY00,2,101.9
2015,NUTS,2010,CY00,2,99.1
2016,NUTS,2010,CY00,2,115.3
2017,NUTS,2010,CY00,2,126.3
2018,NUTS,2010,CY00,2,149.4
2019,NUTS,2010,CY00,2,180.1
2020,NUTS,2010,CY00,2,193.7
2011,NUTS,2010,CZ,0,313.1
2012,NUTS,2010,CZ,0,355.2
2013,NUTS,2010,CZ,0,376.6
2014,NUTS,2010,CZ,0,401.5
2015,NUTS,2010,CZ,0,413.2
2016,NUTS,2010,CZ,0,368.5
2017,NUTS,2010,CZ,0,409.5
2018,NUTS,2010,CZ,0,452.5
2019,NUTS,2010,CZ,0,471.4
2020,NUTS,2010,CZ,0,456.8
2011,NUTS,2010,CZ0,1,313.1
2012,NUTS,2010,CZ0,1,355.2
2013,NUTS,2010,CZ0,1,376.6
2014,NUTS,2010,CZ0,1,401.5
2015,NUTS,2010,CZ0,1,413.2
2016,NUTS,2010,CZ0,1,368.5
2017,NUTS,2010,CZ0,1,409.5
2018,NUTS,2010,CZ0,1,452.5
2019,NUTS,2010,CZ0,1,471.4
2020,NUTS,2010,CZ0,1,456.8
2011,NUTS,2010,CZ01,2,972.5
2012,NUTS,2010,CZ01,2,1025.3
2013,NUTS,2010,CZ01,2,1067.6
2014,NUTS,2010,CZ01,2,1174.5
2015,NUTS,2010,CZ01,2,1287.0
2016,NUTS,2010,CZ01,2,1058.5
2017,NUTS,2010,CZ01,2,1198.9
2018,NUTS,2010,CZ01,2,1330.7
2019,NUTS,2010,CZ01,2,1378.7
2020,NUTS,2010,CZ01,2,1413.8
2011,NUTS,2010,CZ02,2,262.6
2012,NUTS,2010,CZ02,2,269.1
2013,NUTS,2010,CZ02,2,382.7
2014,NUTS,2010,CZ02,2,376.2
2015,NUTS,2010,CZ02,2,373.0
2016,NUTS,2010,CZ02,2,408.9
2017,NUTS,2010,CZ02,2,513.9
2018,NUTS,2010,CZ02,2,564.5
2019,NUTS,2010,CZ02,2,550.5
2020,NUTS,2010,CZ02,2,457.8
2011,NUTS,2010,CZ03,2,231.2
2012,NUTS,2010,CZ03,2,269.7
2013,NUTS,2010,CZ03,2,280.5
2014,NUTS,2010,CZ03,2,296.1
2015,NUTS,2010,CZ03,2,294.5
2016,NUTS,2010,CZ03,2,251.6
2017,NUTS,2010,CZ03,2,257.5
2018,NUTS,2010,CZ03,2,298.6
2019,NUTS,2010,CZ03,2,325.0
2020,NUTS,2010,CZ03,2,288.4
2011,NUTS,2010,CZ04,2,44.7
2012,NUTS,2010,CZ04,2,60.5
2013,NUTS,2010,CZ04,2,54.1
2014,NUTS,2010,CZ04,2,60.2
2015,NUTS,2010,CZ04,2,56.8
2016,NUTS,2010,CZ04,2,44.8
2017,NUTS,2010,CZ04,2,47.7
2018,NUTS,2010,CZ04,2,54.4
2019,NUTS,2010,CZ04,2,66.6
2020,NUTS,2010,CZ04,2,63.7
2011,NUTS,2010,CZ05,2,208.5
2012,NUTS,2010,CZ05,2,250.3
2013,NUTS,2010,CZ05,2,234.2
2014,NUTS,2010,CZ05,2,243.5
2015,NUTS,2010,CZ05,2,233.2
2016,NUTS,2010,CZ05,2,225.3
2017,NUTS,2010,CZ05,2,248.5
2018,NUTS,2010,CZ05,2,281.1
2019,NUTS,2010,CZ05,2,289.4
2020,NUTS,2010,CZ05,2,271.6
2011,NUTS,2010,CZ06,2,373.7
2012,NUTS,2010,CZ06,2,478.3
2013,NUTS,2010,CZ06,2,525.3
2014,NUTS,2010,CZ06,2,546.4
2015,NUTS,2010,CZ06,2,561.3
2016,NUTS,2010,CZ06,2,472.0
2017,NUTS,2010,CZ06,2,479.0
2018,NUTS,2010,CZ06,2,498.9
2019,NUTS,2010,CZ06,2,541.1
2020,NUTS,2010,CZ06,2,552.9
2011,NUTS,2010,CZ07,2,180.9
2012,NUTS,2010,CZ07,2,246.8
2013,NUTS,2010,CZ07,2,220.7
2014,NUTS,2010,CZ07,2,248.5
2015,NUTS,2010,CZ07,2,221.9
2016,NUTS,2010,CZ07,2,217.2
2017,NUTS,2010,CZ07,2,264.6
2018,NUTS,2010,CZ07,2,295.2
2019,NUTS,2010,CZ07,2,315.4
2020,NUTS,2010,CZ07,2,280.7
2011,NUTS,2010,CZ08,2,208.6
2012,NUTS,2010,CZ08,2,192.1
2013,NUTS,2010,CZ08,2,186.6
2014,NUTS,2010,CZ08,2,209.2
2015,NUTS,2010,CZ08,2,209.5
2016,NUTS,2010,CZ08,2,206.1
2017,NUTS,2010,CZ08,2,195.2
2018,NUTS,2010,CZ08,2,216.9
2019,NUTS,2010,CZ08,2,207.3
2020,NUTS,2010,CZ08,2,214.4
2011,NUTS,2010,DE,0,827.5
2012,NUTS,2010,DE,0,852.4
2013,NUTS,2010,DE,0,840.5
2014,NUTS,2010,DE,0,869.1
2015,NUTS,2010,DE,0,894.5
2016,NUTS,2010,DE,0,905.5
2017,NUTS,2010,DE,0,959.5
2018,NUTS,2010,DE,0,986.1
2019,NUTS,2010,DE,0,1012.9
2020,NUTS,2010,DE,0,957.7
2011,NUTS,2010,DE1,1,1631.2
2013,NUTS,2010,DE1,1,1621.4
2015,NUTS,2010,DE1,1,1734.1
2017,NUTS,2010,DE1,1,2025.8
2019,NUTS,2010,DE1,1,2089.3
2011,NUTS,2010,DE11,2,2320.0
2013,NUTS,2010,DE11,2,2285.7
2015,NUTS,2010,DE11,2,2489.7
2017,NUTS,2010,DE11,2,3089.4
2019,NUTS,2010,DE11,2,3035.5
2011,NUTS,2010,DE12,2,1388.8
2013,NUTS,2010,DE12,2,1427.8
2015,NUTS,2010,DE12,2,1550.8
2017,NUTS,2010,DE12,2,1695.0
2019,NUTS,2010,DE12,2,1861.0
2011,NUTS,2010,DE13,2,785.9
2013,NUTS,2010,DE13,2,757.9
2015,NUTS,2010,DE13,2,776.8
2017,NUTS,2010,DE13,2,821.5
2019,NUTS,2010,DE13,2,878.1
2011,NUTS,2010,DE14,2,1497.1
2013,NUTS,2010,DE14,2,1488.6
2015,NUTS,2010,DE14,2,1493.8
2017,NUTS,2010,DE14,2,1621.5
2019,NUTS,2010,DE14,2,1799.8
2011,NUTS,2010,DE2,1,1021.2
2013,NUTS,2010,DE2,1,1079.5
2015,NUTS,2010,DE2,1,1117.8
2017,NUTS,2010,DE2,1,1149.3
2019,NUTS,2010,DE2,1,1267.5
2011,NUTS,2010,DE21,2,1762.4
2013,NUTS,2010,DE21,2,1884.2
2015,NUTS,2010,DE21,2,1909.2
2017,NUTS,2010,DE21,2,1836.0
2019,NUTS,2010,DE21,2,2052.1
2015,NUTS,2010,DE22,2,375.0
2017,NUTS,2010,DE22,2,412.0
2019,NUTS,2010,DE22,2,492.0
2015,NUTS,2010,DE23,2,637.8
2017,NUTS,2010,DE23,2,821.8
2019,NUTS,2010,DE23,2,907.7
2011,NUTS,2010,DE24,2,466.4
2013,NUTS,2010,DE24,2,499.1
2015,NUTS,2010,DE24,2,544.0
2017,NUTS,2010,DE24,2,621.9
2019,NUTS,2010,DE24,2,758.6
2011,NUTS,2010,DE25,2,1125.9
2013,NUTS,2010,DE25,2,1217.7
2015,NUTS,2010,DE25,2,1254.3
2017,NUTS,2010,DE25,2,1247.9
2019,NUTS,2010,DE25,2,1323.1
2011,NUTS,2010,DE26,2,677.7
2013,NUTS,2010,DE26,2,692.1
2015,NUTS,2010,DE26,2,634.6
2017,NUTS,2010,DE26,2,898.7
2019,NUTS,2010,DE26,2,915.2
2011,NUTS,2010,DE27,2,363.8
2013,NUTS,2010,DE27,2,371.2
2015,NUTS,2010,DE27,2,475.7
2017,NUTS,2010,DE27,2,499.2
2019,NUTS,2010,DE27,2,521.8
2011,NUTS,2010,DE3,1,963.9
2013,NUTS,2010,DE3,1,1008.0
2015,NUTS,2010,DE3,1,1036.5
2017,NUTS,2010,DE3,1,1055.2
2019,NUTS,2010,DE3,1,1094.9
2011,NUTS,2010,DE30,2,963.9
2013,NUTS,2010,DE30,2,1008.0
2015,NUTS,2010,DE30,2,1036.5
2017,NUTS,2010,DE30,2,1055.2
2019,NUTS,2010,DE30,2,1094.9
2011,NUTS,2010,DE4,1,339.3
2013,NUTS,2010,DE4,1,323.3
2015,NUTS,2010,DE4,1,362.5
2017,NUTS,2010,DE4,1,380.2
2019,NUTS,2010,DE4,1,412.5
2011,NUTS,2010,DE40,2,339.3
2013,NUTS,2010,DE40,2,323.3
2015,NUTS,2010,DE40,2,362.5
2017,NUTS,2010,DE40,2,380.2
2019,NUTS,2010,DE40,2,412.5
2011,NUTS,2010,DE5,1,1011.7
2013,NUTS,2010,DE5,1,1025.7
2015,NUTS,2010,DE5,1,1069.8
2017,NUTS,2010,DE5,1,1063.3
2019,NUTS,2010,DE5,1,1124.5
2011,NUTS,2010,DE50,2,1011.7
2013,NUTS,2010,DE50,2,1025.7
2015,NUTS,2010,DE50,2,1069.8
2017,NUTS,2010,DE50,2,1063.3
2019,NUTS,2010,DE50,2,1124.5
2011,NUTS,2010,DE6,1,1078.9
2013,NUTS,2010,DE6,1,1127.5
2015,NUTS,2010,DE6,1,1122.2
2017,NUTS,2010,DE6,1,1096.5
2019,NUTS,2010,DE6,1,1118.4
2011,NUTS,2010,DE60,2,1078.9
2013,NUTS,2010,DE60,2,1132.4
2015,NUTS,2010,DE60,2,1122.2
2017,NUTS,2010,DE60,2,1096.5
2019,NUTS,2010,DE60,2,1118.4
2011,NUTS,2010,DE7,1,1004.3
2013,NUTS,2010,DE7,1,967.3
2015,NUTS,2010,DE7,1,992.8
2017,NUTS,2010,DE7,1,1046.4
2019,NUTS,2010,DE7,1,1111.9
2011,NUTS,2010,DE71,2,1305.3
2013,NUTS,2010,DE71,2,1211.2
2015,NUTS,2010,DE71,2,1251.8
2017,NUTS,2010,DE71,2,1320.7
2019,NUTS,2010,DE71,2,1405.5
2011,NUTS,2010,DE72,2,548.9
2013,NUTS,2010,DE72,2,610.8
2015,NUTS,2010,DE72,2,659.4
2017,NUTS,2010,DE72,2,686.7
2019,NUTS,2010,DE72,2,609.1
2011,NUTS,2010,DE73,2,461.2
2013,NUTS,2010,DE73,2,501.5
2015,NUTS,2010,DE73,2,444.6
2017,NUTS,2010,DE73,2,465.1
2019,NUTS,2010,DE73,2,581.4
2011,NUTS,2010,DE8,1,403.4
2013,NUTS,2010,DE8,1,361.4
2015,NUTS,2010,DE8,1,384.7
2017,NUTS,2010,DE8,1,387.1
2019,NUTS,2010,DE8,1,401.2
2011,NUTS,2010,DE80,2,403.4
2013,NUTS,2010,DE80,2,361.4
2015,NUTS,2010,DE80,2,384.7
2017,NUTS,2010,DE80,2,387.1
2019,NUTS,2010,DE80,2,401.2
2011,NUTS,2010,DE9,1,729.6
2013,NUTS,2010,DE9,1,763.8
2015,NUTS,2010,DE9,1,926.6
2017,NUTS,2010,DE9,1,893.0
2019,NUTS,2010,DE9,1,921.8
2011,NUTS,2010,DE91,2,2254.2
2013,NUTS,2010,DE91,2,2361.2
2015,NUTS,2010,DE91,2,3057.3
2017,NUTS,2010,DE91,2,2929.0
2019,NUTS,2010,DE91,2,2982.0
2011,NUTS,2010,DE92,2,631.3
2013,NUTS,2010,DE92,2,650.7
2015,NUTS,2010,DE92,2,689.9
2017,NUTS,2010,DE92,2,673.5
2019,NUTS,2010,DE92,2,724.6
2011,NUTS,2010,DE93,2,196.0
2013,NUTS,2010,DE93,2,219.1
2015,NUTS,2010,DE93,2,208.9
2017,NUTS,2010,DE93,2,198.8
2019,NUTS,2010,DE93,2,190.0
2011,NUTS,2010,DE94,2,191.2
2013,NUTS,2010,DE94,2,202.9
2015,NUTS,2010,DE94,2,250.6
2017,NUTS,2010,DE94,2,256.2
2019,NUTS,2010,DE94,2,283.2
2011,NUTS,2010,DEA,1,577.6
2013,NUTS,2010,DEA,1,567.7
2015,NUTS,2010,DEA,1,587.8
2017,NUTS,2010,DEA,1,636.6
2019,NUTS,2010,DEA,1,661.0
2011,NUTS,2010,DEA1,2,579.2
2013,NUTS,2010,DEA1,2,531.5
2015,NUTS,2010,DEA1,2,567.6
2017,NUTS,2010,DEA1,2,631.5
2019,NUTS,2010,DEA1,2,649.1
2011,NUTS,2010,DEA2,2,964.1
2013,NUTS,2010,DEA2,2,916.2
2015,NUTS,2010,DEA2,2,929.0
2017,NUTS,2010,DEA2,2,989.6
2019,NUTS,2010,DEA2,2,1013.4
2011,NUTS,2010,DEA3,2,261.7
2013,NUTS,2010,DEA3,2,271.9
2015,NUTS,2010,DEA3,2,287.5
2017,NUTS,2010,DEA3,2,316.9
2019,NUTS,2010,DEA3,2,356.0
2011,NUTS,2010,DEA4,2,499.6
2013,NUTS,2010,DEA4,2,546.7
2015,NUTS,2010,DEA4,2,542.1
2017,NUTS,2010,DEA4,2,579.1
2019,NUTS,2010,DEA4,2,593.2
2011,NUTS,2010,DEA5,2,383.6
2013,NUTS,2010,DEA5,2,422.6
2015,NUTS,2010,DEA5,2,442.4
2017,NUTS,2010,DEA5,2,473.4
2019,NUTS,2010,DEA5,2,500.9
2011,NUTS,2010,DEB,1,524.2
2013,NUTS,2010,DEB,1,564.1
2015,NUTS,2010,DEB,1,649.5
2017,NUTS,2010,DEB,1,683.7
2019,NUTS,2010,DEB,1,716.5
2011,NUTS,2010,DEB1,2,168.9
2013,NUTS,2010,DEB1,2,182.7
2015,NUTS,2010,DEB1,2,184.2
2017,NUTS,2010,DEB1,2,183.2
2019,NUTS,2010,DEB1,2,229.6
2011,NUTS,2010,DEB2,2,753.5
2013,NUTS,2010,DEB2,2,732.2
2015,NUTS,2010,DEB2,2,710.3
2017,NUTS,2010,DEB2,2,214.2
2019,NUTS,2010,DEB2,2,218.5
2011,NUTS,2010,DEB3,2,729.9
2013,NUTS,2010,DEB3,2,802.5
2015,NUTS,2010,DEB3,2,975.3
2017,NUTS,2010,DEB3,2,1170.2
2019,NUTS,2010,DEB3,2,1198.9
2011,NUTS,2010,DEC,1,412.9
2013,NUTS,2010,DEC,1,394.1
2015,NUTS,2010,DEC,1,441.6
2017,NUTS,2010,DEC,1,493.7
2019,NUTS,2010,DEC,1,519.9
2011,NUTS,2010,DEC0,2,412.9
2013,NUTS,2010,DEC0,2,394.1
2015,NUTS,2010,DEC0,2,441.6
2017,NUTS,2010,DEC0,2,493.7
2019,NUTS,2010,DEC0,2,519.9
2011,NUTS,2010,DED,1,600.5
2013,NUTS,2010,DED,1,600.5
2015,NUTS,2010,DED,1,624.0
2017,NUTS,2010,DED,1,661.3
2019,NUTS,2010,DED,1,723.0
2011,NUTS,2010,DED2,2,876.0
2013,NUTS,2010,DED2,2,881.2
2015,NUTS,2010,DED2,2,928.2
2017,NUTS,2010,DED2,2,989.5
2019,NUTS,2010,DED2,2,1100.3
2011,NUTS,2010,DED4,2,372.0
2013,NUTS,2010,DED4,2,382.1
2015,NUTS,2010,DED4,2,377.9
2017,NUTS,2010,DED4,2,410.5
2019,NUTS,2010,DED4,2,428.6
2011,NUTS,2010,DED5,2,502.0
2013,NUTS,2010,DED5,2,474.3
2015,NUTS,2010,DED5,2,500.3
2017,NUTS,2010,DED5,2,505.1
