year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_pc_gdp
2016,NUTS,2010,CZ01,2,2.15
2017,NUTS,2010,CZ01,2,2.35
2018,NUTS,2010,CZ01,2,2.49
2019,NUTS,2010,CZ01,2,2.54
2020,NUTS,2010,CZ01,2,2.83
2011,NUTS,2010,CZ02,2,1.43
2012,NUTS,2010,CZ02,2,1.47
2013,NUTS,2010,CZ02,2,2.15
2014,NUTS,2010,CZ02,2,2.04
2015,NUTS,2010,CZ02,2,1.93
2016,NUTS,2010,CZ02,2,2.03
2017,NUTS,2010,CZ02,2,2.43
2018,NUTS,2010,CZ02,2,2.66
2019,NUTS,2010,CZ02,2,2.44
2020,NUTS,2010,CZ02,2,2.22
2011,NUTS,2010,CZ03,2,1.32
2012,NUTS,2010,CZ03,2,1.57
2013,NUTS,2010,CZ03,2,1.61
2014,NUTS,2010,CZ03,2,1.67
2015,NUTS,2010,CZ03,2,1.6
2016,NUTS,2010,CZ03,2,1.34
2017,NUTS,2010,CZ03,2,1.3
2018,NUTS,2010,CZ03,2,1.48
2019,NUTS,2010,CZ03,2,1.58
2020,NUTS,2010,CZ03,2,1.49
2011,NUTS,2010,CZ04,2,0.3
2012,NUTS,2010,CZ04,2,0.41
2013,NUTS,2010,CZ04,2,0.37
2014,NUTS,2010,CZ04,2,0.41
2015,NUTS,2010,CZ04,2,0.36
2016,NUTS,2010,CZ04,2,0.29
2017,NUTS,2010,CZ04,2,0.3
2018,NUTS,2010,CZ04,2,0.34
2019,NUTS,2010,CZ04,2,0.4
2020,NUTS,2010,CZ04,2,0.41
2011,NUTS,2010,CZ05,2,1.28
2012,NUTS,2010,CZ05,2,1.57
2013,NUTS,2010,CZ05,2,1.46
2014,NUTS,2010,CZ05,2,1.48
2015,NUTS,2010,CZ05,2,1.34
2016,NUTS,2010,CZ05,2,1.26
2017,NUTS,2010,CZ05,2,1.3
2018,NUTS,2010,CZ05,2,1.44
2019,NUTS,2010,CZ05,2,1.45
2020,NUTS,2010,CZ05,2,1.42
2011,NUTS,2010,CZ06,2,2.05
2012,NUTS,2010,CZ06,2,2.62
2013,NUTS,2010,CZ06,2,2.83
2014,NUTS,2010,CZ06,2,2.94
2015,NUTS,2010,CZ06,2,2.88
2016,NUTS,2010,CZ06,2,2.39
2017,NUTS,2010,CZ06,2,2.32
2018,NUTS,2010,CZ06,2,2.33
2019,NUTS,2010,CZ06,2,2.46
2020,NUTS,2010,CZ06,2,2.6
2011,NUTS,2010,CZ07,2,1.13
2012,NUTS,2010,CZ07,2,1.56
2013,NUTS,2010,CZ07,2,1.39
2014,NUTS,2010,CZ07,2,1.51
2015,NUTS,2010,CZ07,2,1.29
2016,NUTS,2010,CZ07,2,1.23
2017,NUTS,2010,CZ07,2,1.41
2018,NUTS,2010,CZ07,2,1.55
2019,NUTS,2010,CZ07,2,1.6
2020,NUTS,2010,CZ07,2,1.5
2011,NUTS,2010,CZ08,2,1.24
2012,NUTS,2010,CZ08,2,1.14
2013,NUTS,2010,CZ08,2,1.15
2014,NUTS,2010,CZ08,2,1.24
2015,NUTS,2010,CZ08,2,1.19
2016,NUTS,2010,CZ08,2,1.14
2017,NUTS,2010,CZ08,2,1.05
2018,NUTS,2010,CZ08,2,1.12
2019,NUTS,2010,CZ08,2,1.09
2020,NUTS,2010,CZ08,2,1.2
2011,NUTS,2010,DE,0,2.81
2012,NUTS,2010,DE,0,2.88
2013,NUTS,2010,DE,0,2.84
2014,NUTS,2010,DE,0,2.88
2015,NUTS,2010,DE,0,2.93
2016,NUTS,2010,DE,0,2.94
2017,NUTS,2010,DE,0,3.05
2018,NUTS,2010,DE,0,3.11
2019,NUTS,2010,DE,0,3.17
2020,NUTS,2010,DE,0,3.14
2011,NUTS,2010,DE1,1,4.8
2013,NUTS,2010,DE1,1,4.75
2015,NUTS,2010,DE1,1,4.9
2017,NUTS,2010,DE1,1,5.61
2019,NUTS,2010,DE1,1,5.74
2011,NUTS,2010,DE11,2,6.06
2013,NUTS,2010,DE11,2,5.89
2015,NUTS,2010,DE11,2,6.13
2017,NUTS,2010,DE11,2,7.47
2019,NUTS,2010,DE11,2,7.33
2011,NUTS,2010,DE12,2,4.13
2013,NUTS,2010,DE12,2,4.3
2015,NUTS,2010,DE12,2,4.55
2017,NUTS,2010,DE12,2,4.88
2019,NUTS,2010,DE12,2,5.33
2011,NUTS,2010,DE13,2,2.75
2013,NUTS,2010,DE13,2,2.64
2015,NUTS,2010,DE13,2,2.63
2017,NUTS,2010,DE13,2,2.74
2019,NUTS,2010,DE13,2,2.89
2011,NUTS,2010,DE14,2,4.72
2013,NUTS,2010,DE14,2,4.65
2015,NUTS,2010,DE14,2,4.55
2017,NUTS,2010,DE14,2,4.76
2019,NUTS,2010,DE14,2,5.2
2011,NUTS,2010,DE2,1,2.98
2013,NUTS,2010,DE2,1,3.11
2015,NUTS,2010,DE2,1,3.13
2017,NUTS,2010,DE2,1,3.08
2019,NUTS,2010,DE2,1,3.39
2011,NUTS,2010,DE21,2,4.13
2013,NUTS,2010,DE21,2,4.35
2015,NUTS,2010,DE21,2,4.3
2017,NUTS,2010,DE21,2,3.98
2019,NUTS,2010,DE21,2,4.42
2015,NUTS,2010,DE22,2,1.25
2017,NUTS,2010,DE22,2,1.32
2019,NUTS,2010,DE22,2,1.59
2015,NUTS,2010,DE23,2,2.0
2017,NUTS,2010,DE23,2,2.46
2019,NUTS,2010,DE23,2,2.73
2011,NUTS,2010,DE24,2,1.74
2013,NUTS,2010,DE24,2,1.84
2015,NUTS,2010,DE24,2,1.91
2017,NUTS,2010,DE24,2,2.08
2019,NUTS,2010,DE24,2,2.52
2011,NUTS,2010,DE25,2,3.48
2013,NUTS,2010,DE25,2,3.7
2015,NUTS,2010,DE25,2,3.71
2017,NUTS,2010,DE25,2,3.55
2019,NUTS,2010,DE25,2,3.71
2011,NUTS,2010,DE26,2,2.26
2013,NUTS,2010,DE26,2,2.31
2015,NUTS,2010,DE26,2,2.08
2017,NUTS,2010,DE26,2,2.81
2019,NUTS,2010,DE26,2,2.87
2011,NUTS,2010,DE27,2,1.25
2013,NUTS,2010,DE27,2,1.26
2015,NUTS,2010,DE27,2,1.57
2017,NUTS,2010,DE27,2,1.6
2019,NUTS,2010,DE27,2,1.66
2011,NUTS,2010,DE3,1,3.33
2013,NUTS,2010,DE3,1,3.55
2015,NUTS,2010,DE3,1,3.52
2017,NUTS,2010,DE3,1,3.37
2019,NUTS,2010,DE3,1,3.33
2011,NUTS,2010,DE30,2,3.33
2013,NUTS,2010,DE30,2,3.55
2015,NUTS,2010,DE30,2,3.52
2017,NUTS,2010,DE30,2,3.37
2019,NUTS,2010,DE30,2,3.33
2011,NUTS,2010,DE4,1,1.65
2013,NUTS,2010,DE4,1,1.54
2015,NUTS,2010,DE4,1,1.67
2017,NUTS,2010,DE4,1,1.69
2019,NUTS,2010,DE4,1,1.8
2011,NUTS,2010,DE40,2,1.65
2013,NUTS,2010,DE40,2,1.54
2015,NUTS,2010,DE40,2,1.67
2017,NUTS,2010,DE40,2,1.69
2019,NUTS,2010,DE40,2,1.8
2011,NUTS,2010,DE5,1,2.75
2013,NUTS,2010,DE5,1,2.74
2015,NUTS,2010,DE5,1,2.84
2017,NUTS,2010,DE5,1,2.8
2019,NUTS,2010,DE5,1,2.99
2011,NUTS,2010,DE50,2,2.75
2013,NUTS,2010,DE50,2,2.74
2015,NUTS,2010,DE50,2,2.84
2017,NUTS,2010,DE50,2,2.8
2019,NUTS,2010,DE50,2,2.99
2011,NUTS,2010,DE6,1,2.21
2013,NUTS,2010,DE6,1,2.28
2015,NUTS,2010,DE6,1,2.24
2017,NUTS,2010,DE6,1,2.14
2019,NUTS,2010,DE6,1,2.17
2011,NUTS,2010,DE60,2,2.21
2013,NUTS,2010,DE60,2,2.29
2015,NUTS,2010,DE60,2,2.24
2017,NUTS,2010,DE60,2,2.14
2019,NUTS,2010,DE60,2,2.17
2011,NUTS,2010,DE7,1,2.88
2013,NUTS,2010,DE7,1,2.82
2015,NUTS,2010,DE7,1,2.84
2017,NUTS,2010,DE7,1,2.92
2019,NUTS,2010,DE7,1,3.08
2011,NUTS,2010,DE71,2,3.26
2013,NUTS,2010,DE71,2,3.09
2015,NUTS,2010,DE71,2,3.16
2017,NUTS,2010,DE71,2,3.26
2019,NUTS,2010,DE71,2,3.46
2011,NUTS,2010,DE72,2,2.16
2013,NUTS,2010,DE72,2,2.43
2015,NUTS,2010,DE72,2,2.56
2017,NUTS,2010,DE72,2,2.56
2019,NUTS,2010,DE72,2,2.24
2011,NUTS,2010,DE73,2,1.72
2013,NUTS,2010,DE73,2,1.86
2015,NUTS,2010,DE73,2,1.6
2017,NUTS,2010,DE73,2,1.63
2019,NUTS,2010,DE73,2,2.01
2011,NUTS,2010,DE8,1,2.05
2013,NUTS,2010,DE8,1,1.81
2015,NUTS,2010,DE8,1,1.88
2017,NUTS,2010,DE8,1,1.78
2019,NUTS,2010,DE8,1,1.8
2011,NUTS,2010,DE80,2,2.05
2013,NUTS,2010,DE80,2,1.81
2015,NUTS,2010,DE80,2,1.88
2017,NUTS,2010,DE80,2,1.78
2019,NUTS,2010,DE80,2,1.8
2011,NUTS,2010,DE9,1,2.7
2013,NUTS,2010,DE9,1,2.82
2015,NUTS,2010,DE9,1,3.39
2017,NUTS,2010,DE9,1,3.1
2019,NUTS,2010,DE9,1,3.11
2011,NUTS,2010,DE91,2,6.65
2013,NUTS,2010,DE91,2,7.03
2015,NUTS,2010,DE91,2,9.35
2017,NUTS,2010,DE91,2,7.91
2019,NUTS,2010,DE91,2,7.79
2011,NUTS,2010,DE92,2,2.18
2013,NUTS,2010,DE92,2,2.29
2015,NUTS,2010,DE92,2,2.39
2017,NUTS,2010,DE92,2,2.26
2019,NUTS,2010,DE92,2,2.35
2011,NUTS,2010,DE93,2,0.98
2013,NUTS,2010,DE93,2,1.06
2015,NUTS,2010,DE93,2,0.98
2017,NUTS,2010,DE93,2,0.92
2019,NUTS,2010,DE93,2,0.85
2011,NUTS,2010,DE94,2,0.74
2013,NUTS,2010,DE94,2,0.78
2015,NUTS,2010,DE94,2,0.94
2017,NUTS,2010,DE94,2,0.93
2019,NUTS,2010,DE94,2,1.01
2011,NUTS,2010,DEA,1,2.0
2013,NUTS,2010,DEA,1,1.98
2015,NUTS,2010,DEA,1,1.99
2017,NUTS,2010,DEA,1,2.11
2019,NUTS,2010,DEA,1,2.15
2011,NUTS,2010,DEA1,2,1.83
2013,NUTS,2010,DEA1,2,1.71
2015,NUTS,2010,DEA1,2,1.8
2017,NUTS,2010,DEA1,2,1.96
2019,NUTS,2010,DEA1,2,1.98
2011,NUTS,2010,DEA2,2,3.1
2013,NUTS,2010,DEA2,2,2.93
2015,NUTS,2010,DEA2,2,2.84
2017,NUTS,2010,DEA2,2,2.98
2019,NUTS,2010,DEA2,2,3.0
2011,NUTS,2010,DEA3,2,1.04
2013,NUTS,2010,DEA3,2,1.1
2015,NUTS,2010,DEA3,2,1.14
2017,NUTS,2010,DEA3,2,1.22
2019,NUTS,2010,DEA3,2,1.33
2011,NUTS,2010,DEA4,2,1.82
2013,NUTS,2010,DEA4,2,1.95
2015,NUTS,2010,DEA4,2,1.88
2017,NUTS,2010,DEA4,2,1.97
2019,NUTS,2010,DEA4,2,1.96
2011,NUTS,2010,DEA5,2,1.48
2013,NUTS,2010,DEA5,2,1.64
2015,NUTS,2010,DEA5,2,1.67
2017,NUTS,2010,DEA5,2,1.75
2019,NUTS,2010,DEA5,2,1.82
2011,NUTS,2010,DEB,1,2.03
2013,NUTS,2010,DEB,1,2.16
2015,NUTS,2010,DEB,1,2.4
2017,NUTS,2010,DEB,1,2.49
2019,NUTS,2010,DEB,1,2.6
2011,NUTS,2010,DEB1,2,0.71
2013,NUTS,2010,DEB1,2,0.75
2015,NUTS,2010,DEB1,2,0.73
2017,NUTS,2010,DEB1,2,0.7
2019,NUTS,2010,DEB1,2,0.87
2011,NUTS,2010,DEB2,2,3.33
2013,NUTS,2010,DEB2,2,3.18
2015,NUTS,2010,DEB2,2,3.02
2017,NUTS,2010,DEB2,2,0.9
2019,NUTS,2010,DEB2,2,0.91
2011,NUTS,2010,DEB3,2,2.6
2013,NUTS,2010,DEB3,2,2.83
2015,NUTS,2010,DEB3,2,3.32
2017,NUTS,2010,DEB3,2,3.98
2019,NUTS,2010,DEB3,2,4.08
2011,NUTS,2010,DEC,1,1.48
2013,NUTS,2010,DEC,1,1.46
2015,NUTS,2010,DEC,1,1.57
2017,NUTS,2010,DEC,1,1.75
2019,NUTS,2010,DEC,1,1.89
