year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_hc_t
2018,NUTS,2010,DEB1,2,0.1718
2019,NUTS,2010,DEB1,2,0.1843
2011,NUTS,2010,DEB2,2,0.4339
2012,NUTS,2010,DEB2,2,0.447
2013,NUTS,2010,DEB2,2,0.4271
2014,NUTS,2010,DEB2,2,0.3884
2015,NUTS,2010,DEB2,2,0.4168
2016,NUTS,2010,DEB2,2,0.4033
2017,NUTS,2010,DEB2,2,0.4005
2018,NUTS,2010,DEB2,2,0.3736
2019,NUTS,2010,DEB2,2,0.3761
2011,NUTS,2010,DEB3,2,0.6564
2012,NUTS,2010,DEB3,2,0.6757
2013,NUTS,2010,DEB3,2,0.6853
2014,NUTS,2010,DEB3,2,0.6978
2015,NUTS,2010,DEB3,2,0.7163
2016,NUTS,2010,DEB3,2,0.733
2017,NUTS,2010,DEB3,2,0.7292
2018,NUTS,2010,DEB3,2,0.7584
2019,NUTS,2010,DEB3,2,0.7527
2011,NUTS,2010,DEC,1,0.6189
2012,NUTS,2010,DEC,1,0.6321
2013,NUTS,2010,DEC,1,0.6704
2014,NUTS,2010,DEC,1,0.6987
2015,NUTS,2010,DEC,1,0.6997
2016,NUTS,2010,DEC,1,0.6776
2017,NUTS,2010,DEC,1,0.6866
2018,NUTS,2010,DEC,1,0.6954
2019,NUTS,2010,DEC,1,0.7061
2011,NUTS,2010,DEC0,2,0.6189
2012,NUTS,2010,DEC0,2,0.6321
2013,NUTS,2010,DEC0,2,0.6704
2014,NUTS,2010,DEC0,2,0.6987
2015,NUTS,2010,DEC0,2,0.6997
2016,NUTS,2010,DEC0,2,0.6776
2017,NUTS,2010,DEC0,2,0.6866
2018,NUTS,2010,DEC0,2,0.6954
2019,NUTS,2010,DEC0,2,0.7061
2011,NUTS,2010,DED,1,0.7063
2012,NUTS,2010,DED,1,0.75
2013,NUTS,2010,DED,1,0.8047
2014,NUTS,2010,DED,1,0.799
2015,NUTS,2010,DED,1,0.7877
2016,NUTS,2010,DED,1,0.785
2017,NUTS,2010,DED,1,0.8183
2018,NUTS,2010,DED,1,0.8596
2019,NUTS,2010,DED,1,0.8728
2011,NUTS,2010,DED2,2,0.4299
2012,NUTS,2010,DED2,2,0.4313
2013,NUTS,2010,DED2,2,0.4737
2014,NUTS,2010,DED2,2,0.4915
2015,NUTS,2010,DED2,2,0.874
2016,NUTS,2010,DED2,2,0.8934
2017,NUTS,2010,DED2,2,0.9284
2018,NUTS,2010,DED2,2,0.9747
2019,NUTS,2010,DED2,2,0.9676
2011,NUTS,2010,DED4,2,0.9113
2012,NUTS,2010,DED4,2,0.9677
2013,NUTS,2010,DED4,2,1.0022
2014,NUTS,2010,DED4,2,0.9736
2015,NUTS,2010,DED4,2,0.5207
2016,NUTS,2010,DED4,2,0.5185
2017,NUTS,2010,DED4,2,0.5324
2018,NUTS,2010,DED4,2,0.5673
2019,NUTS,2010,DED4,2,0.582
2011,NUTS,2010,DED5,2,0.8446
2012,NUTS,2010,DED5,2,0.9347
2013,NUTS,2010,DED5,2,1.032
2014,NUTS,2010,DED5,2,1.0259
2015,NUTS,2010,DED5,2,1.022
2016,NUTS,2010,DED5,2,0.9856
2017,NUTS,2010,DED5,2,1.0429
2018,NUTS,2010,DED5,2,1.0705
2019,NUTS,2010,DED5,2,1.108
2011,NUTS,2010,DEE,1,0.4601
2012,NUTS,2010,DEE,1,0.495
2013,NUTS,2010,DEE,1,0.5112
2014,NUTS,2010,DEE,1,0.5099
2015,NUTS,2010,DEE,1,0.5338
2016,NUTS,2010,DEE,1,0.5078
2017,NUTS,2010,DEE,1,0.5281
2018,NUTS,2010,DEE,1,0.5813
2019,NUTS,2010,DEE,1,0.5859
2011,NUTS,2010,DEE0,2,0.4601
2012,NUTS,2010,DEE0,2,0.495
2013,NUTS,2010,DEE0,2,0.5112
2014,NUTS,2010,DEE0,2,0.5099
2015,NUTS,2010,DEE0,2,0.5338
2016,NUTS,2010,DEE0,2,0.5078
2017,NUTS,2010,DEE0,2,0.5281
2018,NUTS,2010,DEE0,2,0.5813
2019,NUTS,2010,DEE0,2,0.5859
2011,NUTS,2010,DEF,1,0.3807
2012,NUTS,2010,DEF,1,0.3888
2013,NUTS,2010,DEF,1,0.4085
2014,NUTS,2010,DEF,1,0.4165
2015,NUTS,2010,DEF,1,0.4271
2016,NUTS,2010,DEF,1,0.4278
2017,NUTS,2010,DEF,1,0.434
2018,NUTS,2010,DEF,1,0.4468
2019,NUTS,2010,DEF,1,0.4438
2011,NUTS,2010,DEF0,2,0.3807
2012,NUTS,2010,DEF0,2,0.3888
2013,NUTS,2010,DEF0,2,0.4085
2014,NUTS,2010,DEF0,2,0.4165
2015,NUTS,2010,DEF0,2,0.4271
2016,NUTS,2010,DEF0,2,0.4278
2017,NUTS,2010,DEF0,2,0.434
2018,NUTS,2010,DEF0,2,0.4468
2019,NUTS,2010,DEF0,2,0.4438
2011,NUTS,2010,DEG,1,0.5617
2012,NUTS,2010,DEG,1,0.5888
2013,NUTS,2010,DEG,1,0.6108
2014,NUTS,2010,DEG,1,0.6264
2015,NUTS,2010,DEG,1,0.6241
2016,NUTS,2010,DEG,1,0.5988
2017,NUTS,2010,DEG,1,0.6122
2018,NUTS,2010,DEG,1,0.6321
2019,NUTS,2010,DEG,1,0.6413
2011,NUTS,2010,DEG0,2,0.5617
2012,NUTS,2010,DEG0,2,0.5888
2013,NUTS,2010,DEG0,2,0.6108
2014,NUTS,2010,DEG0,2,0.6264
2015,NUTS,2010,DEG0,2,0.6241
2016,NUTS,2010,DEG0,2,0.5988
2017,NUTS,2010,DEG0,2,0.6122
2018,NUTS,2010,DEG0,2,0.6321
2019,NUTS,2010,DEG0,2,0.6413
2011,NUTS,2010,DK,0,0.9195
2012,NUTS,2010,DK,0,0.9283
2013,NUTS,2010,DK,0,0.9787
2014,NUTS,2010,DK,0,0.9878
2015,NUTS,2010,DK,0,0.9989
2016,NUTS,2010,DK,0,0.9232
2017,NUTS,2010,DK,0,0.9003
2018,NUTS,2010,DK,0,0.9505
2019,NUTS,2010,DK,0,0.939
2020,NUTS,2010,DK,0,0.9471
2011,NUTS,2010,DK0,1,0.9218
2012,NUTS,2010,DK0,1,0.9023
2013,NUTS,2010,DK0,1,0.9513
2014,NUTS,2010,DK0,1,0.9584
2015,NUTS,2010,DK0,1,0.9687
2016,NUTS,2010,DK0,1,0.8936
2017,NUTS,2010,DK0,1,0.8725
2018,NUTS,2010,DK0,1,0.9208
2019,NUTS,2010,DK0,1,0.9081
2011,NUTS,2010,DK01,2,1.4012
2012,NUTS,2010,DK01,2,1.3941
2013,NUTS,2010,DK01,2,1.4824
2014,NUTS,2010,DK01,2,1.5245
2015,NUTS,2010,DK01,2,1.5043
2016,NUTS,2010,DK01,2,1.3697
2017,NUTS,2010,DK01,2,1.3689
2019,NUTS,2010,DK01,2,1.4414
2011,NUTS,2010,DK02,2,0.3942
2012,NUTS,2010,DK02,2,0.3591
2013,NUTS,2010,DK02,2,0.3559
2014,NUTS,2010,DK02,2,0.3794
2015,NUTS,2010,DK02,2,0.3105
2016,NUTS,2010,DK02,2,0.3326
2017,NUTS,2010,DK02,2,0.2995
2019,NUTS,2010,DK02,2,0.3606
2011,NUTS,2010,DK03,2,0.4295
2012,NUTS,2010,DK03,2,0.4601
2013,NUTS,2010,DK03,2,0.4887
2014,NUTS,2010,DK03,2,0.5206
2015,NUTS,2010,DK03,2,0.5476
2016,NUTS,2010,DK03,2,0.5274
2017,NUTS,2010,DK03,2,0.4031
2019,NUTS,2010,DK03,2,0.3882
2011,NUTS,2010,DK04,2,1.0343
2012,NUTS,2010,DK04,2,0.8816
2013,NUTS,2010,DK04,2,0.9103
2014,NUTS,2010,DK04,2,0.8735
2015,NUTS,2010,DK04,2,0.9576
2016,NUTS,2010,DK04,2,0.8828
2017,NUTS,2010,DK04,2,0.816
2019,NUTS,2010,DK04,2,0.822
2011,NUTS,2010,DK05,2,0.9026
2012,NUTS,2010,DK05,2,1.036
2013,NUTS,2010,DK05,2,1.0881
2014,NUTS,2010,DK05,2,0.97
2015,NUTS,2010,DK05,2,0.9622
2016,NUTS,2010,DK05,2,0.8214
2017,NUTS,2010,DK05,2,1.0856
2019,NUTS,2010,DK05,2,1.1266
2011,NUTS,2010,EA19,2,0.5146
2012,NUTS,2010,EA19,2,0.5231
2013,NUTS,2010,EA19,2,0.5351
2014,NUTS,2010,EA19,2,0.5402
2015,NUTS,2010,EA19,2,0.5457
2016,NUTS,2010,EA19,2,0.5383
2017,NUTS,2010,EA19,2,0.5495
2018,NUTS,2010,EA19,2,0.561
2019,NUTS,2010,EA19,2,0.5709
2011,NUTS,2010,EE,0,0.6933
2012,NUTS,2010,EE,0,0.712
2013,NUTS,2010,EE,0,0.725
2014,NUTS,2010,EE,0,0.7356
2015,NUTS,2010,EE,0,0.7049
2016,NUTS,2010,EE,0,0.6564
2017,NUTS,2010,EE,0,0.661
2018,NUTS,2010,EE,0,0.6774
2019,NUTS,2010,EE,0,0.6729
2011,NUTS,2010,EL,0,0.6772
2013,NUTS,2010,EL,0,0.8108
2015,NUTS,2010,EL,0,0.7915
2017,NUTS,2010,EL,0,0.627
2019,NUTS,2010,EL,0,0.7148
2011,NUTS,2010,EL3,1,0.6033
2013,NUTS,2010,EL3,1,0.7443
2015,NUTS,2010,EL3,1,0.8362
2017,NUTS,2010,EL3,1,0.6101
2019,NUTS,2010,EL3,1,0.6667
2011,NUTS,2010,EL30,2,0.6033
2013,NUTS,2010,EL30,2,0.7443
2015,NUTS,2010,EL30,2,0.8362
2017,NUTS,2010,EL30,2,0.6101
2019,NUTS,2010,EL30,2,0.6667
2011,NUTS,2010,EL4,1,0.882
2013,NUTS,2010,EL4,1,0.9205
2015,NUTS,2010,EL4,1,0.7421
2017,NUTS,2010,EL4,1,0.6188
2019,NUTS,2010,EL4,1,0.68
2011,NUTS,2010,EL41,2,1.0939
2013,NUTS,2010,EL41,2,1.2494
2015,NUTS,2010,EL41,2,0.9735
2017,NUTS,2010,EL41,2,0.8235
2019,NUTS,2010,EL41,2,0.8524
2011,NUTS,2010,EL42,2,0.2639
2013,NUTS,2010,EL42,2,0.3397
2015,NUTS,2010,EL42,2,0.2341
2017,NUTS,2010,EL42,2,0.2722
2019,NUTS,2010,EL42,2,0.2156
2011,NUTS,2010,EL43,2,1.1486
2013,NUTS,2010,EL43,2,1.1402
2015,NUTS,2010,EL43,2,0.962
2017,NUTS,2010,EL43,2,0.7395
2019,NUTS,2010,EL43,2,0.8753
2011,NUTS,2010,EL5,1,0.8498
2013,NUTS,2010,EL5,1,0.9788
2015,NUTS,2010,EL5,1,0.8771
2017,NUTS,2010,EL5,1,0.6781
2019,NUTS,2010,EL5,1,0.8323
2011,NUTS,2010,EL51,2,0.7717
2013,NUTS,2010,EL51,2,0.9297
2015,NUTS,2010,EL51,2,0.682
2017,NUTS,2010,EL51,2,0.5779
2019,NUTS,2010,EL51,2,0.7242
2011,NUTS,2010,EL52,2,0.8356
2013,NUTS,2010,EL52,2,0.9897
2015,NUTS,2010,EL52,2,0.9012
2017,NUTS,2010,EL52,2,0.6794
2019,NUTS,2010,EL52,2,0.8348
2011,NUTS,2010,EL53,2,0.3475
2013,NUTS,2010,EL53,2,0.4325
2015,NUTS,2010,EL53,2,0.4007
2017,NUTS,2010,EL53,2,0.3859
2019,NUTS,2010,EL53,2,0.5945
2011,NUTS,2010,EL54,2,1.4769
2013,NUTS,2010,EL54,2,1.4361
2015,NUTS,2010,EL54,2,1.4989
2017,NUTS,2010,EL54,2,1.105
2019,NUTS,2010,EL54,2,1.227
2011,NUTS,2010,EL6,1,0.4622
2013,NUTS,2010,EL6,1,0.6325
2015,NUTS,2010,EL6,1,0.5998
2017,NUTS,2010,EL6,1,0.5541
2019,NUTS,2010,EL6,1,0.6128
2011,NUTS,2010,EL61,2,0.6328
2013,NUTS,2010,EL61,2,0.645
2015,NUTS,2010,EL61,2,0.6024
2017,NUTS,2010,EL61,2,0.629
2019,NUTS,2010,EL61,2,0.668
2011,NUTS,2010,EL62,2,0.1595
2013,NUTS,2010,EL62,2,0.6612
2015,NUTS,2010,EL62,2,0.717
2017,NUTS,2010,EL62,2,0.7703
2019,NUTS,2010,EL62,2,0.767
2011,NUTS,2010,EL63,2,0.9513
2013,NUTS,2010,EL63,2,1.2626
2015,NUTS,2010,EL63,2,1.2272
2017,NUTS,2010,EL63,2,1.0938
2019,NUTS,2010,EL63,2,1.1393
2011,NUTS,2010,EL64,2,0.0597
2013,NUTS,2010,EL64,2,0.2328
2015,NUTS,2010,EL64,2,0.1381
2017,NUTS,2010,EL64,2,0.1053
2019,NUTS,2010,EL64,2,0.1288
2011,NUTS,2010,EL65,2,0.1817
2013,NUTS,2010,EL65,2,0.2673
2015,NUTS,2010,EL65,2,0.28
2017,NUTS,2010,EL65,2,0.1663
2019,NUTS,2010,EL65,2,0.3372
2011,NUTS,2010,ES,0,0.5459
2012,NUTS,2010,ES,0,0.5294
2013,NUTS,2010,ES,0,0.5118
2014,NUTS,2010,ES,0,0.5229
2015,NUTS,2010,ES,0,0.5322
2016,NUTS,2010,ES,0,0.538
2017,NUTS,2010,ES,0,0.5573
2018,NUTS,2010,ES,0,0.5688
2019,NUTS,2010,ES,0,0.5813
2011,NUTS,2010,ES1,1,0.5313
2013,NUTS,2010,ES1,1,0.5027
2015,NUTS,2010,ES1,1,0.5021
2016,NUTS,2010,ES1,1,0.4858
2017,NUTS,2010,ES1,1,0.505
2018,NUTS,2010,ES1,1,0.4862
2011,NUTS,2010,ES11,2,0.5014
2012,NUTS,2010,ES11,2,0.4703
2014,NUTS,2010,ES11,2,0.4572
2015,NUTS,2010,ES11,2,0.4682
2016,NUTS,2010,ES11,2,0.4676
2017,NUTS,2010,ES11,2,0.4799
2018,NUTS,2010,ES11,2,0.4862
2019,NUTS,2010,ES11,2,0.4968
2011,NUTS,2010,ES12,2,0.6573
2012,NUTS,2010,ES12,2,0.5786
2013,NUTS,2010,ES12,2,0.6419
2014,NUTS,2010,ES12,2,0.5785
2015,NUTS,2010,ES12,2,0.6314
2016,NUTS,2010,ES12,2,0.5686
2017,NUTS,2010,ES12,2,0.6199
2018,NUTS,2010,ES12,2,0.5196
2019,NUTS,2010,ES12,2,0.6067
2011,NUTS,2010,ES13,2,0.4526
2015,NUTS,2010,ES13,2,0.4393
2016,NUTS,2010,ES13,2,0.4283
2017,NUTS,2010,ES13,2,0.4273
2018,NUTS,2010,ES13,2,0.4299
2011,NUTS,2010,ES2,1,0.5853
2013,NUTS,2010,ES2,1,0.6005
2019,NUTS,2010,ES2,1,0.6513
2011,NUTS,2010,ES21,2,0.5341
2012,NUTS,2010,ES21,2,0.5713
2013,NUTS,2010,ES21,2,0.5753
2014,NUTS,2010,ES21,2,0.5935
2015,NUTS,2010,ES21,2,0.6041
2016,NUTS,2010,ES21,2,0.6027
2017,NUTS,2010,ES21,2,0.6273
2018,NUTS,2010,ES21,2,0.6434
2019,NUTS,2010,ES21,2,0.6503
2011,NUTS,2010,ES22,2,0.7498
2011,NUTS,2010,ES23,2,0.3154
2012,NUTS,2010,ES23,2,0.3394
2014,NUTS,2010,ES23,2,0.411
2015,NUTS,2010,ES23,2,0.3885
2016,NUTS,2010,ES23,2,0.5248
2017,NUTS,2010,ES23,2,0.4407
2018,NUTS,2010,ES23,2,0.4841
2011,NUTS,2010,ES24,2,0.656
2012,NUTS,2010,ES24,2,0.6594
2013,NUTS,2010,ES24,2,0.666
2014,NUTS,2010,ES24,2,0.7083
2015,NUTS,2010,ES24,2,0.7412
2016,NUTS,2010,ES24,2,0.6974
2017,NUTS,2010,ES24,2,0.7166
2018,NUTS,2010,ES24,2,0.7379
2011,NUTS,2010,ES3,1,0.7899
2012,NUTS,2010,ES3,1,0.7544
2013,NUTS,2010,ES3,1,0.7451
2014,NUTS,2010,ES3,1,0.7489
2015,NUTS,2010,ES3,1,0.7427
2016,NUTS,2010,ES3,1,0.7492
2017,NUTS,2010,ES3,1,0.7833
2018,NUTS,2010,ES3,1,0.8041
2019,NUTS,2010,ES3,1,0.8384
2011,NUTS,2010,ES30,2,0.7899
2012,NUTS,2010,ES30,2,0.7544
2013,NUTS,2010,ES30,2,0.7451
2014,NUTS,2010,ES30,2,0.7489
2015,NUTS,2010,ES30,2,0.7427
2016,NUTS,2010,ES30,2,0.7492
2017,NUTS,2010,ES30,2,0.7833
2018,NUTS,2010,ES30,2,0.8041
2019,NUTS,2010,ES30,2,0.8384
2011,NUTS,2010,ES4,1,0.4897
2013,NUTS,2010,ES4,1,0.4141
2014,NUTS,2010,ES4,1,0.428
2015,NUTS,2010,ES4,1,0.4431
2016,NUTS,2010,ES4,1,0.4483
2018,NUTS,2010,ES4,1,0.4573
2019,NUTS,2010,ES4,1,0.46
2011,NUTS,2010,ES41,2,0.7144
2012,NUTS,2010,ES41,2,0.6808
2013,NUTS,2010,ES41,2,0.65
2014,NUTS,2010,ES41,2,0.6653
2015,NUTS,2010,ES41,2,0.6876
2016,NUTS,2010,ES41,2,0.6952
2017,NUTS,2010,ES41,2,0.7089
2018,NUTS,2010,ES41,2,0.7112
2019,NUTS,2010,ES41,2,0.7368
2011,NUTS,2010,ES42,2,0.2569
2012,NUTS,2010,ES42,2,0.2302
2013,NUTS,2010,ES42,2,0.1522
2014,NUTS,2010,ES42,2,0.1642
2015,NUTS,2010,ES42,2,0.1806
2017,NUTS,2010,ES42,2,0.1985
2011,NUTS,2010,ES43,2,0.4272
2013,NUTS,2010,ES43,2,0.3948
2014,NUTS,2010,ES43,2,0.4065
2015,NUTS,2010,ES43,2,0.4012
2011,NUTS,2010,ES5,1,0.4955
2012,NUTS,2010,ES5,1,0.4949
2013,NUTS,2010,ES5,1,0.4753
2014,NUTS,2010,ES5,1,0.5098
2015,NUTS,2010,ES5,1,0.517
2016,NUTS,2010,ES5,1,0.5247
2017,NUTS,2010,ES5,1,0.5388
2018,NUTS,2010,ES5,1,0.5475
2011,NUTS,2010,ES51,2,0.5188
2012,NUTS,2010,ES51,2,0.5218
2013,NUTS,2010,ES51,2,0.5173
2014,NUTS,2010,ES51,2,0.5233
2015,NUTS,2010,ES51,2,0.5306
2016,NUTS,2010,ES51,2,0.5473
2017,NUTS,2010,ES51,2,0.5596
2018,NUTS,2010,ES51,2,0.5659
2019,NUTS,2010,ES51,2,0.574
2011,NUTS,2010,ES52,2,0.5089
2012,NUTS,2010,ES52,2,0.5066
2013,NUTS,2010,ES52,2,0.4599
2014,NUTS,2010,ES52,2,0.5426
2015,NUTS,2010,ES52,2,0.5514
2016,NUTS,2010,ES52,2,0.5536
2017,NUTS,2010,ES52,2,0.5735
2018,NUTS,2010,ES52,2,0.5908
2019,NUTS,2010,ES52,2,0.6146
2011,NUTS,2010,ES53,2,0.2838
2012,NUTS,2010,ES53,2,0.276
2013,NUTS,2010,ES53,2,0.2725
2014,NUTS,2010,ES53,2,0.2922
2015,NUTS,2010,ES53,2,0.2981
2016,NUTS,2010,ES53,2,0.272
2017,NUTS,2010,ES53,2,0.273
2018,NUTS,2010,ES53,2,0.2718
2011,NUTS,2010,ES6,1,0.4914
2012,NUTS,2010,ES6,1,0.4668
2013,NUTS,2010,ES6,1,0.4472
2014,NUTS,2010,ES6,1,0.4409
2015,NUTS,2010,ES6,1,0.4537
2016,NUTS,2010,ES6,1,0.4657
2017,NUTS,2010,ES6,1,0.4881
2018,NUTS,2010,ES6,1,0.5113
2019,NUTS,2010,ES6,1,0.5186
2011,NUTS,2010,ES61,2,0.4872
2012,NUTS,2010,ES61,2,0.4608
2013,NUTS,2010,ES61,2,0.436
2014,NUTS,2010,ES61,2,0.429
2015,NUTS,2010,ES61,2,0.4381
2016,NUTS,2010,ES61,2,0.4505
2017,NUTS,2010,ES61,2,0.4683
2018,NUTS,2010,ES61,2,0.4864
2019,NUTS,2010,ES61,2,0.4921
2011,NUTS,2010,ES62,2,0.5518
2012,NUTS,2010,ES62,2,0.5363
2013,NUTS,2010,ES62,2,0.545
2014,NUTS,2010,ES62,2,0.5377
2015,NUTS,2010,ES62,2,0.5778
2016,NUTS,2010,ES62,2,0.5796
2018,NUTS,2010,ES62,2,0.6686
2019,NUTS,2010,ES62,2,0.6833
2011,NUTS,2010,ES63,2,0.0897
2011,NUTS,2010,ES64,2,0.1357
2011,NUTS,2010,ES7,1,0.3481
2012,NUTS,2010,ES7,1,0.3343
2013,NUTS,2010,ES7,1,0.32
2014,NUTS,2010,ES7,1,0.3159
2015,NUTS,2010,ES7,1,0.307
2016,NUTS,2010,ES7,1,0.3231
2017,NUTS,2010,ES7,1,0.3299
2018,NUTS,2010,ES7,1,0.332
2011,NUTS,2010,ES70,2,0.3481
2012,NUTS,2010,ES70,2,0.3343
2013,NUTS,2010,ES70,2,0.32
2014,NUTS,2010,ES70,2,0.3159
2015,NUTS,2010,ES70,2,0.307
2016,NUTS,2010,ES70,2,0.3231
2017,NUTS,2010,ES70,2,0.3299
2018,NUTS,2010,ES70,2,0.332
2011,NUTS,2010,EU27_2020,7,0.497
2012,NUTS,2010,EU27_2020,7,0.5017
2013,NUTS,2010,EU27_2020,7,0.5133
2014,NUTS,2010,EU27_2020,7,0.5198
2015,NUTS,2010,EU27_2020,7,0.5228
2016,NUTS,2010,EU27_2020,7,0.5206
2017,NUTS,2010,EU27_2020,7,0.541
2018,NUTS,2010,EU27_2020,7,0.5541
2019,NUTS,2010,EU27_2020,7,0.5639
2011,NUTS,2010,FI,0,0.8826
2012,NUTS,2010,FI,0,0.8889
2013,NUTS,2010,FI,0,0.8634
2014,NUTS,2010,FI,0,0.86
2015,NUTS,2010,FI,0,0.8584
2016,NUTS,2010,FI,0,0.84
2017,NUTS,2010,FI,0,0.8615
2018,NUTS,2010,FI,0,0.8771
2019,NUTS,2010,FI,0,0.9159
2012,NUTS,2010,FI1,1,0.866
2015,NUTS,2010,FI1,1,0.8292
2016,NUTS,2010,FI1,1,0.8132
2017,NUTS,2010,FI1,1,0.833
2018,NUTS,2010,FI1,1,0.8472
2019,NUTS,2010,FI1,1,0.8829
2011,NUTS,2010,FI19,2,0.8157
2012,NUTS,2010,FI19,2,0.8182
2013,NUTS,2010,FI19,2,0.8353
2015,NUTS,2010,FI19,2,0.8051
2016,NUTS,2010,FI19,2,0.7737
2017,NUTS,2010,FI19,2,0.8055
2018,NUTS,2010,FI19,2,0.826
2019,NUTS,2010,FI19,2,0.8336
2011,NUTS,2010,FI1B,2,1.0093
2012,NUTS,2010,FI1B,2,0.9894
2013,NUTS,2010,FI1B,2,0.8832
2015,NUTS,2010,FI1B,2,0.9633
2016,NUTS,2010,FI1B,2,0.9257
2017,NUTS,2010,FI1B,2,0.9418
2018,NUTS,2010,FI1B,2,0.9039
2019,NUTS,2010,FI1B,2,0.9928
2011,NUTS,2010,FI1C,2,0.6666
2012,NUTS,2010,FI1C,2,0.6818
2013,NUTS,2010,FI1C,2,0.7066
2015,NUTS,2010,FI1C,2,0.6293
2016,NUTS,2010,FI1C,2,0.6427
2017,NUTS,2010,FI1C,2,0.6598
2018,NUTS,2010,FI1C,2,0.6814
2019,NUTS,2010,FI1C,2,0.719
2011,NUTS,2010,FI1D,2,0.8869
2012,NUTS,2010,FI1D,2,0.9158
2013,NUTS,2010,FI1D,2,0.8594
2015,NUTS,2010,FI1D,2,0.8433
2016,NUTS,2010,FI1D,2,0.8477
2017,NUTS,2010,FI1D,2,0.8605
2018,NUTS,2010,FI1D,2,0.9396
2019,NUTS,2010,FI1D,2,0.9213
2015,NUTS,2010,FI2,1,0.0793
2016,NUTS,2010,FI2,1,0.0854
2017,NUTS,2010,FI2,1,0.0994
2018,NUTS,2010,FI2,1,0.0629
2019,NUTS,2010,FI2,1,0.0774
2015,NUTS,2010,FI20,2,0.0793
2016,NUTS,2010,FI20,2,0.0854
2017,NUTS,2010,FI20,2,0.0994
2018,NUTS,2010,FI20,2,0.0629
2019,NUTS,2010,FI20,2,0.0774
2011,NUTS,2010,FR,0,0.3797
2012,NUTS,2010,FR,0,0.3802
2013,NUTS,2010,FR,0,0.3852
2014,NUTS,2010,FR,0,0.3856
2016,NUTS,2010,FR,0,0.4195
2017,NUTS,2010,FR,0,0.4207
2018,NUTS,2010,FR,0,0.4219
2011,NUTS,2010,HR,0,0.3923
2012,NUTS,2010,HR,0,0.3917
2013,NUTS,2010,HR,0,0.3941
2014,NUTS,2010,HR,0,0.3729
2015,NUTS,2010,HR,0,0.3924
2016,NUTS,2010,HR,0,0.4655
2017,NUTS,2010,HR,0,0.5011
2018,NUTS,2010,HR,0,0.5098
2019,NUTS,2010,HR,0,0.5712
2020,NUTS,2010,HR,0,0.5841
2011,NUTS,2010,HR0,1,0.3837
2012,NUTS,2010,HR0,1,0.3837
2013,NUTS,2010,HR0,1,0.3875
2014,NUTS,2010,HR0,1,0.368
2015,NUTS,2010,HR0,1,0.387
2016,NUTS,2010,HR0,1,0.4595
2017,NUTS,2010,HR0,1,0.4948
2018,NUTS,2010,HR0,1,0.5029
2019,NUTS,2010,HR0,1,0.5615
2020,NUTS,2010,HR0,1,0.575
2011,NUTS,2010,HR03,2,0.4227
2012,NUTS,2010,HR03,2,0.4223
2013,NUTS,2010,HR03,2,0.4224
2014,NUTS,2010,HR03,2,0.3934
2015,NUTS,2010,HR03,2,0.3787
2016,NUTS,2010,HR03,2,0.4323
2017,NUTS,2010,HR03,2,0.4792
2018,NUTS,2010,HR03,2,0.4937
2019,NUTS,2010,HR03,2,0.5687
2020,NUTS,2010,HR03,2,0.5821
2011,NUTS,2010,HR04,2,0.3658
2012,NUTS,2010,HR04,2,0.3658
2013,NUTS,2010,HR04,2,0.3717
2014,NUTS,2010,HR04,2,0.3556
2015,NUTS,2010,HR04,2,0.391
2016,NUTS,2010,HR04,2,0.4725
2017,NUTS,2010,HR04,2,0.5023
2018,NUTS,2010,HR04,2,0.5073
2019,NUTS,2010,HR04,2,0.5581
2011,NUTS,2010,HU,0,0.3937
2012,NUTS,2010,HU,0,0.3765
2013,NUTS,2010,HU,0,0.3612
2014,NUTS,2010,HU,0,0.3512
2015,NUTS,2010,HU,0,0.3395
2016,NUTS,2010,HU,0,0.3432
2017,NUTS,2010,HU,0,0.3692
2018,NUTS,2010,HU,0,0.4935
2019,NUTS,2010,HU,0,0.5208
2011,NUTS,2010,HU1,1,0.6078
2012,NUTS,2010,HU1,1,0.5763
2013,NUTS,2010,HU1,1,0.5663
2014,NUTS,2010,HU1,1,0.5546
2015,NUTS,2010,HU1,1,0.5366
2016,NUTS,2010,HU1,1,0.5412
2017,NUTS,2010,HU1,1,0.588
2018,NUTS,2010,HU1,1,0.8125
2019,NUTS,2010,HU1,1,0.8044
2011,NUTS,2010,HU10,2,0.6078
2012,NUTS,2010,HU10,2,0.5763
2013,NUTS,2010,HU10,2,0.5663
2014,NUTS,2010,HU10,2,0.5546
2015,NUTS,2010,HU10,2,0.5366
2016,NUTS,2010,HU10,2,0.5412
2017,NUTS,2010,HU11,2,0.9005
2018,NUTS,2010,HU11,2,1.2693
2019,NUTS,2010,HU11,2,1.3132
2017,NUTS,2010,HU12,2,0.1298
2018,NUTS,2010,HU12,2,0.1669
2019,NUTS,2010,HU12,2,0.1015
2011,NUTS,2010,HU2,1,0.2651
2012,NUTS,2010,HU2,1,0.2521
2013,NUTS,2010,HU2,1,0.2172
2014,NUTS,2010,HU2,1,0.2159
2015,NUTS,2010,HU2,1,0.2012
2016,NUTS,2010,HU2,1,0.2106
2017,NUTS,2010,HU2,1,0.2342
2018,NUTS,2010,HU2,1,0.3406
2019,NUTS,2010,HU2,1,0.3591
2011,NUTS,2010,HU21,2,0.1249
2012,NUTS,2010,HU21,2,0.1346
2013,NUTS,2010,HU21,2,0.1148
