year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_act_fte_rse_t
2014,NUTS,2010,CZ08,2,0.011
2015,NUTS,2010,CZ08,2,0.0119
2016,NUTS,2010,CZ08,2,0.0124
2017,NUTS,2010,CZ08,2,0.0119
2018,NUTS,2010,CZ08,2,0.0122
2019,NUTS,2010,CZ08,2,0.0132
2020,NUTS,2010,CZ08,2,0.0132
2011,NUTS,2010,DE,0,0.1363
2012,NUTS,2010,DE,0,0.1394
2013,NUTS,2010,DE,0,0.1414
2014,NUTS,2010,DE,0,0.1311
2015,NUTS,2010,DE,0,0.1335
2016,NUTS,2010,DE,0,0.1308
2017,NUTS,2010,DE,0,0.132
2018,NUTS,2010,DE,0,0.1379
2019,NUTS,2010,DE,0,0.1417
2020,NUTS,2010,DE,0,0.1479
2011,NUTS,2010,DE1,1,0.1576
2012,NUTS,2010,DE1,1,0.1556
2013,NUTS,2010,DE1,1,0.1557
2014,NUTS,2010,DE1,1,0.1513
2015,NUTS,2010,DE1,1,0.1554
2016,NUTS,2010,DE1,1,0.1414
2017,NUTS,2010,DE1,1,0.1403
2018,NUTS,2010,DE1,1,0.1449
2019,NUTS,2010,DE1,1,0.1462
2011,NUTS,2010,DE11,2,0.1013
2012,NUTS,2010,DE11,2,0.0948
2013,NUTS,2010,DE11,2,0.0921
2014,NUTS,2010,DE11,2,0.093
2015,NUTS,2010,DE11,2,0.0903
2016,NUTS,2010,DE11,2,0.088
2017,NUTS,2010,DE11,2,0.0779
2018,NUTS,2010,DE11,2,0.0814
2019,NUTS,2010,DE11,2,0.0825
2011,NUTS,2010,DE12,2,0.3499
2012,NUTS,2010,DE12,2,0.3508
2013,NUTS,2010,DE12,2,0.3557
2014,NUTS,2010,DE12,2,0.3642
2015,NUTS,2010,DE12,2,0.3805
2016,NUTS,2010,DE12,2,0.3307
2017,NUTS,2010,DE12,2,0.3337
2018,NUTS,2010,DE12,2,0.3385
2019,NUTS,2010,DE12,2,0.3381
2011,NUTS,2010,DE13,2,0.112
2012,NUTS,2010,DE13,2,0.1102
2013,NUTS,2010,DE13,2,0.1063
2014,NUTS,2010,DE13,2,0.0857
2015,NUTS,2010,DE13,2,0.0851
2016,NUTS,2010,DE13,2,0.0845
2017,NUTS,2010,DE13,2,0.0895
2018,NUTS,2010,DE13,2,0.0924
2019,NUTS,2010,DE13,2,0.0978
2011,NUTS,2010,DE14,2,0.0534
2012,NUTS,2010,DE14,2,0.0551
2013,NUTS,2010,DE14,2,0.0579
2014,NUTS,2010,DE14,2,0.0451
2015,NUTS,2010,DE14,2,0.0537
2016,NUTS,2010,DE14,2,0.0539
2017,NUTS,2010,DE14,2,0.0579
2018,NUTS,2010,DE14,2,0.065
2019,NUTS,2010,DE14,2,0.0607
2011,NUTS,2010,DE2,1,0.1107
2012,NUTS,2010,DE2,1,0.1132
2013,NUTS,2010,DE2,1,0.1172
2014,NUTS,2010,DE2,1,0.11
2015,NUTS,2010,DE2,1,0.1106
2016,NUTS,2010,DE2,1,0.1075
2017,NUTS,2010,DE2,1,0.1067
2018,NUTS,2010,DE2,1,0.1121
2019,NUTS,2010,DE2,1,0.1144
2011,NUTS,2010,DE21,2,0.251
2012,NUTS,2010,DE21,2,0.2553
2013,NUTS,2010,DE21,2,0.2614
2014,NUTS,2010,DE21,2,0.2475
2015,NUTS,2010,DE21,2,0.2417
2016,NUTS,2010,DE21,2,0.2333
2017,NUTS,2010,DE21,2,0.2277
2018,NUTS,2010,DE21,2,0.2379
2019,NUTS,2010,DE21,2,0.239
2015,NUTS,2010,DE22,2,0.0057
2016,NUTS,2010,DE22,2,0.005
2017,NUTS,2010,DE22,2,0.0048
2018,NUTS,2010,DE22,2,0.0054
2019,NUTS,2010,DE22,2,0.0062
2015,NUTS,2010,DE23,2,0.0147
2016,NUTS,2010,DE23,2,0.0161
2017,NUTS,2010,DE23,2,0.0146
2018,NUTS,2010,DE23,2,0.0165
2019,NUTS,2010,DE23,2,0.0161
2011,NUTS,2010,DE24,2,0.0182
2012,NUTS,2010,DE24,2,0.0192
2013,NUTS,2010,DE24,2,0.0177
2014,NUTS,2010,DE24,2,0.0304
2015,NUTS,2010,DE24,2,0.0344
2016,NUTS,2010,DE24,2,0.0233
2017,NUTS,2010,DE24,2,0.0347
2018,NUTS,2010,DE24,2,0.0339
2019,NUTS,2010,DE24,2,0.0327
2011,NUTS,2010,DE25,2,0.1021
2012,NUTS,2010,DE25,2,0.0951
2013,NUTS,2010,DE25,2,0.1144
2014,NUTS,2010,DE25,2,0.0905
2015,NUTS,2010,DE25,2,0.0973
2016,NUTS,2010,DE25,2,0.1002
2017,NUTS,2010,DE25,2,0.1009
2018,NUTS,2010,DE25,2,0.1098
2019,NUTS,2010,DE25,2,0.1193
2011,NUTS,2010,DE26,2,0.0364
2012,NUTS,2010,DE26,2,0.0327
2013,NUTS,2010,DE26,2,0.031
2014,NUTS,2010,DE26,2,0.0208
2015,NUTS,2010,DE26,2,0.023
2016,NUTS,2010,DE26,2,0.0237
2017,NUTS,2010,DE26,2,0.0226
2018,NUTS,2010,DE26,2,0.0234
2019,NUTS,2010,DE26,2,0.0229
2011,NUTS,2010,DE27,2,0.014
2012,NUTS,2010,DE27,2,0.015
2013,NUTS,2010,DE27,2,0.017
2014,NUTS,2010,DE27,2,0.02
2015,NUTS,2010,DE27,2,0.0217
2016,NUTS,2010,DE27,2,0.0201
2017,NUTS,2010,DE27,2,0.0225
2018,NUTS,2010,DE27,2,0.0282
2019,NUTS,2010,DE27,2,0.0308
2011,NUTS,2010,DE3,1,0.3684
2012,NUTS,2010,DE3,1,0.3746
2013,NUTS,2010,DE3,1,0.3656
2014,NUTS,2010,DE3,1,0.3175
2015,NUTS,2010,DE3,1,0.3206
2016,NUTS,2010,DE3,1,0.318
2017,NUTS,2010,DE3,1,0.3251
2018,NUTS,2010,DE3,1,0.343
2019,NUTS,2010,DE3,1,0.3572
2011,NUTS,2010,DE30,2,0.3684
2012,NUTS,2010,DE30,2,0.3746
2013,NUTS,2010,DE30,2,0.3656
2014,NUTS,2010,DE30,2,0.3175
2015,NUTS,2010,DE30,2,0.3206
2016,NUTS,2010,DE30,2,0.318
2017,NUTS,2010,DE30,2,0.3251
2018,NUTS,2010,DE30,2,0.343
2019,NUTS,2010,DE30,2,0.3572
2011,NUTS,2010,DE4,1,0.1803
2012,NUTS,2010,DE4,1,0.1903
2013,NUTS,2010,DE4,1,0.198
2014,NUTS,2010,DE4,1,0.1873
2015,NUTS,2010,DE4,1,0.1754
2016,NUTS,2010,DE4,1,0.1787
2017,NUTS,2010,DE4,1,0.1855
2018,NUTS,2010,DE4,1,0.1864
2019,NUTS,2010,DE4,1,0.2023
2011,NUTS,2010,DE40,2,0.1803
2012,NUTS,2010,DE40,2,0.1903
2013,NUTS,2010,DE40,2,0.198
2014,NUTS,2010,DE40,2,0.1873
2015,NUTS,2010,DE40,2,0.1754
