year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrsto_ths
2020,NUTS,2010,AT32,2,100.9
2011,NUTS,2010,AT33,2,105.0
2012,NUTS,2010,AT33,2,119.4
2013,NUTS,2010,AT33,2,121.3
2014,NUTS,2010,AT33,2,119.8
2015,NUTS,2010,AT33,2,122.3
2016,NUTS,2010,AT33,2,122.6
2017,NUTS,2010,AT33,2,124.1
2018,NUTS,2010,AT33,2,133.5
2019,NUTS,2010,AT33,2,136.5
2020,NUTS,2010,AT33,2,139.8
2011,NUTS,2010,AT34,2,57.9
2012,NUTS,2010,AT34,2,62.7
2013,NUTS,2010,AT34,2,64.4
2014,NUTS,2010,AT34,2,62.6
2015,NUTS,2010,AT34,2,65.9
2016,NUTS,2010,AT34,2,70.2
2017,NUTS,2010,AT34,2,67.3
2018,NUTS,2010,AT34,2,66.7
2019,NUTS,2010,AT34,2,67.1
2020,NUTS,2010,AT34,2,70.4
2011,NUTS,2010,BE,0,1632.4
2012,NUTS,2010,BE,0,1645.0
2013,NUTS,2010,BE,0,1639.8
2014,NUTS,2010,BE,0,1704.2
2015,NUTS,2010,BE,0,1694.6
2016,NUTS,2010,BE,0,1716.4
2017,NUTS,2010,BE,0,1831.5
2018,NUTS,2010,BE,0,1865.7
2019,NUTS,2010,BE,0,1890.7
2020,NUTS,2010,BE,0,1957.7
2011,NUTS,2010,BE1,1,168.2
2012,NUTS,2010,BE1,1,160.8
2013,NUTS,2010,BE1,1,159.0
2014,NUTS,2010,BE1,1,177.7
2015,NUTS,2010,BE1,1,179.5
2016,NUTS,2010,BE1,1,185.7
2017,NUTS,2010,BE1,1,197.7
2018,NUTS,2010,BE1,1,211.5
2019,NUTS,2010,BE1,1,208.3
2020,NUTS,2010,BE1,1,219.5
2011,NUTS,2010,BE10,2,168.2
2012,NUTS,2010,BE10,2,160.8
2013,NUTS,2010,BE10,2,159.0
2014,NUTS,2010,BE10,2,177.7
2015,NUTS,2010,BE10,2,179.5
2016,NUTS,2010,BE10,2,185.7
2017,NUTS,2010,BE10,2,197.7
2018,NUTS,2010,BE10,2,211.5
2019,NUTS,2010,BE10,2,208.3
2020,NUTS,2010,BE10,2,219.5
2011,NUTS,2010,BE2,1,1003.0
2012,NUTS,2010,BE2,1,998.0
2013,NUTS,2010,BE2,1,999.5
2014,NUTS,2010,BE2,1,1042.6
2015,NUTS,2010,BE2,1,1027.4
2016,NUTS,2010,BE2,1,1041.4
2017,NUTS,2010,BE2,1,1119.5
2018,NUTS,2010,BE2,1,1122.5
2019,NUTS,2010,BE2,1,1134.9
2020,NUTS,2010,BE2,1,1177.7
2011,NUTS,2010,BE21,2,269.8
2012,NUTS,2010,BE21,2,279.1
2013,NUTS,2010,BE21,2,288.1
2014,NUTS,2010,BE21,2,312.8
2015,NUTS,2010,BE21,2,284.2
2016,NUTS,2010,BE21,2,279.6
2017,NUTS,2010,BE21,2,301.4
2018,NUTS,2010,BE21,2,314.4
2019,NUTS,2010,BE21,2,313.7
2020,NUTS,2010,BE21,2,312.3
2011,NUTS,2010,BE22,2,128.1
2012,NUTS,2010,BE22,2,130.3
2013,NUTS,2010,BE22,2,130.9
2014,NUTS,2010,BE22,2,132.6
2015,NUTS,2010,BE22,2,139.7
2016,NUTS,2010,BE22,2,131.6
2017,NUTS,2010,BE22,2,141.0
2018,NUTS,2010,BE22,2,137.4
2019,NUTS,2010,BE22,2,147.4
2020,NUTS,2010,BE22,2,153.6
2011,NUTS,2010,BE23,2,242.4
2012,NUTS,2010,BE23,2,237.4
2013,NUTS,2010,BE23,2,240.5
2014,NUTS,2010,BE23,2,239.4
2015,NUTS,2010,BE23,2,244.4
2016,NUTS,2010,BE23,2,255.6
2017,NUTS,2010,BE23,2,269.8
2018,NUTS,2010,BE23,2,276.7
2019,NUTS,2010,BE23,2,271.1
2020,NUTS,2010,BE23,2,290.6
2011,NUTS,2010,BE24,2,195.1
2012,NUTS,2010,BE24,2,195.9
2013,NUTS,2010,BE24,2,186.9
2014,NUTS,2010,BE24,2,197.0
2015,NUTS,2010,BE24,2,200.0
2016,NUTS,2010,BE24,2,205.2
2017,NUTS,2010,BE24,2,222.2
2018,NUTS,2010,BE24,2,215.7
2019,NUTS,2010,BE24,2,226.3
2020,NUTS,2010,BE24,2,237.3
2011,NUTS,2010,BE25,2,167.6
2012,NUTS,2010,BE25,2,155.3
2013,NUTS,2010,BE25,2,153.0
2014,NUTS,2010,BE25,2,160.8
2015,NUTS,2010,BE25,2,159.2
2016,NUTS,2010,BE25,2,169.4
2017,NUTS,2010,BE25,2,185.0
2018,NUTS,2010,BE25,2,178.4
2019,NUTS,2010,BE25,2,176.4
2020,NUTS,2010,BE25,2,183.9
2011,NUTS,2010,BE3,1,461.2
2012,NUTS,2010,BE3,1,486.2
2013,NUTS,2010,BE3,1,481.3
2014,NUTS,2010,BE3,1,483.9
2015,NUTS,2010,BE3,1,487.7
2016,NUTS,2010,BE3,1,489.2
2017,NUTS,2010,BE3,1,514.3
2018,NUTS,2010,BE3,1,531.7
2019,NUTS,2010,BE3,1,547.5
2020,NUTS,2010,BE3,1,560.4
2011,NUTS,2010,BE31,2,70.8
2012,NUTS,2010,BE31,2,70.7
2013,NUTS,2010,BE31,2,73.0
2014,NUTS,2010,BE31,2,67.6
2015,NUTS,2010,BE31,2,72.4
2016,NUTS,2010,BE31,2,69.2
2017,NUTS,2010,BE31,2,76.6
2018,NUTS,2010,BE31,2,75.3
2019,NUTS,2010,BE31,2,79.3
2020,NUTS,2010,BE31,2,82.8
2011,NUTS,2010,BE32,2,148.4
2012,NUTS,2010,BE32,2,160.9
2013,NUTS,2010,BE32,2,157.2
2014,NUTS,2010,BE32,2,156.6
2015,NUTS,2010,BE32,2,156.0
2016,NUTS,2010,BE32,2,164.2
2017,NUTS,2010,BE32,2,167.0
2018,NUTS,2010,BE32,2,169.9
2019,NUTS,2010,BE32,2,176.0
2020,NUTS,2010,BE32,2,174.9
2011,NUTS,2010,BE33,2,137.8
2012,NUTS,2010,BE33,2,145.0
2013,NUTS,2010,BE33,2,147.3
2014,NUTS,2010,BE33,2,145.9
2015,NUTS,2010,BE33,2,145.9
2016,NUTS,2010,BE33,2,147.0
2017,NUTS,2010,BE33,2,150.5
2018,NUTS,2010,BE33,2,163.0
2019,NUTS,2010,BE33,2,170.3
2020,NUTS,2010,BE33,2,173.3
2011,NUTS,2010,BE34,2,35.4
2012,NUTS,2010,BE34,2,37.3
2013,NUTS,2010,BE34,2,35.4
2014,NUTS,2010,BE34,2,38.4
2015,NUTS,2010,BE34,2,41.5
2016,NUTS,2010,BE34,2,39.1
2017,NUTS,2010,BE34,2,39.9
2018,NUTS,2010,BE34,2,42.8
2019,NUTS,2010,BE34,2,44.4
2020,NUTS,2010,BE34,2,46.0
2011,NUTS,2010,BE35,2,68.8
2012,NUTS,2010,BE35,2,72.4
2013,NUTS,2010,BE35,2,68.3
2014,NUTS,2010,BE35,2,75.4
2015,NUTS,2010,BE35,2,71.9
2016,NUTS,2010,BE35,2,69.7
2017,NUTS,2010,BE35,2,80.2
2018,NUTS,2010,BE35,2,80.8
2019,NUTS,2010,BE35,2,77.5
2020,NUTS,2010,BE35,2,83.5
2011,NUTS,2010,BG,0,697.3
2012,NUTS,2010,BG,0,687.7
2013,NUTS,2010,BG,0,713.9
2014,NUTS,2010,BG,0,763.6
2015,NUTS,2010,BG,0,795.5
2016,NUTS,2010,BG,0,795.3
2017,NUTS,2010,BG,0,806.2
2018,NUTS,2010,BG,0,820.1
2019,NUTS,2010,BG,0,835.7
2020,NUTS,2010,BG,0,854.0
2011,NUTS,2010,BG3,1,291.6
2012,NUTS,2010,BG3,1,292.2
2013,NUTS,2010,BG3,1,292.2
2014,NUTS,2010,BG3,1,303.7
2015,NUTS,2010,BG3,1,311.7
2016,NUTS,2010,BG3,1,314.3
2017,NUTS,2010,BG3,1,323.7
2018,NUTS,2010,BG3,1,331.6
2019,NUTS,2010,BG3,1,327.8
2020,NUTS,2010,BG3,1,330.7
2011,NUTS,2010,BG31,2,58.8
2012,NUTS,2010,BG31,2,57.5
2013,NUTS,2010,BG31,2,59.6
2014,NUTS,2010,BG31,2,65.7
2015,NUTS,2010,BG31,2,68.2
2016,NUTS,2010,BG31,2,61.1
2017,NUTS,2010,BG31,2,61.3
2018,NUTS,2010,BG31,2,64.4
2019,NUTS,2010,BG31,2,62.7
2020,NUTS,2010,BG31,2,65.2
2011,NUTS,2010,BG32,2,68.4
2012,NUTS,2010,BG32,2,70.2
2013,NUTS,2010,BG32,2,68.0
2014,NUTS,2010,BG32,2,68.1
2015,NUTS,2010,BG32,2,68.2
2016,NUTS,2010,BG32,2,71.4
2017,NUTS,2010,BG32,2,69.4
2018,NUTS,2010,BG32,2,73.9
2019,NUTS,2010,BG32,2,81.5
2020,NUTS,2010,BG32,2,80.7
2011,NUTS,2010,BG33,2,80.3
2012,NUTS,2010,BG33,2,77.4
2013,NUTS,2010,BG33,2,80.0
2014,NUTS,2010,BG33,2,90.6
2015,NUTS,2010,BG33,2,91.9
2016,NUTS,2010,BG33,2,93.9
2017,NUTS,2010,BG33,2,96.5
2018,NUTS,2010,BG33,2,90.2
2019,NUTS,2010,BG33,2,82.7
2020,NUTS,2010,BG33,2,89.2
2011,NUTS,2010,BG34,2,84.2
2012,NUTS,2010,BG34,2,87.1
2013,NUTS,2010,BG34,2,84.7
2014,NUTS,2010,BG34,2,79.3
2015,NUTS,2010,BG34,2,83.4
2016,NUTS,2010,BG34,2,87.9
2017,NUTS,2010,BG34,2,96.5
2018,NUTS,2010,BG34,2,103.1
2019,NUTS,2010,BG34,2,100.9
2020,NUTS,2010,BG34,2,95.5
2011,NUTS,2010,BG4,1,405.6
2012,NUTS,2010,BG4,1,395.4
2013,NUTS,2010,BG4,1,421.7
2014,NUTS,2010,BG4,1,460.0
2015,NUTS,2010,BG4,1,483.8
2016,NUTS,2010,BG4,1,481.1
2017,NUTS,2010,BG4,1,482.5
2018,NUTS,2010,BG4,1,488.5
2019,NUTS,2010,BG4,1,507.8
2020,NUTS,2010,BG4,1,523.3
2011,NUTS,2010,BG41,2,295.6
2012,NUTS,2010,BG41,2,291.1
2013,NUTS,2010,BG41,2,304.6
2014,NUTS,2010,BG41,2,332.4
2015,NUTS,2010,BG41,2,356.4
2016,NUTS,2010,BG41,2,361.6
2017,NUTS,2010,BG41,2,359.8
2018,NUTS,2010,BG41,2,361.0
2019,NUTS,2010,BG41,2,378.5
2020,NUTS,2010,BG41,2,399.7
2011,NUTS,2010,BG42,2,110.1
2012,NUTS,2010,BG42,2,104.3
2013,NUTS,2010,BG42,2,117.1
2014,NUTS,2010,BG42,2,127.6
2015,NUTS,2010,BG42,2,127.4
2016,NUTS,2010,BG42,2,119.5
2017,NUTS,2010,BG42,2,122.6
2018,NUTS,2010,BG42,2,127.5
2019,NUTS,2010,BG42,2,129.3
2020,NUTS,2010,BG42,2,123.5
2011,NUTS,2010,CH,0,1582.6
2012,NUTS,2010,CH,0,1636.6
2013,NUTS,2010,CH,0,1700.2
2014,NUTS,2010,CH,0,1758.9
2015,NUTS,2010,CH,0,1811.7
2016,NUTS,2010,CH,0,1889.7
2017,NUTS,2010,CH,0,1919.8
2018,NUTS,2010,CH,0,1972.1
2019,NUTS,2010,CH,0,2038.4
2020,NUTS,2010,CH,0,2040.4
2011,NUTS,2010,CH0,1,1582.6
2012,NUTS,2010,CH0,1,1636.6
2013,NUTS,2010,CH0,1,1700.2
2014,NUTS,2010,CH0,1,1758.9
2015,NUTS,2010,CH0,1,1811.7
2016,NUTS,2010,CH0,1,1889.7
2017,NUTS,2010,CH0,1,1919.8
2018,NUTS,2010,CH0,1,1972.1
2019,NUTS,2010,CH0,1,2038.4
2020,NUTS,2010,CH0,1,2040.4
2011,NUTS,2010,CH01,2,289.5
2012,NUTS,2010,CH01,2,300.0
2013,NUTS,2010,CH01,2,306.0
2014,NUTS,2010,CH01,2,317.8
2015,NUTS,2010,CH01,2,329.7
2016,NUTS,2010,CH01,2,341.0
2017,NUTS,2010,CH01,2,355.2
2018,NUTS,2010,CH01,2,359.4
2019,NUTS,2010,CH01,2,366.0
2020,NUTS,2010,CH01,2,365.1
2011,NUTS,2010,CH02,2,332.8
2012,NUTS,2010,CH02,2,344.1
2013,NUTS,2010,CH02,2,362.2
2014,NUTS,2010,CH02,2,375.5
2015,NUTS,2010,CH02,2,380.8
2016,NUTS,2010,CH02,2,387.2
2017,NUTS,2010,CH02,2,395.0
2018,NUTS,2010,CH02,2,402.5
2019,NUTS,2010,CH02,2,415.4
2020,NUTS,2010,CH02,2,414.1
2011,NUTS,2010,CH03,2,225.1
2012,NUTS,2010,CH03,2,233.3
2013,NUTS,2010,CH03,2,251.9
2014,NUTS,2010,CH03,2,253.7
2015,NUTS,2010,CH03,2,264.6
2016,NUTS,2010,CH03,2,271.2
2017,NUTS,2010,CH03,2,268.1
2018,NUTS,2010,CH03,2,277.3
2019,NUTS,2010,CH03,2,288.7
2020,NUTS,2010,CH03,2,287.3
2011,NUTS,2010,CH04,2,328.2
2012,NUTS,2010,CH04,2,347.5
2013,NUTS,2010,CH04,2,356.0
2014,NUTS,2010,CH04,2,363.8
2015,NUTS,2010,CH04,2,373.3
2016,NUTS,2010,CH04,2,403.6
2017,NUTS,2010,CH04,2,408.3
2018,NUTS,2010,CH04,2,422.5
2019,NUTS,2010,CH04,2,443.9
2020,NUTS,2010,CH04,2,451.6
2011,NUTS,2010,CH05,2,200.3
2012,NUTS,2010,CH05,2,203.0
2013,NUTS,2010,CH05,2,210.9
2014,NUTS,2010,CH05,2,221.8
2015,NUTS,2010,CH05,2,228.5
2016,NUTS,2010,CH05,2,239.3
2017,NUTS,2010,CH05,2,241.5
2018,NUTS,2010,CH05,2,252.2
2019,NUTS,2010,CH05,2,263.7
2020,NUTS,2010,CH05,2,262.4
2011,NUTS,2010,CH06,2,147.1
2012,NUTS,2010,CH06,2,150.9
2013,NUTS,2010,CH06,2,155.1
2014,NUTS,2010,CH06,2,165.0
2015,NUTS,2010,CH06,2,170.8
2016,NUTS,2010,CH06,2,182.3
2017,NUTS,2010,CH06,2,183.3
2018,NUTS,2010,CH06,2,185.3
2019,NUTS,2010,CH06,2,189.4
2020,NUTS,2010,CH06,2,191.9
2011,NUTS,2010,CH07,2,59.6
2012,NUTS,2010,CH07,2,57.8
2013,NUTS,2010,CH07,2,58.0
2014,NUTS,2010,CH07,2,61.3
2015,NUTS,2010,CH07,2,64.0
2016,NUTS,2010,CH07,2,65.1
2017,NUTS,2010,CH07,2,68.4
2018,NUTS,2010,CH07,2,72.9
2019,NUTS,2010,CH07,2,71.3
2020,NUTS,2010,CH07,2,68.0
2011,NUTS,2010,CY,0,118.7
2012,NUTS,2010,CY,0,119.3
2013,NUTS,2010,CY,0,113.7
2014,NUTS,2010,CY,0,115.2
2015,NUTS,2010,CY,0,112.3
2016,NUTS,2010,CY,0,111.9
2017,NUTS,2010,CY,0,119.8
2018,NUTS,2010,CY,0,126.5
2019,NUTS,2010,CY,0,129.9
2020,NUTS,2010,CY,0,132.7
2011,NUTS,2010,CY0,1,118.7
2012,NUTS,2010,CY0,1,119.3
2013,NUTS,2010,CY0,1,113.7
2014,NUTS,2010,CY0,1,115.2
2015,NUTS,2010,CY0,1,112.3
2016,NUTS,2010,CY0,1,111.9
2017,NUTS,2010,CY0,1,119.8
2018,NUTS,2010,CY0,1,126.5
2019,NUTS,2010,CY0,1,129.9
2020,NUTS,2010,CY0,1,132.7
2011,NUTS,2010,CY00,2,118.7
2012,NUTS,2010,CY00,2,119.3
2013,NUTS,2010,CY00,2,113.7
2014,NUTS,2010,CY00,2,115.2
2015,NUTS,2010,CY00,2,112.3
2016,NUTS,2010,CY00,2,111.9
2017,NUTS,2010,CY00,2,119.8
2018,NUTS,2010,CY00,2,126.5
2019,NUTS,2010,CY00,2,129.9
2020,NUTS,2010,CY00,2,132.7
2011,NUTS,2010,CZ,0,1553.3
2012,NUTS,2010,CZ,0,1570.2
2013,NUTS,2010,CZ,0,1591.2
2014,NUTS,2010,CZ,0,1621.0
2015,NUTS,2010,CZ,0,1614.4
2016,NUTS,2010,CZ,0,1664.9
2017,NUTS,2010,CZ,0,1726.8
2018,NUTS,2010,CZ,0,1760.8
2019,NUTS,2010,CZ,0,1756.5
2020,NUTS,2010,CZ,0,1796.6
2011,NUTS,2010,CZ0,1,1553.3
2012,NUTS,2010,CZ0,1,1570.2
2013,NUTS,2010,CZ0,1,1591.2
2014,NUTS,2010,CZ0,1,1621.0
2015,NUTS,2010,CZ0,1,1614.4
2016,NUTS,2010,CZ0,1,1664.9
2017,NUTS,2010,CZ0,1,1726.8
2018,NUTS,2010,CZ0,1,1760.8
2019,NUTS,2010,CZ0,1,1756.5
2020,NUTS,2010,CZ0,1,1796.6
2011,NUTS,2010,CZ01,2,316.6
2012,NUTS,2010,CZ01,2,325.0
2013,NUTS,2010,CZ01,2,321.7
2014,NUTS,2010,CZ01,2,312.6
2015,NUTS,2010,CZ01,2,299.9
2016,NUTS,2010,CZ01,2,323.9
2017,NUTS,2010,CZ01,2,339.2
2018,NUTS,2010,CZ01,2,351.6
2019,NUTS,2010,CZ01,2,371.6
2020,NUTS,2010,CZ01,2,387.2
2011,NUTS,2010,CZ02,2,189.6
2012,NUTS,2010,CZ02,2,203.5
2013,NUTS,2010,CZ02,2,202.3
2014,NUTS,2010,CZ02,2,204.2
2015,NUTS,2010,CZ02,2,205.7
2016,NUTS,2010,CZ02,2,201.1
2017,NUTS,2010,CZ02,2,218.0
2018,NUTS,2010,CZ02,2,233.3
2019,NUTS,2010,CZ02,2,231.5
2020,NUTS,2010,CZ02,2,229.0
2011,NUTS,2010,CZ03,2,163.9
2012,NUTS,2010,CZ03,2,167.2
2013,NUTS,2010,CZ03,2,171.8
2014,NUTS,2010,CZ03,2,169.6
2015,NUTS,2010,CZ03,2,165.0
2016,NUTS,2010,CZ03,2,171.0
2017,NUTS,2010,CZ03,2,177.3
2018,NUTS,2010,CZ03,2,175.6
2019,NUTS,2010,CZ03,2,176.4
2020,NUTS,2010,CZ03,2,172.6
2011,NUTS,2010,CZ04,2,129.4
2012,NUTS,2010,CZ04,2,130.1
2013,NUTS,2010,CZ04,2,133.2
2014,NUTS,2010,CZ04,2,131.7
2015,NUTS,2010,CZ04,2,134.6
2016,NUTS,2010,CZ04,2,139.6
2017,NUTS,2010,CZ04,2,135.0
2018,NUTS,2010,CZ04,2,141.9
2019,NUTS,2010,CZ04,2,140.9
2020,NUTS,2010,CZ04,2,137.9
2011,NUTS,2010,CZ05,2,196.5
2012,NUTS,2010,CZ05,2,195.1
2013,NUTS,2010,CZ05,2,201.6
2014,NUTS,2010,CZ05,2,214.9
2015,NUTS,2010,CZ05,2,212.2
2016,NUTS,2010,CZ05,2,219.8
2017,NUTS,2010,CZ05,2,224.1
2018,NUTS,2010,CZ05,2,224.1
2019,NUTS,2010,CZ05,2,221.2
2020,NUTS,2010,CZ05,2,222.1
2011,NUTS,2010,CZ06,2,244.7
2012,NUTS,2010,CZ06,2,245.2
2013,NUTS,2010,CZ06,2,257.0
2014,NUTS,2010,CZ06,2,270.5
2015,NUTS,2010,CZ06,2,270.8
2016,NUTS,2010,CZ06,2,265.4
2017,NUTS,2010,CZ06,2,272.9
2018,NUTS,2010,CZ06,2,278.4
2019,NUTS,2010,CZ06,2,282.7
2020,NUTS,2010,CZ06,2,299.4
2011,NUTS,2010,CZ07,2,154.1
2012,NUTS,2010,CZ07,2,152.0
2013,NUTS,2010,CZ07,2,147.1
2014,NUTS,2010,CZ07,2,156.7
2015,NUTS,2010,CZ07,2,161.1
2016,NUTS,2010,CZ07,2,168.7
2017,NUTS,2010,CZ07,2,169.1
2018,NUTS,2010,CZ07,2,173.4
2019,NUTS,2010,CZ07,2,160.6
2020,NUTS,2010,CZ07,2,171.3
2011,NUTS,2010,CZ08,2,158.6
2012,NUTS,2010,CZ08,2,152.1
2013,NUTS,2010,CZ08,2,156.5
2014,NUTS,2010,CZ08,2,160.6
2015,NUTS,2010,CZ08,2,165.2
2016,NUTS,2010,CZ08,2,175.5
2017,NUTS,2010,CZ08,2,191.0
2018,NUTS,2010,CZ08,2,182.5
2019,NUTS,2010,CZ08,2,171.5
2020,NUTS,2010,CZ08,2,177.2
2011,NUTS,2010,DE,0,14599.5
2012,NUTS,2010,DE,0,14993.7
2013,NUTS,2010,DE,0,15243.9
2014,NUTS,2010,DE,0,15532.5
2015,NUTS,2010,DE,0,15892.9
2016,NUTS,2010,DE,0,16400.5
2017,NUTS,2010,DE,0,16633.7
2018,NUTS,2010,DE,0,16896.3
2019,NUTS,2010,DE,0,17399.7
2020,NUTS,2010,DE,0,16630.4
2011,NUTS,2010,DE1,1,2055.3
2012,NUTS,2010,DE1,1,2097.9
2013,NUTS,2010,DE1,1,2149.1
2014,NUTS,2010,DE1,1,2197.2
2015,NUTS,2010,DE1,1,2254.6
2016,NUTS,2010,DE1,1,2325.7
2017,NUTS,2010,DE1,1,2346.4
2018,NUTS,2010,DE1,1,2371.2
2019,NUTS,2010,DE1,1,2473.8
2020,NUTS,2010,DE1,1,2360.2
2011,NUTS,2010,DE11,2,768.1
2012,NUTS,2010,DE11,2,782.8
2013,NUTS,2010,DE11,2,793.1
2014,NUTS,2010,DE11,2,828.6
2015,NUTS,2010,DE11,2,867.9
2016,NUTS,2010,DE11,2,901.8
2017,NUTS,2010,DE11,2,897.4
2018,NUTS,2010,DE11,2,911.8
2019,NUTS,2010,DE11,2,952.3
2020,NUTS,2010,DE11,2,905.5
2011,NUTS,2010,DE12,2,531.3
2012,NUTS,2010,DE12,2,547.2
2013,NUTS,2010,DE12,2,561.8
2014,NUTS,2010,DE12,2,563.0
2015,NUTS,2010,DE12,2,579.0
2016,NUTS,2010,DE12,2,584.4
2017,NUTS,2010,DE12,2,594.6
2018,NUTS,2010,DE12,2,603.1
2019,NUTS,2010,DE12,2,630.5
2020,NUTS,2010,DE12,2,615.2
2011,NUTS,2010,DE13,2,413.8
2012,NUTS,2010,DE13,2,413.4
2013,NUTS,2010,DE13,2,420.3
2014,NUTS,2010,DE13,2,430.6
2015,NUTS,2010,DE13,2,429.9
2016,NUTS,2010,DE13,2,452.9
2017,NUTS,2010,DE13,2,462.5
2018,NUTS,2010,DE13,2,468.4
2019,NUTS,2010,DE13,2,484.9
2020,NUTS,2010,DE13,2,436.1
2011,NUTS,2010,DE14,2,342.1
2012,NUTS,2010,DE14,2,354.5
2013,NUTS,2010,DE14,2,373.8
2014,NUTS,2010,DE14,2,375.1
2015,NUTS,2010,DE14,2,377.9
2016,NUTS,2010,DE14,2,386.5
2017,NUTS,2010,DE14,2,391.8
2018,NUTS,2010,DE14,2,387.9
2019,NUTS,2010,DE14,2,406.2
2020,NUTS,2010,DE14,2,403.3
2011,NUTS,2010,DE2,1,2361.6
2012,NUTS,2010,DE2,1,2500.3
2013,NUTS,2010,DE2,1,2550.9
2014,NUTS,2010,DE2,1,2614.2
2015,NUTS,2010,DE2,1,2663.7
2016,NUTS,2010,DE2,1,2722.2
2017,NUTS,2010,DE2,1,2768.2
