year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2015,NUTS,2010,BG4,1,1.1708
2016,NUTS,2010,BG4,1,1.3948
2017,NUTS,2010,BG4,1,1.2931
2018,NUTS,2010,BG4,1,1.3683
2019,NUTS,2010,BG4,1,1.3778
2011,NUTS,2010,BG41,2,1.3667
2012,NUTS,2010,BG41,2,1.3974
2013,NUTS,2010,BG41,2,1.387
2014,NUTS,2010,BG41,2,1.4893
2015,NUTS,2010,BG41,2,1.5727
2016,NUTS,2010,BG41,2,1.9051
2017,NUTS,2010,BG41,2,1.7459
2018,NUTS,2010,BG41,2,1.8287
2019,NUTS,2010,BG41,2,1.7954
2011,NUTS,2010,BG42,2,0.3272
2012,NUTS,2010,BG42,2,0.3323
2013,NUTS,2010,BG42,2,0.3505
2014,NUTS,2010,BG42,2,0.3943
2015,NUTS,2010,BG42,2,0.4839
2016,NUTS,2010,BG42,2,0.5033
2017,NUTS,2010,BG42,2,0.5277
2018,NUTS,2010,BG42,2,0.5654
2019,NUTS,2010,BG42,2,0.6595
2012,NUTS,2010,CH,0,2.0076
2015,NUTS,2010,CH,0,1.9648
2017,NUTS,2010,CH,0,2.0154
2019,NUTS,2010,CH,0,2.1292
2011,NUTS,2010,CY,0,0.5639
2012,NUTS,2010,CY,0,0.552
2013,NUTS,2010,CY,0,0.6098
2014,NUTS,2010,CY,0,0.6014
2015,NUTS,2010,CY,0,0.6025
2016,NUTS,2010,CY,0,0.6422
2017,NUTS,2010,CY,0,0.6797
2018,NUTS,2010,CY,0,0.7256
2019,NUTS,2010,CY,0,0.7943
2011,NUTS,2010,CZ,0,1.1923
2012,NUTS,2010,CZ,0,1.2244
2013,NUTS,2010,CZ,0,1.3016
2014,NUTS,2010,CZ,0,1.3141
2015,NUTS,2010,CZ,0,1.3525
2016,NUTS,2010,CZ,0,1.3041
2017,NUTS,2010,CZ,0,1.3945
2018,NUTS,2010,CZ,0,1.4644
2019,NUTS,2010,CZ,0,1.5088
2020,NUTS,2010,CZ,0,1.5633
2011,NUTS,2010,CZ0,1,1.1752
2012,NUTS,2010,CZ0,1,1.2062
2013,NUTS,2010,CZ0,1,1.2795
2014,NUTS,2010,CZ0,1,1.2929
2015,NUTS,2010,CZ0,1,1.3259
2016,NUTS,2010,CZ0,1,1.2757
2017,NUTS,2010,CZ0,1,1.3622
2018,NUTS,2010,CZ0,1,1.4262
2019,NUTS,2010,CZ0,1,1.4684
2020,NUTS,2010,CZ0,1,1.5226
2011,NUTS,2010,CZ01,2,4.0361
2012,NUTS,2010,CZ01,2,3.9842
2013,NUTS,2010,CZ01,2,4.372
2014,NUTS,2010,CZ01,2,4.32
2015,NUTS,2010,CZ01,2,4.1955
2016,NUTS,2010,CZ01,2,3.9259
2017,NUTS,2010,CZ01,2,4.2089
2018,NUTS,2010,CZ01,2,4.2455
2019,NUTS,2010,CZ01,2,4.3232
2020,NUTS,2010,CZ01,2,4.4365
2011,NUTS,2010,CZ02,2,0.5995
2012,NUTS,2010,CZ02,2,0.5802
2013,NUTS,2010,CZ02,2,0.572
2014,NUTS,2010,CZ02,2,0.5744
2015,NUTS,2010,CZ02,2,0.6818
2016,NUTS,2010,CZ02,2,0.7051
2017,NUTS,2010,CZ02,2,0.7353
2018,NUTS,2010,CZ02,2,0.7602
2019,NUTS,2010,CZ02,2,0.7627
2020,NUTS,2010,CZ02,2,0.7743
2011,NUTS,2010,CZ03,2,0.8138
2012,NUTS,2010,CZ03,2,0.8097
2013,NUTS,2010,CZ03,2,0.8438
2014,NUTS,2010,CZ03,2,0.885
2015,NUTS,2010,CZ03,2,0.8706
2016,NUTS,2010,CZ03,2,0.914
2017,NUTS,2010,CZ03,2,0.9785
2018,NUTS,2010,CZ03,2,1.0412
2019,NUTS,2010,CZ03,2,1.068
2020,NUTS,2010,CZ03,2,1.0661
2011,NUTS,2010,CZ04,2,0.2147
2012,NUTS,2010,CZ04,2,0.227
2013,NUTS,2010,CZ04,2,0.2615
2014,NUTS,2010,CZ04,2,0.2724
2015,NUTS,2010,CZ04,2,0.2934
2016,NUTS,2010,CZ04,2,0.2737
2017,NUTS,2010,CZ04,2,0.2808
2018,NUTS,2010,CZ04,2,0.3039
2019,NUTS,2010,CZ04,2,0.3261
2020,NUTS,2010,CZ04,2,0.3277
2011,NUTS,2010,CZ05,2,0.7244
2012,NUTS,2010,CZ05,2,0.7309
2013,NUTS,2010,CZ05,2,0.8233
2014,NUTS,2010,CZ05,2,0.82
2015,NUTS,2010,CZ05,2,0.8225
2016,NUTS,2010,CZ05,2,0.7801
2017,NUTS,2010,CZ05,2,0.8573
2018,NUTS,2010,CZ05,2,0.8769
2019,NUTS,2010,CZ05,2,0.883
2020,NUTS,2010,CZ05,2,0.9165
2011,NUTS,2010,CZ06,2,1.3268
2012,NUTS,2010,CZ06,2,1.4585
2013,NUTS,2010,CZ06,2,1.5284
2014,NUTS,2010,CZ06,2,1.5884
2015,NUTS,2010,CZ06,2,1.7127
2016,NUTS,2010,CZ06,2,1.619
2017,NUTS,2010,CZ06,2,1.7079
2018,NUTS,2010,CZ06,2,1.8317
2019,NUTS,2010,CZ06,2,1.9024
2020,NUTS,2010,CZ06,2,2.0377
2011,NUTS,2010,CZ07,2,0.6966
2012,NUTS,2010,CZ07,2,0.774
2013,NUTS,2010,CZ07,2,0.8479
2014,NUTS,2010,CZ07,2,0.8628
2015,NUTS,2010,CZ07,2,0.9357
2016,NUTS,2010,CZ07,2,0.9381
2017,NUTS,2010,CZ07,2,0.8955
2018,NUTS,2010,CZ07,2,0.9371
2019,NUTS,2010,CZ07,2,1.0508
2020,NUTS,2010,CZ07,2,1.0862
2011,NUTS,2010,CZ08,2,0.6711
2012,NUTS,2010,CZ08,2,0.7235
2013,NUTS,2010,CZ08,2,0.6252
2014,NUTS,2010,CZ08,2,0.6328
2015,NUTS,2010,CZ08,2,0.6649
2016,NUTS,2010,CZ08,2,0.6542
2017,NUTS,2010,CZ08,2,0.7079
2018,NUTS,2010,CZ08,2,0.8154
2019,NUTS,2010,CZ08,2,0.7984
2020,NUTS,2010,CZ08,2,0.8046
2011,NUTS,2010,DE,0,1.4214
