year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_emp_hc_total_gov
2018,NUTS,2010,BE1,1,0.4773
2019,NUTS,2010,BE1,1,0.484
2002,NUTS,2010,BE10,2,0.2485
2003,NUTS,2010,BE10,2,0.2387
2004,NUTS,2010,BE10,2,0.2286
2005,NUTS,2010,BE10,2,0.2417
2006,NUTS,2010,BE10,2,0.2471
2007,NUTS,2010,BE10,2,0.2482
2008,NUTS,2010,BE10,2,0.2608
2009,NUTS,2010,BE10,2,0.2566
2010,NUTS,2010,BE10,2,0.2764
2011,NUTS,2010,BE10,2,0.2711
2012,NUTS,2010,BE10,2,0.4895
2013,NUTS,2010,BE10,2,0.4866
2014,NUTS,2010,BE10,2,0.426
2015,NUTS,2010,BE10,2,0.4628
2016,NUTS,2010,BE10,2,0.4462
2017,NUTS,2010,BE10,2,0.4451
2018,NUTS,2010,BE10,2,0.4773
2019,NUTS,2010,BE10,2,0.484
2002,NUTS,2010,BE2,1,0.0763
2003,NUTS,2010,BE2,1,0.0769
2004,NUTS,2010,BE2,1,0.0857
2005,NUTS,2010,BE2,1,0.0862
2006,NUTS,2010,BE2,1,0.0669
2007,NUTS,2010,BE2,1,0.0657
2008,NUTS,2010,BE2,1,0.095
2009,NUTS,2010,BE2,1,0.1011
2010,NUTS,2010,BE2,1,0.1036
2011,NUTS,2010,BE2,1,0.1052
2012,NUTS,2010,BE2,1,0.1203
2013,NUTS,2010,BE2,1,0.1236
2014,NUTS,2010,BE2,1,0.1332
2015,NUTS,2010,BE2,1,0.1339
2016,NUTS,2010,BE2,1,0.1418
2017,NUTS,2010,BE2,1,0.1491
2018,NUTS,2010,BE2,1,0.1567
2019,NUTS,2010,BE2,1,0.1584
2002,NUTS,2010,BE3,1,0.025
2003,NUTS,2010,BE3,1,0.0242
2004,NUTS,2010,BE3,1,0.0096
2005,NUTS,2010,BE3,1,0.0102
2006,NUTS,2010,BE3,1,0.01
2007,NUTS,2010,BE3,1,0.0099
2008,NUTS,2010,BE3,1,0.0449
2009,NUTS,2010,BE3,1,0.0469
2010,NUTS,2010,BE3,1,0.0174
2011,NUTS,2010,BE3,1,0.0217
2012,NUTS,2010,BE3,1,0.0239
2013,NUTS,2010,BE3,1,0.0235
2014,NUTS,2010,BE3,1,0.0383
2015,NUTS,2010,BE3,1,0.0406
2016,NUTS,2010,BE3,1,0.0275
2017,NUTS,2010,BE3,1,0.027
2018,NUTS,2010,BE3,1,0.0294
2019,NUTS,2010,BE3,1,0.0304
2000,NUTS,2010,BG,0,0.4995
2001,NUTS,2010,BG,0,0.4919
2002,NUTS,2010,BG,0,0.4987
2003,NUTS,2010,BG,0,0.4794
2004,NUTS,2010,BG,0,0.4719
2005,NUTS,2010,BG,0,0.4565
2006,NUTS,2010,BG,0,0.4386
2007,NUTS,2010,BG,0,0.4158
2008,NUTS,2010,BG,0,0.3822
2009,NUTS,2010,BG,0,0.3943
2010,NUTS,2010,BG,0,0.4084
2011,NUTS,2010,BG,0,0.4066
2012,NUTS,2010,BG,0,0.4117
2013,NUTS,2010,BG,0,0.3965
2014,NUTS,2010,BG,0,0.3916
2015,NUTS,2010,BG,0,0.3583
2016,NUTS,2010,BG,0,0.3671
2017,NUTS,2010,BG,0,0.3458
2018,NUTS,2010,BG,0,0.348
2019,NUTS,2010,BG,0,0.3442
2003,NUTS,2010,BG3,1,0.1409
2004,NUTS,2010,BG3,1,0.1438
2005,NUTS,2010,BG3,1,0.141
2006,NUTS,2010,BG3,1,0.1386
2007,NUTS,2010,BG3,1,0.139
2008,NUTS,2010,BG3,1,0.1291
2009,NUTS,2010,BG3,1,0.1252
2010,NUTS,2010,BG3,1,0.1571
2011,NUTS,2010,BG3,1,0.1442
2012,NUTS,2010,BG3,1,0.1565
2013,NUTS,2010,BG3,1,0.1461
2014,NUTS,2010,BG3,1,0.1517
2015,NUTS,2010,BG3,1,0.1306
2016,NUTS,2010,BG3,1,0.1308
2017,NUTS,2010,BG3,1,0.1219
2018,NUTS,2010,BG3,1,0.1302
2019,NUTS,2010,BG3,1,0.1318
2003,NUTS,2010,BG31,2,0.1984
2004,NUTS,2010,BG31,2,0.1892
2005,NUTS,2010,BG31,2,0.1954
2006,NUTS,2010,BG31,2,0.1857
2007,NUTS,2010,BG31,2,0.1762
2009,NUTS,2010,BG31,2,0.1496
2010,NUTS,2010,BG31,2,0.2101
2011,NUTS,2010,BG31,2,0.1943
2012,NUTS,2010,BG31,2,0.24
2013,NUTS,2010,BG31,2,0.21
2014,NUTS,2010,BG31,2,0.2021
2015,NUTS,2010,BG31,2,0.1897
2016,NUTS,2010,BG31,2,0.2013
2018,NUTS,2010,BG31,2,0.2024
2019,NUTS,2010,BG31,2,0.2095
2003,NUTS,2010,BG32,2,0.0632
2004,NUTS,2010,BG32,2,0.0677
2005,NUTS,2010,BG32,2,0.0624
2006,NUTS,2010,BG32,2,0.0608
2007,NUTS,2010,BG32,2,0.0604
2008,NUTS,2010,BG32,2,0.0561
2009,NUTS,2010,BG32,2,0.0588
2010,NUTS,2010,BG32,2,0.0709
2011,NUTS,2010,BG32,2,0.0513
2012,NUTS,2010,BG32,2,0.0568
2013,NUTS,2010,BG32,2,0.0564
2014,NUTS,2010,BG32,2,0.0554
2015,NUTS,2010,BG32,2,0.0371
2016,NUTS,2010,BG32,2,0.0342
2017,NUTS,2010,BG32,2,0.0311
2018,NUTS,2010,BG32,2,0.0315
2019,NUTS,2010,BG32,2,0.032
2003,NUTS,2010,BG33,2,0.2178
2004,NUTS,2010,BG33,2,0.2314
2005,NUTS,2010,BG33,2,0.2325
2006,NUTS,2010,BG33,2,0.211
2007,NUTS,2010,BG33,2,0.2133
2008,NUTS,2010,BG33,2,0.1993
2009,NUTS,2010,BG33,2,0.189
2010,NUTS,2010,BG33,2,0.2452
2011,NUTS,2010,BG33,2,0.2278
2012,NUTS,2010,BG33,2,0.2449
2013,NUTS,2010,BG33,2,0.2161
2014,NUTS,2010,BG33,2,0.2325
2015,NUTS,2010,BG33,2,0.2085
2016,NUTS,2010,BG33,2,0.2116
2017,NUTS,2010,BG33,2,0.1962
2018,NUTS,2010,BG33,2,0.2142
2019,NUTS,2010,BG33,2,0.2142
2003,NUTS,2010,BG34,2,0.0943
2004,NUTS,2010,BG34,2,0.0986
2005,NUTS,2010,BG34,2,0.0816
2006,NUTS,2010,BG34,2,0.1016
2007,NUTS,2010,BG34,2,0.1094
2009,NUTS,2010,BG34,2,0.1026
2010,NUTS,2010,BG34,2,0.1063
2011,NUTS,2010,BG34,2,0.1085
2012,NUTS,2010,BG34,2,0.1009
2013,NUTS,2010,BG34,2,0.1064
2014,NUTS,2010,BG34,2,0.1131
2015,NUTS,2010,BG34,2,0.0891
2016,NUTS,2010,BG34,2,0.0876
2018,NUTS,2010,BG34,2,0.0855
2019,NUTS,2010,BG34,2,0.0914
2003,NUTS,2010,BG4,1,0.7797
2004,NUTS,2010,BG4,1,0.7517
2005,NUTS,2010,BG4,1,0.7464
2006,NUTS,2010,BG4,1,0.7089
2007,NUTS,2010,BG4,1,0.6595
2008,NUTS,2010,BG4,1,0.6038
2009,NUTS,2010,BG4,1,0.6154
2010,NUTS,2010,BG4,1,0.6079
2011,NUTS,2010,BG4,1,0.6173
2012,NUTS,2010,BG4,1,0.6134
2013,NUTS,2010,BG4,1,0.5889
2014,NUTS,2010,BG4,1,0.5734
2015,NUTS,2010,BG4,1,0.5332
2016,NUTS,2010,BG4,1,0.5472
2017,NUTS,2010,BG4,1,0.5105
2018,NUTS,2010,BG4,1,0.5049
2019,NUTS,2010,BG4,1,0.4963
2000,NUTS,2010,BG41,2,1.2599
2003,NUTS,2010,BG41,2,1.2144
2005,NUTS,2010,BG41,2,1.1293
2006,NUTS,2010,BG41,2,1.0633
2007,NUTS,2010,BG41,2,0.9925
2008,NUTS,2010,BG41,2,0.9133
2009,NUTS,2010,BG41,2,0.9175
2010,NUTS,2010,BG41,2,0.87
2011,NUTS,2010,BG41,2,0.8904
2012,NUTS,2010,BG41,2,0.9017
2013,NUTS,2010,BG41,2,0.8585
2014,NUTS,2010,BG41,2,0.831
2015,NUTS,2010,BG41,2,0.7713
2016,NUTS,2010,BG41,2,0.7943
2017,NUTS,2010,BG41,2,0.7472
2018,NUTS,2010,BG41,2,0.7289
2019,NUTS,2010,BG41,2,0.7165
2003,NUTS,2010,BG42,2,0.1111
2005,NUTS,2010,BG42,2,0.1289
2006,NUTS,2010,BG42,2,0.1232
2007,NUTS,2010,BG42,2,0.1164
2008,NUTS,2010,BG42,2,0.1017
2009,NUTS,2010,BG42,2,0.1092
2010,NUTS,2010,BG42,2,0.1393
2011,NUTS,2010,BG42,2,0.1222
2012,NUTS,2010,BG42,2,0.1157
2013,NUTS,2010,BG42,2,0.136
2014,NUTS,2010,BG42,2,0.1343
2015,NUTS,2010,BG42,2,0.1103
2016,NUTS,2010,BG42,2,0.1086
2017,NUTS,2010,BG42,2,0.1038
2018,NUTS,2010,BG42,2,0.1093
2019,NUTS,2010,BG42,2,0.1143
2010,NUTS,2010,CH,0,0.03
2012,NUTS,2010,CH,0,0.0297
2014,NUTS,2010,CH,0,0.0354
2015,NUTS,2010,CH,0,0.0363
2017,NUTS,2010,CH,0,0.0348
2019,NUTS,2010,CH,0,0.0402
1998,NUTS,2010,CY,0,0.2027
1999,NUTS,2010,CY,0,0.2142
2000,NUTS,2010,CY,0,0.2058
2001,NUTS,2010,CY,0,0.2061
2002,NUTS,2010,CY,0,0.2387
2003,NUTS,2010,CY,0,0.2119
2004,NUTS,2010,CY,0,0.2097
2005,NUTS,2010,CY,0,0.2128
2006,NUTS,2010,CY,0,0.2039
2007,NUTS,2010,CY,0,0.1867
2008,NUTS,2010,CY,0,0.181
2009,NUTS,2010,CY,0,0.16
2010,NUTS,2010,CY,0,0.1607
2011,NUTS,2010,CY,0,0.1602
2012,NUTS,2010,CY,0,0.1547
2013,NUTS,2010,CY,0,0.1555
2014,NUTS,2010,CY,0,0.1574
2015,NUTS,2010,CY,0,0.1599
2016,NUTS,2010,CY,0,0.1709
2017,NUTS,2010,CY,0,0.1693
2018,NUTS,2010,CY,0,0.1553
2019,NUTS,2010,CY,0,0.1552
1999,NUTS,2010,CZ,0,0.2902
2000,NUTS,2010,CZ,0,0.2997
2001,NUTS,2010,CZ,0,0.299
2002,NUTS,2010,CZ,0,0.2939
2003,NUTS,2010,CZ,0,0.2876
2004,NUTS,2010,CZ,0,0.3012
2005,NUTS,2010,CZ,0,0.3492
2006,NUTS,2010,CZ,0,0.3511
2007,NUTS,2010,CZ,0,0.3581
2008,NUTS,2010,CZ,0,0.3559
2009,NUTS,2010,CZ,0,0.3583
2010,NUTS,2010,CZ,0,0.3504
2011,NUTS,2010,CZ,0,0.3568
2012,NUTS,2010,CZ,0,0.3586
2013,NUTS,2010,CZ,0,0.3649
2014,NUTS,2010,CZ,0,0.3614
2015,NUTS,2010,CZ,0,0.3717
2016,NUTS,2010,CZ,0,0.3614
2017,NUTS,2010,CZ,0,0.3926
2018,NUTS,2010,CZ,0,0.4019
2019,NUTS,2010,CZ,0,0.4093
2020,NUTS,2010,CZ,0,0.4172
1999,NUTS,2010,CZ0,1,0.2865
2000,NUTS,2010,CZ0,1,0.2973
2001,NUTS,2010,CZ0,1,0.2963
2002,NUTS,2010,CZ0,1,0.2906
2003,NUTS,2010,CZ0,1,0.2839
2004,NUTS,2010,CZ0,1,0.2979
2005,NUTS,2010,CZ0,1,0.3459
2006,NUTS,2010,CZ0,1,0.3476
2007,NUTS,2010,CZ0,1,0.3541
2008,NUTS,2010,CZ0,1,0.3516
2009,NUTS,2010,CZ0,1,0.3533
2010,NUTS,2010,CZ0,1,0.3454
2011,NUTS,2010,CZ0,1,0.3515
2012,NUTS,2010,CZ0,1,0.3531
2013,NUTS,2010,CZ0,1,0.3582
2014,NUTS,2010,CZ0,1,0.3552
2015,NUTS,2010,CZ0,1,0.3641
2016,NUTS,2010,CZ0,1,0.3531
2017,NUTS,2010,CZ0,1,0.3833
2018,NUTS,2010,CZ0,1,0.3913
2019,NUTS,2010,CZ0,1,0.3981
2020,NUTS,2010,CZ0,1,0.4061
2001,NUTS,2010,CZ01,2,1.4221
2002,NUTS,2010,CZ01,2,1.4363
2003,NUTS,2010,CZ01,2,1.4087
2004,NUTS,2010,CZ01,2,1.48
2005,NUTS,2010,CZ01,2,1.8064
2006,NUTS,2010,CZ01,2,1.7662
2007,NUTS,2010,CZ01,2,1.8373
2008,NUTS,2010,CZ01,2,1.831
2009,NUTS,2010,CZ01,2,1.7795
2010,NUTS,2010,CZ01,2,1.748
2011,NUTS,2010,CZ01,2,1.8221
2012,NUTS,2010,CZ01,2,1.8542
2013,NUTS,2010,CZ01,2,1.8913
2014,NUTS,2010,CZ01,2,1.8826
2015,NUTS,2010,CZ01,2,1.843
2016,NUTS,2010,CZ01,2,1.7268
2017,NUTS,2010,CZ01,2,1.8678
2018,NUTS,2010,CZ01,2,1.8711
2019,NUTS,2010,CZ01,2,1.876
2020,NUTS,2010,CZ01,2,1.8787
2001,NUTS,2010,CZ02,2,0.1486
2002,NUTS,2010,CZ02,2,0.1774
2003,NUTS,2010,CZ02,2,0.2169
2004,NUTS,2010,CZ02,2,0.2782
2005,NUTS,2010,CZ02,2,0.2483
2006,NUTS,2010,CZ02,2,0.2411
2007,NUTS,2010,CZ02,2,0.2449
2008,NUTS,2010,CZ02,2,0.2455
2009,NUTS,2010,CZ02,2,0.2388
2010,NUTS,2010,CZ02,2,0.2322
2011,NUTS,2010,CZ02,2,0.2307
2012,NUTS,2010,CZ02,2,0.2057
2013,NUTS,2010,CZ02,2,0.2079
2014,NUTS,2010,CZ02,2,0.2255
2015,NUTS,2010,CZ02,2,0.3205
2016,NUTS,2010,CZ02,2,0.3606
2017,NUTS,2010,CZ02,2,0.3734
2018,NUTS,2010,CZ02,2,0.3779
2019,NUTS,2010,CZ02,2,0.3783
2020,NUTS,2010,CZ02,2,0.3898
2001,NUTS,2010,CZ03,2,0.1294
2002,NUTS,2010,CZ03,2,0.1316
2003,NUTS,2010,CZ03,2,0.1196
2004,NUTS,2010,CZ03,2,0.127
2005,NUTS,2010,CZ03,2,0.1564
2006,NUTS,2010,CZ03,2,0.1772
2007,NUTS,2010,CZ03,2,0.1842
2008,NUTS,2010,CZ03,2,0.186
2009,NUTS,2010,CZ03,2,0.1872
2010,NUTS,2010,CZ03,2,0.2002
2011,NUTS,2010,CZ03,2,0.1721
2012,NUTS,2010,CZ03,2,0.1471
2013,NUTS,2010,CZ03,2,0.168
2014,NUTS,2010,CZ03,2,0.1823
2015,NUTS,2010,CZ03,2,0.1667
2016,NUTS,2010,CZ03,2,0.1748
2017,NUTS,2010,CZ03,2,0.1871
2018,NUTS,2010,CZ03,2,0.1936
2019,NUTS,2010,CZ03,2,0.2134
2020,NUTS,2010,CZ03,2,0.2095
2001,NUTS,2010,CZ04,2,0.0614
2002,NUTS,2010,CZ04,2,0.0166
2003,NUTS,2010,CZ04,2,0.0303
2004,NUTS,2010,CZ04,2,0.0214
2005,NUTS,2010,CZ04,2,0.0236
2006,NUTS,2010,CZ04,2,0.0236
2007,NUTS,2010,CZ04,2,0.0264
2008,NUTS,2010,CZ04,2,0.0399
2009,NUTS,2010,CZ04,2,0.033
2010,NUTS,2010,CZ04,2,0.0252
2011,NUTS,2010,CZ04,2,0.0343
2012,NUTS,2010,CZ04,2,0.0302
2013,NUTS,2010,CZ04,2,0.0268
2014,NUTS,2010,CZ04,2,0.0243
2015,NUTS,2010,CZ04,2,0.0274
2016,NUTS,2010,CZ04,2,0.025
2017,NUTS,2010,CZ04,2,0.0303
2018,NUTS,2010,CZ04,2,0.0348
2019,NUTS,2010,CZ04,2,0.0372
2020,NUTS,2010,CZ04,2,0.0256
2001,NUTS,2010,CZ05,2,0.0382
2002,NUTS,2010,CZ05,2,0.0342
2003,NUTS,2010,CZ05,2,0.0305
2004,NUTS,2010,CZ05,2,0.0657
2005,NUTS,2010,CZ05,2,0.0209
2006,NUTS,2010,CZ05,2,0.0302
2007,NUTS,2010,CZ05,2,0.0288
2008,NUTS,2010,CZ05,2,0.0262
2009,NUTS,2010,CZ05,2,0.0255
2010,NUTS,2010,CZ05,2,0.0243
2011,NUTS,2010,CZ05,2,0.0288
2012,NUTS,2010,CZ05,2,0.0253
2013,NUTS,2010,CZ05,2,0.0297
2014,NUTS,2010,CZ05,2,0.0288
2015,NUTS,2010,CZ05,2,0.0337
2016,NUTS,2010,CZ05,2,0.033
2017,NUTS,2010,CZ05,2,0.0338
2018,NUTS,2010,CZ05,2,0.0322
2019,NUTS,2010,CZ05,2,0.0329
2020,NUTS,2010,CZ05,2,0.0328
2001,NUTS,2010,CZ06,2,0.2926
2002,NUTS,2010,CZ06,2,0.2906
2003,NUTS,2010,CZ06,2,0.2442
2004,NUTS,2010,CZ06,2,0.2315
2005,NUTS,2010,CZ06,2,0.2517
2006,NUTS,2010,CZ06,2,0.2628
2007,NUTS,2010,CZ06,2,0.2475
2008,NUTS,2010,CZ06,2,0.2476
2009,NUTS,2010,CZ06,2,0.2625
2010,NUTS,2010,CZ06,2,0.2579
2011,NUTS,2010,CZ06,2,0.2917
2012,NUTS,2010,CZ06,2,0.2964
2013,NUTS,2010,CZ06,2,0.2935
2014,NUTS,2010,CZ06,2,0.2512
2015,NUTS,2010,CZ06,2,0.2898
2016,NUTS,2010,CZ06,2,0.2859
2017,NUTS,2010,CZ06,2,0.3027
2018,NUTS,2010,CZ06,2,0.3154
2019,NUTS,2010,CZ06,2,0.3235
2020,NUTS,2010,CZ06,2,0.358
2001,NUTS,2010,CZ07,2,0.0342
2002,NUTS,2010,CZ07,2,0.0301
2003,NUTS,2010,CZ07,2,0.0298
2004,NUTS,2010,CZ07,2,0.0103
2005,NUTS,2010,CZ07,2,0.0256
2006,NUTS,2010,CZ07,2,0.0224
2007,NUTS,2010,CZ07,2,0.0222
2008,NUTS,2010,CZ07,2,0.027
2009,NUTS,2010,CZ07,2,0.031
2010,NUTS,2010,CZ07,2,0.0281
2011,NUTS,2010,CZ07,2,0.0293
2012,NUTS,2010,CZ07,2,0.0215
2013,NUTS,2010,CZ07,2,0.0158
2014,NUTS,2010,CZ07,2,0.0253
2015,NUTS,2010,CZ07,2,0.0274
2016,NUTS,2010,CZ07,2,0.0258
2017,NUTS,2010,CZ07,2,0.0371
2018,NUTS,2010,CZ07,2,0.0395
2019,NUTS,2010,CZ07,2,0.0373
2020,NUTS,2010,CZ07,2,0.0396
2001,NUTS,2010,CZ08,2,0.0352
2002,NUTS,2010,CZ08,2,0.0338
2003,NUTS,2010,CZ08,2,0.0366
2004,NUTS,2010,CZ08,2,0.0327
2005,NUTS,2010,CZ08,2,0.0459
2006,NUTS,2010,CZ08,2,0.0439
2007,NUTS,2010,CZ08,2,0.0453
2008,NUTS,2010,CZ08,2,0.0461
2009,NUTS,2010,CZ08,2,0.0403
2010,NUTS,2010,CZ08,2,0.0373
2011,NUTS,2010,CZ08,2,0.0257
2012,NUTS,2010,CZ08,2,0.0294
2013,NUTS,2010,CZ08,2,0.0276
2014,NUTS,2010,CZ08,2,0.0307
2015,NUTS,2010,CZ08,2,0.0338
2016,NUTS,2010,CZ08,2,0.0266
2017,NUTS,2010,CZ08,2,0.0325
2018,NUTS,2010,CZ08,2,0.0333
2019,NUTS,2010,CZ08,2,0.0339
2020,NUTS,2010,CZ08,2,0.0354
2003,NUTS,2010,DE,0,0.2127
2004,NUTS,2010,DE,0,0.2202
2005,NUTS,2010,DE,0,0.2172
2006,NUTS,2010,DE,0,0.2268
2007,NUTS,2010,DE,0,0.2298
2008,NUTS,2010,DE,0,0.2357
2009,NUTS,2010,DE,0,0.2476
2010,NUTS,2010,DE,0,0.265
2011,NUTS,2010,DE,0,0.2693
2012,NUTS,2010,DE,0,0.2758
2013,NUTS,2010,DE,0,0.2804
2014,NUTS,2010,DE,0,0.2889
2015,NUTS,2010,DE,0,0.2908
2016,NUTS,2010,DE,0,0.2916
2017,NUTS,2010,DE,0,0.3002
2018,NUTS,2010,DE,0,0.3118
2019,NUTS,2010,DE,0,0.3183
2015,NUTS,2010,DE1,1,0.3025
2016,NUTS,2010,DE1,1,0.3014
2017,NUTS,2010,DE1,1,0.3087
2018,NUTS,2010,DE1,1,0.3162
2019,NUTS,2010,DE1,1,0.3238
2015,NUTS,2010,DE11,2,0.1505
2016,NUTS,2010,DE11,2,0.1515
2017,NUTS,2010,DE11,2,0.152
2018,NUTS,2010,DE11,2,0.1534
2019,NUTS,2010,DE11,2,0.1595
2015,NUTS,2010,DE12,2,0.7461
2016,NUTS,2010,DE12,2,0.7515
2017,NUTS,2010,DE12,2,0.7698
2018,NUTS,2010,DE12,2,0.7773
2019,NUTS,2010,DE12,2,0.7778
2015,NUTS,2010,DE13,2,0.1784
2016,NUTS,2010,DE13,2,0.1812
2017,NUTS,2010,DE13,2,0.1881
2018,NUTS,2010,DE13,2,0.2006
2019,NUTS,2010,DE13,2,0.213
2015,NUTS,2010,DE14,2,0.1326
2016,NUTS,2010,DE14,2,0.1304
2017,NUTS,2010,DE14,2,0.138
2018,NUTS,2010,DE14,2,0.148
2019,NUTS,2010,DE14,2,0.149
2015,NUTS,2010,DE2,1,0.2381
2016,NUTS,2010,DE2,1,0.2351
2017,NUTS,2010,DE2,1,0.2395
2018,NUTS,2010,DE2,1,0.2477
2019,NUTS,2010,DE2,1,0.2538
2015,NUTS,2010,DE21,2,0.5272
2016,NUTS,2010,DE21,2,0.5212
2017,NUTS,2010,DE21,2,0.5231
2018,NUTS,2010,DE21,2,0.5395
2019,NUTS,2010,DE21,2,0.5449
2015,NUTS,2010,DE22,2,0.0134
2016,NUTS,2010,DE22,2,0.0128
2017,NUTS,2010,DE22,2,0.012
2018,NUTS,2010,DE22,2,0.0127
2019,NUTS,2010,DE22,2,0.0141
2015,NUTS,2010,DE23,2,0.043
2016,NUTS,2010,DE23,2,0.0455
2017,NUTS,2010,DE23,2,0.0442
2018,NUTS,2010,DE23,2,0.0478
2019,NUTS,2010,DE23,2,0.0462
2015,NUTS,2010,DE24,2,0.0917
2016,NUTS,2010,DE24,2,0.0684
2017,NUTS,2010,DE24,2,0.0909
2018,NUTS,2010,DE24,2,0.0925
2019,NUTS,2010,DE24,2,0.0811
2015,NUTS,2010,DE25,2,0.142
2016,NUTS,2010,DE25,2,0.1424
2017,NUTS,2010,DE25,2,0.1534
2018,NUTS,2010,DE25,2,0.1646
2019,NUTS,2010,DE25,2,0.1852
