year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_hrst_ths
2016,NUTS,2010,AT3,1,846.8
2017,NUTS,2010,AT3,1,854.1
2018,NUTS,2010,AT3,1,875.5
2019,NUTS,2010,AT3,1,909.8
2020,NUTS,2010,AT3,1,908.2
2011,NUTS,2010,AT31,2,284.3
2012,NUTS,2010,AT31,2,294.1
2013,NUTS,2010,AT31,2,312.5
2014,NUTS,2010,AT31,2,365.8
2015,NUTS,2010,AT31,2,372.6
2016,NUTS,2010,AT31,2,395.7
2017,NUTS,2010,AT31,2,395.4
2018,NUTS,2010,AT31,2,406.1
2019,NUTS,2010,AT31,2,434.6
2020,NUTS,2010,AT31,2,420.0
2011,NUTS,2010,AT32,2,115.9
2012,NUTS,2010,AT32,2,122.5
2013,NUTS,2010,AT32,2,126.8
2014,NUTS,2010,AT32,2,148.4
2015,NUTS,2010,AT32,2,150.5
2016,NUTS,2010,AT32,2,154.4
2017,NUTS,2010,AT32,2,156.6
2018,NUTS,2010,AT32,2,157.6
2019,NUTS,2010,AT32,2,159.4
2020,NUTS,2010,AT32,2,162.6
2011,NUTS,2010,AT33,2,143.1
2012,NUTS,2010,AT33,2,155.2
2013,NUTS,2010,AT33,2,156.7
2014,NUTS,2010,AT33,2,189.1
2015,NUTS,2010,AT33,2,189.2
2016,NUTS,2010,AT33,2,194.0
2017,NUTS,2010,AT33,2,198.7
2018,NUTS,2010,AT33,2,208.6
2019,NUTS,2010,AT33,2,211.4
2020,NUTS,2010,AT33,2,218.1
2011,NUTS,2010,AT34,2,76.8
2012,NUTS,2010,AT34,2,83.7
2013,NUTS,2010,AT34,2,85.1
2014,NUTS,2010,AT34,2,94.8
2015,NUTS,2010,AT34,2,98.0
2016,NUTS,2010,AT34,2,102.7
2017,NUTS,2010,AT34,2,103.3
2018,NUTS,2010,AT34,2,103.2
2019,NUTS,2010,AT34,2,104.4
2020,NUTS,2010,AT34,2,107.5
2011,NUTS,2010,BE,0,2801.7
2012,NUTS,2010,BE,0,2875.2
2013,NUTS,2010,BE,0,2871.7
2014,NUTS,2010,BE,0,2975.6
2015,NUTS,2010,BE,0,2971.4
2016,NUTS,2010,BE,0,3029.0
2017,NUTS,2010,BE,0,3229.4
2018,NUTS,2010,BE,0,3269.3
2019,NUTS,2010,BE,0,3300.3
2020,NUTS,2010,BE,0,3426.0
2011,NUTS,2010,BE1,1,327.3
2012,NUTS,2010,BE1,1,334.8
2013,NUTS,2010,BE1,1,327.1
2014,NUTS,2010,BE1,1,345.8
2015,NUTS,2010,BE1,1,348.1
2016,NUTS,2010,BE1,1,357.9
2017,NUTS,2010,BE1,1,379.3
2018,NUTS,2010,BE1,1,390.0
2019,NUTS,2010,BE1,1,386.7
2020,NUTS,2010,BE1,1,409.7
2011,NUTS,2010,BE10,2,327.3
2012,NUTS,2010,BE10,2,334.8
2013,NUTS,2010,BE10,2,327.1
2014,NUTS,2010,BE10,2,345.8
2015,NUTS,2010,BE10,2,348.1
2016,NUTS,2010,BE10,2,357.9
2017,NUTS,2010,BE10,2,379.3
2018,NUTS,2010,BE10,2,390.0
2019,NUTS,2010,BE10,2,386.7
2020,NUTS,2010,BE10,2,409.7
2011,NUTS,2010,BE2,1,1646.0
2012,NUTS,2010,BE2,1,1685.2
2013,NUTS,2010,BE2,1,1689.7
2014,NUTS,2010,BE2,1,1752.4
2015,NUTS,2010,BE2,1,1744.2
2016,NUTS,2010,BE2,1,1774.1
2017,NUTS,2010,BE2,1,1898.7
2018,NUTS,2010,BE2,1,1909.0
2019,NUTS,2010,BE2,1,1930.9
2020,NUTS,2010,BE2,1,2006.2
2011,NUTS,2010,BE21,2,449.0
2012,NUTS,2010,BE21,2,474.7
2013,NUTS,2010,BE21,2,476.6
2014,NUTS,2010,BE21,2,506.9
2015,NUTS,2010,BE21,2,492.6
2016,NUTS,2010,BE21,2,468.7
2017,NUTS,2010,BE21,2,509.3
2018,NUTS,2010,BE21,2,525.9
2019,NUTS,2010,BE21,2,536.1
2020,NUTS,2010,BE21,2,555.0
2011,NUTS,2010,BE22,2,202.9
2012,NUTS,2010,BE22,2,211.9
2013,NUTS,2010,BE22,2,200.3
2014,NUTS,2010,BE22,2,210.7
2015,NUTS,2010,BE22,2,219.7
2016,NUTS,2010,BE22,2,215.9
2017,NUTS,2010,BE22,2,226.7
2018,NUTS,2010,BE22,2,224.2
2019,NUTS,2010,BE22,2,234.1
2020,NUTS,2010,BE22,2,242.0
2011,NUTS,2010,BE23,2,384.9
2012,NUTS,2010,BE23,2,383.8
2013,NUTS,2010,BE23,2,398.5
2014,NUTS,2010,BE23,2,399.8
2015,NUTS,2010,BE23,2,405.0
2016,NUTS,2010,BE23,2,422.8
2017,NUTS,2010,BE23,2,449.8
2018,NUTS,2010,BE23,2,453.5
2019,NUTS,2010,BE23,2,444.2
2020,NUTS,2010,BE23,2,475.8
2011,NUTS,2010,BE24,2,331.1
2012,NUTS,2010,BE24,2,340.7
2013,NUTS,2010,BE24,2,342.8
2014,NUTS,2010,BE24,2,350.2
2015,NUTS,2010,BE24,2,347.5
2016,NUTS,2010,BE24,2,366.3
2017,NUTS,2010,BE24,2,393.0
2018,NUTS,2010,BE24,2,384.9
2019,NUTS,2010,BE24,2,393.4
2020,NUTS,2010,BE24,2,404.1
2011,NUTS,2010,BE25,2,278.1
2012,NUTS,2010,BE25,2,274.1
2013,NUTS,2010,BE25,2,271.4
2014,NUTS,2010,BE25,2,284.7
2015,NUTS,2010,BE25,2,279.5
2016,NUTS,2010,BE25,2,300.4
2017,NUTS,2010,BE25,2,319.9
2018,NUTS,2010,BE25,2,320.5
2019,NUTS,2010,BE25,2,323.1
2020,NUTS,2010,BE25,2,329.4
2011,NUTS,2010,BE3,1,828.4
2012,NUTS,2010,BE3,1,855.3
2013,NUTS,2010,BE3,1,854.9
2014,NUTS,2010,BE3,1,877.4
2015,NUTS,2010,BE3,1,879.1
2016,NUTS,2010,BE3,1,897.0
2017,NUTS,2010,BE3,1,951.5
2018,NUTS,2010,BE3,1,970.3
2019,NUTS,2010,BE3,1,982.7
2020,NUTS,2010,BE3,1,1010.1
2011,NUTS,2010,BE31,2,144.0
2012,NUTS,2010,BE31,2,137.3
2013,NUTS,2010,BE31,2,138.2
2014,NUTS,2010,BE31,2,138.3
2015,NUTS,2010,BE31,2,147.9
2016,NUTS,2010,BE31,2,141.4
2017,NUTS,2010,BE31,2,154.4
2018,NUTS,2010,BE31,2,158.7
2019,NUTS,2010,BE31,2,156.9
2020,NUTS,2010,BE31,2,163.5
2011,NUTS,2010,BE32,2,254.0
2012,NUTS,2010,BE32,2,272.5
2013,NUTS,2010,BE32,2,275.7
2014,NUTS,2010,BE32,2,275.1
2015,NUTS,2010,BE32,2,271.6
2016,NUTS,2010,BE32,2,291.5
2017,NUTS,2010,BE32,2,302.9
2018,NUTS,2010,BE32,2,305.9
2019,NUTS,2010,BE32,2,312.6
2020,NUTS,2010,BE32,2,310.3
2011,NUTS,2010,BE33,2,252.7
2012,NUTS,2010,BE33,2,254.2
2013,NUTS,2010,BE33,2,260.8
2014,NUTS,2010,BE33,2,264.5
2015,NUTS,2010,BE33,2,264.3
2016,NUTS,2010,BE33,2,269.7
2017,NUTS,2010,BE33,2,278.4
2018,NUTS,2010,BE33,2,286.1
2019,NUTS,2010,BE33,2,293.7
2020,NUTS,2010,BE33,2,309.4
2011,NUTS,2010,BE34,2,60.5
2012,NUTS,2010,BE34,2,66.1
2013,NUTS,2010,BE34,2,62.6
2014,NUTS,2010,BE34,2,69.8
2015,NUTS,2010,BE34,2,71.9
2016,NUTS,2010,BE34,2,70.5
2017,NUTS,2010,BE34,2,73.7
2018,NUTS,2010,BE34,2,77.6
2019,NUTS,2010,BE34,2,81.6
2020,NUTS,2010,BE34,2,84.6
2011,NUTS,2010,BE35,2,117.1
2012,NUTS,2010,BE35,2,125.2
2013,NUTS,2010,BE35,2,117.6
2014,NUTS,2010,BE35,2,129.6
2015,NUTS,2010,BE35,2,123.5
2016,NUTS,2010,BE35,2,123.9
2017,NUTS,2010,BE35,2,142.0
2018,NUTS,2010,BE35,2,142.1
2019,NUTS,2010,BE35,2,137.8
2020,NUTS,2010,BE35,2,142.3
2011,NUTS,2010,BG,0,1298.4
2012,NUTS,2010,BG,0,1306.6
2013,NUTS,2010,BG,0,1377.5
2014,NUTS,2010,BG,0,1438.9
2015,NUTS,2010,BG,0,1455.1
2016,NUTS,2010,BG,0,1456.0
2017,NUTS,2010,BG,0,1462.1
2018,NUTS,2010,BG,0,1468.0
2019,NUTS,2010,BG,0,1446.4
2020,NUTS,2010,BG,0,1479.9
2011,NUTS,2010,BG3,1,557.1
2012,NUTS,2010,BG3,1,567.8
2013,NUTS,2010,BG3,1,593.5
2014,NUTS,2010,BG3,1,604.8
2015,NUTS,2010,BG3,1,609.2
2016,NUTS,2010,BG3,1,606.4
2017,NUTS,2010,BG3,1,605.5
2018,NUTS,2010,BG3,1,605.9
2019,NUTS,2010,BG3,1,586.6
2020,NUTS,2010,BG3,1,595.2
2011,NUTS,2010,BG31,2,112.4
2012,NUTS,2010,BG31,2,112.5
2013,NUTS,2010,BG31,2,118.7
2014,NUTS,2010,BG31,2,123.9
2015,NUTS,2010,BG31,2,125.2
2016,NUTS,2010,BG31,2,114.5
2017,NUTS,2010,BG31,2,113.9
2018,NUTS,2010,BG31,2,116.6
2019,NUTS,2010,BG31,2,106.2
2020,NUTS,2010,BG31,2,111.3
2011,NUTS,2010,BG32,2,130.5
2012,NUTS,2010,BG32,2,132.8
2013,NUTS,2010,BG32,2,138.5
2014,NUTS,2010,BG32,2,141.1
2015,NUTS,2010,BG32,2,141.6
2016,NUTS,2010,BG32,2,144.5
2017,NUTS,2010,BG32,2,137.6
2018,NUTS,2010,BG32,2,145.0
2019,NUTS,2010,BG32,2,152.1
2020,NUTS,2010,BG32,2,149.8
2011,NUTS,2010,BG33,2,158.6
2012,NUTS,2010,BG33,2,158.4
2013,NUTS,2010,BG33,2,173.6
2014,NUTS,2010,BG33,2,178.5
2015,NUTS,2010,BG33,2,175.4
2016,NUTS,2010,BG33,2,179.1
2017,NUTS,2010,BG33,2,182.2
2018,NUTS,2010,BG33,2,172.9
2019,NUTS,2010,BG33,2,159.4
2020,NUTS,2010,BG33,2,162.6
2011,NUTS,2010,BG34,2,155.6
2012,NUTS,2010,BG34,2,164.1
2013,NUTS,2010,BG34,2,162.6
2014,NUTS,2010,BG34,2,161.3
2015,NUTS,2010,BG34,2,166.9
2016,NUTS,2010,BG34,2,168.3
2017,NUTS,2010,BG34,2,171.9
2018,NUTS,2010,BG34,2,171.4
2019,NUTS,2010,BG34,2,168.9
2020,NUTS,2010,BG34,2,171.4
2011,NUTS,2010,BG4,1,741.3
2012,NUTS,2010,BG4,1,738.8
2013,NUTS,2010,BG4,1,784.0
2014,NUTS,2010,BG4,1,834.1
2015,NUTS,2010,BG4,1,845.9
2016,NUTS,2010,BG4,1,849.6
2017,NUTS,2010,BG4,1,856.6
2018,NUTS,2010,BG4,1,862.1
2019,NUTS,2010,BG4,1,859.8
2020,NUTS,2010,BG4,1,884.7
2011,NUTS,2010,BG41,2,529.2
2012,NUTS,2010,BG41,2,528.4
2013,NUTS,2010,BG41,2,559.4
2014,NUTS,2010,BG41,2,593.6
2015,NUTS,2010,BG41,2,612.2
2016,NUTS,2010,BG41,2,618.9
2017,NUTS,2010,BG41,2,616.9
2018,NUTS,2010,BG41,2,620.8
2019,NUTS,2010,BG41,2,622.4
2020,NUTS,2010,BG41,2,653.4
2011,NUTS,2010,BG42,2,212.1
2012,NUTS,2010,BG42,2,210.4
2013,NUTS,2010,BG42,2,224.6
2014,NUTS,2010,BG42,2,240.5
2015,NUTS,2010,BG42,2,233.7
2016,NUTS,2010,BG42,2,230.8
2017,NUTS,2010,BG42,2,239.7
2018,NUTS,2010,BG42,2,241.3
2019,NUTS,2010,BG42,2,237.5
2020,NUTS,2010,BG42,2,231.3
2011,NUTS,2010,CH,0,2350.0
2012,NUTS,2010,CH,0,2435.6
2013,NUTS,2010,CH,0,2558.4
2014,NUTS,2010,CH,0,2662.6
2015,NUTS,2010,CH,0,2751.0
2016,NUTS,2010,CH,0,2856.2
2017,NUTS,2010,CH,0,2945.3
2018,NUTS,2010,CH,0,3013.5
2019,NUTS,2010,CH,0,3091.8
2020,NUTS,2010,CH,0,3132.1
2011,NUTS,2010,CH0,1,2350.0
2012,NUTS,2010,CH0,1,2435.6
2013,NUTS,2010,CH0,1,2558.4
2014,NUTS,2010,CH0,1,2662.6
2015,NUTS,2010,CH0,1,2751.0
2016,NUTS,2010,CH0,1,2856.2
2017,NUTS,2010,CH0,1,2945.3
2018,NUTS,2010,CH0,1,3013.5
2019,NUTS,2010,CH0,1,3091.8
2020,NUTS,2010,CH0,1,3132.1
2011,NUTS,2010,CH01,2,452.3
2012,NUTS,2010,CH01,2,467.2
2013,NUTS,2010,CH01,2,474.3
2014,NUTS,2010,CH01,2,490.1
2015,NUTS,2010,CH01,2,507.5
2016,NUTS,2010,CH01,2,526.8
2017,NUTS,2010,CH01,2,551.1
2018,NUTS,2010,CH01,2,564.7
2019,NUTS,2010,CH01,2,572.0
2020,NUTS,2010,CH01,2,571.8
2011,NUTS,2010,CH02,2,492.2
2012,NUTS,2010,CH02,2,511.4
2013,NUTS,2010,CH02,2,541.2
2014,NUTS,2010,CH02,2,564.3
2015,NUTS,2010,CH02,2,580.6
2016,NUTS,2010,CH02,2,590.2
2017,NUTS,2010,CH02,2,606.1
2018,NUTS,2010,CH02,2,611.0
2019,NUTS,2010,CH02,2,629.9
2020,NUTS,2010,CH02,2,634.5
2011,NUTS,2010,CH03,2,322.5
2012,NUTS,2010,CH03,2,335.0
2013,NUTS,2010,CH03,2,367.3
2014,NUTS,2010,CH03,2,380.2
2015,NUTS,2010,CH03,2,391.1
2016,NUTS,2010,CH03,2,398.9
2017,NUTS,2010,CH03,2,408.4
2018,NUTS,2010,CH03,2,419.0
2019,NUTS,2010,CH03,2,432.4
2020,NUTS,2010,CH03,2,441.2
2011,NUTS,2010,CH04,2,480.9
2012,NUTS,2010,CH04,2,506.3
2013,NUTS,2010,CH04,2,530.4
2014,NUTS,2010,CH04,2,542.4
2015,NUTS,2010,CH04,2,560.3
2016,NUTS,2010,CH04,2,597.3
2017,NUTS,2010,CH04,2,615.2
2018,NUTS,2010,CH04,2,632.9
2019,NUTS,2010,CH04,2,655.9
2020,NUTS,2010,CH04,2,671.8
2011,NUTS,2010,CH05,2,300.2
2012,NUTS,2010,CH05,2,304.0
2013,NUTS,2010,CH05,2,321.3
2014,NUTS,2010,CH05,2,339.8
2015,NUTS,2010,CH05,2,349.2
2016,NUTS,2010,CH05,2,361.2
2017,NUTS,2010,CH05,2,368.9
2018,NUTS,2010,CH05,2,382.1
2019,NUTS,2010,CH05,2,397.9
2020,NUTS,2010,CH05,2,403.6
2011,NUTS,2010,CH06,2,216.1
2012,NUTS,2010,CH06,2,225.0
2013,NUTS,2010,CH06,2,233.4
2014,NUTS,2010,CH06,2,250.0
2015,NUTS,2010,CH06,2,259.7
2016,NUTS,2010,CH06,2,278.3
2017,NUTS,2010,CH06,2,287.6
2018,NUTS,2010,CH06,2,288.6
2019,NUTS,2010,CH06,2,291.9
2020,NUTS,2010,CH06,2,297.3
2011,NUTS,2010,CH07,2,86.0
2012,NUTS,2010,CH07,2,86.6
2013,NUTS,2010,CH07,2,90.5
2014,NUTS,2010,CH07,2,95.8
2015,NUTS,2010,CH07,2,102.7
2016,NUTS,2010,CH07,2,103.5
2017,NUTS,2010,CH07,2,108.0
2018,NUTS,2010,CH07,2,115.3
2019,NUTS,2010,CH07,2,111.9
2020,NUTS,2010,CH07,2,111.9
2011,NUTS,2010,CY,0,226.9
2012,NUTS,2010,CY,0,236.5
2013,NUTS,2010,CY,0,235.8
2014,NUTS,2010,CY,0,237.6
2015,NUTS,2010,CY,0,233.0
2016,NUTS,2010,CY,0,241.6
2017,NUTS,2010,CY,0,249.4
2018,NUTS,2010,CY,0,258.8
2019,NUTS,2010,CY,0,264.3
2020,NUTS,2010,CY,0,269.9
2011,NUTS,2010,CY0,1,226.9
2012,NUTS,2010,CY0,1,236.5
2013,NUTS,2010,CY0,1,235.8
2014,NUTS,2010,CY0,1,237.6
2015,NUTS,2010,CY0,1,233.0
2016,NUTS,2010,CY0,1,241.6
2017,NUTS,2010,CY0,1,249.4
2018,NUTS,2010,CY0,1,258.8
2019,NUTS,2010,CY0,1,264.3
2020,NUTS,2010,CY0,1,269.9
2011,NUTS,2010,CY00,2,226.9
2012,NUTS,2010,CY00,2,236.5
2013,NUTS,2010,CY00,2,235.8
2014,NUTS,2010,CY00,2,237.6
2015,NUTS,2010,CY00,2,233.0
2016,NUTS,2010,CY00,2,241.6
2017,NUTS,2010,CY00,2,249.4
2018,NUTS,2010,CY00,2,258.8
2019,NUTS,2010,CY00,2,264.3
2020,NUTS,2010,CY00,2,269.9
2011,NUTS,2010,CZ,0,2104.5
2012,NUTS,2010,CZ,0,2163.3
2013,NUTS,2010,CZ,0,2214.0
2014,NUTS,2010,CZ,0,2264.5
2015,NUTS,2010,CZ,0,2282.9
2016,NUTS,2010,CZ,0,2343.8
2017,NUTS,2010,CZ,0,2411.6
2018,NUTS,2010,CZ,0,2433.3
2019,NUTS,2010,CZ,0,2426.9
2020,NUTS,2010,CZ,0,2477.2
2011,NUTS,2010,CZ0,1,2104.5
2012,NUTS,2010,CZ0,1,2163.3
2013,NUTS,2010,CZ0,1,2214.0
2014,NUTS,2010,CZ0,1,2264.5
2015,NUTS,2010,CZ0,1,2282.9
2016,NUTS,2010,CZ0,1,2343.8
2017,NUTS,2010,CZ0,1,2411.6
2018,NUTS,2010,CZ0,1,2433.3
2019,NUTS,2010,CZ0,1,2426.9
2020,NUTS,2010,CZ0,1,2477.2
2011,NUTS,2010,CZ01,2,437.9
2012,NUTS,2010,CZ01,2,449.2
2013,NUTS,2010,CZ01,2,444.5
2014,NUTS,2010,CZ01,2,442.2
2015,NUTS,2010,CZ01,2,439.0
2016,NUTS,2010,CZ01,2,466.3
2017,NUTS,2010,CZ01,2,489.8
2018,NUTS,2010,CZ01,2,500.7
2019,NUTS,2010,CZ01,2,511.4
2020,NUTS,2010,CZ01,2,520.8
2011,NUTS,2010,CZ02,2,250.1
2012,NUTS,2010,CZ02,2,270.9
2013,NUTS,2010,CZ02,2,276.3
2014,NUTS,2010,CZ02,2,281.0
2015,NUTS,2010,CZ02,2,283.7
2016,NUTS,2010,CZ02,2,280.1
2017,NUTS,2010,CZ02,2,293.5
2018,NUTS,2010,CZ02,2,307.0
2019,NUTS,2010,CZ02,2,310.8
2020,NUTS,2010,CZ02,2,316.5
2011,NUTS,2010,CZ03,2,216.2
2012,NUTS,2010,CZ03,2,227.7
2013,NUTS,2010,CZ03,2,239.5
2014,NUTS,2010,CZ03,2,236.9
2015,NUTS,2010,CZ03,2,233.4
2016,NUTS,2010,CZ03,2,237.0
2017,NUTS,2010,CZ03,2,245.3
2018,NUTS,2010,CZ03,2,243.1
2019,NUTS,2010,CZ03,2,241.0
2020,NUTS,2010,CZ03,2,242.1
2011,NUTS,2010,CZ04,2,166.0
2012,NUTS,2010,CZ04,2,170.6
2013,NUTS,2010,CZ04,2,174.5
2014,NUTS,2010,CZ04,2,183.1
2015,NUTS,2010,CZ04,2,181.0
2016,NUTS,2010,CZ04,2,183.5
2017,NUTS,2010,CZ04,2,186.9
2018,NUTS,2010,CZ04,2,187.1
2019,NUTS,2010,CZ04,2,190.3
2020,NUTS,2010,CZ04,2,184.3
2011,NUTS,2010,CZ05,2,263.3
2012,NUTS,2010,CZ05,2,264.0
2013,NUTS,2010,CZ05,2,280.1
2014,NUTS,2010,CZ05,2,292.9
2015,NUTS,2010,CZ05,2,289.1
2016,NUTS,2010,CZ05,2,299.8
2017,NUTS,2010,CZ05,2,306.6
2018,NUTS,2010,CZ05,2,309.7
2019,NUTS,2010,CZ05,2,306.3
2020,NUTS,2010,CZ05,2,304.5
2011,NUTS,2010,CZ06,2,344.5
2012,NUTS,2010,CZ06,2,354.1
2013,NUTS,2010,CZ06,2,367.4
2014,NUTS,2010,CZ06,2,379.2
2015,NUTS,2010,CZ06,2,391.9
2016,NUTS,2010,CZ06,2,399.4
2017,NUTS,2010,CZ06,2,390.7
2018,NUTS,2010,CZ06,2,393.3
2019,NUTS,2010,CZ06,2,399.1
2020,NUTS,2010,CZ06,2,416.2
2011,NUTS,2010,CZ07,2,214.5
2012,NUTS,2010,CZ07,2,212.8
2013,NUTS,2010,CZ07,2,206.5
2014,NUTS,2010,CZ07,2,221.7
2015,NUTS,2010,CZ07,2,234.7
2016,NUTS,2010,CZ07,2,235.7
2017,NUTS,2010,CZ07,2,236.6
2018,NUTS,2010,CZ07,2,236.1
2019,NUTS,2010,CZ07,2,231.8
2020,NUTS,2010,CZ07,2,246.7
2011,NUTS,2010,CZ08,2,211.9
2012,NUTS,2010,CZ08,2,213.9
2013,NUTS,2010,CZ08,2,225.3
2014,NUTS,2010,CZ08,2,227.5
2015,NUTS,2010,CZ08,2,230.1
2016,NUTS,2010,CZ08,2,241.9
2017,NUTS,2010,CZ08,2,262.3
2018,NUTS,2010,CZ08,2,256.3
2019,NUTS,2010,CZ08,2,236.4
2020,NUTS,2010,CZ08,2,246.1
2011,NUTS,2010,DE,0,20321.6
2012,NUTS,2010,DE,0,21222.5
2013,NUTS,2010,DE,0,21588.3
2014,NUTS,2010,DE,0,21690.6
2015,NUTS,2010,DE,0,22180.1
2016,NUTS,2010,DE,0,22890.9
2017,NUTS,2010,DE,0,23207.3
2018,NUTS,2010,DE,0,23556.6
2019,NUTS,2010,DE,0,24158.7
2020,NUTS,2010,DE,0,24465.8
2011,NUTS,2010,DE1,1,2784.0
2012,NUTS,2010,DE1,1,2911.7
2013,NUTS,2010,DE1,1,2974.9
2014,NUTS,2010,DE1,1,3003.8
2015,NUTS,2010,DE1,1,3097.8
2016,NUTS,2010,DE1,1,3193.5
2017,NUTS,2010,DE1,1,3230.6
2018,NUTS,2010,DE1,1,3240.3
2019,NUTS,2010,DE1,1,3400.6
2020,NUTS,2010,DE1,1,3449.8
2011,NUTS,2010,DE11,2,1042.0
2012,NUTS,2010,DE11,2,1097.6
2013,NUTS,2010,DE11,2,1110.8
2014,NUTS,2010,DE11,2,1136.0
2015,NUTS,2010,DE11,2,1192.0
2016,NUTS,2010,DE11,2,1232.7
2017,NUTS,2010,DE11,2,1241.4
2018,NUTS,2010,DE11,2,1243.6
2019,NUTS,2010,DE11,2,1302.8
2020,NUTS,2010,DE11,2,1323.9
2011,NUTS,2010,DE12,2,720.2
2012,NUTS,2010,DE12,2,754.9
2013,NUTS,2010,DE12,2,773.2
2014,NUTS,2010,DE12,2,773.1
2015,NUTS,2010,DE12,2,798.0
2016,NUTS,2010,DE12,2,816.7
2017,NUTS,2010,DE12,2,833.1
2018,NUTS,2010,DE12,2,833.1
2019,NUTS,2010,DE12,2,875.7
2020,NUTS,2010,DE12,2,887.9
2011,NUTS,2010,DE13,2,547.9
2012,NUTS,2010,DE13,2,566.2
2013,NUTS,2010,DE13,2,574.2
2014,NUTS,2010,DE13,2,583.8
2015,NUTS,2010,DE13,2,593.1
2016,NUTS,2010,DE13,2,619.6
2017,NUTS,2010,DE13,2,622.6
2018,NUTS,2010,DE13,2,632.7
2019,NUTS,2010,DE13,2,670.1
2020,NUTS,2010,DE13,2,654.7
2011,NUTS,2010,DE14,2,474.0
2012,NUTS,2010,DE14,2,493.0
2013,NUTS,2010,DE14,2,516.6
2014,NUTS,2010,DE14,2,510.9
2015,NUTS,2010,DE14,2,514.7
2016,NUTS,2010,DE14,2,524.4
2017,NUTS,2010,DE14,2,533.5
2018,NUTS,2010,DE14,2,531.0
2019,NUTS,2010,DE14,2,552.0
2020,NUTS,2010,DE14,2,583.3
2011,NUTS,2010,DE2,1,3213.1
2012,NUTS,2010,DE2,1,3433.5
2013,NUTS,2010,DE2,1,3515.5
2014,NUTS,2010,DE2,1,3572.8
2015,NUTS,2010,DE2,1,3638.9
