year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrst
2015,NUTS,2010,BE33,2,32.5
2016,NUTS,2010,BE33,2,33.0
2017,NUTS,2010,BE33,2,34.2
2018,NUTS,2010,BE33,2,35.0
2019,NUTS,2010,BE33,2,35.8
2020,NUTS,2010,BE33,2,37.7
2011,NUTS,2010,BE34,2,30.5
2012,NUTS,2010,BE34,2,33.0
2013,NUTS,2010,BE34,2,31.0
2014,NUTS,2010,BE34,2,34.4
2015,NUTS,2010,BE34,2,35.1
2016,NUTS,2010,BE34,2,34.1
2017,NUTS,2010,BE34,2,35.5
2018,NUTS,2010,BE34,2,37.1
2019,NUTS,2010,BE34,2,38.6
2020,NUTS,2010,BE34,2,39.6
2011,NUTS,2010,BE35,2,33.1
2012,NUTS,2010,BE35,2,35.1
2013,NUTS,2010,BE35,2,32.8
2014,NUTS,2010,BE35,2,36.0
2015,NUTS,2010,BE35,2,34.0
2016,NUTS,2010,BE35,2,33.9
2017,NUTS,2010,BE35,2,38.9
2018,NUTS,2010,BE35,2,38.7
2019,NUTS,2010,BE35,2,37.3
2020,NUTS,2010,BE35,2,38.3
2011,NUTS,2010,BG,0,22.5
2012,NUTS,2010,BG,0,22.9
2013,NUTS,2010,BG,0,24.4
2014,NUTS,2010,BG,0,25.7
2015,NUTS,2010,BG,0,26.2
2016,NUTS,2010,BG,0,26.4
2017,NUTS,2010,BG,0,26.8
2018,NUTS,2010,BG,0,27.2
2019,NUTS,2010,BG,0,27.0
2020,NUTS,2010,BG,0,27.9
2011,NUTS,2010,BG3,1,19.2
2012,NUTS,2010,BG3,1,19.8
2013,NUTS,2010,BG3,1,20.9
2014,NUTS,2010,BG3,1,21.6
2015,NUTS,2010,BG3,1,21.9
2016,NUTS,2010,BG3,1,22.1
2017,NUTS,2010,BG3,1,22.3
2018,NUTS,2010,BG3,1,22.6
2019,NUTS,2010,BG3,1,22.2
2020,NUTS,2010,BG3,1,22.8
2011,NUTS,2010,BG31,2,17.5
2012,NUTS,2010,BG31,2,17.9
2013,NUTS,2010,BG31,2,19.1
2014,NUTS,2010,BG31,2,20.4
2015,NUTS,2010,BG31,2,20.9
2016,NUTS,2010,BG31,2,19.5
2017,NUTS,2010,BG31,2,19.7
2018,NUTS,2010,BG31,2,20.5
2019,NUTS,2010,BG31,2,19.1
2020,NUTS,2010,BG31,2,20.4
2011,NUTS,2010,BG32,2,19.2
2012,NUTS,2010,BG32,2,19.9
2013,NUTS,2010,BG32,2,21.0
2014,NUTS,2010,BG32,2,21.7
2015,NUTS,2010,BG32,2,22.0
2016,NUTS,2010,BG32,2,22.8
2017,NUTS,2010,BG32,2,22.1
2018,NUTS,2010,BG32,2,23.6
2019,NUTS,2010,BG32,2,25.3
2020,NUTS,2010,BG32,2,25.3
2011,NUTS,2010,BG33,2,21.0
2012,NUTS,2010,BG33,2,21.1
2013,NUTS,2010,BG33,2,23.2
2014,NUTS,2010,BG33,2,23.9
2015,NUTS,2010,BG33,2,23.7
2016,NUTS,2010,BG33,2,24.4
2017,NUTS,2010,BG33,2,25.0
2018,NUTS,2010,BG33,2,24.0
2019,NUTS,2010,BG33,2,22.2
2020,NUTS,2010,BG33,2,22.9
2011,NUTS,2010,BG34,2,18.8
2012,NUTS,2010,BG34,2,20.0
2013,NUTS,2010,BG34,2,20.1
2014,NUTS,2010,BG34,2,20.1
2015,NUTS,2010,BG34,2,20.8
2016,NUTS,2010,BG34,2,21.2
2017,NUTS,2010,BG34,2,21.8
2018,NUTS,2010,BG34,2,22.0
2019,NUTS,2010,BG34,2,21.9
2020,NUTS,2010,BG34,2,22.4
2011,NUTS,2010,BG4,1,25.9
2012,NUTS,2010,BG4,1,26.1
2013,NUTS,2010,BG4,1,27.9
2014,NUTS,2010,BG4,1,29.8
2015,NUTS,2010,BG4,1,30.4
2016,NUTS,2010,BG4,1,30.8
2017,NUTS,2010,BG4,1,31.3
2018,NUTS,2010,BG4,1,31.8
2019,NUTS,2010,BG4,1,31.8
2020,NUTS,2010,BG4,1,33.0
2011,NUTS,2010,BG41,2,31.1
2012,NUTS,2010,BG41,2,31.3
2013,NUTS,2010,BG41,2,33.2
2014,NUTS,2010,BG41,2,35.4
2015,NUTS,2010,BG41,2,36.8
2016,NUTS,2010,BG41,2,37.3
2017,NUTS,2010,BG41,2,37.5
2018,NUTS,2010,BG41,2,38.0
2019,NUTS,2010,BG41,2,38.4
2020,NUTS,2010,BG41,2,40.6
2011,NUTS,2010,BG42,2,18.3
2012,NUTS,2010,BG42,2,18.4
2013,NUTS,2010,BG42,2,19.9
2014,NUTS,2010,BG42,2,21.4
2015,NUTS,2010,BG42,2,20.9
2016,NUTS,2010,BG42,2,20.9
2017,NUTS,2010,BG42,2,22.0
2018,NUTS,2010,BG42,2,22.3
2019,NUTS,2010,BG42,2,22.0
2020,NUTS,2010,BG42,2,21.5
2011,NUTS,2010,CH,0,39.0
2012,NUTS,2010,CH,0,39.9
2013,NUTS,2010,CH,0,41.5
2014,NUTS,2010,CH,0,42.6
2015,NUTS,2010,CH,0,43.6
2016,NUTS,2010,CH,0,44.9
2017,NUTS,2010,CH,0,46.0
2018,NUTS,2010,CH,0,46.9
2019,NUTS,2010,CH,0,47.9
2020,NUTS,2010,CH,0,48.3
2011,NUTS,2010,CH0,1,39.0
2012,NUTS,2010,CH0,1,39.9
2013,NUTS,2010,CH0,1,41.5
2014,NUTS,2010,CH0,1,42.6
2015,NUTS,2010,CH0,1,43.6
2016,NUTS,2010,CH0,1,44.9
2017,NUTS,2010,CH0,1,46.0
2018,NUTS,2010,CH0,1,46.9
2019,NUTS,2010,CH0,1,47.9
2020,NUTS,2010,CH0,1,48.3
2011,NUTS,2010,CH01,2,40.7
2012,NUTS,2010,CH01,2,41.4
2013,NUTS,2010,CH01,2,41.4
2014,NUTS,2010,CH01,2,42.1
2015,NUTS,2010,CH01,2,42.9
2016,NUTS,2010,CH01,2,44.0
2017,NUTS,2010,CH01,2,45.4
2018,NUTS,2010,CH01,2,46.4
2019,NUTS,2010,CH01,2,47.0
2020,NUTS,2010,CH01,2,46.5
2011,NUTS,2010,CH02,2,36.7
2012,NUTS,2010,CH02,2,37.7
2013,NUTS,2010,CH02,2,39.5
2014,NUTS,2010,CH02,2,40.7
2015,NUTS,2010,CH02,2,41.5
2016,NUTS,2010,CH02,2,41.8
2017,NUTS,2010,CH02,2,43.0
2018,NUTS,2010,CH02,2,43.4
2019,NUTS,2010,CH02,2,44.5
2020,NUTS,2010,CH02,2,44.9
2011,NUTS,2010,CH03,2,39.1
2012,NUTS,2010,CH03,2,40.2
2013,NUTS,2010,CH03,2,43.6
2014,NUTS,2010,CH03,2,44.7
2015,NUTS,2010,CH03,2,45.4
2016,NUTS,2010,CH03,2,46.0
2017,NUTS,2010,CH03,2,46.8
2018,NUTS,2010,CH03,2,47.9
2019,NUTS,2010,CH03,2,49.1
2020,NUTS,2010,CH03,2,49.7
2011,NUTS,2010,CH04,2,45.1
2012,NUTS,2010,CH04,2,47.0
2013,NUTS,2010,CH04,2,48.8
2014,NUTS,2010,CH04,2,49.1
2015,NUTS,2010,CH04,2,50.3
2016,NUTS,2010,CH04,2,53.1
2017,NUTS,2010,CH04,2,54.0
2018,NUTS,2010,CH04,2,55.1
2019,NUTS,2010,CH04,2,56.6
2020,NUTS,2010,CH04,2,57.4
2011,NUTS,2010,CH05,2,35.1
2012,NUTS,2010,CH05,2,35.2
2013,NUTS,2010,CH05,2,36.8
2014,NUTS,2010,CH05,2,38.7
2015,NUTS,2010,CH05,2,39.4
2016,NUTS,2010,CH05,2,40.6
2017,NUTS,2010,CH05,2,41.5
2018,NUTS,2010,CH05,2,42.7
2019,NUTS,2010,CH05,2,44.5
2020,NUTS,2010,CH05,2,44.9
2011,NUTS,2010,CH06,2,37.2
2012,NUTS,2010,CH06,2,38.3
2013,NUTS,2010,CH06,2,39.3
2014,NUTS,2010,CH06,2,41.8
2015,NUTS,2010,CH06,2,43.1
2016,NUTS,2010,CH06,2,45.8
2017,NUTS,2010,CH06,2,47.0
2018,NUTS,2010,CH06,2,46.9
2019,NUTS,2010,CH06,2,47.1
2020,NUTS,2010,CH06,2,47.8
2011,NUTS,2010,CH07,2,33.9
2012,NUTS,2010,CH07,2,33.8
2013,NUTS,2010,CH07,2,34.8
2014,NUTS,2010,CH07,2,36.5
2015,NUTS,2010,CH07,2,38.5
2016,NUTS,2010,CH07,2,38.7
2017,NUTS,2010,CH07,2,40.8
2018,NUTS,2010,CH07,2,43.6
2019,NUTS,2010,CH07,2,42.4
2020,NUTS,2010,CH07,2,42.5
2011,NUTS,2010,CY,0,35.7
2012,NUTS,2010,CY,0,36.7
2013,NUTS,2010,CY,0,36.7
2014,NUTS,2010,CY,0,37.4
2015,NUTS,2010,CY,0,37.2
2016,NUTS,2010,CY,0,38.4
2017,NUTS,2010,CY,0,39.1
2018,NUTS,2010,CY,0,40.1
2019,NUTS,2010,CY,0,40.5
2020,NUTS,2010,CY,0,40.9
2011,NUTS,2010,CY0,1,35.7
2012,NUTS,2010,CY0,1,36.7
2013,NUTS,2010,CY0,1,36.7
2014,NUTS,2010,CY0,1,37.4
2015,NUTS,2010,CY0,1,37.2
2016,NUTS,2010,CY0,1,38.4
2017,NUTS,2010,CY0,1,39.1
2018,NUTS,2010,CY0,1,40.1
2019,NUTS,2010,CY0,1,40.5
2020,NUTS,2010,CY0,1,40.9
2011,NUTS,2010,CY00,2,35.7
2012,NUTS,2010,CY00,2,36.7
2013,NUTS,2010,CY00,2,36.7
2014,NUTS,2010,CY00,2,37.4
2015,NUTS,2010,CY00,2,37.2
2016,NUTS,2010,CY00,2,38.4
2017,NUTS,2010,CY00,2,39.1
2018,NUTS,2010,CY00,2,40.1
2019,NUTS,2010,CY00,2,40.5
2020,NUTS,2010,CY00,2,40.9
2011,NUTS,2010,CZ,0,25.4
2012,NUTS,2010,CZ,0,26.2
2013,NUTS,2010,CZ,0,26.9
2014,NUTS,2010,CZ,0,27.6
2015,NUTS,2010,CZ,0,27.8
2016,NUTS,2010,CZ,0,28.7
2017,NUTS,2010,CZ,0,29.5
2018,NUTS,2010,CZ,0,29.9
2019,NUTS,2010,CZ,0,29.9
2020,NUTS,2010,CZ,0,30.5
2011,NUTS,2010,CZ0,1,25.4
2012,NUTS,2010,CZ0,1,26.2
2013,NUTS,2010,CZ0,1,26.9
2014,NUTS,2010,CZ0,1,27.6
2015,NUTS,2010,CZ0,1,27.8
2016,NUTS,2010,CZ0,1,28.7
2017,NUTS,2010,CZ0,1,29.5
2018,NUTS,2010,CZ0,1,29.9
2019,NUTS,2010,CZ0,1,29.9
2020,NUTS,2010,CZ0,1,30.5
2011,NUTS,2010,CZ01,2,44.9
2012,NUTS,2010,CZ01,2,45.7
2013,NUTS,2010,CZ01,2,45.5
2014,NUTS,2010,CZ01,2,45.9
2015,NUTS,2010,CZ01,2,45.1
2016,NUTS,2010,CZ01,2,48.3
2017,NUTS,2010,CZ01,2,50.1
2018,NUTS,2010,CZ01,2,50.5
2019,NUTS,2010,CZ01,2,51.4
2020,NUTS,2010,CZ01,2,51.9
2011,NUTS,2010,CZ02,2,25.2
2012,NUTS,2010,CZ02,2,27.0
2013,NUTS,2010,CZ02,2,27.5
2014,NUTS,2010,CZ02,2,27.7
2015,NUTS,2010,CZ02,2,27.8
2016,NUTS,2010,CZ02,2,27.5
2017,NUTS,2010,CZ02,2,28.7
2018,NUTS,2010,CZ02,2,29.9
2019,NUTS,2010,CZ02,2,30.0
2020,NUTS,2010,CZ02,2,30.2
2011,NUTS,2010,CZ03,2,22.7
2012,NUTS,2010,CZ03,2,24.0
2013,NUTS,2010,CZ03,2,25.4
2014,NUTS,2010,CZ03,2,25.0
2015,NUTS,2010,CZ03,2,24.7
2016,NUTS,2010,CZ03,2,25.1
2017,NUTS,2010,CZ03,2,26.0
2018,NUTS,2010,CZ03,2,26.0
2019,NUTS,2010,CZ03,2,25.7
2020,NUTS,2010,CZ03,2,25.8
2011,NUTS,2010,CZ04,2,18.5
2012,NUTS,2010,CZ04,2,19.1
2013,NUTS,2010,CZ04,2,19.5
2014,NUTS,2010,CZ04,2,20.6
2015,NUTS,2010,CZ04,2,20.5
2016,NUTS,2010,CZ04,2,20.9
2017,NUTS,2010,CZ04,2,21.6
2018,NUTS,2010,CZ04,2,21.6
2019,NUTS,2010,CZ04,2,22.1
2020,NUTS,2010,CZ04,2,21.4
2011,NUTS,2010,CZ05,2,22.3
2012,NUTS,2010,CZ05,2,22.4
2013,NUTS,2010,CZ05,2,23.9
2014,NUTS,2010,CZ05,2,25.0
2015,NUTS,2010,CZ05,2,24.7
2016,NUTS,2010,CZ05,2,25.7
2017,NUTS,2010,CZ05,2,26.3
2018,NUTS,2010,CZ05,2,26.7
2019,NUTS,2010,CZ05,2,26.4
2020,NUTS,2010,CZ05,2,26.4
2011,NUTS,2010,CZ06,2,26.0
2012,NUTS,2010,CZ06,2,26.9
2013,NUTS,2010,CZ06,2,27.9
2014,NUTS,2010,CZ06,2,28.7
2015,NUTS,2010,CZ06,2,29.9
2016,NUTS,2010,CZ06,2,30.5
2017,NUTS,2010,CZ06,2,30.0
2018,NUTS,2010,CZ06,2,30.5
2019,NUTS,2010,CZ06,2,30.9
2020,NUTS,2010,CZ06,2,32.3
2011,NUTS,2010,CZ07,2,22.2
2012,NUTS,2010,CZ07,2,22.1
2013,NUTS,2010,CZ07,2,21.6
2014,NUTS,2010,CZ07,2,23.3
2015,NUTS,2010,CZ07,2,24.7
2016,NUTS,2010,CZ07,2,25.0
2017,NUTS,2010,CZ07,2,25.1
2018,NUTS,2010,CZ07,2,25.2
2019,NUTS,2010,CZ07,2,25.0
2020,NUTS,2010,CZ07,2,26.8
2011,NUTS,2010,CZ08,2,21.7
2012,NUTS,2010,CZ08,2,22.0
2013,NUTS,2010,CZ08,2,23.2
2014,NUTS,2010,CZ08,2,23.7
2015,NUTS,2010,CZ08,2,24.3
2016,NUTS,2010,CZ08,2,25.6
2017,NUTS,2010,CZ08,2,27.9
2018,NUTS,2010,CZ08,2,27.5
2019,NUTS,2010,CZ08,2,25.6
2020,NUTS,2010,CZ08,2,26.7
2011,NUTS,2010,DE,0,33.1
2012,NUTS,2010,DE,0,34.5
2013,NUTS,2010,DE,0,35.2
2014,NUTS,2010,DE,0,35.3
2015,NUTS,2010,DE,0,36.0
2016,NUTS,2010,DE,0,36.9
2017,NUTS,2010,DE,0,37.4
2018,NUTS,2010,DE,0,38.0
2019,NUTS,2010,DE,0,39.0
2020,NUTS,2010,DE,0,39.4
2011,NUTS,2010,DE1,1,35.0
2012,NUTS,2010,DE1,1,36.4
2013,NUTS,2010,DE1,1,37.0
2014,NUTS,2010,DE1,1,37.2
2015,NUTS,2010,DE1,1,38.0
2016,NUTS,2010,DE1,1,38.8
2017,NUTS,2010,DE1,1,39.0
2018,NUTS,2010,DE1,1,39.1
2019,NUTS,2010,DE1,1,40.8
2020,NUTS,2010,DE1,1,41.2
2011,NUTS,2010,DE11,2,35.2
2012,NUTS,2010,DE11,2,36.8
2013,NUTS,2010,DE11,2,37.0
2014,NUTS,2010,DE11,2,37.5
2015,NUTS,2010,DE11,2,39.1
2016,NUTS,2010,DE11,2,39.9
2017,NUTS,2010,DE11,2,40.1
2018,NUTS,2010,DE11,2,40.0
2019,NUTS,2010,DE11,2,41.6
2020,NUTS,2010,DE11,2,42.2
2011,NUTS,2010,DE12,2,35.4
2012,NUTS,2010,DE12,2,36.9
2013,NUTS,2010,DE12,2,37.5
2014,NUTS,2010,DE12,2,37.4
2015,NUTS,2010,DE12,2,38.3
2016,NUTS,2010,DE12,2,39.2
2017,NUTS,2010,DE12,2,39.2
2018,NUTS,2010,DE12,2,39.3
2019,NUTS,2010,DE12,2,41.1
2020,NUTS,2010,DE12,2,41.3
2011,NUTS,2010,DE13,2,33.8
2012,NUTS,2010,DE13,2,34.6
2013,NUTS,2010,DE13,2,35.3
2014,NUTS,2010,DE13,2,35.6
2015,NUTS,2010,DE13,2,35.7
2016,NUTS,2010,DE13,2,36.9
2017,NUTS,2010,DE13,2,37.1
2018,NUTS,2010,DE13,2,37.7
2019,NUTS,2010,DE13,2,39.7
2020,NUTS,2010,DE13,2,40.4
2011,NUTS,2010,DE14,2,35.5
2012,NUTS,2010,DE14,2,36.8
2013,NUTS,2010,DE14,2,38.4
2014,NUTS,2010,DE14,2,38.1
2015,NUTS,2010,DE14,2,38.1
2016,NUTS,2010,DE14,2,38.3
2017,NUTS,2010,DE14,2,38.7
2018,NUTS,2010,DE14,2,38.4
2019,NUTS,2010,DE14,2,39.9
2020,NUTS,2010,DE14,2,40.0
2011,NUTS,2010,DE2,1,33.9
2012,NUTS,2010,DE2,1,35.9
2013,NUTS,2010,DE2,1,36.6
2014,NUTS,2010,DE2,1,37.0
2015,NUTS,2010,DE2,1,37.6
2016,NUTS,2010,DE2,1,38.1
2017,NUTS,2010,DE2,1,38.9
2018,NUTS,2010,DE2,1,39.8
2019,NUTS,2010,DE2,1,40.4
2020,NUTS,2010,DE2,1,41.3
2011,NUTS,2010,DE21,2,40.1
