year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2011,NUTS,2010,CZ06,2,0.0043
2012,NUTS,2010,CZ06,2,0.0027
2013,NUTS,2010,CZ06,2,0.0029
2014,NUTS,2010,CZ06,2,0.0029
2015,NUTS,2010,CZ06,2,0.0015
2016,NUTS,2010,CZ06,2,0.0005
2017,NUTS,2010,CZ06,2,0.0009
2018,NUTS,2010,CZ06,2,0.0018
2019,NUTS,2010,CZ06,2,0.0016
2020,NUTS,2010,CZ06,2,0.001
2011,NUTS,2010,CZ07,2,0.0017
2012,NUTS,2010,CZ07,2,0.0013
2013,NUTS,2010,CZ07,2,0.0013
2014,NUTS,2010,CZ07,2,0.0022
2015,NUTS,2010,CZ07,2,0.0011
2016,NUTS,2010,CZ07,2,0.0012
2017,NUTS,2010,CZ07,2,0.0009
2018,NUTS,2010,CZ07,2,0.0004
2019,NUTS,2010,CZ07,2,0.001
2020,NUTS,2010,CZ07,2,0.0011
2011,NUTS,2010,CZ08,2,0.0009
2012,NUTS,2010,CZ08,2,0.0026
2013,NUTS,2010,CZ08,2,0.0009
2014,NUTS,2010,CZ08,2,0.0027
2015,NUTS,2010,CZ08,2,0.0012
2016,NUTS,2010,CZ08,2,0.0007
2017,NUTS,2010,CZ08,2,0.0022
2018,NUTS,2010,CZ08,2,0.0021
2019,NUTS,2010,CZ08,2,0.0011
2020,NUTS,2010,CZ08,2,0.0011
2011,NUTS,2010,DK,0,0.0068
2012,NUTS,2010,DK,0,0.0071
2013,NUTS,2010,DK,0,0.007
2014,NUTS,2010,DK,0,0.0071
2015,NUTS,2010,DK,0,0.007
2016,NUTS,2010,DK,0,0.0075
2017,NUTS,2010,DK,0,0.0067
2018,NUTS,2010,DK,0,0.0061
2019,NUTS,2010,DK,0,0.0073
2020,NUTS,2010,DK,0,0.0074
2011,NUTS,2010,DK0,1,0.0067
2012,NUTS,2010,DK0,1,0.0069
2013,NUTS,2010,DK0,1,0.0068
2014,NUTS,2010,DK0,1,0.0068
2015,NUTS,2010,DK0,1,0.0068
2016,NUTS,2010,DK0,1,0.0073
2017,NUTS,2010,DK0,1,0.0064
2018,NUTS,2010,DK0,1,0.0059
2019,NUTS,2010,DK0,1,0.0071
2011,NUTS,2010,DK01,2,0.0201
2012,NUTS,2010,DK01,2,0.0202
2013,NUTS,2010,DK01,2,0.0197
2014,NUTS,2010,DK01,2,0.0196
2015,NUTS,2010,DK01,2,0.0189
2016,NUTS,2010,DK01,2,0.0202
2017,NUTS,2010,DK01,2,0.0181
2019,NUTS,2010,DK01,2,0.0207
2011,NUTS,2010,DK02,2,0.0012
2012,NUTS,2010,DK02,2,0.0012
2013,NUTS,2010,DK02,2,0.0015
2014,NUTS,2010,DK02,2,0.0015
2015,NUTS,2010,DK02,2,0.002
2016,NUTS,2010,DK02,2,0.0017
2017,NUTS,2010,DK02,2,0.001
2019,NUTS,2010,DK02,2,0.0015
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.0008
2013,NUTS,2010,DK03,2,0.0007
2014,NUTS,2010,DK03,2,0.0009
2015,NUTS,2010,DK03,2,0.001
2016,NUTS,2010,DK03,2,0.0014
2017,NUTS,2010,DK03,2,0.0013
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0028
2011,NUTS,2010,EA19,2,0.0088
