year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_fte_total_total_t
2014,NUTS,2010,BE3,1,1.2989
2015,NUTS,2010,BE3,1,1.4543
2016,NUTS,2010,BE3,1,1.3319
2017,NUTS,2010,BE3,1,1.3753
2018,NUTS,2010,BE3,1,1.3316
2019,NUTS,2010,BE3,1,1.2672
2006,NUTS,2010,BE31,2,3.3034
2007,NUTS,2010,BE31,2,3.3099
2008,NUTS,2010,BE31,2,2.9984
2009,NUTS,2010,BE31,2,3.0757
2010,NUTS,2010,BE31,2,3.0054
2011,NUTS,2010,BE31,2,3.3567
2013,NUTS,2010,BE31,2,4.3669
2014,NUTS,2010,BE31,2,4.3898
2015,NUTS,2010,BE31,2,4.3035
2006,NUTS,2010,BE32,2,0.5297
2007,NUTS,2010,BE32,2,0.5303
2008,NUTS,2010,BE32,2,0.6079
2009,NUTS,2010,BE32,2,0.6711
2010,NUTS,2010,BE32,2,0.6939
2011,NUTS,2010,BE32,2,0.7489
2013,NUTS,2010,BE32,2,0.6443
2014,NUTS,2010,BE32,2,0.7586
2015,NUTS,2010,BE32,2,0.9563
2006,NUTS,2010,BE33,2,0.9772
2007,NUTS,2010,BE33,2,1.0488
2008,NUTS,2010,BE33,2,1.0163
2009,NUTS,2010,BE33,2,1.0215
2010,NUTS,2010,BE33,2,1.1181
2011,NUTS,2010,BE33,2,1.093
2013,NUTS,2010,BE33,2,1.0806
2014,NUTS,2010,BE33,2,1.2402
2015,NUTS,2010,BE33,2,1.3684
2006,NUTS,2010,BE34,2,0.2401
2007,NUTS,2010,BE34,2,0.2286
2008,NUTS,2010,BE34,2,0.188
2009,NUTS,2010,BE34,2,0.1762
2010,NUTS,2010,BE34,2,0.2201
2011,NUTS,2010,BE34,2,0.2396
2013,NUTS,2010,BE34,2,0.1657
2014,NUTS,2010,BE34,2,0.1869
2015,NUTS,2010,BE34,2,0.1988
2006,NUTS,2010,BE35,2,0.7728
2007,NUTS,2010,BE35,2,0.7848
2008,NUTS,2010,BE35,2,0.9222
2009,NUTS,2010,BE35,2,0.9586
2010,NUTS,2010,BE35,2,0.6909
2011,NUTS,2010,BE35,2,0.7297
2013,NUTS,2010,BE35,2,0.5578
2014,NUTS,2010,BE35,2,0.7795
2015,NUTS,2010,BE35,2,1.1412
2000,NUTS,2010,BG,0,0.5513
2001,NUTS,2010,BG,0,0.5595
2002,NUTS,2010,BG,0,0.555
2003,NUTS,2010,BG,0,0.5549
2004,NUTS,2010,BG,0,0.5439
2005,NUTS,2010,BG,0,0.5379
2006,NUTS,2010,BG,0,0.5313
2007,NUTS,2010,BG,0,0.5279
2008,NUTS,2010,BG,0,0.5208
2009,NUTS,2010,BG,0,0.5776
2010,NUTS,2010,BG,0,0.5541
2011,NUTS,2010,BG,0,0.5888
2012,NUTS,2010,BG,0,0.5872
2013,NUTS,2010,BG,0,0.6158
2014,NUTS,2010,BG,0,0.6697
2015,NUTS,2010,BG,0,0.7666
2016,NUTS,2010,BG,0,0.8597
2017,NUTS,2010,BG,0,0.7681
2018,NUTS,2010,BG,0,0.8521
2019,NUTS,2010,BG,0,0.853
2020,NUTS,2010,BG,0,0.8739
2003,NUTS,2010,BG3,1,0.2229
2004,NUTS,2010,BG3,1,0.2306
2005,NUTS,2010,BG3,1,0.2297
2006,NUTS,2010,BG3,1,0.2548
2007,NUTS,2010,BG3,1,0.2549
2008,NUTS,2010,BG3,1,0.2635
2009,NUTS,2010,BG3,1,0.2905
2010,NUTS,2010,BG3,1,0.2638
2011,NUTS,2010,BG3,1,0.2782
2012,NUTS,2010,BG3,1,0.2924
2013,NUTS,2010,BG3,1,0.3129
2014,NUTS,2010,BG3,1,0.3551
2015,NUTS,2010,BG3,1,0.4265
2016,NUTS,2010,BG3,1,0.4255
2017,NUTS,2010,BG3,1,0.3995
2018,NUTS,2010,BG3,1,0.4659
2019,NUTS,2010,BG3,1,0.4611
2003,NUTS,2010,BG31,2,0.1585
2004,NUTS,2010,BG31,2,0.1667
2005,NUTS,2010,BG31,2,0.1774
2006,NUTS,2010,BG31,2,0.1929
2007,NUTS,2010,BG31,2,0.1975
2008,NUTS,2010,BG31,2,0.1898
2009,NUTS,2010,BG31,2,0.1773
2010,NUTS,2010,BG31,2,0.1936
2011,NUTS,2010,BG31,2,0.1912
2012,NUTS,2010,BG31,2,0.2719
2013,NUTS,2010,BG31,2,0.2757
2014,NUTS,2010,BG31,2,0.2799
2015,NUTS,2010,BG31,2,0.4233
2016,NUTS,2010,BG31,2,0.4714
2017,NUTS,2010,BG31,2,0.4305
2018,NUTS,2010,BG31,2,0.5348
2019,NUTS,2010,BG31,2,0.5088
2003,NUTS,2010,BG32,2,0.1832
2004,NUTS,2010,BG32,2,0.2066
2005,NUTS,2010,BG32,2,0.2938
2006,NUTS,2010,BG32,2,0.2741
2007,NUTS,2010,BG32,2,0.2731
2008,NUTS,2010,BG32,2,0.2804
2009,NUTS,2010,BG32,2,0.2566
2010,NUTS,2010,BG32,2,0.2273
2011,NUTS,2010,BG32,2,0.2425
2012,NUTS,2010,BG32,2,0.2403
2013,NUTS,2010,BG32,2,0.2776
2014,NUTS,2010,BG32,2,0.4268
2015,NUTS,2010,BG32,2,0.4239
2016,NUTS,2010,BG32,2,0.3647
2017,NUTS,2010,BG32,2,0.3929
2018,NUTS,2010,BG32,2,0.436
2019,NUTS,2010,BG32,2,0.4122
2003,NUTS,2010,BG33,2,0.325
2004,NUTS,2010,BG33,2,0.3459
2005,NUTS,2010,BG33,2,0.307
2006,NUTS,2010,BG33,2,0.3227
2007,NUTS,2010,BG33,2,0.2898
2008,NUTS,2010,BG33,2,0.299
2009,NUTS,2010,BG33,2,0.3937
2010,NUTS,2010,BG33,2,0.377
2011,NUTS,2010,BG33,2,0.4326
2012,NUTS,2010,BG33,2,0.447
2013,NUTS,2010,BG33,2,0.4358
2014,NUTS,2010,BG33,2,0.4665
2015,NUTS,2010,BG33,2,0.4882
2016,NUTS,2010,BG33,2,0.5134
2017,NUTS,2010,BG33,2,0.4683
2018,NUTS,2010,BG33,2,0.5369
2019,NUTS,2010,BG33,2,0.5403
2003,NUTS,2010,BG34,2,0.2166
2004,NUTS,2010,BG34,2,0.1986
2005,NUTS,2010,BG34,2,0.1463
2006,NUTS,2010,BG34,2,0.2232
2007,NUTS,2010,BG34,2,0.2519
2008,NUTS,2010,BG34,2,0.274
2009,NUTS,2010,BG34,2,0.3099
2010,NUTS,2010,BG34,2,0.2409
2011,NUTS,2010,BG34,2,0.2288
2012,NUTS,2010,BG34,2,0.212
2013,NUTS,2010,BG34,2,0.2546
2014,NUTS,2010,BG34,2,0.2449
2015,NUTS,2010,BG34,2,0.3714
2016,NUTS,2010,BG34,2,0.3609
2017,NUTS,2010,BG34,2,0.3222
2018,NUTS,2010,BG34,2,0.3819
2019,NUTS,2010,BG34,2,0.3991
2003,NUTS,2010,BG4,1,0.8535
2004,NUTS,2010,BG4,1,0.8142
2005,NUTS,2010,BG4,1,0.8277
2006,NUTS,2010,BG4,1,0.7861
2007,NUTS,2010,BG4,1,0.7726
2008,NUTS,2010,BG4,1,0.7474
2009,NUTS,2010,BG4,1,0.8125
2010,NUTS,2010,BG4,1,0.789
2011,NUTS,2010,BG4,1,0.8408
2012,NUTS,2010,BG4,1,0.8219
2013,NUTS,2010,BG4,1,0.8499
2014,NUTS,2010,BG4,1,0.9072
2015,NUTS,2010,BG4,1,1.0251
2016,NUTS,2010,BG4,1,1.1917
2017,NUTS,2010,BG4,1,1.0358
2018,NUTS,2010,BG4,1,1.1244
2019,NUTS,2010,BG4,1,1.1269
2000,NUTS,2010,BG41,2,1.3712
2002,NUTS,2010,BG41,2,1.3481
2003,NUTS,2010,BG41,2,1.3132
2004,NUTS,2010,BG41,2,1.2543
2005,NUTS,2010,BG41,2,1.2329
2006,NUTS,2010,BG41,2,1.1582
2007,NUTS,2010,BG41,2,1.1153
2008,NUTS,2010,BG41,2,1.0769
2009,NUTS,2010,BG41,2,1.1737
2010,NUTS,2010,BG41,2,1.0845
2011,NUTS,2010,BG41,2,1.1596
2012,NUTS,2010,BG41,2,1.1684
2013,NUTS,2010,BG41,2,1.218
2014,NUTS,2010,BG41,2,1.3197
2015,NUTS,2010,BG41,2,1.4185
2016,NUTS,2010,BG41,2,1.656
2017,NUTS,2010,BG41,2,1.446
2018,NUTS,2010,BG41,2,1.5296
2019,NUTS,2010,BG41,2,1.5309
2003,NUTS,2010,BG42,2,0.1629
2004,NUTS,2010,BG42,2,0.1655
2005,NUTS,2010,BG42,2,0.1899
2006,NUTS,2010,BG42,2,0.1883
2007,NUTS,2010,BG42,2,0.2283
2008,NUTS,2010,BG42,2,0.2246
2009,NUTS,2010,BG42,2,0.2234
2010,NUTS,2010,BG42,2,0.2786
2011,NUTS,2010,BG42,2,0.2823
2012,NUTS,2010,BG42,2,0.2248
2013,NUTS,2010,BG42,2,0.2399
2014,NUTS,2010,BG42,2,0.2362
2015,NUTS,2010,BG42,2,0.367
2016,NUTS,2010,BG42,2,0.4074
2017,NUTS,2010,BG42,2,0.3638
2018,NUTS,2010,BG42,2,0.4405
2019,NUTS,2010,BG42,2,0.4541
2012,NUTS,2010,CH,0,1.7911
2015,NUTS,2010,CH,0,1.8634
2017,NUTS,2010,CH,0,1.7716
2019,NUTS,2010,CH,0,1.896
1991,NUTS,2010,CN_X_HK,5,0.1024
1992,NUTS,2010,CN_X_HK,5,0.1019
1993,NUTS,2010,CN_X_HK,5,0.1044
1994,NUTS,2010,CN_X_HK,5,0.1161
1995,NUTS,2010,CN_X_HK,5,0.1104
1996,NUTS,2010,CN_X_HK,5,0.1166
1997,NUTS,2010,CN_X_HK,5,0.119
1998,NUTS,2010,CN_X_HK,5,0.1069
1999,NUTS,2010,CN_X_HK,5,0.1151
2000,NUTS,2010,CN_X_HK,5,0.1279
2001,NUTS,2010,CN_X_HK,5,0.131
2002,NUTS,2010,CN_X_HK,5,0.1404
2003,NUTS,2010,CN_X_HK,5,0.1471
2004,NUTS,2010,CN_X_HK,5,0.1533
2005,NUTS,2010,CN_X_HK,5,0.18
2006,NUTS,2010,CN_X_HK,5,0.1967
2007,NUTS,2010,CN_X_HK,5,0.2255
1998,NUTS,2010,CY,0,0.2058
1999,NUTS,2010,CY,0,0.2467
2000,NUTS,2010,CY,0,0.2361
2001,NUTS,2010,CY,0,0.2292
2002,NUTS,2010,CY,0,0.2669
2003,NUTS,2010,CY,0,0.2899
2004,NUTS,2010,CY,0,0.3109
2005,NUTS,2010,CY,0,0.3422
2006,NUTS,2010,CY,0,0.3522
2007,NUTS,2010,CY,0,0.3381
2008,NUTS,2010,CY,0,0.3236
2009,NUTS,2010,CY,0,0.3413
2010,NUTS,2010,CY,0,0.3409
2011,NUTS,2010,CY,0,0.3365
2012,NUTS,2010,CY,0,0.3321
2013,NUTS,2010,CY,0,0.3492
2014,NUTS,2010,CY,0,0.3616
2015,NUTS,2010,CY,0,0.3559
2016,NUTS,2010,CY,0,0.383
2017,NUTS,2010,CY,0,0.4149
2018,NUTS,2010,CY,0,0.4681
2019,NUTS,2010,CY,0,0.5263
2020,NUTS,2010,CY,0,0.5444
1998,NUTS,2010,CZ,0,0.4778
1999,NUTS,2010,CZ,0,0.5181
2000,NUTS,2010,CZ,0,0.5232
2001,NUTS,2010,CZ,0,0.5637
2002,NUTS,2010,CZ,0,0.5566
2003,NUTS,2010,CZ,0,0.6016
2004,NUTS,2010,CZ,0,0.6201
2005,NUTS,2010,CZ,0,0.9208
2006,NUTS,2010,CZ,0,1.0008
2007,NUTS,2010,CZ,0,1.013
2008,NUTS,2010,CZ,0,1.0298
2009,NUTS,2010,CZ,0,1.0492
2010,NUTS,2010,CZ,0,1.0871
2011,NUTS,2010,CZ,0,1.1613
2012,NUTS,2010,CZ,0,1.2543
2013,NUTS,2010,CZ,0,1.2789
2014,NUTS,2010,CZ,0,1.3198
2015,NUTS,2010,CZ,0,1.3464
2016,NUTS,2010,CZ,0,1.3115
2017,NUTS,2010,CZ,0,1.369
2018,NUTS,2010,CZ,0,1.4566
2019,NUTS,2010,CZ,0,1.5384
2020,NUTS,2010,CZ,0,1.5915
1999,NUTS,2010,CZ0,1,0.5112
2000,NUTS,2010,CZ0,1,0.5176
2001,NUTS,2010,CZ0,1,0.5578
2002,NUTS,2010,CZ0,1,0.55
2003,NUTS,2010,CZ0,1,0.5944
2004,NUTS,2010,CZ0,1,0.6143
2005,NUTS,2010,CZ0,1,0.9104
2006,NUTS,2010,CZ0,1,0.9886
2007,NUTS,2010,CZ0,1,0.9994
2008,NUTS,2010,CZ0,1,1.0156
2009,NUTS,2010,CZ0,1,1.0328
2010,NUTS,2010,CZ0,1,1.0704
2011,NUTS,2010,CZ0,1,1.143
2012,NUTS,2010,CZ0,1,1.2337
2013,NUTS,2010,CZ0,1,1.2553
2014,NUTS,2010,CZ0,1,1.2955
2015,NUTS,2010,CZ0,1,1.3176
2016,NUTS,2010,CZ0,1,1.2802
2017,NUTS,2010,CZ0,1,1.3355
2018,NUTS,2010,CZ0,1,1.4162
2019,NUTS,2010,CZ0,1,1.4943
2020,NUTS,2010,CZ0,1,1.5464
2001,NUTS,2010,CZ01,2,1.7883
2002,NUTS,2010,CZ01,2,1.8005
2003,NUTS,2010,CZ01,2,1.962
2004,NUTS,2010,CZ01,2,1.975
2005,NUTS,2010,CZ01,2,2.8765
2006,NUTS,2010,CZ01,2,3.1103
2007,NUTS,2010,CZ01,2,3.2763
2008,NUTS,2010,CZ01,2,3.1434
2009,NUTS,2010,CZ01,2,2.9806
2010,NUTS,2010,CZ01,2,3.0421
2011,NUTS,2010,CZ01,2,3.3052
2012,NUTS,2010,CZ01,2,3.3684
2013,NUTS,2010,CZ01,2,3.5792
2014,NUTS,2010,CZ01,2,3.5806
2015,NUTS,2010,CZ01,2,3.6091
2016,NUTS,2010,CZ01,2,3.3232
2017,NUTS,2010,CZ01,2,3.5558
2018,NUTS,2010,CZ01,2,3.784
2019,NUTS,2010,CZ01,2,3.9821
2020,NUTS,2010,CZ01,2,4.1487
2001,NUTS,2010,CZ02,2,0.5454
2002,NUTS,2010,CZ02,2,0.5851
2003,NUTS,2010,CZ02,2,0.6692
2004,NUTS,2010,CZ02,2,0.6481
2005,NUTS,2010,CZ02,2,0.8412
2006,NUTS,2010,CZ02,2,0.8804
2007,NUTS,2010,CZ02,2,0.8582
2008,NUTS,2010,CZ02,2,0.8616
2009,NUTS,2010,CZ02,2,0.8974
2010,NUTS,2010,CZ02,2,0.8885
2011,NUTS,2010,CZ02,2,0.9105
2012,NUTS,2010,CZ02,2,0.8898
2013,NUTS,2010,CZ02,2,0.9099
2014,NUTS,2010,CZ02,2,0.8995
2015,NUTS,2010,CZ02,2,0.957
2016,NUTS,2010,CZ02,2,1.0553
2017,NUTS,2010,CZ02,2,1.0829
2018,NUTS,2010,CZ02,2,1.1589
2019,NUTS,2010,CZ02,2,1.1819
2020,NUTS,2010,CZ02,2,1.2119
2001,NUTS,2010,CZ03,2,0.337
2002,NUTS,2010,CZ03,2,0.3355
2003,NUTS,2010,CZ03,2,0.3223
2004,NUTS,2010,CZ03,2,0.3387
2005,NUTS,2010,CZ03,2,0.5367
2006,NUTS,2010,CZ03,2,0.6324
2007,NUTS,2010,CZ03,2,0.6419
2008,NUTS,2010,CZ03,2,0.6201
2009,NUTS,2010,CZ03,2,0.6844
2010,NUTS,2010,CZ03,2,0.7058
2011,NUTS,2010,CZ03,2,0.7516
2012,NUTS,2010,CZ03,2,0.8419
2013,NUTS,2010,CZ03,2,0.8382
2014,NUTS,2010,CZ03,2,0.9282
2015,NUTS,2010,CZ03,2,0.8851
2016,NUTS,2010,CZ03,2,0.8643
2017,NUTS,2010,CZ03,2,0.8897
2018,NUTS,2010,CZ03,2,0.9385
2019,NUTS,2010,CZ03,2,1.0504
