year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_t_pc_act_hc
2013,NUTS,2010,BG,0,0.4854
2014,NUTS,2010,BG,0,0.5388
2015,NUTS,2010,BG,0,0.5912
2016,NUTS,2010,BG,0,0.6598
2017,NUTS,2010,BG,0,0.6409
2018,NUTS,2010,BG,0,0.7045
2019,NUTS,2010,BG,0,0.7084
2011,NUTS,2010,BG3,1,0.2207
2012,NUTS,2010,BG3,1,0.2587
2013,NUTS,2010,BG3,1,0.2658
2014,NUTS,2010,BG3,1,0.32
2015,NUTS,2010,BG3,1,0.369
2016,NUTS,2010,BG3,1,0.3403
2017,NUTS,2010,BG3,1,0.3641
2018,NUTS,2010,BG3,1,0.3986
2019,NUTS,2010,BG3,1,0.4034
2011,NUTS,2010,BG31,2,0.0624
2012,NUTS,2010,BG31,2,0.1394
2013,NUTS,2010,BG31,2,0.1324
2014,NUTS,2010,BG31,2,0.123
2015,NUTS,2010,BG31,2,0.1972
2016,NUTS,2010,BG31,2,0.2162
2017,NUTS,2010,BG31,2,0.2603
2018,NUTS,2010,BG31,2,0.2987
2019,NUTS,2010,BG31,2,0.2944
2011,NUTS,2010,BG32,2,0.3291
2012,NUTS,2010,BG32,2,0.3294
2013,NUTS,2010,BG32,2,0.3307
2014,NUTS,2010,BG32,2,0.4222
2015,NUTS,2010,BG32,2,0.4935
2016,NUTS,2010,BG32,2,0.3673
2017,NUTS,2010,BG32,2,0.4235
2018,NUTS,2010,BG32,2,0.4699
2019,NUTS,2010,BG32,2,0.4195
2011,NUTS,2010,BG33,2,0.3122
2012,NUTS,2010,BG33,2,0.3572
2013,NUTS,2010,BG33,2,0.3845
2014,NUTS,2010,BG33,2,0.4899
2015,NUTS,2010,BG33,2,0.5027
2016,NUTS,2010,BG33,2,0.4922
2017,NUTS,2010,BG33,2,0.5096
2018,NUTS,2010,BG33,2,0.549
2019,NUTS,2010,BG33,2,0.5756
2011,NUTS,2010,BG34,2,0.1632
2012,NUTS,2010,BG34,2,0.1929
2013,NUTS,2010,BG34,2,0.1961
2014,NUTS,2010,BG34,2,0.2146
2015,NUTS,2010,BG34,2,0.2599
2016,NUTS,2010,BG34,2,0.2543
2017,NUTS,2010,BG34,2,0.2492
2018,NUTS,2010,BG34,2,0.2715
2019,NUTS,2010,BG34,2,0.3017
2011,NUTS,2010,BG4,1,0.6531
2012,NUTS,2010,BG4,1,0.6398
2013,NUTS,2010,BG4,1,0.6725
2014,NUTS,2010,BG4,1,0.7186
2015,NUTS,2010,BG4,1,0.7752
2016,NUTS,2010,BG4,1,0.9278
2017,NUTS,2010,BG4,1,0.8631
2018,NUTS,2010,BG4,1,0.945
2019,NUTS,2010,BG4,1,0.9427
2011,NUTS,2010,BG41,2,0.9279
2012,NUTS,2010,BG41,2,0.9204
2013,NUTS,2010,BG41,2,0.9634
2014,NUTS,2010,BG41,2,1.0358
2015,NUTS,2010,BG41,2,1.0989
2016,NUTS,2010,BG41,2,1.3204
2017,NUTS,2010,BG41,2,1.2056
2018,NUTS,2010,BG41,2,1.283
2019,NUTS,2010,BG41,2,1.2437
2011,NUTS,2010,BG42,2,0.2
2012,NUTS,2010,BG42,2,0.1859
2013,NUTS,2010,BG42,2,0.2101
2014,NUTS,2010,BG42,2,0.2199
2015,NUTS,2010,BG42,2,0.2485
2016,NUTS,2010,BG42,2,0.2765
2017,NUTS,2010,BG42,2,0.3132
2018,NUTS,2010,BG42,2,0.3836
2019,NUTS,2010,BG42,2,0.4458
2012,NUTS,2010,CH,0,1.3644
2015,NUTS,2010,CH,0,1.5409
2017,NUTS,2010,CH,0,1.5288
2019,NUTS,2010,CH,0,1.6342
2011,NUTS,2010,CY,0,0.4624
2012,NUTS,2010,CY,0,0.4516
2013,NUTS,2010,CY,0,0.5242
2014,NUTS,2010,CY,0,0.5092
2015,NUTS,2010,CY,0,0.5131
2016,NUTS,2010,CY,0,0.5338
2017,NUTS,2010,CY,0,0.5652
2018,NUTS,2010,CY,0,0.6225
2019,NUTS,2010,CY,0,0.6644
2011,NUTS,2010,CZ,0,0.892
2012,NUTS,2010,CZ,0,0.9208
2013,NUTS,2010,CZ,0,0.987
2014,NUTS,2010,CZ,0,1.0467
2015,NUTS,2010,CZ,0,1.0883
2016,NUTS,2010,CZ,0,1.075
2017,NUTS,2010,CZ,0,1.1393
2018,NUTS,2010,CZ,0,1.1765
2019,NUTS,2010,CZ,0,1.2111
2020,NUTS,2010,CZ,0,1.248
2011,NUTS,2010,CZ0,1,0.8788
2012,NUTS,2010,CZ0,1,0.9065
2013,NUTS,2010,CZ0,1,0.9697
2014,NUTS,2010,CZ0,1,1.0286
2015,NUTS,2010,CZ0,1,1.066
2016,NUTS,2010,CZ0,1,1.0501
2017,NUTS,2010,CZ0,1,1.1119
2018,NUTS,2010,CZ0,1,1.1443
2019,NUTS,2010,CZ0,1,1.1768
2020,NUTS,2010,CZ0,1,1.2135
2011,NUTS,2010,CZ01,2,2.8215
2012,NUTS,2010,CZ01,2,2.8106
2013,NUTS,2010,CZ01,2,3.0012
2014,NUTS,2010,CZ01,2,3.1134
2015,NUTS,2010,CZ01,2,3.0536
2016,NUTS,2010,CZ01,2,3.0377
2017,NUTS,2010,CZ01,2,3.3021
2018,NUTS,2010,CZ01,2,3.4361
2019,NUTS,2010,CZ01,2,3.329
2020,NUTS,2010,CZ01,2,3.4409
2011,NUTS,2010,CZ02,2,0.5452
2012,NUTS,2010,CZ02,2,0.5238
2013,NUTS,2010,CZ02,2,0.5261
2014,NUTS,2010,CZ02,2,0.5324
2015,NUTS,2010,CZ02,2,0.6033
2016,NUTS,2010,CZ02,2,0.5545
2017,NUTS,2010,CZ02,2,0.5767
2018,NUTS,2010,CZ02,2,0.634
2019,NUTS,2010,CZ02,2,0.6529
2020,NUTS,2010,CZ02,2,0.6446
2011,NUTS,2010,CZ03,2,0.5976
2012,NUTS,2010,CZ03,2,0.5803
2013,NUTS,2010,CZ03,2,0.6453
2014,NUTS,2010,CZ03,2,0.7151
2015,NUTS,2010,CZ03,2,0.7086
2016,NUTS,2010,CZ03,2,0.7146
2017,NUTS,2010,CZ03,2,0.7371
2018,NUTS,2010,CZ03,2,0.7767
2019,NUTS,2010,CZ03,2,0.8396
2020,NUTS,2010,CZ03,2,0.8366
2011,NUTS,2010,CZ04,2,0.1357
2012,NUTS,2010,CZ04,2,0.1436
2013,NUTS,2010,CZ04,2,0.1584
2014,NUTS,2010,CZ04,2,0.1815
2015,NUTS,2010,CZ04,2,0.1723
2016,NUTS,2010,CZ04,2,0.1674
2017,NUTS,2010,CZ04,2,0.1876
2018,NUTS,2010,CZ04,2,0.1953
2019,NUTS,2010,CZ04,2,0.1845
2020,NUTS,2010,CZ04,2,0.1962
2011,NUTS,2010,CZ05,2,0.5771
2012,NUTS,2010,CZ05,2,0.5768
2013,NUTS,2010,CZ05,2,0.6079
2014,NUTS,2010,CZ05,2,0.6259
2015,NUTS,2010,CZ05,2,0.6156
2016,NUTS,2010,CZ05,2,0.6145
2017,NUTS,2010,CZ05,2,0.6439
2018,NUTS,2010,CZ05,2,0.6381
2019,NUTS,2010,CZ05,2,0.7182
2020,NUTS,2010,CZ05,2,0.7234
2011,NUTS,2010,CZ06,2,1.0914
2012,NUTS,2010,CZ06,2,1.1741
2013,NUTS,2010,CZ06,2,1.2754
2014,NUTS,2010,CZ06,2,1.401
2015,NUTS,2010,CZ06,2,1.585
2016,NUTS,2010,CZ06,2,1.489
2017,NUTS,2010,CZ06,2,1.5409
2018,NUTS,2010,CZ06,2,1.4978
2019,NUTS,2010,CZ06,2,1.5622
2020,NUTS,2010,CZ06,2,1.6899
2011,NUTS,2010,CZ07,2,0.4838
2012,NUTS,2010,CZ07,2,0.5857
2013,NUTS,2010,CZ07,2,0.6779
2014,NUTS,2010,CZ07,2,0.7529
2015,NUTS,2010,CZ07,2,0.7526
2016,NUTS,2010,CZ07,2,0.7742
2017,NUTS,2010,CZ07,2,0.7623
2018,NUTS,2010,CZ07,2,0.7902
2019,NUTS,2010,CZ07,2,0.9005
2020,NUTS,2010,CZ07,2,0.8856
2011,NUTS,2010,CZ08,2,0.546
2012,NUTS,2010,CZ08,2,0.5904
2013,NUTS,2010,CZ08,2,0.5881
2014,NUTS,2010,CZ08,2,0.6312
2015,NUTS,2010,CZ08,2,0.7053
2016,NUTS,2010,CZ08,2,0.7337
2017,NUTS,2010,CZ08,2,0.7512
2018,NUTS,2010,CZ08,2,0.758
2019,NUTS,2010,CZ08,2,0.7609
2020,NUTS,2010,CZ08,2,0.7904
2011,NUTS,2010,DE,0,1.3127
2013,NUTS,2010,DE,0,1.3681
2015,NUTS,2010,DE,0,1.4485
2017,NUTS,2010,DE,0,1.5034
2019,NUTS,2010,DE,0,1.597
2011,NUTS,2010,DE1,1,1.9147
2013,NUTS,2010,DE1,1,1.9624
2015,NUTS,2010,DE1,1,2.0918
2017,NUTS,2010,DE1,1,2.2764
2019,NUTS,2010,DE1,1,2.3626
2011,NUTS,2010,DE11,2,2.1446
2013,NUTS,2010,DE11,2,2.236
2015,NUTS,2010,DE11,2,2.3968
2017,NUTS,2010,DE11,2,2.7531
2019,NUTS,2010,DE11,2,2.8336
2011,NUTS,2010,DE12,2,2.1359
2013,NUTS,2010,DE12,2,2.0984
2015,NUTS,2010,DE12,2,2.2292
2017,NUTS,2010,DE12,2,2.3846
2019,NUTS,2010,DE12,2,2.4087
2011,NUTS,2010,DE13,2,1.3295
2013,NUTS,2010,DE13,2,1.3252
2015,NUTS,2010,DE13,2,1.3916
2017,NUTS,2010,DE13,2,1.42
2019,NUTS,2010,DE13,2,1.5145
2011,NUTS,2010,DE14,2,1.8107
2013,NUTS,2010,DE14,2,1.9412
2015,NUTS,2010,DE14,2,2.0593
2017,NUTS,2010,DE14,2,2.0949
2019,NUTS,2010,DE14,2,2.256
2011,NUTS,2010,DE2,1,1.3839
2013,NUTS,2010,DE2,1,1.4257
2015,NUTS,2010,DE2,1,1.5363
2017,NUTS,2010,DE2,1,1.5391
2019,NUTS,2010,DE2,1,1.7008
2011,NUTS,2010,DE21,2,2.2385
2013,NUTS,2010,DE21,2,2.2812
2015,NUTS,2010,DE21,2,2.4109
2017,NUTS,2010,DE21,2,2.2809
2019,NUTS,2010,DE21,2,2.5104
2015,NUTS,2010,DE22,2,0.4927
2017,NUTS,2010,DE22,2,0.5937
2019,NUTS,2010,DE22,2,0.6915
2015,NUTS,2010,DE23,2,1.0092
2017,NUTS,2010,DE23,2,1.1534
2019,NUTS,2010,DE23,2,1.3028
2011,NUTS,2010,DE24,2,0.8161
2013,NUTS,2010,DE24,2,0.8487
2015,NUTS,2010,DE24,2,0.9459
2017,NUTS,2010,DE24,2,0.9699
2019,NUTS,2010,DE24,2,1.1737
2011,NUTS,2010,DE25,2,1.5598
2013,NUTS,2010,DE25,2,1.558
2015,NUTS,2010,DE25,2,1.6857
2017,NUTS,2010,DE25,2,1.6714
2019,NUTS,2010,DE25,2,1.8552
2011,NUTS,2010,DE26,2,1.1918
2013,NUTS,2010,DE26,2,1.2712
2015,NUTS,2010,DE26,2,1.2821
2017,NUTS,2010,DE26,2,1.5651
2019,NUTS,2010,DE26,2,1.5904
2011,NUTS,2010,DE27,2,0.4731
2013,NUTS,2010,DE27,2,0.5553
2015,NUTS,2010,DE27,2,0.6935
2017,NUTS,2010,DE27,2,0.6726
2019,NUTS,2010,DE27,2,0.7704
2011,NUTS,2010,DE3,1,1.7468
2013,NUTS,2010,DE3,1,1.7435
2015,NUTS,2010,DE3,1,1.7636
2017,NUTS,2010,DE3,1,1.7072
2019,NUTS,2010,DE3,1,1.7917
2011,NUTS,2010,DE30,2,1.7468
2013,NUTS,2010,DE30,2,1.7435
2015,NUTS,2010,DE30,2,1.7636
2017,NUTS,2010,DE30,2,1.7072
2019,NUTS,2010,DE30,2,1.7917
2011,NUTS,2010,DE4,1,0.6632
2013,NUTS,2010,DE4,1,0.7394
2015,NUTS,2010,DE4,1,0.7499
2017,NUTS,2010,DE4,1,0.826
2019,NUTS,2010,DE4,1,0.8628
2011,NUTS,2010,DE40,2,0.6632
2013,NUTS,2010,DE40,2,0.7394
2015,NUTS,2010,DE40,2,0.7499
2017,NUTS,2010,DE40,2,0.826
2019,NUTS,2010,DE40,2,0.8628
2011,NUTS,2010,DE5,1,2.2314
2013,NUTS,2010,DE5,1,1.9135
2015,NUTS,2010,DE5,1,1.9941
2017,NUTS,2010,DE5,1,1.881
2019,NUTS,2010,DE5,1,2.0134
2011,NUTS,2010,DE50,2,2.2314
2013,NUTS,2010,DE50,2,1.9135
2015,NUTS,2010,DE50,2,1.9941
2017,NUTS,2010,DE50,2,1.881
2019,NUTS,2010,DE50,2,2.0134
2011,NUTS,2010,DE6,1,1.3777
2013,NUTS,2010,DE6,1,1.5774
2015,NUTS,2010,DE6,1,1.5733
2017,NUTS,2010,DE6,1,1.6689
2019,NUTS,2010,DE6,1,1.7746
2011,NUTS,2010,DE60,2,1.3777
2013,NUTS,2010,DE60,2,1.5774
2015,NUTS,2010,DE60,2,1.5733
2017,NUTS,2010,DE60,2,1.6689
2019,NUTS,2010,DE60,2,1.7746
2011,NUTS,2010,DE7,1,1.2319
2013,NUTS,2010,DE7,1,1.197
2015,NUTS,2010,DE7,1,1.3495
2017,NUTS,2010,DE7,1,1.3621
2019,NUTS,2010,DE7,1,1.3924
2011,NUTS,2010,DE71,2,1.3617
2013,NUTS,2010,DE71,2,1.2669
2015,NUTS,2010,DE71,2,1.4618
2017,NUTS,2010,DE71,2,1.4835
2019,NUTS,2010,DE71,2,1.5203
2011,NUTS,2010,DE72,2,1.5144
2013,NUTS,2010,DE72,2,1.5849
2015,NUTS,2010,DE72,2,1.5955
2017,NUTS,2010,DE72,2,1.6042
2019,NUTS,2010,DE72,2,1.6688
2011,NUTS,2010,DE73,2,0.5793
2013,NUTS,2010,DE73,2,0.64
2015,NUTS,2010,DE73,2,0.7749
2017,NUTS,2010,DE73,2,0.7481
2019,NUTS,2010,DE73,2,0.7288
2011,NUTS,2010,DE8,1,0.9374
2013,NUTS,2010,DE8,1,0.939
2015,NUTS,2010,DE8,1,0.9236
2017,NUTS,2010,DE8,1,0.9922
2019,NUTS,2010,DE8,1,1.037
2011,NUTS,2010,DE80,2,0.9374
2013,NUTS,2010,DE80,2,0.939
2015,NUTS,2010,DE80,2,0.9236
2017,NUTS,2010,DE80,2,0.9922
2019,NUTS,2010,DE80,2,1.037
2011,NUTS,2010,DE9,1,1.0033
2013,NUTS,2010,DE9,1,1.062
2015,NUTS,2010,DE9,1,1.0816
2017,NUTS,2010,DE9,1,1.1003
2019,NUTS,2010,DE9,1,1.1517
2011,NUTS,2010,DE91,2,2.4546
2013,NUTS,2010,DE91,2,2.676
2015,NUTS,2010,DE91,2,2.6629
2017,NUTS,2010,DE91,2,2.7558
2019,NUTS,2010,DE91,2,2.85
2011,NUTS,2010,DE92,2,1.1702
2013,NUTS,2010,DE92,2,1.151
2015,NUTS,2010,DE92,2,1.217
2017,NUTS,2010,DE92,2,1.1895
2019,NUTS,2010,DE92,2,1.2388
2011,NUTS,2010,DE93,2,0.2449
2013,NUTS,2010,DE93,2,0.2985
2015,NUTS,2010,DE93,2,0.2681
2017,NUTS,2010,DE93,2,0.2873
2019,NUTS,2010,DE93,2,0.2945
2011,NUTS,2010,DE94,2,0.4466
2013,NUTS,2010,DE94,2,0.4958
2015,NUTS,2010,DE94,2,0.5387
2017,NUTS,2010,DE94,2,0.5672
2019,NUTS,2010,DE94,2,0.6164
2011,NUTS,2010,DEA,1,1.0249
2013,NUTS,2010,DEA,1,1.0849
2015,NUTS,2010,DEA,1,1.1524
2017,NUTS,2010,DEA,1,1.2032
2019,NUTS,2010,DEA,1,1.2612
2011,NUTS,2010,DEA1,2,0.7981
2013,NUTS,2010,DEA1,2,0.8238
2015,NUTS,2010,DEA1,2,0.9383
2017,NUTS,2010,DEA1,2,0.9675
2019,NUTS,2010,DEA1,2,1.0215
2011,NUTS,2010,DEA2,2,1.6918
2013,NUTS,2010,DEA2,2,1.7464
2015,NUTS,2010,DEA2,2,1.8276
2017,NUTS,2010,DEA2,2,1.8637
2019,NUTS,2010,DEA2,2,1.9567
2011,NUTS,2010,DEA3,2,0.6748
2013,NUTS,2010,DEA3,2,0.7413
2015,NUTS,2010,DEA3,2,0.7265
2017,NUTS,2010,DEA3,2,0.744
2019,NUTS,2010,DEA3,2,0.7802
2011,NUTS,2010,DEA4,2,0.9134
2013,NUTS,2010,DEA4,2,1.0222
2015,NUTS,2010,DEA4,2,1.0468
2017,NUTS,2010,DEA4,2,1.1493
2019,NUTS,2010,DEA4,2,1.2479
2011,NUTS,2010,DEA5,2,0.858
2013,NUTS,2010,DEA5,2,0.9386
2015,NUTS,2010,DEA5,2,1.0022
2017,NUTS,2010,DEA5,2,1.0763
2019,NUTS,2010,DEA5,2,1.0955
2011,NUTS,2010,DEB,1,0.8119
2013,NUTS,2010,DEB,1,0.8438
2015,NUTS,2010,DEB,1,0.9013
2017,NUTS,2010,DEB,1,0.9142
2019,NUTS,2010,DEB,1,1.0194
2011,NUTS,2010,DEB1,2,0.3355
2013,NUTS,2010,DEB1,2,0.3384
2015,NUTS,2010,DEB1,2,0.3161
2017,NUTS,2010,DEB1,2,0.3501
2019,NUTS,2010,DEB1,2,0.4308
2011,NUTS,2010,DEB2,2,0.6356
2013,NUTS,2010,DEB2,2,0.6232
2015,NUTS,2010,DEB2,2,0.5747
2017,NUTS,2010,DEB2,2,0.5507
2019,NUTS,2010,DEB2,2,0.5482
2011,NUTS,2010,DEB3,2,1.2114
2013,NUTS,2010,DEB3,2,1.2693
2015,NUTS,2010,DEB3,2,1.4213
2017,NUTS,2010,DEB3,2,1.4254
2019,NUTS,2010,DEB3,2,1.5769
2011,NUTS,2010,DEC,1,1.0093
2013,NUTS,2010,DEC,1,1.0757
2015,NUTS,2010,DEC,1,1.105
2017,NUTS,2010,DEC,1,1.1999
2019,NUTS,2010,DEC,1,1.2912
2011,NUTS,2010,DEC0,2,1.0093
2013,NUTS,2010,DEC0,2,1.0757
2015,NUTS,2010,DEC0,2,1.105
2017,NUTS,2010,DEC0,2,1.1999
2019,NUTS,2010,DEC0,2,1.2912
2011,NUTS,2010,DED,1,1.3371
2013,NUTS,2010,DED,1,1.4494
2015,NUTS,2010,DED,1,1.4404
2017,NUTS,2010,DED,1,1.5172
2019,NUTS,2010,DED,1,1.6479
2011,NUTS,2010,DED2,2,1.3326
2013,NUTS,2010,DED2,2,1.1603
2015,NUTS,2010,DED2,2,1.7819
2017,NUTS,2010,DED2,2,1.9103
2019,NUTS,2010,DED2,2,2.0425
2011,NUTS,2010,DED4,2,1.3395
2013,NUTS,2010,DED4,2,1.7579
2015,NUTS,2010,DED4,2,1.0004
2017,NUTS,2010,DED4,2,1.0373
2019,NUTS,2010,DED4,2,1.1792
2011,NUTS,2010,DED5,2,1.3407
2013,NUTS,2010,DED5,2,1.4546
2015,NUTS,2010,DED5,2,1.519
2017,NUTS,2010,DED5,2,1.5772
2019,NUTS,2010,DED5,2,1.6675
2011,NUTS,2010,DEE,1,0.7463
2013,NUTS,2010,DEE,1,0.8302
2015,NUTS,2010,DEE,1,0.8204
2017,NUTS,2010,DEE,1,0.8363
2019,NUTS,2010,DEE,1,0.9308
2011,NUTS,2010,DEE0,2,0.7463
2013,NUTS,2010,DEE0,2,0.8302
2015,NUTS,2010,DEE0,2,0.8204
2017,NUTS,2010,DEE0,2,0.8363
2019,NUTS,2010,DEE0,2,0.9308
2011,NUTS,2010,DEF,1,0.6919
2013,NUTS,2010,DEF,1,0.7452
2015,NUTS,2010,DEF,1,0.7576
2017,NUTS,2010,DEF,1,0.7907
2019,NUTS,2010,DEF,1,0.7934
2011,NUTS,2010,DEF0,2,0.6919
2013,NUTS,2010,DEF0,2,0.7452
2015,NUTS,2010,DEF0,2,0.7576
2017,NUTS,2010,DEF0,2,0.7907
2019,NUTS,2010,DEF0,2,0.7934
2011,NUTS,2010,DEG,1,1.0552
2013,NUTS,2010,DEG,1,1.0955
2015,NUTS,2010,DEG,1,1.1145
2017,NUTS,2010,DEG,1,1.1624
2019,NUTS,2010,DEG,1,1.2618
2011,NUTS,2010,DEG0,2,1.0552
2013,NUTS,2010,DEG0,2,1.0955
2015,NUTS,2010,DEG0,2,1.1145
2017,NUTS,2010,DEG0,2,1.1624
2019,NUTS,2010,DEG0,2,1.2618
2011,NUTS,2010,DK,0,2.0222
2012,NUTS,2010,DK,0,2.0631
2013,NUTS,2010,DK,0,2.0836
2014,NUTS,2010,DK,0,2.1151
2015,NUTS,2010,DK,0,2.1581
2016,NUTS,2010,DK,0,2.1264
2017,NUTS,2010,DK,0,2.0936
2018,NUTS,2010,DK,0,2.0881
2019,NUTS,2010,DK,0,2.1015
2020,NUTS,2010,DK,0,2.1048
2011,NUTS,2010,DK0,1,1.9688
2012,NUTS,2010,DK0,1,2.0053
2013,NUTS,2010,DK0,1,2.0254
2014,NUTS,2010,DK0,1,2.0522
2015,NUTS,2010,DK0,1,2.0928
2016,NUTS,2010,DK0,1,2.0582
2017,NUTS,2010,DK0,1,2.029
2018,NUTS,2010,DK0,1,2.0227
2019,NUTS,2010,DK0,1,2.0323
2011,NUTS,2010,DK01,2,3.5429
2012,NUTS,2010,DK01,2,3.5348
2013,NUTS,2010,DK01,2,3.495
2014,NUTS,2010,DK01,2,3.5015
2015,NUTS,2010,DK01,2,3.5428
2016,NUTS,2010,DK01,2,3.4219
2017,NUTS,2010,DK01,2,3.4426
2019,NUTS,2010,DK01,2,3.4009
2011,NUTS,2010,DK02,2,0.675
2012,NUTS,2010,DK02,2,0.7296
2013,NUTS,2010,DK02,2,0.7445
2014,NUTS,2010,DK02,2,0.7246
2015,NUTS,2010,DK02,2,0.6753
2016,NUTS,2010,DK02,2,0.6468
2017,NUTS,2010,DK02,2,0.7267
2019,NUTS,2010,DK02,2,0.7217
2011,NUTS,2010,DK03,2,0.9848
2012,NUTS,2010,DK03,2,1.086
2013,NUTS,2010,DK03,2,1.1432
2014,NUTS,2010,DK03,2,1.2688
2015,NUTS,2010,DK03,2,1.2872
2016,NUTS,2010,DK03,2,1.3855
2017,NUTS,2010,DK03,2,1.1119
2019,NUTS,2010,DK03,2,1.0322
2011,NUTS,2010,DK04,2,1.7909
2012,NUTS,2010,DK04,2,1.7357
