year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2017,NUTS,2010,DE,0,0.2097
2018,NUTS,2010,DE,0,0.2176
2019,NUTS,2010,DE,0,0.2154
2011,NUTS,2010,DK,0,0.4386
2012,NUTS,2010,DK,0,0.4414
2013,NUTS,2010,DK,0,0.4775
2014,NUTS,2010,DK,0,0.4738
2015,NUTS,2010,DK,0,0.4956
2016,NUTS,2010,DK,0,0.5144
2017,NUTS,2010,DK,0,0.5099
2018,NUTS,2010,DK,0,0.5293
2019,NUTS,2010,DK,0,0.5361
2011,NUTS,2010,DK0,1,0.4308
2012,NUTS,2010,DK0,1,0.4326
2013,NUTS,2010,DK0,1,0.4686
2014,NUTS,2010,DK0,1,0.4633
2015,NUTS,2010,DK0,1,0.4864
2016,NUTS,2010,DK0,1,0.5031
2017,NUTS,2010,DK0,1,0.4994
2018,NUTS,2010,DK0,1,0.5191
2019,NUTS,2010,DK0,1,0.5253
2011,NUTS,2010,DK01,2,0.7163
2012,NUTS,2010,DK01,2,0.7217
2013,NUTS,2010,DK01,2,0.8078
2014,NUTS,2010,DK01,2,0.756
2015,NUTS,2010,DK01,2,0.7725
2016,NUTS,2010,DK01,2,0.8209
2017,NUTS,2010,DK01,2,0.8286
2019,NUTS,2010,DK01,2,0.8809
2011,NUTS,2010,DK02,2,0.1573
2012,NUTS,2010,DK02,2,0.1215
2013,NUTS,2010,DK02,2,0.1159
2014,NUTS,2010,DK02,2,0.1627
2015,NUTS,2010,DK02,2,0.1567
2016,NUTS,2010,DK02,2,0.1592
2017,NUTS,2010,DK02,2,0.1668
2019,NUTS,2010,DK02,2,0.1788
2011,NUTS,2010,DK03,2,0.2116
2012,NUTS,2010,DK03,2,0.2419
2013,NUTS,2010,DK03,2,0.2538
2014,NUTS,2010,DK03,2,0.2718
2015,NUTS,2010,DK03,2,0.2853
2016,NUTS,2010,DK03,2,0.2812
2017,NUTS,2010,DK03,2,0.1784
2019,NUTS,2010,DK03,2,0.1886
2011,NUTS,2010,DK04,2,0.4406
2012,NUTS,2010,DK04,2,0.4142
2013,NUTS,2010,DK04,2,0.4114
2014,NUTS,2010,DK04,2,0.4148
2015,NUTS,2010,DK04,2,0.4925
2016,NUTS,2010,DK04,2,0.4796
2017,NUTS,2010,DK04,2,0.427
2019,NUTS,2010,DK04,2,0.445
2011,NUTS,2010,DK05,2,0.2792
2012,NUTS,2010,DK05,2,0.3067
