year,region_type,region_year_spec,region_id,region_level,social_media_lq
2020,NUTS,2016,UKI32,3,0.7
2020,NUTS,2016,UKI33,3,0.84
2020,NUTS,2016,UKI42,3,1.57
2020,NUTS,2016,UKI44,3,1.89
2020,NUTS,2016,UKI51,3,5.7
2020,NUTS,2016,UKJ14,3,1.08
2020,NUTS,2016,UKJ22,3,1.32
2020,NUTS,2016,UKJ25,3,1.07
2020,NUTS,2016,UKJ34,3,144.73
2020,NUTS,2016,UKK11,3,0.99
2020,NUTS,2016,UKK12,3,1.59
2020,NUTS,2016,UKL18,3,3.85
2020,NUTS,2016,UKM50,3,2.24
2020,NUTS,2016,UKM75,3,2.41
2020,NUTS,2016,UKM82,3,0.94
2020,NUTS,2016,UKN06,3,2.83
2021,NUTS,2021,AT,0,4.4
2021,NUTS,2021,CH,0,3.58
2021,NUTS,2021,DE,0,1.55
2021,NUTS,2021,DK,0,2.56
2021,NUTS,2021,EE,0,13.55
2021,NUTS,2021,ES,0,0.29
2021,NUTS,2021,FR,0,0.37
2021,NUTS,2021,IT,0,0.58
2021,NUTS,2021,NL,0,1.18
2021,NUTS,2021,PL,0,0.88
2021,NUTS,2021,PT,0,2.92
2021,NUTS,2021,SE,0,1.29
2021,NUTS,2021,TR,0,0.76
2021,NUTS,2021,UK,0,0.81
2021,NUTS,2021,AT1,1,1.77
2021,NUTS,2021,AT2,1,12.69
2021,NUTS,2021,AT3,1,5.39
2021,NUTS,2021,CH0,1,3.58
2021,NUTS,2021,DE2,1,2.96
2021,NUTS,2021,DE3,1,4.43
2021,NUTS,2021,DE7,1,4.93
2021,NUTS,2021,DK0,1,2.56
2021,NUTS,2021,EE0,1,13.55
2021,NUTS,2021,ES6,1,2.51
2021,NUTS,2021,FRF,1,5.66
2021,NUTS,2021,ITH,1,1.37
2021,NUTS,2021,ITI,1,1.26
2021,NUTS,2021,NL2,1,1.66
2021,NUTS,2021,NL3,1,0.7
2021,NUTS,2021,NL4,1,3.33
2021,NUTS,2021,PL7,1,7.75
2021,NUTS,2021,PT1,1,2.95
2021,NUTS,2021,SE1,1,1.93
2021,NUTS,2021,TR1,1,4.98
2021,NUTS,2021,UKD,1,1.57
2021,NUTS,2021,UKE,1,2.37
2021,NUTS,2021,UKG,1,3.25
2021,NUTS,2021,UKH,1,0.59
2021,NUTS,2021,UKI,1,0.51
2021,NUTS,2021,UKJ,1,0.95
2021,NUTS,2021,AT13,2,2.0
2021,NUTS,2021,AT22,2,13.6
2021,NUTS,2021,AT31,2,25.19
2021,NUTS,2021,CH01,2,2.51
2021,NUTS,2021,CH02,2,6.63
2021,NUTS,2021,CH04,2,5.81
2021,NUTS,2021,DE21,2,4.29
2021,NUTS,2021,DE30,2,4.43
2021,NUTS,2021,DE71,2,12.08
2021,NUTS,2021,DK02,2,59.7
2021,NUTS,2021,DK04,2,4.4
2021,NUTS,2021,DK05,2,9.77
2021,NUTS,2021,EE00,2,13.55
2021,NUTS,2021,ES61,2,3.57
2021,NUTS,2021,FRF1,2,9.95
2021,NUTS,2021,ITH5,2,3.39
2021,NUTS,2021,ITI1,2,2.12
2021,NUTS,2021,ITI4,2,1.11
2021,NUTS,2021,NL22,2,1.84
2021,NUTS,2021,NL33,2,1.59
2021,NUTS,2021,NL42,2,5.18
2021,NUTS,2021,PL71,2,9.37
2021,NUTS,2021,PT17,2,7.2
2021,NUTS,2021,SE11,2,1.37
2021,NUTS,2021,SE12,2,3.24
2021,NUTS,2021,TR10,2,4.98
2021,NUTS,2021,UKD3,2,3.19
2021,NUTS,2021,UKE3,2,8.02
2021,NUTS,2021,UKG1,2,9.26
2021,NUTS,2021,UKG3,2,1.66
2021,NUTS,2021,UKH1,2,0.82
2021,NUTS,2021,UKI3,2,0.62
2021,NUTS,2021,UKJ1,2,1.5
2021,NUTS,2021,AT130,3,2.0
2021,NUTS,2021,AT221,3,13.66
2021,NUTS,2021,AT312,3,25.19
