year,region_type,region_year_spec,region_id,region_level,mental_health_lq
2020,NUTS,2016,PL911,3,1.99
2020,NUTS,2016,PT119,3,2.66
2020,NUTS,2016,PT11A,3,0.71
2020,NUTS,2016,PT16E,3,1.98
2020,NUTS,2016,PT170,3,1.47
2020,NUTS,2016,RS123,3,5.31
2020,NUTS,2016,SE110,3,0.92
2020,NUTS,2016,SE121,3,0.5
2020,NUTS,2016,SE224,3,0.64
2020,NUTS,2016,SE331,3,1.34
2020,NUTS,2016,SI041,3,2.18
2020,NUTS,2016,TR100,3,1.2
2020,NUTS,2016,TR510,3,1.2
2020,NUTS,2016,TR621,3,7.2
2020,NUTS,2016,UKC22,3,0.97
2020,NUTS,2016,UKD33,3,0.64
2020,NUTS,2016,UKD35,3,42.49
2020,NUTS,2016,UKD42,3,11.8
2020,NUTS,2016,UKD44,3,2.26
2020,NUTS,2016,UKD72,3,1.66
2020,NUTS,2016,UKE21,3,3.11
2020,NUTS,2016,UKE32,3,1.96
2020,NUTS,2016,UKE42,3,0.35
2020,NUTS,2016,UKE44,3,1.86
2020,NUTS,2016,UKF14,3,2.93
2020,NUTS,2016,UKF15,3,26.55
2020,NUTS,2016,UKF16,3,2.25
2020,NUTS,2016,UKF21,3,1.54
2020,NUTS,2016,UKF22,3,5.12
2020,NUTS,2016,UKG12,3,10.36
2020,NUTS,2016,UKG13,3,1.43
2020,NUTS,2016,UKG23,3,6.64
2020,NUTS,2016,UKG24,3,3.12
2020,NUTS,2016,UKG31,3,2.16
2020,NUTS,2016,UKH12,3,1.18
2020,NUTS,2016,UKH17,3,1.57
2020,NUTS,2016,UKH21,3,6.07
2020,NUTS,2016,UKH23,3,4.35
2020,NUTS,2016,UKH34,3,4.5
2020,NUTS,2016,UKH35,3,24.99
2020,NUTS,2016,UKI31,3,3.35
2020,NUTS,2016,UKI32,3,4.33
2020,NUTS,2016,UKI33,3,2.35
2020,NUTS,2016,UKI34,3,1.81
2020,NUTS,2016,UKI42,3,0.92
2020,NUTS,2016,UKI43,3,2.27
2020,NUTS,2016,UKI44,3,1.11
2020,NUTS,2016,UKI74,3,1.65
2020,NUTS,2016,UKJ11,3,1.49
2020,NUTS,2016,UKJ14,3,1.58
2020,NUTS,2016,UKJ22,3,5.41
2020,NUTS,2016,UKJ32,3,1.73
2020,NUTS,2016,UKJ36,3,1.74
2020,NUTS,2016,UKJ37,3,22.36
2020,NUTS,2016,UKJ44,3,4.69
2020,NUTS,2016,UKK11,3,2.32
2020,NUTS,2016,UKK12,3,0.94
2020,NUTS,2016,UKK21,3,3.03
2020,NUTS,2016,UKK30,3,10.89
2020,NUTS,2016,UKK43,3,1.11
2020,NUTS,2016,UKL12,3,3.6
2020,NUTS,2016,UKL18,3,3.39
2020,NUTS,2016,UKL22,3,0.85
2020,NUTS,2016,UKM75,3,0.89
2020,NUTS,2016,UKM82,3,1.92
2021,NUTS,2021,CH,0,0.31
2021,NUTS,2021,CY,0,3.22
2021,NUTS,2021,CZ,0,2.66
2021,NUTS,2021,DE,0,0.59
2021,NUTS,2021,DK,0,0.52
2021,NUTS,2021,EL,0,1.55
2021,NUTS,2021,ES,0,0.18
2021,NUTS,2021,IT,0,0.18
2021,NUTS,2021,LV,0,10.24
2021,NUTS,2021,ME,0,42.74
2021,NUTS,2021,NL,0,0.96
2021,NUTS,2021,SE,0,0.39
2021,NUTS,2021,UK,0,2.48
2021,NUTS,2021,CH0,1,0.31
2021,NUTS,2021,CY0,1,3.22
2021,NUTS,2021,CZ0,1,2.66
2021,NUTS,2021,DE2,1,1.2
2021,NUTS,2021,DEA,1,1.3
2021,NUTS,2021,DED,1,1.73
2021,NUTS,2021,DK0,1,0.52
2021,NUTS,2021,EL3,1,1.73
2021,NUTS,2021,EL4,1,5.85
2021,NUTS,2021,ES4,1,2.46
2021,NUTS,2021,ITF,1,0.64
2021,NUTS,2021,ITH,1,0.42
2021,NUTS,2021,LV0,1,10.24
2021,NUTS,2021,ME0,1,42.74
2021,NUTS,2021,NL3,1,1.71
2021,NUTS,2021,SE1,1,0.59
2021,NUTS,2021,UKC,1,3.34
2021,NUTS,2021,UKD,1,0.48
2021,NUTS,2021,UKE,1,7.21
2021,NUTS,2021,UKF,1,4.4
2021,NUTS,2021,UKG,1,0.66
2021,NUTS,2021,UKH,1,1.79
2021,NUTS,2021,UKI,1,1.55
2021,NUTS,2021,UKJ,1,2.61
2021,NUTS,2021,UKK,1,4.5
2021,NUTS,2021,UKL,1,1.26
2021,NUTS,2021,UKM,1,3.19
2021,NUTS,2021,UKN,1,6.95
2021,NUTS,2021,CH04,2,1.18
2021,NUTS,2021,CY00,2,3.22
2021,NUTS,2021,CZ06,2,3.89
2021,NUTS,2021,CZ08,2,28.91
2021,NUTS,2021,DE21,2,1.74
2021,NUTS,2021,DEA4,2,17.87
2021,NUTS,2021,DED4,2,2.49
2021,NUTS,2021,DK03,2,3.03
2021,NUTS,2021,EL30,2,1.73
2021,NUTS,2021,EL41,2,19.27
2021,NUTS,2021,ES42,2,17.55
2021,NUTS,2021,ITF1,2,3.89
2021,NUTS,2021,ITH5,2,1.03
2021,NUTS,2021,LV00,2,10.24
2021,NUTS,2021,ME00,2,42.74
2021,NUTS,2021,NL31,2,2.06
2021,NUTS,2021,NL32,2,2.44
2021,NUTS,2021,NL33,2,0.97
2021,NUTS,2021,SE11,2,0.84
2021,NUTS,2021,UKC1,2,3.31
2021,NUTS,2021,UKC2,2,3.37
2021,NUTS,2021,UKD4,2,4.94
2021,NUTS,2021,UKE1,2,11.3
2021,NUTS,2021,UKE2,2,3.64
2021,NUTS,2021,UKE3,2,12.23
2021,NUTS,2021,UKE4,2,4.88
2021,NUTS,2021,UKF1,2,1.48
2021,NUTS,2021,UKF2,2,6.42
2021,NUTS,2021,UKF3,2,15.36
2021,NUTS,2021,UKG3,2,1.01
2021,NUTS,2021,UKH1,2,1.5
2021,NUTS,2021,UKH3,2,15.6
2021,NUTS,2021,UKI3,2,1.52
2021,NUTS,2021,UKI4,2,2.3
2021,NUTS,2021,UKJ1,2,2.28
2021,NUTS,2021,UKJ2,2,2.01
2021,NUTS,2021,UKJ3,2,3.29
2021,NUTS,2021,UKJ4,2,6.73
2021,NUTS,2021,UKK1,2,5.2
2021,NUTS,2021,UKK4,2,3.59
2021,NUTS,2021,UKL1,2,3.65
2021,NUTS,2021,UKM7,2,3.35
2021,NUTS,2021,UKM8,2,3.93
2021,NUTS,2021,UKN0,2,6.95
2021,NUTS,2021,CH040,3,1.18
2021,NUTS,2021,CY000,3,3.22
2021,NUTS,2021,CZ064,3,3.89
2021,NUTS,2021,CZ080,3,28.91
2021,NUTS,2021,DE212,3,1.78
2021,NUTS,2021,DEA41,3,22.6
2021,NUTS,2021,DED41,3,2.57
2021,NUTS,2021,DK031,3,3.04
2021,NUTS,2021,EL303,3,1.76
2021,NUTS,2021,EL411,3,19.27
2021,NUTS,2021,ES421,3,17.55
2021,NUTS,2021,ITF11,3,10.35
2021,NUTS,2021,ITH54,3,4.61
2021,NUTS,2021,LV006,3,11.04
2021,NUTS,2021,ME000,3,42.74
2021,NUTS,2021,NL310,3,2.06
2021,NUTS,2021,NL329,3,2.45
2021,NUTS,2021,NL33C,3,2.19
2021,NUTS,2021,SE110,3,0.84
2021,NUTS,2021,UKC14,3,4.75
2021,NUTS,2021,UKC22,3,3.59
2021,NUTS,2021,UKD44,3,7.34
2021,NUTS,2021,UKE11,3,14.67
2021,NUTS,2021,UKE21,3,3.68
2021,NUTS,2021,UKE32,3,12.87
2021,NUTS,2021,UKE41,3,45.72
2021,NUTS,2021,UKE42,3,2.14
2021,NUTS,2021,UKF14,3,1.92
2021,NUTS,2021,UKF21,3,5.52
2021,NUTS,2021,UKF22,3,17.55
2021,NUTS,2021,UKF30,3,15.36
2021,NUTS,2021,UKG31,3,1.28
2021,NUTS,2021,UKH11,3,98.29
2021,NUTS,2021,UKH12,3,1.14
2021,NUTS,2021,UKH34,3,22.6
2021,NUTS,2021,UKI31,3,1.67
2021,NUTS,2021,UKI32,3,1.1
2021,NUTS,2021,UKI33,3,1.45
2021,NUTS,2021,UKI34,3,4.08
2021,NUTS,2021,UKI42,3,1.61
2021,NUTS,2021,UKI44,3,6.22
2021,NUTS,2021,UKJ14,3,2.45
2021,NUTS,2021,UKJ22,3,4.84
2021,NUTS,2021,UKJ32,3,4.58
2021,NUTS,2021,UKJ45,3,122.87
2021,NUTS,2021,UKK11,3,4.23
2021,NUTS,2021,UKK12,3,5.62
2021,NUTS,2021,UKK15,3,70.21
2021,NUTS,2021,UKK41,3,39.32
2021,NUTS,2021,UKL18,3,4.94
2021,NUTS,2021,UKM72,3,8.47
2021,NUTS,2021,UKM75,3,2.17
2021,NUTS,2021,UKM77,3,13.46
2021,NUTS,2021,UKM82,3,4.23
2021,NUTS,2021,UKN06,3,8.12
