year,region_type,region_year_spec,region_id,region_level,antiviral_drugs_lq
2021,NUTS,2021,NO07,2,69.42
2021,NUTS,2021,SE11,2,2.54
2021,NUTS,2021,SE12,2,5.99
2021,NUTS,2021,UKD7,2,7.52
2021,NUTS,2021,UKE3,2,7.43
2021,NUTS,2021,UKH1,2,4.55
2021,NUTS,2021,UKI3,2,0.58
2021,NUTS,2021,UKJ1,2,1.39
2021,NUTS,2021,UKJ3,2,4.99
2021,NUTS,2021,UKM7,2,2.54
2021,NUTS,2021,BE332,3,28.43
2021,NUTS,2021,CH040,3,7.18
2021,NUTS,2021,DEA51,3,20.04
2021,NUTS,2021,DK011,3,3.58
2021,NUTS,2021,EE008,3,32.8
2021,NUTS,2021,ES413,3,24.07
2021,NUTS,2021,ES523,3,9.33
2021,NUTS,2021,ITC33,3,6.59
2021,NUTS,2021,ITH36,3,4.78
2021,NUTS,2021,NL221,3,39.28
2021,NUTS,2021,NL310,3,6.26
2021,NUTS,2021,NL333,3,20.45
2021,NUTS,2021,NL337,3,7.79
2021,NUTS,2021,NO071,3,124.38
2021,NUTS,2021,SE110,3,2.54
2021,NUTS,2021,SE121,3,9.57
2021,NUTS,2021,UKD72,3,7.81
2021,NUTS,2021,UKE32,3,7.81
2021,NUTS,2021,UKH12,3,5.2
2021,NUTS,2021,UKI33,3,2.2
2021,NUTS,2021,UKJ14,3,1.49
2021,NUTS,2021,UKJ32,3,6.96
2021,NUTS,2021,UKM75,3,3.3
