year,region_type,region_year_spec,region_id,region_level,indirect_impacts_lq
2020,NUTS,2016,UKL1,2,2.75
2020,NUTS,2016,UKL2,2,0.67
2020,NUTS,2016,UKM5,2,2.32
2020,NUTS,2016,UKM7,2,1.25
2020,NUTS,2016,UKM8,2,4.64
2020,NUTS,2016,UKN0,2,1.19
2020,NUTS,2016,AT130,3,0.75
2020,NUTS,2016,AT221,3,1.49
2020,NUTS,2016,AT323,3,8.31
2020,NUTS,2016,AT332,3,1.69
2020,NUTS,2016,BE323,3,5.42
2020,NUTS,2016,CH011,3,0.49
2020,NUTS,2016,CH040,3,0.26
2020,NUTS,2016,CY000,3,1.41
2020,NUTS,2016,DE125,3,0.98
2020,NUTS,2016,DE131,3,1.15
2020,NUTS,2016,DE144,3,5.17
2020,NUTS,2016,DE300,3,0.25
2020,NUTS,2016,DE404,3,2.58
2020,NUTS,2016,DE91C,3,1.26
2020,NUTS,2016,DE929,3,1.53
2020,NUTS,2016,DEA22,3,2.64
2020,NUTS,2016,DEA33,3,2.17
2020,NUTS,2016,DEA41,3,4.07
2020,NUTS,2016,DEA51,3,1.9
2020,NUTS,2016,DEC01,3,2.41
2020,NUTS,2016,DEE03,3,11.06
2020,NUTS,2016,DK011,3,1.19
2020,NUTS,2016,DK050,3,2.4
2020,NUTS,2016,EL522,3,1.52
2020,NUTS,2016,ES243,3,3.11
2020,NUTS,2016,ES300,3,0.65
2020,NUTS,2016,ES421,3,8.13
2020,NUTS,2016,ES432,3,10.25
2020,NUTS,2016,ES511,3,0.3
2020,NUTS,2016,ES513,3,12.27
2020,NUTS,2016,ES620,3,1.61
2020,NUTS,2016,FI1B1,3,0.71
2020,NUTS,2016,FR104,3,0.4
2020,NUTS,2016,FR107,3,2.88
2020,NUTS,2016,HR041,3,3.76
2020,NUTS,2016,IE051,3,6.68
2020,NUTS,2016,IE053,3,2.25
2020,NUTS,2016,IE061,3,1.78
2020,NUTS,2016,ITC33,3,3.16
2020,NUTS,2016,ITC4C,3,0.48
2020,NUTS,2016,ITF11,3,2.81
2020,NUTS,2016,ITG13,3,2.17
2020,NUTS,2016,ITH55,3,0.7
2020,NUTS,2016,ITI14,3,0.59
2020,NUTS,2016,NL113,3,2.3
2020,NUTS,2016,NL213,3,8.63
2020,NUTS,2016,NL226,3,0.97
2020,NUTS,2016,NL337,3,0.75
2020,NUTS,2016,NL33C,3,2.13
2020,NUTS,2016,NO011,3,1.81
2020,NUTS,2016,NO051,3,1.62
2020,NUTS,2016,PL415,3,3.07
2020,NUTS,2016,PL514,3,1.96
2020,NUTS,2016,PL613,3,4.4
2020,NUTS,2016,PL633,3,2.83
2020,NUTS,2016,PL911,3,0.58
2020,NUTS,2016,PT11A,3,3.76
2020,NUTS,2016,PT170,3,2.58
2020,NUTS,2016,SE110,3,0.81
2020,NUTS,2016,SE124,3,6.56
2020,NUTS,2016,TR100,3,1.05
2020,NUTS,2016,TR411,3,15.92
2020,NUTS,2016,TR510,3,0.7
2020,NUTS,2016,UKC12,3,6.51
2020,NUTS,2016,UKC22,3,3.43
2020,NUTS,2016,UKD33,3,2.26
2020,NUTS,2016,UKD35,3,74.83
2020,NUTS,2016,UKD36,3,24.94
2020,NUTS,2016,UKD45,3,14.67
2020,NUTS,2016,UKD62,3,74.83
2020,NUTS,2016,UKD72,3,3.35
2020,NUTS,2016,UKE11,3,5.94
2020,NUTS,2016,UKE21,3,1.37
2020,NUTS,2016,UKE32,3,0.86
2020,NUTS,2016,UKE42,3,2.5
2020,NUTS,2016,UKF14,3,1.93
2020,NUTS,2016,UKF16,3,3.96
2020,NUTS,2016,UKF21,3,2.04
2020,NUTS,2016,UKF22,3,13.52
2020,NUTS,2016,UKG24,3,5.5
2020,NUTS,2016,UKG31,3,3.38
2020,NUTS,2016,UKG33,3,3.96
2020,NUTS,2016,UKH12,3,1.43
2020,NUTS,2016,UKH23,3,1.92
2020,NUTS,2016,UKI31,3,2.22
2020,NUTS,2016,UKI32,3,3.27
2020,NUTS,2016,UKI33,3,2.4
2020,NUTS,2016,UKI42,3,1.08
2020,NUTS,2016,UKI43,3,4.0
2020,NUTS,2016,UKI44,3,9.77
2020,NUTS,2016,UKJ14,3,0.84
2020,NUTS,2016,UKJ22,3,1.36
2020,NUTS,2016,UKJ32,3,3.82
2020,NUTS,2016,UKJ36,3,6.13
2020,NUTS,2016,UKJ44,3,8.25
2020,NUTS,2016,UKK11,3,4.08
2020,NUTS,2016,UKK12,3,6.59
2020,NUTS,2016,UKK13,3,23.76
2020,NUTS,2016,UKK15,3,18.25
2020,NUTS,2016,UKL18,3,3.98
2020,NUTS,2016,UKL21,3,7.56
2020,NUTS,2016,UKM50,3,2.32
2020,NUTS,2016,UKM75,3,1.56
2020,NUTS,2016,UKM82,3,4.84
2020,NUTS,2016,UKN06,3,1.46
2021,NUTS,2021,DE,0,0.75
2021,NUTS,2021,DK,0,3.28
2021,NUTS,2021,NO,0,5.66
2021,NUTS,2021,UK,0,2.6
2021,NUTS,2021,DE7,1,9.48
2021,NUTS,2021,DK0,1,3.28
2021,NUTS,2021,NO0,1,5.66
2021,NUTS,2021,UKG,1,8.33
2021,NUTS,2021,UKH,1,2.26
2021,NUTS,2021,UKI,1,3.91
2021,NUTS,2021,UKJ,1,5.49
2021,NUTS,2021,DE73,2,36.91
2021,NUTS,2021,DK04,2,16.94
2021,NUTS,2021,NO08,2,9.97
2021,NUTS,2021,UKG1,2,17.82
2021,NUTS,2021,UKG3,2,6.39
2021,NUTS,2021,UKH1,2,3.15
2021,NUTS,2021,UKI3,2,4.8
2021,NUTS,2021,UKJ1,2,8.64
2021,NUTS,2021,DE731,3,39.49
2021,NUTS,2021,DK042,3,16.94
2021,NUTS,2021,NO081,3,11.4
2021,NUTS,2021,UKG13,3,18.56
2021,NUTS,2021,UKG31,3,8.08
2021,NUTS,2021,UKH12,3,3.6
2021,NUTS,2021,UKI31,3,3.51
2021,NUTS,2021,UKI32,3,6.91
2021,NUTS,2021,UKI33,3,4.56
2021,NUTS,2021,UKJ14,3,9.28
