year,region_type,region_year_spec,region_id,region_level,impact_studies_lq
2021,NUTS,2021,BE2,1,6.87
2021,NUTS,2021,CH0,1,0.46
2021,NUTS,2021,DE2,1,1.79
2021,NUTS,2021,DE3,1,1.34
2021,NUTS,2021,DE9,1,2.75
2021,NUTS,2021,DEA,1,0.97
2021,NUTS,2021,DK0,1,0.78
2021,NUTS,2021,EE0,1,12.31
2021,NUTS,2021,EL3,1,2.58
2021,NUTS,2021,EL4,1,8.72
2021,NUTS,2021,EL5,1,4.32
2021,NUTS,2021,FR1,1,0.63
2021,NUTS,2021,FRG,1,12.53
2021,NUTS,2021,FRI,1,7.59
2021,NUTS,2021,FRJ,1,5.98
2021,NUTS,2021,IE0,1,1.41
2021,NUTS,2021,ITC,1,0.36
2021,NUTS,2021,ITI,1,0.57
2021,NUTS,2021,LU0,1,13.44
2021,NUTS,2021,NL2,1,3.01
2021,NUTS,2021,NL3,1,2.55
2021,NUTS,2021,NO0,1,2.68
2021,NUTS,2021,PL8,1,7.52
2021,NUTS,2021,PT1,1,1.34
2021,NUTS,2021,SE1,1,2.63
2021,NUTS,2021,SE3,1,8.72
2021,NUTS,2021,UKD,1,4.29
2021,NUTS,2021,UKE,1,1.08
2021,NUTS,2021,UKG,1,1.97
2021,NUTS,2021,UKH,1,1.61
2021,NUTS,2021,UKI,1,0.23
2021,NUTS,2021,UKJ,1,2.16
2021,NUTS,2021,BE21,2,13.57
2021,NUTS,2021,BE23,2,4.36
2021,NUTS,2021,CH01,2,1.14
2021,NUTS,2021,DE21,2,2.6
2021,NUTS,2021,DE30,2,1.34
2021,NUTS,2021,DE92,2,6.57
2021,NUTS,2021,DEA1,2,5.75
2021,NUTS,2021,DK01,2,1.46
2021,NUTS,2021,EE00,2,12.31
2021,NUTS,2021,EL30,2,2.58
2021,NUTS,2021,EL43,2,12.53
2021,NUTS,2021,EL51,2,22.55
2021,NUTS,2021,FR10,2,0.63
2021,NUTS,2021,FRG0,2,12.53
2021,NUTS,2021,FRI1,2,11.1
2021,NUTS,2021,FRJ2,2,33.31
2021,NUTS,2021,IE05,2,5.02
2021,NUTS,2021,ITC4,2,0.49
2021,NUTS,2021,ITI4,2,1.01
2021,NUTS,2021,LU00,2,13.44
2021,NUTS,2021,NL22,2,3.34
2021,NUTS,2021,NL33,2,5.77
2021,NUTS,2021,NO06,2,8.62
2021,NUTS,2021,NO08,2,2.36
2021,NUTS,2021,PL84,2,23.26
2021,NUTS,2021,PT11,2,3.86
2021,NUTS,2021,SE11,2,3.74
2021,NUTS,2021,SE33,2,11.02
2021,NUTS,2021,UKD3,2,2.9
2021,NUTS,2021,UKD4,2,7.36
2021,NUTS,2021,UKD7,2,5.54
2021,NUTS,2021,UKE4,2,2.43
2021,NUTS,2021,UKG2,2,8.62
2021,NUTS,2021,UKG3,2,1.51
2021,NUTS,2021,UKH1,2,0.74
2021,NUTS,2021,UKH2,2,4.54
2021,NUTS,2021,UKI3,2,0.28
2021,NUTS,2021,UKJ1,2,2.04
2021,NUTS,2021,UKJ2,2,3.0
2021,NUTS,2021,UKJ4,2,10.04
2021,NUTS,2021,BE213,3,63.72
2021,NUTS,2021,BE234,3,4.36
2021,NUTS,2021,CH011,3,2.99
2021,NUTS,2021,DE212,3,2.65
2021,NUTS,2021,DE300,3,1.34
2021,NUTS,2021,DE929,3,6.72
2021,NUTS,2021,DEA13,3,6.57
2021,NUTS,2021,DK011,3,1.76
2021,NUTS,2021,EE008,3,16.1
2021,NUTS,2021,EL303,3,2.62
2021,NUTS,2021,EL433,3,15.43
2021,NUTS,2021,EL512,3,22.55
2021,NUTS,2021,FR104,3,0.96
2021,NUTS,2021,FRG01,3,20.35
2021,NUTS,2021,FRI12,3,11.82
2021,NUTS,2021,FRJ23,3,33.31
2021,NUTS,2021,IE053,3,10.94
2021,NUTS,2021,ITC4C,3,0.63
2021,NUTS,2021,ITI43,3,1.03
2021,NUTS,2021,LU000,3,13.44
2021,NUTS,2021,NL226,3,3.66
2021,NUTS,2021,NL337,3,3.83
2021,NUTS,2021,NL33C,3,9.79
2021,NUTS,2021,NO060,3,8.62
2021,NUTS,2021,NO081,3,2.69
2021,NUTS,2021,PL841,3,23.64
2021,NUTS,2021,PT11A,3,5.2
2021,NUTS,2021,SE110,3,3.74
2021,NUTS,2021,SE331,3,12.74
2021,NUTS,2021,UKD33,3,3.41
2021,NUTS,2021,UKD44,3,10.94
2021,NUTS,2021,UKD72,3,5.75
2021,NUTS,2021,UKE44,3,14.51
2021,NUTS,2021,UKG24,3,12.21
2021,NUTS,2021,UKG31,3,1.91
2021,NUTS,2021,UKH12,3,0.85
2021,NUTS,2021,UKH23,3,4.98
2021,NUTS,2021,UKI33,3,1.08
2021,NUTS,2021,UKJ14,3,2.19
2021,NUTS,2021,UKJ25,3,6.06
2021,NUTS,2021,UKJ44,3,13.32
