year,region_type,region_year_spec,region_id,region_level,healthcare_lq
2020,NUTS,2016,EL522,3,1.78
2020,NUTS,2016,EL651,3,26.61
2020,NUTS,2016,ES213,3,2.65
2020,NUTS,2016,ES300,3,0.38
2020,NUTS,2016,ES511,3,0.35
2020,NUTS,2016,ES614,3,2.35
2020,NUTS,2016,FI1B1,3,0.84
2020,NUTS,2016,FR101,3,0.54
2020,NUTS,2016,FR103,3,1.97
2020,NUTS,2016,FR104,3,0.7
2020,NUTS,2016,FRF11,3,1.76
2020,NUTS,2016,FRG01,3,4.03
2020,NUTS,2016,FRH03,3,3.43
2020,NUTS,2016,FRJ13,3,1.59
2020,NUTS,2016,FRL04,3,0.87
2020,NUTS,2016,HR041,3,2.21
2020,NUTS,2016,IE042,3,4.76
2020,NUTS,2016,IE051,3,7.84
2020,NUTS,2016,IE061,3,0.7
2020,NUTS,2016,ITC48,3,1.2
2020,NUTS,2016,ITC4C,3,0.14
2020,NUTS,2016,ITF61,3,11.71
2020,NUTS,2016,ITG13,3,2.55
2020,NUTS,2016,ITH36,3,0.58
2020,NUTS,2016,ITH55,3,4.08
2020,NUTS,2016,ITI14,3,1.39
2020,NUTS,2016,ITI43,3,0.7
2020,NUTS,2016,LU000,3,3.14
2020,NUTS,2016,MT001,3,12.73
2020,NUTS,2016,NL226,3,1.9
2020,NUTS,2016,NL329,3,1.69
2020,NUTS,2016,NL333,3,1.71
2020,NUTS,2016,NL33C,3,3.33
2020,NUTS,2016,NO043,3,7.14
2020,NUTS,2016,NO060,3,3.96
2020,NUTS,2016,PT11A,3,1.47
2020,NUTS,2016,PT170,3,2.02
2020,NUTS,2016,SE331,3,2.76
2020,NUTS,2016,SI041,3,4.5
2020,NUTS,2016,UKD33,3,0.88
2020,NUTS,2016,UKD44,3,2.34
2020,NUTS,2016,UKD47,3,20.91
2020,NUTS,2016,UKD61,3,250.87
2020,NUTS,2016,UKD72,3,2.45
2020,NUTS,2016,UKE32,3,5.05
2020,NUTS,2016,UKE42,3,3.67
2020,NUTS,2016,UKF21,3,2.39
2020,NUTS,2016,UKF30,3,8.44
2020,NUTS,2016,UKG13,3,1.97
2020,NUTS,2016,UKG31,3,0.99
2020,NUTS,2016,UKG33,3,9.29
2020,NUTS,2016,UKH12,3,1.31
2020,NUTS,2016,UKH15,3,146.34
2020,NUTS,2016,UKH17,3,3.25
2020,NUTS,2016,UKH23,3,5.25
2020,NUTS,2016,UKH36,3,27.44
2020,NUTS,2016,UKI31,3,1.73
2020,NUTS,2016,UKI32,3,3.19
2020,NUTS,2016,UKI33,3,3.58
2020,NUTS,2016,UKI34,3,1.87
2020,NUTS,2016,UKI42,3,1.27
2020,NUTS,2016,UKI44,3,2.29
2020,NUTS,2016,UKJ13,3,6.7
2020,NUTS,2016,UKJ14,3,2.12
2020,NUTS,2016,UKJ22,3,1.6
2020,NUTS,2016,UKJ26,3,83.62
2020,NUTS,2016,UKJ32,3,0.9
2020,NUTS,2016,UKJ36,3,3.6
2020,NUTS,2016,UKK11,3,1.2
2020,NUTS,2016,UKK12,3,3.87
2020,NUTS,2016,UKK30,3,22.51
2020,NUTS,2016,UKL18,3,4.67
2020,NUTS,2016,UKL21,3,8.87
2020,NUTS,2016,UKM72,3,9.54
2020,NUTS,2016,UKM75,3,0.73
2020,NUTS,2016,UKM82,3,2.27
2020,NUTS,2016,UKM95,3,109.76
2021,NUTS,2021,BE,0,2.21
2021,NUTS,2021,CH,0,1.11
2021,NUTS,2021,DE,0,0.42
2021,NUTS,2021,EL,0,2.77
2021,NUTS,2021,IT,0,0.32
2021,NUTS,2021,UK,0,2.65
2021,NUTS,2021,BE2,1,4.11
2021,NUTS,2021,CH0,1,1.11
2021,NUTS,2021,DE2,1,2.14
2021,NUTS,2021,EL3,1,6.16
2021,NUTS,2021,ITI,1,1.37
2021,NUTS,2021,UKD,1,1.71
2021,NUTS,2021,UKF,1,2.62
2021,NUTS,2021,UKH,1,1.28
2021,NUTS,2021,UKI,1,2.21
2021,NUTS,2021,UKJ,1,3.1
2021,NUTS,2021,UKL,1,8.96
2021,NUTS,2021,UKM,1,9.76
2021,NUTS,2021,BE23,2,10.43
2021,NUTS,2021,CH03,2,7.74
2021,NUTS,2021,DE21,2,3.11
2021,NUTS,2021,EL30,2,6.16
2021,NUTS,2021,ITI4,2,2.41
2021,NUTS,2021,UKD3,2,3.47
2021,NUTS,2021,UKF2,2,5.73
2021,NUTS,2021,UKH1,2,1.78
2021,NUTS,2021,UKI3,2,2.04
2021,NUTS,2021,UKI7,2,16.0
2021,NUTS,2021,UKJ1,2,4.88
2021,NUTS,2021,UKL1,2,13.03
2021,NUTS,2021,UKL2,2,6.83
2021,NUTS,2021,UKM7,2,5.97
2021,NUTS,2021,UKM8,2,14.02
2021,NUTS,2021,UKM9,2,103.07
2021,NUTS,2021,BE234,3,10.43
2021,NUTS,2021,CH031,3,8.21
2021,NUTS,2021,DE212,3,3.17
2021,NUTS,2021,EL303,3,6.27
2021,NUTS,2021,ITI43,3,2.47
2021,NUTS,2021,UKD34,3,29.95
2021,NUTS,2021,UKF21,3,6.56
2021,NUTS,2021,UKH12,3,2.03
2021,NUTS,2021,UKI31,3,5.95
2021,NUTS,2021,UKI73,3,166.88
2021,NUTS,2021,UKJ14,3,5.24
2021,NUTS,2021,UKL18,3,17.61
2021,NUTS,2021,UKL21,3,53.91
2021,NUTS,2021,UKM72,3,30.21
2021,NUTS,2021,UKM75,3,3.87
2021,NUTS,2021,UKM82,3,15.08
2021,NUTS,2021,UKM93,3,206.14
