year,region_type,region_year_spec,region_id,region_level,repurposed_treatments_lq
2020,NUTS,2016,PL22A,3,3.55
2020,NUTS,2016,PL514,3,2.0
2020,NUTS,2016,PL613,3,4.5
2020,NUTS,2016,PL633,3,2.9
2020,NUTS,2016,PL711,3,4.16
2020,NUTS,2016,PL721,3,16.29
2020,NUTS,2016,PL814,3,4.59
2020,NUTS,2016,PL841,3,6.49
2020,NUTS,2016,PT11A,3,1.28
2020,NUTS,2016,SE110,3,1.1
2020,NUTS,2016,SE224,3,1.16
2020,NUTS,2016,SE232,3,1.68
2020,NUTS,2016,TR100,3,1.08
2020,NUTS,2016,TRA11,3,10.08
2020,NUTS,2016,UKC11,3,104.42
2020,NUTS,2016,UKC12,3,19.98
2020,NUTS,2016,UKC22,3,5.27
2020,NUTS,2016,UKD33,3,3.46
2020,NUTS,2016,UKD36,3,25.52
2020,NUTS,2016,UKD61,3,109.39
2020,NUTS,2016,UKD62,3,76.57
2020,NUTS,2016,UKD72,3,0.86
2020,NUTS,2016,UKE21,3,2.8
2020,NUTS,2016,UKE32,3,0.88
2020,NUTS,2016,UKF14,3,3.29
2020,NUTS,2016,UKF16,3,12.15
2020,NUTS,2016,UKF21,3,2.78
2020,NUTS,2016,UKF24,3,51.05
2020,NUTS,2016,UKG13,3,0.86
2020,NUTS,2016,UKG23,3,11.96
2020,NUTS,2016,UKG31,3,3.46
2020,NUTS,2016,UKH12,3,0.81
2020,NUTS,2016,UKH23,3,0.65
2020,NUTS,2016,UKI31,3,0.57
2020,NUTS,2016,UKI32,3,2.41
2020,NUTS,2016,UKI33,3,0.89
2020,NUTS,2016,UKI42,3,1.1
2020,NUTS,2016,UKI74,3,2.98
2020,NUTS,2016,UKJ14,3,0.71
2020,NUTS,2016,UKJ22,3,1.39
2020,NUTS,2016,UKJ25,3,1.13
2020,NUTS,2016,UKJ31,3,9.57
2020,NUTS,2016,UKJ32,3,0.78
2020,NUTS,2016,UKJ36,3,9.41
2020,NUTS,2016,UKK11,3,1.57
2020,NUTS,2016,UKK30,3,58.9
2020,NUTS,2016,UKL22,3,1.52
2020,NUTS,2016,UKM75,3,1.28
2020,NUTS,2016,UKM82,3,0.5
2021,NUTS,2021,BE,0,0.96
2021,NUTS,2021,CH,0,0.96
2021,NUTS,2021,DE,0,0.18
2021,NUTS,2021,DK,0,0.81
2021,NUTS,2021,EL,0,2.4
2021,NUTS,2021,ES,0,0.27
2021,NUTS,2021,FI,0,2.1
2021,NUTS,2021,FR,0,0.7
2021,NUTS,2021,IE,0,1.46
2021,NUTS,2021,NL,0,0.74
2021,NUTS,2021,PL,0,7.43
2021,NUTS,2021,SI,0,7.11
2021,NUTS,2021,UK,0,1.85
2021,NUTS,2021,BE2,1,1.78
2021,NUTS,2021,CH0,1,0.96
2021,NUTS,2021,DEA,1,1.0
2021,NUTS,2021,DK0,1,0.81
2021,NUTS,2021,EL3,1,2.67
2021,NUTS,2021,EL6,1,8.0
2021,NUTS,2021,ES5,1,0.88
2021,NUTS,2021,FI1,1,2.1
2021,NUTS,2021,FR1,1,1.3
2021,NUTS,2021,IE0,1,1.46
2021,NUTS,2021,NL3,1,1.32
2021,NUTS,2021,PL2,1,9.72
2021,NUTS,2021,PL5,1,7.92
2021,NUTS,2021,PL6,1,7.14
2021,NUTS,2021,PL7,1,14.62
2021,NUTS,2021,PL8,1,15.6
2021,NUTS,2021,PL9,1,3.13
2021,NUTS,2021,SI0,1,7.11
2021,NUTS,2021,UKC,1,5.16
2021,NUTS,2021,UKD,1,2.97
2021,NUTS,2021,UKF,1,4.54
2021,NUTS,2021,UKG,1,2.04
2021,NUTS,2021,UKH,1,0.56
2021,NUTS,2021,UKI,1,1.44
2021,NUTS,2021,UKJ,1,2.69
2021,NUTS,2021,UKK,1,2.32
2021,NUTS,2021,UKM,1,0.71
2021,NUTS,2021,UKN,1,5.37
2021,NUTS,2021,BE21,2,4.69
2021,NUTS,2021,CH01,2,2.37
2021,NUTS,2021,DEA2,2,1.85
2021,NUTS,2021,DK01,2,1.51
2021,NUTS,2021,EL30,2,2.67
2021,NUTS,2021,EL63,2,17.68
2021,NUTS,2021,ES51,2,1.22
2021,NUTS,2021,FI1B,2,3.83
2021,NUTS,2021,FR10,2,1.3
2021,NUTS,2021,IE06,2,2.47
2021,NUTS,2021,NL31,2,6.38
2021,NUTS,2021,PL22,2,23.4
2021,NUTS,2021,PL51,2,9.05
2021,NUTS,2021,PL61,2,29.25
2021,NUTS,2021,PL71,2,8.84
2021,NUTS,2021,PL72,2,42.24
2021,NUTS,2021,PL81,2,14.76
2021,NUTS,2021,PL84,2,24.14
2021,NUTS,2021,PL91,2,3.15
2021,NUTS,2021,SI04,2,8.45
2021,NUTS,2021,UKC1,2,10.24
2021,NUTS,2021,UKD3,2,4.51
2021,NUTS,2021,UKD4,2,7.64
2021,NUTS,2021,UKF1,2,4.58
2021,NUTS,2021,UKF2,2,4.97
2021,NUTS,2021,UKG1,2,4.37
2021,NUTS,2021,UKG3,2,1.57
2021,NUTS,2021,UKH2,2,2.36
2021,NUTS,2021,UKI3,2,1.47
2021,NUTS,2021,UKI6,2,47.52
2021,NUTS,2021,UKJ1,2,3.53
2021,NUTS,2021,UKJ3,2,2.54
2021,NUTS,2021,UKK1,2,3.22
2021,NUTS,2021,UKM7,2,1.3
2021,NUTS,2021,UKN0,2,5.37
2021,NUTS,2021,BE211,3,5.96
2021,NUTS,2021,CH013,3,3.85
2021,NUTS,2021,DEA22,3,4.71
2021,NUTS,2021,DK011,3,1.83
2021,NUTS,2021,EL303,3,2.72
2021,NUTS,2021,EL632,3,17.68
2021,NUTS,2021,ES511,3,1.33
2021,NUTS,2021,FI1B1,3,3.83
2021,NUTS,2021,FR104,3,1.99
2021,NUTS,2021,IE061,3,2.87
2021,NUTS,2021,NL310,3,6.38
2021,NUTS,2021,PL229,3,56.32
2021,NUTS,2021,PL22A,3,16.35
2021,NUTS,2021,PL514,3,9.05
2021,NUTS,2021,PL613,3,29.25
2021,NUTS,2021,PL711,3,8.84
2021,NUTS,2021,PL721,3,42.24
2021,NUTS,2021,PL814,3,14.76
2021,NUTS,2021,PL841,3,24.53
2021,NUTS,2021,PL911,3,3.17
2021,NUTS,2021,SI041,3,9.33
2021,NUTS,2021,UKC11,3,72.42
2021,NUTS,2021,UKC12,3,22.04
2021,NUTS,2021,UKD33,3,1.77
2021,NUTS,2021,UKD36,3,84.49
2021,NUTS,2021,UKD37,3,126.73
2021,NUTS,2021,UKD44,3,11.35
2021,NUTS,2021,UKF14,3,5.95
2021,NUTS,2021,UKF21,3,5.7
2021,NUTS,2021,UKG13,3,4.55
2021,NUTS,2021,UKG31,3,1.98
2021,NUTS,2021,UKH23,3,2.58
2021,NUTS,2021,UKI32,3,3.39
2021,NUTS,2021,UKI33,3,1.12
2021,NUTS,2021,UKI63,3,152.08
2021,NUTS,2021,UKJ14,3,3.79
2021,NUTS,2021,UKJ36,3,12.17
2021,NUTS,2021,UKK11,3,4.36
2021,NUTS,2021,UKM75,3,1.68
2021,NUTS,2021,UKN06,3,6.28
