year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_2_lq
2020,NUTS,2016,BE31,2,1.41
2020,NUTS,2016,BE32,2,3.77
2020,NUTS,2016,CH01,2,1.24
2020,NUTS,2016,CH02,2,2.3
2020,NUTS,2016,CH04,2,1.84
2020,NUTS,2016,CH05,2,3.64
2020,NUTS,2016,CY00,2,1.96
2020,NUTS,2016,CZ01,2,0.55
2020,NUTS,2016,DE12,2,0.86
2020,NUTS,2016,DE21,2,1.08
2020,NUTS,2016,DE30,2,0.71
2020,NUTS,2016,DE71,2,0.67
2020,NUTS,2016,DEA1,2,1.93
2020,NUTS,2016,DEA2,2,0.47
2020,NUTS,2016,DEA3,2,1.51
2020,NUTS,2016,DEA4,2,3.59
2020,NUTS,2016,DED4,2,0.37
2020,NUTS,2016,DK01,2,2.33
2020,NUTS,2016,DK02,2,24.18
2020,NUTS,2016,DK03,2,1.71
2020,NUTS,2016,EL30,2,1.66
2020,NUTS,2016,EL43,2,1.63
2020,NUTS,2016,ES11,2,1.14
2020,NUTS,2016,ES21,2,1.47
2020,NUTS,2016,ES24,2,2.16
2020,NUTS,2016,ES30,2,0.45
2020,NUTS,2016,ES41,2,1.42
2020,NUTS,2016,ES51,2,0.57
2020,NUTS,2016,ES52,2,0.47
2020,NUTS,2016,ES62,2,2.24
2020,NUTS,2016,FR10,2,0.58
2020,NUTS,2016,FRI1,2,1.21
2020,NUTS,2016,FRJ1,2,0.9
2020,NUTS,2016,FRK2,2,0.65
2020,NUTS,2016,FRL0,2,1.0
2020,NUTS,2016,HU11,2,0.81
2020,NUTS,2016,HU33,2,3.54
2020,NUTS,2016,IE05,2,0.84
2020,NUTS,2016,IE06,2,2.96
2020,NUTS,2016,IS00,2,1.28
2020,NUTS,2016,ITC1,2,2.28
2020,NUTS,2016,ITC4,2,0.65
2020,NUTS,2016,ITF3,2,0.4
2020,NUTS,2016,ITF4,2,0.38
2020,NUTS,2016,ITH2,2,1.38
2020,NUTS,2016,ITH3,2,0.7
2020,NUTS,2016,ITH4,2,0.62
2020,NUTS,2016,ITI1,2,0.21
2020,NUTS,2016,ITI4,2,0.27
2020,NUTS,2016,NL22,2,0.79
2020,NUTS,2016,NL31,2,3.35
2020,NUTS,2016,NL33,2,1.57
2020,NUTS,2016,NL41,2,1.07
2020,NUTS,2016,NO01,2,1.11
2020,NUTS,2016,NO03,2,12.09
2020,NUTS,2016,NO05,2,1.12
2020,NUTS,2016,NO07,2,6.5
2020,NUTS,2016,PL21,2,1.02
2020,NUTS,2016,PL22,2,1.82
2020,NUTS,2016,PL72,2,11.06
2020,NUTS,2016,PL84,2,4.16
2020,NUTS,2016,PL91,2,0.4
2020,NUTS,2016,SE11,2,1.87
2020,NUTS,2016,SE12,2,0.81
2020,NUTS,2016,SI04,2,2.48
2020,NUTS,2016,SK04,2,9.63
2020,NUTS,2016,TR10,2,0.73
2020,NUTS,2016,TR51,2,0.98
2020,NUTS,2016,TR72,2,4.16
2020,NUTS,2016,TR83,2,4.3
2020,NUTS,2016,UKD3,2,0.68
2020,NUTS,2016,UKD4,2,3.02
2020,NUTS,2016,UKD7,2,0.56
2020,NUTS,2016,UKE2,2,0.94
2020,NUTS,2016,UKE4,2,0.34
2020,NUTS,2016,UKF1,2,0.71
2020,NUTS,2016,UKF2,2,0.39
2020,NUTS,2016,UKG1,2,5.03
2020,NUTS,2016,UKG3,2,0.24
2020,NUTS,2016,UKH1,2,0.98
2020,NUTS,2016,UKH2,2,4.35
2020,NUTS,2016,UKH3,2,1.94
2020,NUTS,2016,UKI3,2,2.93
2020,NUTS,2016,UKI4,2,0.26
2020,NUTS,2016,UKJ1,2,2.24
2020,NUTS,2016,UKJ2,2,1.61
2020,NUTS,2016,UKJ3,2,1.54
2020,NUTS,2016,UKK1,2,2.01
2020,NUTS,2016,UKK2,2,2.83
2020,NUTS,2016,UKK4,2,3.21
2020,NUTS,2016,UKL1,2,2.87
2020,NUTS,2016,UKM7,2,1.39
2020,NUTS,2016,UKM8,2,0.97
2020,NUTS,2016,BE100,3,0.99
2020,NUTS,2016,BE211,3,8.68
2020,NUTS,2016,BE221,3,13.86
2020,NUTS,2016,BE234,3,0.62
2020,NUTS,2016,BE310,3,1.41
2020,NUTS,2016,BE323,3,3.77
2020,NUTS,2016,CH011,3,1.02
2020,NUTS,2016,CH013,3,1.46
2020,NUTS,2016,CH021,3,2.81
2020,NUTS,2016,CH040,3,1.84
2020,NUTS,2016,CH055,3,3.64
2020,NUTS,2016,CY000,3,1.96
2020,NUTS,2016,CZ010,3,0.55
2020,NUTS,2016,DE125,3,0.68
2020,NUTS,2016,DE126,3,6.58
2020,NUTS,2016,DE212,3,1.09
2020,NUTS,2016,DE300,3,0.71
2020,NUTS,2016,DE712,3,0.89
2020,NUTS,2016,DEA13,3,2.26
2020,NUTS,2016,DEA22,3,0.61
2020,NUTS,2016,DEA26,3,2.56
2020,NUTS,2016,DEA33,3,1.51
2020,NUTS,2016,DEA47,3,10.0
2020,NUTS,2016,DED41,3,0.45
2020,NUTS,2016,DK011,3,3.04
2020,NUTS,2016,DK021,3,25.36
2020,NUTS,2016,DK031,3,1.72
2020,NUTS,2016,EL303,3,1.7
2020,NUTS,2016,EL433,3,2.4
2020,NUTS,2016,ES111,3,1.56
2020,NUTS,2016,ES213,3,1.57
2020,NUTS,2016,ES243,3,2.16
2020,NUTS,2016,ES300,3,0.45
2020,NUTS,2016,ES413,3,2.71
2020,NUTS,2016,ES511,3,0.62
2020,NUTS,2016,ES521,3,2.17
2020,NUTS,2016,ES620,3,2.24
2020,NUTS,2016,FR101,3,1.27
2020,NUTS,2016,FR104,3,0.41
2020,NUTS,2016,FRI12,3,1.25
2020,NUTS,2016,FRJ13,3,0.94
2020,NUTS,2016,FRK26,3,0.82
2020,NUTS,2016,FRL04,3,1.03
2020,NUTS,2016,HU110,3,0.81
2020,NUTS,2016,HU333,3,3.54
2020,NUTS,2016,IE053,3,1.57
2020,NUTS,2016,IE061,3,3.3
2020,NUTS,2016,IS001,3,1.3
2020,NUTS,2016,ITC11,3,2.69
2020,NUTS,2016,ITC41,3,1.42
2020,NUTS,2016,ITC46,3,13.33
2020,NUTS,2016,ITC4C,3,0.58
2020,NUTS,2016,ITF33,3,0.53
2020,NUTS,2016,ITF47,3,0.5
2020,NUTS,2016,ITH20,3,1.38
2020,NUTS,2016,ITH36,3,1.04
2020,NUTS,2016,ITH44,3,0.89
2020,NUTS,2016,ITI14,3,0.41
2020,NUTS,2016,ITI43,3,0.28
2020,NUTS,2016,NL221,3,3.3
2020,NUTS,2016,NL226,3,0.45
2020,NUTS,2016,NL310,3,3.35
2020,NUTS,2016,NL333,3,2.03
2020,NUTS,2016,NL337,3,1.55
2020,NUTS,2016,NL33C,3,1.48
2020,NUTS,2016,NL414,3,1.4
2020,NUTS,2016,NO011,3,0.84
2020,NUTS,2016,NO012,3,3.25
2020,NUTS,2016,NO032,3,20.0
2020,NUTS,2016,NO051,3,1.13
2020,NUTS,2016,NO072,3,14.85
2020,NUTS,2016,PL213,3,1.02
2020,NUTS,2016,PL22A,3,2.41
2020,NUTS,2016,PL721,3,11.06
2020,NUTS,2016,PL841,3,4.41
2020,NUTS,2016,PL911,3,0.41
2020,NUTS,2016,SE110,3,1.87
2020,NUTS,2016,SE121,3,1.22
2020,NUTS,2016,SI041,3,2.67
2020,NUTS,2016,SK042,3,16.25
2020,NUTS,2016,TR100,3,0.73
2020,NUTS,2016,TR510,3,0.98
2020,NUTS,2016,TR722,3,17.93
2020,NUTS,2016,TR832,3,19.26
2020,NUTS,2016,UKD33,3,0.78
2020,NUTS,2016,UKD44,3,4.15
2020,NUTS,2016,UKD72,3,0.58
2020,NUTS,2016,UKE21,3,0.95
2020,NUTS,2016,UKE42,3,0.43
2020,NUTS,2016,UKF14,3,0.89
2020,NUTS,2016,UKF24,3,17.33
2020,NUTS,2016,UKG13,3,5.26
2020,NUTS,2016,UKG33,3,2.75
2020,NUTS,2016,UKH12,3,0.89
2020,NUTS,2016,UKH17,3,1.92
2020,NUTS,2016,UKH23,3,4.88
2020,NUTS,2016,UKH34,3,2.75
2020,NUTS,2016,UKI31,3,5.0
2020,NUTS,2016,UKI32,3,0.63
2020,NUTS,2016,UKI33,3,3.64
2020,NUTS,2016,UKI44,3,1.36
2020,NUTS,2016,UKJ14,3,2.42
2020,NUTS,2016,UKJ22,3,2.84
2020,NUTS,2016,UKJ25,3,0.77
2020,NUTS,2016,UKJ32,3,2.12
2020,NUTS,2016,UKK11,3,2.48
2020,NUTS,2016,UKK12,3,1.15
2020,NUTS,2016,UKK21,3,3.71
2020,NUTS,2016,UKK43,3,3.39
2020,NUTS,2016,UKL12,3,4.41
2020,NUTS,2016,UKL18,3,2.77
2020,NUTS,2016,UKM72,3,3.77
2020,NUTS,2016,UKM75,3,1.3
2020,NUTS,2016,UKM82,3,1.01
2021,NUTS,2021,AT,0,8.81
2021,NUTS,2021,BE,0,1.02
2021,NUTS,2021,CY,0,15.86
2021,NUTS,2021,DE,0,1.36
2021,NUTS,2021,DK,0,1.71
2021,NUTS,2021,EL,0,1.27
2021,NUTS,2021,ES,0,0.86
2021,NUTS,2021,FR,0,1.12
2021,NUTS,2021,NO,0,1.47
2021,NUTS,2021,PT,0,1.46
2021,NUTS,2021,SI,0,7.53
2021,NUTS,2021,UK,0,1.29
2021,NUTS,2021,AT1,1,7.08
2021,NUTS,2021,AT2,1,12.69
2021,NUTS,2021,AT3,1,10.78
2021,NUTS,2021,BE1,1,3.66
2021,NUTS,2021,CY0,1,15.86
2021,NUTS,2021,DE2,1,2.96
2021,NUTS,2021,DE3,1,4.43
2021,NUTS,2021,DE4,1,17.71
2021,NUTS,2021,DK0,1,1.71
2021,NUTS,2021,EL3,1,2.83
2021,NUTS,2021,ES3,1,2.35
2021,NUTS,2021,FRH,1,15.65
2021,NUTS,2021,FRK,1,10.89
2021,NUTS,2021,NO0,1,1.47
2021,NUTS,2021,PT1,1,1.48
2021,NUTS,2021,SI0,1,7.53
2021,NUTS,2021,UKD,1,2.36
2021,NUTS,2021,UKH,1,1.18
2021,NUTS,2021,UKI,1,1.53
2021,NUTS,2021,UKK,1,2.46
2021,NUTS,2021,UKL,1,2.06
2021,NUTS,2021,UKM,1,3.74
2021,NUTS,2021,AT13,2,7.99
2021,NUTS,2021,AT22,2,13.6
2021,NUTS,2021,AT31,2,25.19
2021,NUTS,2021,AT33,2,8.4
2021,NUTS,2021,BE10,2,3.66
2021,NUTS,2021,CY00,2,15.86
2021,NUTS,2021,DE21,2,4.29
2021,NUTS,2021,DE30,2,4.43
2021,NUTS,2021,DE40,2,17.71
2021,NUTS,2021,DK01,2,3.2
2021,NUTS,2021,EL30,2,2.83
2021,NUTS,2021,ES30,2,2.35
2021,NUTS,2021,FRH0,2,15.65
2021,NUTS,2021,FRK2,2,10.89
2021,NUTS,2021,NO0A,2,7.13
2021,NUTS,2021,PT11,2,4.24
2021,NUTS,2021,SI04,2,8.96
2021,NUTS,2021,UKD3,2,3.19
2021,NUTS,2021,UKD7,2,2.03
2021,NUTS,2021,UKH1,2,1.64
2021,NUTS,2021,UKI3,2,1.56
2021,NUTS,2021,UKI5,2,22.39
